Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
13/06/2023,16:46:46,bsc,0x9f2672810cf8990601a6a59409dddfc184eaa5c1e07de0083f95b55817d97732,https://bscscan.com/tx/0x9f2672810cf8990601a6a59409dddfc184eaa5c1e07de0083f95b55817d97732,send,0x09f67ce55b456c0f3c31db46d44d8c97efb5f4f5,USDT,-4
19/01/2024,20:34:09,manta,0xd82f1efe1ef48800c1831cd615404cfb63b6929aa13f36ec058f8d79116321c6,https://pacific-explorer.manta.network/tx/0xd82f1efe1ef48800c1831cd615404cfb63b6929aa13f36ec058f8d79116321c6,receive,0x0b7630427e3cfeb02f9dcbd9ac5e17e33ed4844d,MANTA,46.93
18/01/2024,05:21:59,manta,0x3b9d5fc43da79d90b6f0ee36dd70349186386ba0e7973e2f94a7557ac412d867,https://pacific-explorer.manta.network/tx/0x3b9d5fc43da79d90b6f0ee36dd70349186386ba0e7973e2f94a7557ac412d867,send,0x0b7630427e3cfeb02f9dcbd9ac5e17e33ed4844d,ETH,-0.001
18/01/2024,05:16:29,manta,0x1ac651e7933ff119da809605c4b846a08d4d33e62e6769aa4887eb649711ae61,https://pacific-explorer.manta.network/tx/0x1ac651e7933ff119da809605c4b846a08d4d33e62e6769aa4887eb649711ae61,send,0x0b7630427e3cfeb02f9dcbd9ac5e17e33ed4844d,,-19
20/03/2023,02:45:08,arb,0x406e10496044e78febd835f82270df0a72505e30065e83cce074064d7895e64a,https://arbiscan.io/tx/0x406e10496044e78febd835f82270df0a72505e30065e83cce074064d7895e64a,send,0x0b7630427e3cfeb02f9dcbd9ac5e17e33ed4844d,SIDARB ,-1
20/03/2023,02:35:05,arb,0x2e26f79babb96ae150c058283ffb2385b68c9785c431b0e39bbe23d6925166a4,https://arbiscan.io/tx/0x2e26f79babb96ae150c058283ffb2385b68c9785c431b0e39bbe23d6925166a4,receive,0x0b7630427e3cfeb02f9dcbd9ac5e17e33ed4844d,SIDARB ,1
23/11/2023,19:52:26,bsc,0xd882dd7d6cb8d0c12feaadf80dd3150396f540a2f1c5637f1630e9a6ff367501,https://bscscan.com/tx/0xd882dd7d6cb8d0c12feaadf80dd3150396f540a2f1c5637f1630e9a6ff367501,send,0x0b795456538a64116a51fbf85a3f2fb6ee3f7f08,USDT,-40
27/04/2023,03:25:19,arb,0x450e9f94ea08069fd0948587514a0854b673d005aabe1e8e063bec4d375f1e4c,https://arbiscan.io/tx/0x450e9f94ea08069fd0948587514a0854b673d005aabe1e8e063bec4d375f1e4c,receive,0x0b795456538a64116a51fbf85a3f2fb6ee3f7f08,ETH,0.0013
19/09/2022,23:17:35,bsc,0xd2871912293be8a4b2468cdf3d6dd8be381544c5fb44b555ee1891ad98e56109,https://bscscan.com/tx/0xd2871912293be8a4b2468cdf3d6dd8be381544c5fb44b555ee1891ad98e56109,receive,0x0e4851f6464471004bc9736fe8f66eb82591650e,USDT,250
23/06/2023,00:03:01,bsc,0x6ca47c0725dc2283652b447d7711a9a4f92bc4d51386b9bc0e27947e0a35d98f,https://bscscan.com/tx/0x6ca47c0725dc2283652b447d7711a9a4f92bc4d51386b9bc0e27947e0a35d98f,send,0x0e9f1488f885ef329ba2aeda7004500f434c4582,USDT,-4
22/12/2023,05:49:31,bsc,0xdc35fd70c433976be0c000834a0782fac40a31f45533e185db067125a424d32b,https://bscscan.com/tx/0xdc35fd70c433976be0c000834a0782fac40a31f45533e185db067125a424d32b,send,0x10064646b5ba7f5339e8695736dc9a5769553bb1,USDT,-5
05/04/2024,23:42:24,bsc,0xde34a30b29a3c5d7404be95cf75fc96b357ca04d0b1b25ffc175b6cf561a2e1d,https://bscscan.com/tx/0xde34a30b29a3c5d7404be95cf75fc96b357ca04d0b1b25ffc175b6cf561a2e1d,send,0x18cb83d083d16b62cf799c802c7789eba4f5f214,USDT,-21
20/11/2023,21:31:24,bsc,0x2b138947b4d03dc68ada5c2a8a5238680848dd46e25b5fbbf92926cb96aff636,https://bscscan.com/tx/0x2b138947b4d03dc68ada5c2a8a5238680848dd46e25b5fbbf92926cb96aff636,send,0x1b4af01b5639a51cea4bc2b6982d5771ffe31131,USDT,-9.6
21/02/2024,23:15:18,bsc,0x50252724176699e56d608b87af922526545171b8e0bcc195667304c4dfddb3d3,https://bscscan.com/tx/0x50252724176699e56d608b87af922526545171b8e0bcc195667304c4dfddb3d3,send,0x1dac7b60a4864e2842c0c05ef9fbd6e6482f89ea,USDT,-275
09/02/2024,00:07:14,bsc,0x87215b267e9de71a6dd75e6d7566fa75dfcb8391dc30c943fe53a3cf1bcd8155,https://bscscan.com/tx/0x87215b267e9de71a6dd75e6d7566fa75dfcb8391dc30c943fe53a3cf1bcd8155,send,0x24e045efaaaa10f72fa6104792ba8b5c2a9209ff,USDT,-7
04/04/2023,01:09:29,bsc,0x684d2c8b1bc9818c72545ef16ec59cf2e45390143f0ed4e7b91c75334c2f4b82,https://bscscan.com/tx/0x684d2c8b1bc9818c72545ef16ec59cf2e45390143f0ed4e7b91c75334c2f4b82,send,0x2aa45a772089d8ca722025510530093eb9ddfb3e,IF,-26
22/10/2022,11:17:59,eth,0xdbcf5a3a4bc893ee94a9e3347c033cf2644056342fb9dc151132f0e463e7082f,https://etherscan.io/tx/0xdbcf5a3a4bc893ee94a9e3347c033cf2644056342fb9dc151132f0e463e7082f,receive,0x2aa45a772089d8ca722025510530093eb9ddfb3e,ETH,0.0001
04/04/2023,13:55:27,matic,0x52e97563bbf1d26268af981061bce54202fad5d3f29d0a0100b68a5be5157d48,https://polygonscan.com/tx/0x52e97563bbf1d26268af981061bce54202fad5d3f29d0a0100b68a5be5157d48,send,0x2b508036f6bce2edc21d7eabd5659cab92660c03,MATIC,-0.02
