Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
28/03/2022,15:57:30,ftm,0xedd362c0a4033267d8d8b0cb09de01cad6fdf4319555ab429129b1cbbabbe7e3,https://ftmscan.com/tx/0xedd362c0a4033267d8d8b0cb09de01cad6fdf4319555ab429129b1cbbabbe7e3,receive,0x000008f034f23461767a7fbb8983152dbf412d0d,PAPER,2
17/03/2022,01:54:45,ftm,0x30bb7e46c141ba2c599d52dc1f1b4dcc578fc81c601c48c3d6ec761c961ff1d4,https://ftmscan.com/tx/0x30bb7e46c141ba2c599d52dc1f1b4dcc578fc81c601c48c3d6ec761c961ff1d4,receive,0x000008f034f23461767a7fbb8983152dbf412d0d,INK,1.9
23/05/2022,22:28:05,ftm,0x022652fe1968f4c1203391681bcebb5f2d7eef0ec8e35db66e06add63d908f12,https://ftmscan.com/tx/0x022652fe1968f4c1203391681bcebb5f2d7eef0ec8e35db66e06add63d908f12,receive,0x0198db21cc1ca21bc8cb01d72c19ceaf3afbfdc2,FF,1
03/12/2021,16:54:27,ftm,0xbeb07e6f6a6130ce8018eb43cbb2e1337a323c3fa29c50d2e58ae5cf992611a0,https://ftmscan.com/tx/0xbeb07e6f6a6130ce8018eb43cbb2e1337a323c3fa29c50d2e58ae5cf992611a0,receive,0x27e9531d81e0d89ce04394e233d406256d66d36a,FPPL,1
21/01/2022,05:12:52,ftm,0xc94a8e63447f9cd897f046d2bf26f4a518a52391e0597d62902a1827f40f8065,https://ftmscan.com/tx/0xc94a8e63447f9cd897f046d2bf26f4a518a52391e0597d62902a1827f40f8065,receive,0x2d5a6d7ab823d0bb44cfc2c35651c4be04b416df,DAI,50
12/04/2023,04:43:06,metis,0x1d6564a57207e2df9a994109452f5ebb4e76c41ee58646f714916547f07127d3,https://explorer.metis.io/tx/0x1d6564a57207e2df9a994109452f5ebb4e76c41ee58646f714916547f07127d3,send,0x2de5399d2a74b87bf2f735ae6c3fa9bb3619d43b,Metis,-0.04
12/04/2023,04:25:36,metis,0x56359d84f956b0e2e70d1a682c81f1d824b094d5c176f4f33a9984b340632b5f,https://explorer.metis.io/tx/0x56359d84f956b0e2e70d1a682c81f1d824b094d5c176f4f33a9984b340632b5f,receive,0x2de5399d2a74b87bf2f735ae6c3fa9bb3619d43b,Metis,0.02
28/03/2022,04:49:18,ftm,0x618cf134d8b0ecce976dfc775f001a9aed8118969c1c3a43f6082437a4fb7cca,https://ftmscan.com/tx/0x618cf134d8b0ecce976dfc775f001a9aed8118969c1c3a43f6082437a4fb7cca,receive,0x2de5399d2a74b87bf2f735ae6c3fa9bb3619d43b,NTZN,1
12/02/2022,09:08:41,ftm,0xf1912fdb6689c0266ff905ce39b271297bdc59fb8ac6ceae2495589b04e4f3a9,https://ftmscan.com/tx/0xf1912fdb6689c0266ff905ce39b271297bdc59fb8ac6ceae2495589b04e4f3a9,receive,0x2de5399d2a74b87bf2f735ae6c3fa9bb3619d43b,SLAQ,1
20/03/2023,05:32:23,eth,0xfdbee73ec1dd0fb7f5093b21a2cb1b18932276e8d956096efffc2555a9b11005,https://etherscan.io/tx/0xfdbee73ec1dd0fb7f5093b21a2cb1b18932276e8d956096efffc2555a9b11005,receive,0x40495a781095932e2fc8dcca69f5e358711fdd41,HONEYCOMB,1
13/05/2024,04:43:02,arb,0xecf65ed6d41d71f098d0d8cf4a70b9f899d1ca5f665958bb0bce46e539003699,https://arbiscan.io/tx/0xecf65ed6d41d71f098d0d8cf4a70b9f899d1ca5f665958bb0bce46e539003699,receive,0x432a123603402e743f116e465aca31645f2ae663,MASK,1
