Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
13/07/2023,20:07:11,bsc,0x1a3f9ad4e7a60cc8c31d5e60478c30809887047f7568d39b267c19d19ac3e176,https://bscscan.com/tx/0x1a3f9ad4e7a60cc8c31d5e60478c30809887047f7568d39b267c19d19ac3e176,send,0x0b81a3948bc03f8fc31954d5c325b152f751c0c2,USDT,-1000
06/07/2023,19:52:17,bsc,0x99756b815124642a7904a0caadc8b060c040d5c2cbd47930f17034d1f22abe2f,https://bscscan.com/tx/0x99756b815124642a7904a0caadc8b060c040d5c2cbd47930f17034d1f22abe2f,send,0x11e2a877adcbf3cdb6649a551ab65e19a271d5d0,USDT,-14000
24/04/2023,23:01:35,eth,0x245ee69dba09dabafa33554a80437b3a3a73cf1e3e0432ff2f604e24a277312b,https://etherscan.io/tx/0x245ee69dba09dabafa33554a80437b3a3a73cf1e3e0432ff2f604e24a277312b,send,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,DZOO,-2082.4755
27/03/2023,00:06:04,arb,0x7a2fb45f899c7bb98f12f2f8ea3f13eb8db001c9bf1b0966e82a85d484533a4c,https://arbiscan.io/tx/0x7a2fb45f899c7bb98f12f2f8ea3f13eb8db001c9bf1b0966e82a85d484533a4c,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,ETH,0.01
10/03/2023,21:21:33,bsc,0x09f5c70b826c359e6b081ce4f69a152fbf656b343cb36536971f690e74f130ea,https://bscscan.com/tx/0x09f5c70b826c359e6b081ce4f69a152fbf656b343cb36536971f690e74f130ea,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,GPT,1400
09/03/2023,15:02:19,bsc,0xfb3bc1a9edc2dccb90e33b7d7343dbca199018a6f6f6a5a8e7bbd699d9ce812d,https://bscscan.com/tx/0xfb3bc1a9edc2dccb90e33b7d7343dbca199018a6f6f6a5a8e7bbd699d9ce812d,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,BUSD,500
03/03/2023,22:15:49,bsc,0x5052f419ab18ce8f4bd06f27ef2924cabe033d6902926233c7ce4e7e413b60d9,https://bscscan.com/tx/0x5052f419ab18ce8f4bd06f27ef2924cabe033d6902926233c7ce4e7e413b60d9,send,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,BUSD,-169
27/02/2023,03:47:59,eth,0x2e0d7d21ebbbebe58928b4e7f5aea12ee67f8180f9157711b578e641f6027118,https://etherscan.io/tx/0x2e0d7d21ebbbebe58928b4e7f5aea12ee67f8180f9157711b578e641f6027118,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,ETH,0.3
06/02/2023,16:03:03,bsc,0x028bb8d43ddc570f2b4a773709331fa10b2e1e866d090cd0da7a0a2c5e29b820,https://bscscan.com/tx/0x028bb8d43ddc570f2b4a773709331fa10b2e1e866d090cd0da7a0a2c5e29b820,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,Metis,100.527
06/02/2023,16:01:47,matic,0xdfc8ad935c1c7c82fe7bdf280c6f5befa212fb9cfff5c76dc76b9f15d968dc4f,https://polygonscan.com/tx/0xdfc8ad935c1c7c82fe7bdf280c6f5befa212fb9cfff5c76dc76b9f15d968dc4f,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,MATIC,350
06/02/2023,16:01:11,matic,0x4dbaafafff09f462a213856802d83b015f591d967ee315bbcf080c7474651525,https://polygonscan.com/tx/0x4dbaafafff09f462a213856802d83b015f591d967ee315bbcf080c7474651525,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,DAI,2010.42602072
06/02/2023,16:00:43,matic,0x11b775156c6b96662e3f4e1e69f83e52585ccc5f71986a3394113467a2f5df90,https://polygonscan.com/tx/0x11b775156c6b96662e3f4e1e69f83e52585ccc5f71986a3394113467a2f5df90,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,USDC,9320.268124
06/02/2023,16:00:21,matic,0x31242f686a2b404228dd29761b171914b791e016802dfa09f9fd35e6de913dbf,https://polygonscan.com/tx/0x31242f686a2b404228dd29761b171914b791e016802dfa09f9fd35e6de913dbf,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,MVX,565.3218725273819
06/02/2023,15:58:17,matic,0xb88cae63879abf647c6bb7b5d07606351630fd224bad0c04f32d553f103f74bf,https://polygonscan.com/tx/0xb88cae63879abf647c6bb7b5d07606351630fd224bad0c04f32d553f103f74bf,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,GNS,248.86041059584667
15/01/2023,23:02:34,bsc,0xc6ce073778cee3b4ba8bd1d27bdff5e86005ef43a374560201b80f79484b0676,https://bscscan.com/tx/0xc6ce073778cee3b4ba8bd1d27bdff5e86005ef43a374560201b80f79484b0676,send,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,BUSD,-106
13/01/2023,19:17:40,bsc,0x9a97188b39711a302d72312bf5a4db27da5a55cf192fdc4fffc95dd64d87891c,https://bscscan.com/tx/0x9a97188b39711a302d72312bf5a4db27da5a55cf192fdc4fffc95dd64d87891c,send,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,BUSD,-50
28/10/2022,14:10:01,bsc,0xb81fae706f105befd5e8f07b2fe9bd9e88cbd7f2aa26df09cc7fc92c65915ea0,https://bscscan.com/tx/0xb81fae706f105befd5e8f07b2fe9bd9e88cbd7f2aa26df09cc7fc92c65915ea0,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,BUSD,3961.92
16/05/2022,19:10:48,bsc,0x71d0a40e17616871e0d641f138eaf4265d872df95681482836f1d9fcd0c32754,https://bscscan.com/tx/0x71d0a40e17616871e0d641f138eaf4265d872df95681482836f1d9fcd0c32754,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,Metis,460
12/05/2022,06:30:37,bsc,0x0c865d98f0012029fa6432d6a91f58395d651f62b2213e461b1de3e8c3961b49,https://bscscan.com/tx/0x0c865d98f0012029fa6432d6a91f58395d651f62b2213e461b1de3e8c3961b49,send,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,UST,-30000
10/05/2022,16:18:58,bsc,0x8968b34cf189a71e34bb83a5ccd63ed302a4901a0660ae6022ca0091d93f0193,https://bscscan.com/tx/0x8968b34cf189a71e34bb83a5ccd63ed302a4901a0660ae6022ca0091d93f0193,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,UST,30000
06/05/2022,22:55:22,bsc,0xf00d345394884dcc989dde727c9d54da3fb0348efd168c5285ceb4464f6b3c21,https://bscscan.com/tx/0xf00d345394884dcc989dde727c9d54da3fb0348efd168c5285ceb4464f6b3c21,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,ARI10,53846.1539
04/05/2022,15:02:07,bsc,0x8cc1893fec7ed757eb93f501682d3dad4a61dc3b994b3f0aa030c40fa6104ef2,https://bscscan.com/tx/0x8cc1893fec7ed757eb93f501682d3dad4a61dc3b994b3f0aa030c40fa6104ef2,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,STG,101
14/03/2022,18:45:38,bsc,0x32ee6793ba61dd82776d24eea27f130d851c17ef3c26c2af787a89091d149e6b,https://bscscan.com/tx/0x32ee6793ba61dd82776d24eea27f130d851c17ef3c26c2af787a89091d149e6b,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,UST,1329.0000000007506
31/12/2021,18:31:12,bsc,0xd5e47e26bdf8be4dd21ebb8cf8d05aff7fece23e08e2fbca062cdf59581cef36,https://bscscan.com/tx/0xd5e47e26bdf8be4dd21ebb8cf8d05aff7fece23e08e2fbca062cdf59581cef36,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,USDT,30
01/12/2021,01:16:35,bsc,0x5da5363e135bdbd711ddffe12926cf663a6a89bffb9feff69657a02a35cc1647,https://bscscan.com/tx/0x5da5363e135bdbd711ddffe12926cf663a6a89bffb9feff69657a02a35cc1647,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,BUSD,2209.932295241428
25/11/2021,03:41:57,bsc,0xaf219931c77bebf55de53385eea43e4bc9476058f891e846ce052be3535a0046,https://bscscan.com/tx/0xaf219931c77bebf55de53385eea43e4bc9476058f891e846ce052be3535a0046,send,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,BUSD,-250
17/11/2021,19:38:54,eth,0x146616fa80f98e71f877d144fde205dcd2b9382bef902890248dd342ae0ce765,https://etherscan.io/tx/0x146616fa80f98e71f877d144fde205dcd2b9382bef902890248dd342ae0ce765,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,ETH,0.13
25/04/2023,13:58:40,bsc,0xac820c7a4fc2f5917adadd052e089bb77ed09fbbc1ee4408254268208899203e,https://bscscan.com/tx/0xac820c7a4fc2f5917adadd052e089bb77ed09fbbc1ee4408254268208899203e,send,0x2b9d909fa5de4dd51361612cf508b267b7730fc2,FRM,-12500
25/04/2023,13:56:43,bsc,0x240fb07264e4a9818ec347a2cf421ec320d09963cbdf33e1e011ffb7bd416b78,https://bscscan.com/tx/0x240fb07264e4a9818ec347a2cf421ec320d09963cbdf33e1e011ffb7bd416b78,send,0x2b9d909fa5de4dd51361612cf508b267b7730fc2,FRMX,-0.15
