Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
03/03/2023,19:06:39,arb,0xfeb8710dc02c482c1be9fd4a830e766d7efcfa1037efc22fdd082ec3d5f1e171,https://arbiscan.io/tx/0xfeb8710dc02c482c1be9fd4a830e766d7efcfa1037efc22fdd082ec3d5f1e171,send,0x00d7be72669c06d68c5d7f5f4483a5e6b84eb70b,ETH,-0.001915072900441743
21/05/2023,18:57:06,matic,0xd26af1a7c19775e6e195aacb8091e79ea7ad532da46fb01ad9342cd98b41d6db,https://polygonscan.com/tx/0xd26af1a7c19775e6e195aacb8091e79ea7ad532da46fb01ad9342cd98b41d6db,receive,0x023a9e71848964720aa938d50f1232d34f46b470,MATIC,2
03/03/2023,22:12:32,arb,0xe9591e7471a32f4cc733d5b32fa3d19014213b0029d37f9e324bca495381f39a,https://arbiscan.io/tx/0xe9591e7471a32f4cc733d5b32fa3d19014213b0029d37f9e324bca495381f39a,receive,0x08adc87755e6e3e45cbccae25e65db1a9e911c9b,ETH,0.001700271491701754
03/03/2023,21:08:03,arb,0xb6e1679ab9818c62f7243b7d503e7d55732b6fbcf5b61d74f296120c88f27cfd,https://arbiscan.io/tx/0xb6e1679ab9818c62f7243b7d503e7d55732b6fbcf5b61d74f296120c88f27cfd,send,0x08adc87755e6e3e45cbccae25e65db1a9e911c9b,ETH,-0.001917508772602635
03/03/2023,22:22:03,arb,0x339d244efe0ff9a6aef0481c817fcb38bf1eb3fdaddfd4ad58b285a6f3c4382a,https://arbiscan.io/tx/0x339d244efe0ff9a6aef0481c817fcb38bf1eb3fdaddfd4ad58b285a6f3c4382a,receive,0x11daf469380d8d251b1f11e12d770aa71148e808,ETH,0.000678359056411306
03/03/2023,19:09:16,arb,0x3dad4189e428195457f5f77ebb130d2b1b0e6ffb2c366348714227495807540d,https://arbiscan.io/tx/0x3dad4189e428195457f5f77ebb130d2b1b0e6ffb2c366348714227495807540d,send,0x11daf469380d8d251b1f11e12d770aa71148e808,ETH,-0.001914608462569405
03/03/2023,22:24:42,arb,0xf2257e713e11798211a497c0f4e52a5ed5bc1d705320720404119c94469481cd,https://arbiscan.io/tx/0xf2257e713e11798211a497c0f4e52a5ed5bc1d705320720404119c94469481cd,receive,0x13947e418e613d43fa55849ddc8626e7105f957f,ETH,0.000677965514337905
03/03/2023,19:06:49,arb,0xdbf05df3e5d14c532f323a319c2cd0c6ffd2957c92c3dc0b0e735fa9de49ed08,https://arbiscan.io/tx/0xdbf05df3e5d14c532f323a319c2cd0c6ffd2957c92c3dc0b0e735fa9de49ed08,send,0x13947e418e613d43fa55849ddc8626e7105f957f,ETH,-0.001915072900441743
03/03/2023,22:10:09,arb,0x62a2b4265ffc1ae711e665a4621e12c3a699a35e21eb44c1121b257a4e0efbda,https://arbiscan.io/tx/0x62a2b4265ffc1ae711e665a4621e12c3a699a35e21eb44c1121b257a4e0efbda,receive,0x33426cf73fabf00fe0f1820d0bc5b4e8f6f17379,ETH,0.000939690343815086
03/03/2023,21:10:06,arb,0x750d8ec13f5981aaae0f349b2e099e15f2d67eedf840cae7bd178bba38176d73,https://arbiscan.io/tx/0x750d8ec13f5981aaae0f349b2e099e15f2d67eedf840cae7bd178bba38176d73,send,0x33426cf73fabf00fe0f1820d0bc5b4e8f6f17379,ETH,-0.001916957405206456
