Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/02/2023,20:28:40,matic,0xb34be93c6eb8e9c1ac23b7ebfe006ec9dafa15eadb8380127ab2ed9b776281c9,https://polygonscan.com/tx/0xb34be93c6eb8e9c1ac23b7ebfe006ec9dafa15eadb8380127ab2ed9b776281c9,receive,0x0ef85224522f5ebdd6bf39817a8d9efc07012418,WMATIC,1
21/02/2023,23:08:26,matic,0xad3cae0fbd1a45178cd01a680be31c8175822ada7f41655088cfd4e03b156ab0,https://polygonscan.com/tx/0xad3cae0fbd1a45178cd01a680be31c8175822ada7f41655088cfd4e03b156ab0,receive,0x10bf1845c4333e138ddb7c94e6d15887d677bc85,WMATIC,1
28/10/2022,02:03:59,eth,0x5d1288a51d665adf386fd5435b55ffb50f9c7aa2b1c7f230591134807de7c856,https://etherscan.io/tx/0x5d1288a51d665adf386fd5435b55ffb50f9c7aa2b1c7f230591134807de7c856,send,0x10bf1845c4333e138ddb7c94e6d15887d677bc85,ETH,-0.003221877839279846
28/10/2022,01:59:23,eth,0x20049d38b1e2d87bb373a595e2710668937971708213baa02d9364af24495066,https://etherscan.io/tx/0x20049d38b1e2d87bb373a595e2710668937971708213baa02d9364af24495066,send,0x10bf1845c4333e138ddb7c94e6d15887d677bc85,ETH,-0.001931931609621019
16/08/2022,03:50:47,op,0x9befe534d24f060ed436d36212efc2b7e9082524189fdf7f1d4788c09aae8e8d,https://optimistic.etherscan.io/tx/0x9befe534d24f060ed436d36212efc2b7e9082524189fdf7f1d4788c09aae8e8d,send,0x10bf1845c4333e138ddb7c94e6d15887d677bc85,ETH,-0.8238
18/03/2022,22:50:31,avax,0x37315125a45afd9c1352d1fa3ac68d7a346649b8f2cacdaeb1147924598404c7,https://snowscan.xyz/tx/0x37315125a45afd9c1352d1fa3ac68d7a346649b8f2cacdaeb1147924598404c7,send,0x10bf1845c4333e138ddb7c94e6d15887d677bc85,AVAX,-0.005
07/12/2021,03:52:18,bsc,0x2c1f683f390e9d8e7997bf602ff82a91a81f24ad93a3fbe7393bc8117737cbec,https://bscscan.com/tx/0x2c1f683f390e9d8e7997bf602ff82a91a81f24ad93a3fbe7393bc8117737cbec,send,0x10bf1845c4333e138ddb7c94e6d15887d677bc85,BNB,-0.01
26/11/2021,16:08:08,bsc,0x9a9947a06a01759a63698a6fcd8eaf64e1ebdcd0856d741d439e23eb7143d958,https://bscscan.com/tx/0x9a9947a06a01759a63698a6fcd8eaf64e1ebdcd0856d741d439e23eb7143d958,send,0x10bf1845c4333e138ddb7c94e6d15887d677bc85,SFP,-300
13/11/2021,23:35:12,bsc,0x2979e0beea736fc6b6b543c75362b058cd2020294475fad28488cdd8ec141a91,https://bscscan.com/tx/0x2979e0beea736fc6b6b543c75362b058cd2020294475fad28488cdd8ec141a91,send,0x10bf1845c4333e138ddb7c94e6d15887d677bc85,BNB,-0.001447195
13/11/2021,22:46:58,bsc,0xac2580cb24f6e46d760faa077873309adfec89be24166820c1dc170d2e32026b,https://bscscan.com/tx/0xac2580cb24f6e46d760faa077873309adfec89be24166820c1dc170d2e32026b,send,0x10bf1845c4333e138ddb7c94e6d15887d677bc85,BNB,-0.04505200523825412
