Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
25/01/2024,01:25:45,arb,0x57cb35459369cd08398e54d00bc4cbd92f9dc3c9f3403bd7747ae70b0aa4bb66,https://arbiscan.io/tx/0x57cb35459369cd08398e54d00bc4cbd92f9dc3c9f3403bd7747ae70b0aa4bb66,send,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,ETH,-0.000209919828491034
23/01/2024,02:25:58,matic,0x8a6fbb62901147f00c4cf3538e7ed00d9bcf099c1300fbcffa3bc6e0dfa4400a,https://polygonscan.com/tx/0x8a6fbb62901147f00c4cf3538e7ed00d9bcf099c1300fbcffa3bc6e0dfa4400a,receive,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,MATIC,0.04219965712778584
10/01/2024,15:07:56,matic,0xb5bcac15394da861cd72a5f1c520c073e32cacfc23d0699c725a140a66feb95e,https://polygonscan.com/tx/0xb5bcac15394da861cd72a5f1c520c073e32cacfc23d0699c725a140a66feb95e,send,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,MATIC,-0.24216006780481897
09/01/2024,23:18:29,base,0x4c12084202dc26fbb5c3a94ccfee226c498d52674cbdced11f61629dcd13ac45,https://www.basescan.org/tx/0x4c12084202dc26fbb5c3a94ccfee226c498d52674cbdced11f61629dcd13ac45,send,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,ETH,-0.000318358684117439
05/01/2024,18:24:29,opbnb,0xf78538a3dd0bd54699bd9886146ce7dac8af9896c9da28bd104669ca65aa0c2a,https://mainnet.opbnbscan.com/tx/0xf78538a3dd0bd54699bd9886146ce7dac8af9896c9da28bd104669ca65aa0c2a,receive,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,BNB,0.002193600952649557
05/01/2024,17:14:52,matic,0xe32d79cb9be9a9d618ddf31c4c83e0ff091d9046611b1b71d92bf3cafe75d707,https://polygonscan.com/tx/0xe32d79cb9be9a9d618ddf31c4c83e0ff091d9046611b1b71d92bf3cafe75d707,receive,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,MATIC,0.20925366193908393
05/01/2024,10:41:54,matic,0x60cc976ceceb0cea348d8df990192a56c2d27e8d6bf9a4ac43f17b32a6db62c6,https://polygonscan.com/tx/0x60cc976ceceb0cea348d8df990192a56c2d27e8d6bf9a4ac43f17b32a6db62c6,send,0x0339d05cb57bdcd5e767d5d60b49d5eaee7c9008,MATIC,-0.11867057606320128
06/04/2024,03:52:10,arb,0x3420b34e05529b39ce64db6f3b09cc5699d394bf7012b0bb7a41e1f54091ca50,https://arbiscan.io/tx/0x3420b34e05529b39ce64db6f3b09cc5699d394bf7012b0bb7a41e1f54091ca50,receive,0x13977dab3fa22cccde600d0a28d6f72fa782f025,ETH,0.000013831330095327
20/03/2024,06:26:15,arb,0xbd6b267cf5b70f25228240fc15ed3f432219aeaff055c70c202aed00cb877e28,https://arbiscan.io/tx/0xbd6b267cf5b70f25228240fc15ed3f432219aeaff055c70c202aed00cb877e28,receive,0x13977dab3fa22cccde600d0a28d6f72fa782f025,ETH,0.000019256716936744
21/02/2024,18:54:35,zora,0xb1c82e0db02e43ad608b86b2b630f25f06b3899a110d526d91b479dd4fb43439,https://explorer.zora.energy/tx/0xb1c82e0db02e43ad608b86b2b630f25f06b3899a110d526d91b479dd4fb43439,send,0x13977dab3fa22cccde600d0a28d6f72fa782f025,ETH,-0.000188230462533582
06/01/2024,13:15:14,arb,0x9c74f2f9b7eea6761dfa97ca9dc7fd4cd5f0c2b16b0e1d3ac54cb9ea3de65e22,https://arbiscan.io/tx/0x9c74f2f9b7eea6761dfa97ca9dc7fd4cd5f0c2b16b0e1d3ac54cb9ea3de65e22,send,0x13977dab3fa22cccde600d0a28d6f72fa782f025,ETH,-0.000177847335846909
05/01/2024,04:36:56,bsc,0xc3320005fd81329c0502684c14f267193f671bea80ef0359676f3ef7ada4156b,https://bscscan.com/tx/0xc3320005fd81329c0502684c14f267193f671bea80ef0359676f3ef7ada4156b,receive,0x13977dab3fa22cccde600d0a28d6f72fa782f025,BNB,0.000279924
10/01/2024,18:58:00,matic,0x3668981953cf36014215a14c92dd32623f365aae9d4a3248c290b2ed9b15f300,https://polygonscan.com/tx/0x3668981953cf36014215a14c92dd32623f365aae9d4a3248c290b2ed9b15f300,send,0x1c51fd4a1da1adeed17f77e36fb03b5ee82f45ff,MATIC,-0.011242157942328603
03/05/2024,17:21:54,scrl,0x16feaea186625867ae16811e558ce49dd438d1fcfe79cc14d92a75f0aa95d578,https://scrollscan.com/tx/0x16feaea186625867ae16811e558ce49dd438d1fcfe79cc14d92a75f0aa95d578,receive,0x1f7f53a1d5985d7f72d0cd77690283e16cf96289,ETH,0.000017
17/09/2022,03:54:23,eth,0xf4b388b1a344118fe21ca3d32413f99012835b9d86150d0c7777db8f5995ddf6,https://etherscan.io/tx/0xf4b388b1a344118fe21ca3d32413f99012835b9d86150d0c7777db8f5995ddf6,receive,0x20e3c958331712572fbda4cec2e7a6c71c2d337a,ETH,0.005974663752596737
17/09/2022,03:52:35,eth,0xfd121946198dd11faa1a918b479a0763d80f6c9927e6134e67f2192f0748198f,https://etherscan.io/tx/0xfd121946198dd11faa1a918b479a0763d80f6c9927e6134e67f2192f0748198f,send,0x20e3c958331712572fbda4cec2e7a6c71c2d337a,ETH,-0.005893414533776737
01/06/2022,05:29:15,eth,0x5a2c6c8c23bc7d4846d9b66ab15f40c1d054748e8ebe907892a108effb07e0bf,https://etherscan.io/tx/0x5a2c6c8c23bc7d4846d9b66ab15f40c1d054748e8ebe907892a108effb07e0bf,receive,0x20e3c958331712572fbda4cec2e7a6c71c2d337a,ETH,0.001048267118618111
17/02/2022,06:12:09,bsc,0xede016808bbaeeadec197b72c9a9eaccb113746bb416db4893fb73139c5c0964,https://bscscan.com/tx/0xede016808bbaeeadec197b72c9a9eaccb113746bb416db4893fb73139c5c0964,send,0x20e3c958331712572fbda4cec2e7a6c71c2d337a,BNB,-0.9
25/03/2024,10:31:01,base,0xadd34b47e7b9d09580cfa4fb57f4d23f5df009cdaa753e1ade5178ef4d1ba86f,https://www.basescan.org/tx/0xadd34b47e7b9d09580cfa4fb57f4d23f5df009cdaa753e1ade5178ef4d1ba86f,send,0x3e5555ac01800aa95e45471f56700b5a347ed8c9,ETH,-0.000069853133786214
08/01/2024,11:10:40,matic,0xc89a42da73b0fcbe556f0106e63aaf6d8fd597e384f27b8f54cae8735a9900fa,https://polygonscan.com/tx/0xc89a42da73b0fcbe556f0106e63aaf6d8fd597e384f27b8f54cae8735a9900fa,send,0x41705349a0f2b4f6ecdf0ffff128fcc4b9fc1a73,MATIC,-0.006589829430222763
30/03/2024,00:28:18,arb,0xee6c3db580896e1060f5b19146bc890a677d22ef3d7ed077880ddd375210d777,https://arbiscan.io/tx/0xee6c3db580896e1060f5b19146bc890a677d22ef3d7ed077880ddd375210d777,receive,0x531d5fba225602a9b3812f7ca2ce8b3e363890e5,ETH,0.000008739510398634
