Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/02/2024,16:52:21,matic,0xc88d631c955206dd7f6c68d9a318333fa046f5d3512812692b42729a6a76dbac,https://polygonscan.com/tx/0xc88d631c955206dd7f6c68d9a318333fa046f5d3512812692b42729a6a76dbac,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-2.159961
21/12/2023,18:30:45,linea,0x98ed32afa76d17eeeb14f4983ea50ab90c380c98e2568e9a075e4d10dabfd63a,https://lineascan.build/tx/0x98ed32afa76d17eeeb14f4983ea50ab90c380c98e2568e9a075e4d10dabfd63a,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.01
19/12/2023,13:39:55,linea,0x7824de572af238f4bf3b14c5dcea1a85c9d47c2ee2b9f7ed111190ef8b6afcf2,https://lineascan.build/tx/0x7824de572af238f4bf3b14c5dcea1a85c9d47c2ee2b9f7ed111190ef8b6afcf2,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:47:25,linea,0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,https://lineascan.build/tx/0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:43:52,nova,0x226fc3ce47ee19f392a19719678d6bef7994d49755e3ce3c71b0dd8b41a5a998,https://nova.arbiscan.io/tx/0x226fc3ce47ee19f392a19719678d6bef7994d49755e3ce3c71b0dd8b41a5a998,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.003970992042923419
09/12/2023,13:00:49,linea,0x364297a5918a30b77c70b9cc66bd9ad2b33d530142b1375839fe5dace673689b,https://lineascan.build/tx/0x364297a5918a30b77c70b9cc66bd9ad2b33d530142b1375839fe5dace673689b,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,wstETH,-0.0113062558430122
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:59,matic,0xb0775ad0085c12b8be968784d450694b572fb6eae78385e4f15416ed3d26cd7f,https://polygonscan.com/tx/0xb0775ad0085c12b8be968784d450694b572fb6eae78385e4f15416ed3d26cd7f,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
21/08/2023,01:33:30,xdai,0x020852eeb957d2db629da1904da9b9702d6ff87f7b828f7873fa8c9e68d8a50e,https://gnosisscan.io/tx/0x020852eeb957d2db629da1904da9b9702d6ff87f7b828f7873fa8c9e68d8a50e,send,0x06330f1d80ae8a2d83bd9a920308648ebf2e8a6e,xDai,-0.08
21/08/2023,00:59:58,celo,0x4217036823affe603432306cdc3b226a45909da486da4f91febcdae2bb989e88,https://celoscan.io/tx/0x4217036823affe603432306cdc3b226a45909da486da4f91febcdae2bb989e88,send,0x06330f1d80ae8a2d83bd9a920308648ebf2e8a6e,CELO,-0.15
