Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/02/2024,17:00:09,matic,0x4407ff21f85348c8ae711d98d4786e77d8aaf7301e2d577dc8cdf7f8077ec65d,https://polygonscan.com/tx/0x4407ff21f85348c8ae711d98d4786e77d8aaf7301e2d577dc8cdf7f8077ec65d,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-9.385735
19/12/2023,13:49:43,linea,0x83f36e211cb37603b8d994c32201e1d00aa685dcbb83247b2cc7c7541596f7f6,https://lineascan.build/tx/0x83f36e211cb37603b8d994c32201e1d00aa685dcbb83247b2cc7c7541596f7f6,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:06:25,linea,0x3348beda5e604cbdf8bcc68e1ed69d6460bc79346f82a691e4f233032532bfa8,https://lineascan.build/tx/0x3348beda5e604cbdf8bcc68e1ed69d6460bc79346f82a691e4f233032532bfa8,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:48:50,nova,0x8eec6c19b7379ddbd006b374802a57850ed766eb04fdf50aa077f35f53cc0747,https://nova.arbiscan.io/tx/0x8eec6c19b7379ddbd006b374802a57850ed766eb04fdf50aa077f35f53cc0747,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.003968940918972438
25/08/2023,21:32:30,ftm,0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,https://ftmscan.com/tx/0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:25:15,matic,0xc86b7ab22752b5ff655f4c74ffbaea0d8bbe6a1d23292866af6953f1d1d3fc5c,https://polygonscan.com/tx/0xc86b7ab22752b5ff655f4c74ffbaea0d8bbe6a1d23292866af6953f1d1d3fc5c,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
12/12/2021,19:04:14,eth,0x035d67e8fcb7f9e7283386c5f690c7b18e18423e7df10f0aaddb9384e06059b3,https://etherscan.io/tx/0x035d67e8fcb7f9e7283386c5f690c7b18e18423e7df10f0aaddb9384e06059b3,send,0x071c58df80192c9107eac4a7a7fcace86010221a,ETH,-0.0072
22/09/2021,22:52:18,matic,0x26545fc47aee8e7c18141cb0d87821027052771871baec609ed8b82c3fee8c6b,https://polygonscan.com/tx/0x26545fc47aee8e7c18141cb0d87821027052771871baec609ed8b82c3fee8c6b,send,0x1b695ab947d8e42f6871992e485990420bd307a9,MATIC,-1500
20/09/2021,00:54:51,matic,0xf7c7c6f207282edae1c1a8c0efe8c1a8915ec24ecbe81b14f08072ae2628e4ca,https://polygonscan.com/tx/0xf7c7c6f207282edae1c1a8c0efe8c1a8915ec24ecbe81b14f08072ae2628e4ca,send,0x1b695ab947d8e42f6871992e485990420bd307a9,MATIC,-1000
05/09/2021,23:02:37,matic,0x1a1bec85e468b16626676ca5b71ba39630c985bf4e9443694d984812ec539eef,https://polygonscan.com/tx/0x1a1bec85e468b16626676ca5b71ba39630c985bf4e9443694d984812ec539eef,send,0x1b695ab947d8e42f6871992e485990420bd307a9,MATIC,-3500
05/09/2021,02:22:58,matic,0xd8a149e4b187017612858b27b01631d4daa5a3677b5c3b6525f47cc012b908a3,https://polygonscan.com/tx/0xd8a149e4b187017612858b27b01631d4daa5a3677b5c3b6525f47cc012b908a3,send,0x1b695ab947d8e42f6871992e485990420bd307a9,MATIC,-100
17/08/2021,23:33:27,matic,0x6ebca41b8fbac664857ecfaa3fd8e072e3328bf4ecf7578dc400806875b54f16,https://polygonscan.com/tx/0x6ebca41b8fbac664857ecfaa3fd8e072e3328bf4ecf7578dc400806875b54f16,send,0x1b695ab947d8e42f6871992e485990420bd307a9,USDC,-6011
17/08/2021,14:03:22,matic,0x8aa21a793107f8442cb2f47578cab887ef92d3a44a62191dae66e4ffe6ab97ec,https://polygonscan.com/tx/0x8aa21a793107f8442cb2f47578cab887ef92d3a44a62191dae66e4ffe6ab97ec,send,0x1b695ab947d8e42f6871992e485990420bd307a9,USDC,-6000
17/08/2021,12:56:03,matic,0xdf9e39059dce41a85ce40025b8d935186de4cf26e5d69e13e0a899198026305f,https://polygonscan.com/tx/0xdf9e39059dce41a85ce40025b8d935186de4cf26e5d69e13e0a899198026305f,send,0x1b695ab947d8e42f6871992e485990420bd307a9,USDC,-1000
16/08/2021,20:50:14,matic,0xf6ab4f152b364c82695bbc48bb3fc9cae8b4f45df0c3ef2fefe9ff0fa39dc93b,https://polygonscan.com/tx/0xf6ab4f152b364c82695bbc48bb3fc9cae8b4f45df0c3ef2fefe9ff0fa39dc93b,send,0x1b695ab947d8e42f6871992e485990420bd307a9,USDC,-2026
15/08/2021,23:55:21,matic,0x9b503f12d0e30e70887b99423858ece99a04da063b015c1dc1de13cd7065881d,https://polygonscan.com/tx/0x9b503f12d0e30e70887b99423858ece99a04da063b015c1dc1de13cd7065881d,send,0x1b695ab947d8e42f6871992e485990420bd307a9,USDC,-2000
14/08/2021,07:30:13,matic,0xa3dc388eb098c581cce2a9ba3edb9e4f28790928b56771c3b82a1e39b91a64e6,https://polygonscan.com/tx/0xa3dc388eb098c581cce2a9ba3edb9e4f28790928b56771c3b82a1e39b91a64e6,send,0x1b695ab947d8e42f6871992e485990420bd307a9,USDC,-10500
13/08/2021,18:12:09,matic,0x4d750ec35f344bd7616c17ffcaa3b0a71fd93fb264fed7cccd9c5ab832ea4ac1,https://polygonscan.com/tx/0x4d750ec35f344bd7616c17ffcaa3b0a71fd93fb264fed7cccd9c5ab832ea4ac1,send,0x1b695ab947d8e42f6871992e485990420bd307a9,USDC,-10500
21/08/2023,02:15:10,xdai,0xbdfb5450f0ae4de0655ab07a14f38a9901c88e024417efaf2ec70377b8406604,https://gnosisscan.io/tx/0xbdfb5450f0ae4de0655ab07a14f38a9901c88e024417efaf2ec70377b8406604,send,0x38db026ae8c9a77e9d4fb267cc355135d894c127,xDai,-0.07
12/12/2021,19:04:14,eth,0xa64bec788d4de58b9df3eef7c3b5e39ef96d67f6a629c1032792dfcf707ea05a,https://etherscan.io/tx/0xa64bec788d4de58b9df3eef7c3b5e39ef96d67f6a629c1032792dfcf707ea05a,send,0x3eb4a58429f9c55b7b871f735a18d3163ecff147,ETH,-0.0072
12/12/2021,19:04:14,eth,0x67f3df412b91bd294483d4bd1d447d457a47909d87411d4168a7bb6eeddae0c6,https://etherscan.io/tx/0x67f3df412b91bd294483d4bd1d447d457a47909d87411d4168a7bb6eeddae0c6,send,0x6220e345652ee689bdeedbd49661ca2683f5b618,ETH,-0.0072
30/01/2023,11:28:47,eth,0x7d1df7be996c8facc744fdee37a9c6c012a62c1e144d98eb89cbdceaf82575c1,https://etherscan.io/tx/0x7d1df7be996c8facc744fdee37a9c6c012a62c1e144d98eb89cbdceaf82575c1,receive,0x783e971235203a0744f054b4c1fe792b58f7df84,ETH,0.001790260292163
21/08/2023,02:21:15,xdai,0x318a6180ee91226f4e548de4759582a883ef6ee2e2173179edf737f037bd2eef,https://gnosisscan.io/tx/0x318a6180ee91226f4e548de4759582a883ef6ee2e2173179edf737f037bd2eef,send,0x7ddbb01589fd210a58bca152b94867e164b1d1f3,xDai,-0.07
07/08/2023,18:23:20,celo,0x565bf0f7d611675e8f59eed99804ba0265bdadc5c05c2ef777083d2e7609a932,https://celoscan.io/tx/0x565bf0f7d611675e8f59eed99804ba0265bdadc5c05c2ef777083d2e7609a932,receive,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,CELO,0.1
07/08/2023,18:23:00,celo,0x1fcf5a9b91eb5afc461556e79d96b4af52cbcf441388b364da6d502f2248ac3d,https://celoscan.io/tx/0x1fcf5a9b91eb5afc461556e79d96b4af52cbcf441388b364da6d502f2248ac3d,receive,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,EURA,0.0001
23/07/2023,17:31:04,bsc,0x70acb7064cd5662e0321e1be3c766dbe938e1b4c14a640566e07211b07a67b58,https://bscscan.com/tx/0x70acb7064cd5662e0321e1be3c766dbe938e1b4c14a640566e07211b07a67b58,receive,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,STG,222
22/06/2023,21:03:41,op,0x23fe602d8b4b80c636112863a685529372fb64f82c10a183fcb4a98bfbb7a77c,https://optimistic.etherscan.io/tx/0x23fe602d8b4b80c636112863a685529372fb64f82c10a183fcb4a98bfbb7a77c,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,COLLAB,-10
11/06/2023,15:31:47,op,0x0c9ce0140d2986b26a325d8289da41ce7d23143bd2d70791d2d201cea54e59f4,https://optimistic.etherscan.io/tx/0x0c9ce0140d2986b26a325d8289da41ce7d23143bd2d70791d2d201cea54e59f4,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,sUSD,-62.54366286761745
11/06/2023,15:19:49,op,0xf4655f3c6c10e2c9e86da3823837f40c23d1738511de16ce2a0826df17ae8227,https://optimistic.etherscan.io/tx/0xf4655f3c6c10e2c9e86da3823837f40c23d1738511de16ce2a0826df17ae8227,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,USDC,-53.179015
03/03/2023,00:21:10,matic,0xc43a54f1d4e2c3aff385e721dba30ead76764995f9fb651f99aebdeacdedf456,https://polygonscan.com/tx/0xc43a54f1d4e2c3aff385e721dba30ead76764995f9fb651f99aebdeacdedf456,receive,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,GALHOL,1
24/02/2023,01:36:06,matic,0xecf58f4de883de8eaed189bb2ecff9234024711d25f47a92f91b144f8451093c,https://polygonscan.com/tx/0xecf58f4de883de8eaed189bb2ecff9234024711d25f47a92f91b144f8451093c,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,CLGM,-1
21/02/2023,21:39:01,op,0x26b216b472929b418a71899cf7eb6c34d31b945bb95d5fcafd6dd8caf357911c,https://optimistic.etherscan.io/tx/0x26b216b472929b418a71899cf7eb6c34d31b945bb95d5fcafd6dd8caf357911c,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,OP,-6.555794494543724
19/02/2023,15:51:46,nova,0x54176bf885863215160dfbe621f80418dd2db3d53b05708b14d80ed0b48da66a,https://nova.arbiscan.io/tx/0x54176bf885863215160dfbe621f80418dd2db3d53b05708b14d80ed0b48da66a,receive,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,ETH,0.002
17/02/2023,01:49:09,matic,0x69ac7409e545811cd9cff69696a75557dace38a57f270eacd6cb09641612d509,https://polygonscan.com/tx/0x69ac7409e545811cd9cff69696a75557dace38a57f270eacd6cb09641612d509,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,USDC,-0.089592
11/02/2023,16:23:54,bsc,0x52c8e5cbcc98676d8eb4c8d53b732d8fe1db8579ffc877b9743de81bb59647d2,https://bscscan.com/tx/0x52c8e5cbcc98676d8eb4c8d53b732d8fe1db8579ffc877b9743de81bb59647d2,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,BNB,-0.199297455
12/12/2021,19:04:14,eth,0x05df19807d3b49630344acd670ff1ba079f1375632e2b45cd69b7ab0be6cc9cf,https://etherscan.io/tx/0x05df19807d3b49630344acd670ff1ba079f1375632e2b45cd69b7ab0be6cc9cf,send,0x881b0aa339aeb07d3f470fca1a427ee2871a32cf,ETH,-0.0072
12/12/2021,19:04:14,eth,0x1a6f6b432a5a4d34fab37b2af61dce9126e03222530ed82435b6d770c4807f98,https://etherscan.io/tx/0x1a6f6b432a5a4d34fab37b2af61dce9126e03222530ed82435b6d770c4807f98,send,0x892cf793c95547bad956a8887c4a510baf206625,ETH,-0.0072
12/12/2021,19:04:14,eth,0x48b2d78f497bab4a99115a4a453cb2edc4b6214421ee2e0928c92325ac010f4f,https://etherscan.io/tx/0x48b2d78f497bab4a99115a4a453cb2edc4b6214421ee2e0928c92325ac010f4f,send,0x8d10249a6261538e043f0d03231628e8101f33f1,ETH,-0.0072
22/11/2023,05:37:01,op,0x9698db89449c43cc4ccbca959b7775399f40566d8398c7013b6fd0ae620c8537,https://optimistic.etherscan.io/tx/0x9698db89449c43cc4ccbca959b7775399f40566d8398c7013b6fd0ae620c8537,receive,0x9bc0e4c1f9962a1dd32516277c549e9616155237,ETH,0.5528
24/07/2023,04:41:24,dfk,0xa91e40a7b6fc1057f5010f31b603673f38475cf213ef687131fc97cd258a3bf1,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xa91e40a7b6fc1057f5010f31b603673f38475cf213ef687131fc97cd258a3bf1,receive,0x9bc0e4c1f9962a1dd32516277c549e9616155237,DFKGOLD,100
24/07/2023,04:39:37,dfk,0x4df53ce6f0a77a27f5a5d9fbf3d2bbfa4f4c6e192699c211b27ab40d4f5f138b,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x4df53ce6f0a77a27f5a5d9fbf3d2bbfa4f4c6e192699c211b27ab40d4f5f138b,receive,0x9bc0e4c1f9962a1dd32516277c549e9616155237,JEWEL,1
23/07/2023,23:02:57,bsc,0x4a2eb5442ba61addba4654b255d0db1036994da0a999323a463118c53042c613,https://bscscan.com/tx/0x4a2eb5442ba61addba4654b255d0db1036994da0a999323a463118c53042c613,send,0x9bc0e4c1f9962a1dd32516277c549e9616155237,BNB,-0.02
16/06/2023,14:55:44,bsc,0xe96a6317ca651f0b54897b8322623a2121fbbcfe26ed7e62ab84f0e2ef7fd9d1,https://bscscan.com/tx/0xe96a6317ca651f0b54897b8322623a2121fbbcfe26ed7e62ab84f0e2ef7fd9d1,receive,0x9bc0e4c1f9962a1dd32516277c549e9616155237,BNB,0.3
12/04/2023,19:03:52,bsc,0x017a58a8a4c1ff22509ec45fa501669d1ce25f7e270ed69e6b45215518b784d4,https://bscscan.com/tx/0x017a58a8a4c1ff22509ec45fa501669d1ce25f7e270ed69e6b45215518b784d4,receive,0x9bc0e4c1f9962a1dd32516277c549e9616155237,BNB,0.02176
11/02/2023,23:26:11,eth,0x7679df7e4ef9e95d9ab71fbb8c2e776043ab113c2b5990f22981272cd9d9185e,https://etherscan.io/tx/0x7679df7e4ef9e95d9ab71fbb8c2e776043ab113c2b5990f22981272cd9d9185e,receive,0x9bc0e4c1f9962a1dd32516277c549e9616155237,ETH,0.03
12/12/2021,19:04:14,eth,0xef2c8a4410313044d50f72be7b2c85f81e168be174edd492451b09c82f955770,https://etherscan.io/tx/0xef2c8a4410313044d50f72be7b2c85f81e168be174edd492451b09c82f955770,send,0x9cdeb613e1c2224c1207abb44a7d3b2453c37ec6,ETH,-0.0072
22/11/2023,05:47:01,op,0xf0c4d5cb4a17be172d26b8681e09c95cd2edcc39c0db131e966485f992bb07eb,https://optimistic.etherscan.io/tx/0xf0c4d5cb4a17be172d26b8681e09c95cd2edcc39c0db131e966485f992bb07eb,send,0xb5b61780ba5102897b72e3f9652bbe617ce9e468,ETH,-0.5513
18/06/2023,22:38:45,bsc,0x03b64fe5f2facd1c66c146ede80aa112bcf3d151d9bcbe68e7047aff2ef638dd,https://bscscan.com/tx/0x03b64fe5f2facd1c66c146ede80aa112bcf3d151d9bcbe68e7047aff2ef638dd,send,0xb5b61780ba5102897b72e3f9652bbe617ce9e468,BNB,-0.03
21/08/2023,02:18:30,xdai,0x3e7403b29c33d94f8a7f876c71431e21034870c960304bd29099de11036a54fa,https://gnosisscan.io/tx/0x3e7403b29c33d94f8a7f876c71431e21034870c960304bd29099de11036a54fa,send,0xbea697bbb82c7d1cd3b6b45c6aaa67a77ec360c5,xDai,-0.07
22/09/2021,22:51:46,matic,0xf2ad23bbc0795b336a759e0cbed81ace7866cf4e9562e55d432ea57f39d50a42,https://polygonscan.com/tx/0xf2ad23bbc0795b336a759e0cbed81ace7866cf4e9562e55d432ea57f39d50a42,receive,0xc24f57fd9e3ae50ccdbdb09170684e26114a992e,MATIC,1500
20/09/2021,00:54:03,matic,0xd0c602301c3a39f71978494cd13e721bf4b8ae1e6d4970271dd1fc3521f3e461,https://polygonscan.com/tx/0xd0c602301c3a39f71978494cd13e721bf4b8ae1e6d4970271dd1fc3521f3e461,receive,0xc24f57fd9e3ae50ccdbdb09170684e26114a992e,MATIC,1000
05/09/2021,23:02:01,matic,0x50c13b8fbc5301b5e435021bc51b241e5fce61d7fce83ae7a4e2aa3245226bf3,https://polygonscan.com/tx/0x50c13b8fbc5301b5e435021bc51b241e5fce61d7fce83ae7a4e2aa3245226bf3,receive,0xc24f57fd9e3ae50ccdbdb09170684e26114a992e,MATIC,3500
05/09/2021,02:22:36,matic,0xd9efff1bcfeb29f4c05ab48e30e5bea965a658b8502ef40863ab50ecf62a08e6,https://polygonscan.com/tx/0xd9efff1bcfeb29f4c05ab48e30e5bea965a658b8502ef40863ab50ecf62a08e6,receive,0xc24f57fd9e3ae50ccdbdb09170684e26114a992e,MATIC,100
17/08/2021,23:32:45,matic,0x8e0da89a32c77315baa45529fcd070b7ab45f0d217e0784869db22a08f4c73e8,https://polygonscan.com/tx/0x8e0da89a32c77315baa45529fcd070b7ab45f0d217e0784869db22a08f4c73e8,receive,0xc24f57fd9e3ae50ccdbdb09170684e26114a992e,USDC,6011
17/08/2021,14:02:38,matic,0x58694ee553fc07df7390cc1b60e000b673f658431020bf88997b4ff3764d5503,https://polygonscan.com/tx/0x58694ee553fc07df7390cc1b60e000b673f658431020bf88997b4ff3764d5503,receive,0xc24f57fd9e3ae50ccdbdb09170684e26114a992e,USDC,6000
17/08/2021,12:54:33,matic,0x65b9a3a98ec84c5dadf45e27111de1160c958c7ab976643d8b5688ed755c1210,https://polygonscan.com/tx/0x65b9a3a98ec84c5dadf45e27111de1160c958c7ab976643d8b5688ed755c1210,receive,0xc24f57fd9e3ae50ccdbdb09170684e26114a992e,USDC,1000
16/08/2021,20:49:44,matic,0x21e23d3e398c7ed60c60d56e39b8cb36e8262b24cece7000399ede37e7a73c0c,https://polygonscan.com/tx/0x21e23d3e398c7ed60c60d56e39b8cb36e8262b24cece7000399ede37e7a73c0c,receive,0xc24f57fd9e3ae50ccdbdb09170684e26114a992e,USDC,2026
15/08/2021,23:54:55,matic,0xcd23489a82ad5031aa1b0c1a777a6cf32ed0f918e178e56c2e0164cd2e5f460e,https://polygonscan.com/tx/0xcd23489a82ad5031aa1b0c1a777a6cf32ed0f918e178e56c2e0164cd2e5f460e,receive,0xc24f57fd9e3ae50ccdbdb09170684e26114a992e,USDC,2000
14/08/2021,07:29:17,matic,0xbb399f27ddfb67bd2d1a4d46e1a68ab1d8a4bbaf92a0765016b1df9def13fadf,https://polygonscan.com/tx/0xbb399f27ddfb67bd2d1a4d46e1a68ab1d8a4bbaf92a0765016b1df9def13fadf,receive,0xc24f57fd9e3ae50ccdbdb09170684e26114a992e,USDC,10500
