Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
09/02/2024,07:49:28,bsc,0xb3ae358732cc53d1740646ad30b2a3289ece1ce43f5eceb1a713f8dbe369c921,https://bscscan.com/tx/0xb3ae358732cc53d1740646ad30b2a3289ece1ce43f5eceb1a713f8dbe369c921,receive,0x00c293f0b8b567b6cf8d26d26612f6d46cb8aa35,BNB,0.000088686742543171
17/03/2024,05:12:05,op,0x11472058b120e8ae4dcb87ed6a6d0a0303d6fbe662ab2a487c6204548e538f49,https://optimistic.etherscan.io/tx/0x11472058b120e8ae4dcb87ed6a6d0a0303d6fbe662ab2a487c6204548e538f49,receive,0x12aff9b5c168fb1fa9a9ac28518bdd492d7c08ca,ETH,0.000027775848899382
10/04/2024,08:23:23,arb,0x367f03848c2425ba97864912b48d1bc8bd406b4638d995f81a33e1ba8a5cc8e8,https://arbiscan.io/tx/0x367f03848c2425ba97864912b48d1bc8bd406b4638d995f81a33e1ba8a5cc8e8,send,0x216a325e759869c4678b9138dc1b5f05dc3c2cac,ETH,-0.00000398791869
20/03/2024,07:57:28,arb,0x643efeda02f806921d521456c02883442795cd7a45dc898d4548917ff55655b4,https://arbiscan.io/tx/0x643efeda02f806921d521456c02883442795cd7a45dc898d4548917ff55655b4,receive,0x3d51166947300d746a8d1fc870d078b989e8055a,ETH,0.000015580625792
20/03/2024,07:57:15,arb,0xd143748322e2b9f085cb80febc0b547874fcbf97874e9539cbd9ccf1044b448c,https://arbiscan.io/tx/0xd143748322e2b9f085cb80febc0b547874fcbf97874e9539cbd9ccf1044b448c,receive,0x48417cadc0761a2262118317588f7a48c091dba0,ETH,0.000006597066474866
09/05/2024,21:46:07,arb,0xb8bf8a661bae84c68b76e84dbbf6fa896eaa3823b10175fbaf735ae2b6141818,https://arbiscan.io/tx/0xb8bf8a661bae84c68b76e84dbbf6fa896eaa3823b10175fbaf735ae2b6141818,send,0x5bfe5e0b398e3f86fbcc439a4a93f61e5d7ecc06,ETH,-0.00000753757596075
25/03/2024,00:42:32,matic,0x5ade628b977ab3ebb1442d40b5b6232bde04ed405f9d2fbfc8ff2408b8ffc99e,https://polygonscan.com/tx/0x5ade628b977ab3ebb1442d40b5b6232bde04ed405f9d2fbfc8ff2408b8ffc99e,send,0x5d13f6cee6776aff3d9529920b0b6fc5e040efaf,MATIC,-0.007015804842619126
20/03/2024,07:59:09,arb,0x19c44ad01588ecf20a5709f8af3f5c1989a0663b94b1823a2603f3743c60cd07,https://arbiscan.io/tx/0x19c44ad01588ecf20a5709f8af3f5c1989a0663b94b1823a2603f3743c60cd07,send,0x5d13f6cee6776aff3d9529920b0b6fc5e040efaf,ETH,-0.000015788839766866
02/02/2024,08:09:24,bsc,0x221da73bcac4d823095c3368e533221674d5932ca067895165c9b7b5e7949f96,https://bscscan.com/tx/0x221da73bcac4d823095c3368e533221674d5932ca067895165c9b7b5e7949f96,receive,0x5f0a6b8c13c49641a2866af4ef509870eb5fd013,BNB,0.00188385322470258
02/02/2024,07:50:45,zora,0xbf0d3f22b7d7414442f28202a7fdd45990fa63caf91e9a854b951ba3d5068b18,https://explorer.zora.energy/tx/0xbf0d3f22b7d7414442f28202a7fdd45990fa63caf91e9a854b951ba3d5068b18,send,0x5f0a6b8c13c49641a2866af4ef509870eb5fd013,ETH,-0.000282321464249416
16/03/2024,20:19:38,linea,0x07509fdd042d0b9d4218ffcde23e1338b09d7cd0c398894c6489936e3cfe337b,https://lineascan.build/tx/0x07509fdd042d0b9d4218ffcde23e1338b09d7cd0c398894c6489936e3cfe337b,send,0x73e62dd6f19dd75543ec6f372385b71ce855cb3a,ETH,-0.000017191991602719
