Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
24/03/2023,01:34:39,arb,0x4ebb976f4bf63d192cc9617529d9b217d668beb9fd108bb3066dc4051f2c1134,https://arbiscan.io/tx/0x4ebb976f4bf63d192cc9617529d9b217d668beb9fd108bb3066dc4051f2c1134,send,0x023a9e71848964720aa938d50f1232d34f46b470,ARB,-625
12/03/2018,02:53:27,eth,0x7243fd7f4d826bc542001bd3dd69fd88cb431babff9651a9c55dcd4ba5bce462,https://etherscan.io/tx/0x7243fd7f4d826bc542001bd3dd69fd88cb431babff9651a9c55dcd4ba5bce462,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,BEE,-890
05/02/2018,18:06:33,eth,0x4c77751504bb50e020b8ad36993250c04d8747f0b5a6b588c85a19082982769e,https://etherscan.io/tx/0x4c77751504bb50e020b8ad36993250c04d8747f0b5a6b588c85a19082982769e,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,-0.106061006
20/09/2017,15:35:46,eth,0xc6c77b7e696235275d928b1b865ce0c535888c36790a6b05dbdc581f6ea94285,https://etherscan.io/tx/0xc6c77b7e696235275d928b1b865ce0c535888c36790a6b05dbdc581f6ea94285,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,-7.039453974
19/09/2017,20:07:39,eth,0xce120af0aee7937d0bb78f52db4ea1b0a5cae937795341b2d80a25aa8e211d82,https://etherscan.io/tx/0xce120af0aee7937d0bb78f52db4ea1b0a5cae937795341b2d80a25aa8e211d82,receive,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,7.04
03/04/2023,23:37:05,arb,0x6da0b157596decfa4f22836ae2bb5eb162959981f5231ffaa72b0023f4e36996,https://arbiscan.io/tx/0x6da0b157596decfa4f22836ae2bb5eb162959981f5231ffaa72b0023f4e36996,receive,0x183bffe026d50515516a8f873162396068143425,ETH,0.0011
22/03/2023,20:18:29,bsc,0x627559d948536745eae95ad30c9aab53acae0d73bd91a91be9d37b40f0261b5b,https://bscscan.com/tx/0x627559d948536745eae95ad30c9aab53acae0d73bd91a91be9d37b40f0261b5b,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ID,-83.46199999999999
16/05/2023,22:38:28,arb,0x68aa6bc603efe231755a6e1995f0dbd2ff20e664fb9c44423e8fe8f31a993222,https://arbiscan.io/tx/0x68aa6bc603efe231755a6e1995f0dbd2ff20e664fb9c44423e8fe8f31a993222,send,0x430cff5356fdbad334e8c992e5be56bed769b0ce,ETH,-0.11640247929999159
01/12/2022,16:48:39,op,0x766b05a09e78f70803b73ca6cee3730da58dac1a8965cf11194c3444a758d631,https://optimistic.etherscan.io/tx/0x766b05a09e78f70803b73ca6cee3730da58dac1a8965cf11194c3444a758d631,send,0x448eb1f657e3ae6b381f3f82321b838af4fea266,SNX,-12.37
12/05/2023,14:54:57,op,0x92b8d02c744f3ebd79887886aa26cb0dfd7af0ab18228d4cec2fd658e59886bf,https://optimistic.etherscan.io/tx/0x92b8d02c744f3ebd79887886aa26cb0dfd7af0ab18228d4cec2fd658e59886bf,send,0x5dd4eee26c31b44dff545c764742d6800dae3dc5,S*USDC,-1009.759816
10/05/2023,21:43:45,arb,0x907fcba0a704d9eb8e5310aa92cc1e8c42d67023651317894ef5d7b160653c60,https://arbiscan.io/tx/0x907fcba0a704d9eb8e5310aa92cc1e8c42d67023651317894ef5d7b160653c60,send,0x5dd4eee26c31b44dff545c764742d6800dae3dc5,USDC,-1054.022482
05/12/2022,02:59:04,op,0x904ce3d22a075e61ce6f19d04c0272cd874eec1e99cf3460e1f99b1315f64b70,https://optimistic.etherscan.io/tx/0x904ce3d22a075e61ce6f19d04c0272cd874eec1e99cf3460e1f99b1315f64b70,send,0x657927a7956af4aba0b7407c5af964360c592e46,ETH,-35.2478806147541
05/12/2022,00:56:47,eth,0xb53f4ff7e97b85d2bc62d6d477e195a7a2d5108c0fdec7912f366f8647abcfce,https://etherscan.io/tx/0xb53f4ff7e97b85d2bc62d6d477e195a7a2d5108c0fdec7912f366f8647abcfce,send,0x657927a7956af4aba0b7407c5af964360c592e46,ETH,-35.22088895423969
03/12/2022,23:13:27,arb,0x8cfc42763e8ea275ab37a7adfdaa02b6058e41f876cd4500936f47fe3d0c09cd,https://arbiscan.io/tx/0x8cfc42763e8ea275ab37a7adfdaa02b6058e41f876cd4500936f47fe3d0c09cd,send,0x657927a7956af4aba0b7407c5af964360c592e46,ETH,-33.033717744836814
27/01/2021,13:26:53,eth,0x97ae623ceb102b90fe8db3c507ac2fcc3ba76f97ee72740cb18533458f1faa0a,https://etherscan.io/tx/0x97ae623ceb102b90fe8db3c507ac2fcc3ba76f97ee72740cb18533458f1faa0a,receive,0x657927a7956af4aba0b7407c5af964360c592e46,ETH,0.025
01/12/2022,16:49:24,op,0xac929355cb77b2fa6140f9e352c686852d312a319de3525cc1c081356ba773b3,https://optimistic.etherscan.io/tx/0xac929355cb77b2fa6140f9e352c686852d312a319de3525cc1c081356ba773b3,send,0x66419605e28803b0b7c3400d536db5853f7bd15b,ETH,-0.031
20/11/2022,02:09:12,op,0x2e82f2749b373639ec9720ffcf4c097bbbd146e3eb3a152af66e6eaa6d5a50d7,https://optimistic.etherscan.io/tx/0x2e82f2749b373639ec9720ffcf4c097bbbd146e3eb3a152af66e6eaa6d5a50d7,send,0x66419605e28803b0b7c3400d536db5853f7bd15b,WETH,-0.132
01/03/2023,02:01:14,arb,0xa3cb050c96be8998f605330319658455764f7f74dcb9e36b301f5e5c0e0154ce,https://arbiscan.io/tx/0xa3cb050c96be8998f605330319658455764f7f74dcb9e36b301f5e5c0e0154ce,send,0x7be5549740bad29e58410683fb222a8331b71cfb,ETH,-0.1047428
01/12/2022,16:48:54,op,0xc4d653bf8401a7eb68f5965f23f828558fc774f6d47a77c20df7a37e2770360e,https://optimistic.etherscan.io/tx/0xc4d653bf8401a7eb68f5965f23f828558fc774f6d47a77c20df7a37e2770360e,send,0x7bf97810d8cfac70d9b80d35b8e0aba85a003ac0,USDC,-269.37
28/10/2022,18:38:27,op,0x5fe73514fd97f6f541605ae59c755253aaef03a85c908da1cbeec8efb7e627e2,https://optimistic.etherscan.io/tx/0x5fe73514fd97f6f541605ae59c755253aaef03a85c908da1cbeec8efb7e627e2,send,0x7bf97810d8cfac70d9b80d35b8e0aba85a003ac0,SNX,-105
14/09/2022,21:16:48,arb,0x5aa040fe670c30a4a506742ae7877f2a03004c16618d5aaa1cf09dbf0bf950ae,https://arbiscan.io/tx/0x5aa040fe670c30a4a506742ae7877f2a03004c16618d5aaa1cf09dbf0bf950ae,send,0x7bf97810d8cfac70d9b80d35b8e0aba85a003ac0,ETH,-0.1579
28/02/2023,22:09:35,op,0x76d6ec65f63f2eb81c4f05eafcde0215c5d8cc25b7e0944606c3c96e0cceeccd,https://optimistic.etherscan.io/tx/0x76d6ec65f63f2eb81c4f05eafcde0215c5d8cc25b7e0944606c3c96e0cceeccd,receive,0xa4d538dbbe0de5db49b7e339f62a54af0473f16b,ETH,0.001
05/12/2022,02:58:04,op,0xe7d78982c896444f5bb411d545f37c3777c2143902c6870ab993bce3132b5ded,https://optimistic.etherscan.io/tx/0xe7d78982c896444f5bb411d545f37c3777c2143902c6870ab993bce3132b5ded,receive,0xb51641a888474d1a3a6143a73bb3103e77f4c1ff,ETH,35.248065595267214
05/12/2022,00:41:23,eth,0x0d72bd0355cf5031947faa1a19e5c3e2593621325a9b06901856fa9e4a97ba6a,https://etherscan.io/tx/0x0d72bd0355cf5031947faa1a19e5c3e2593621325a9b06901856fa9e4a97ba6a,receive,0xb51641a888474d1a3a6143a73bb3103e77f4c1ff,ETH,35.249350612878445
03/12/2022,23:12:18,arb,0x3c38391242de635dce13622eec31d9c9eecdc2544db8e9503b6ff18b86064835,https://arbiscan.io/tx/0x3c38391242de635dce13622eec31d9c9eecdc2544db8e9503b6ff18b86064835,receive,0xb51641a888474d1a3a6143a73bb3103e77f4c1ff,ETH,33.033451052960885
02/02/2018,03:29:25,eth,0x1340d404a8c7408adf31f7db5a63db48c2ebba018c9bb3861e3fe8199c34eb3b,https://etherscan.io/tx/0x1340d404a8c7408adf31f7db5a63db48c2ebba018c9bb3861e3fe8199c34eb3b,receive,0xb59a11655dd30a6daee68fff5c796a1d17b4e112,ETH,0.22
03/03/2023,14:21:06,arb,0x98b1f2340eefb2d815e2f38c876df379e5fe3a28610cb10c3e45083dab0e72cf,https://arbiscan.io/tx/0x98b1f2340eefb2d815e2f38c876df379e5fe3a28610cb10c3e45083dab0e72cf,send,0xfcc1cdf16551491a624c6951634d8c70d3c77483,ETH,-0.00055
