Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
02/11/2022,21:03:03,op,0x4280294a713c60471165cde95fcbc16f4658d2beced9a19616edb487fac3c0d8,https://optimistic.etherscan.io/tx/0x4280294a713c60471165cde95fcbc16f4658d2beced9a19616edb487fac3c0d8,receive,0x183bffe026d50515516a8f873162396068143425,WETH,0.009996149761121223
31/01/2021,15:07:32,eth,0x4a083ea5072eab8b621de7608c88e27f666a4cad779026ab294336ed5baf74b8,https://etherscan.io/tx/0x4a083ea5072eab8b621de7608c88e27f666a4cad779026ab294336ed5baf74b8,send,0x2271eb7bc6c70dd533379758b70aadff075d72b7,ETH,-0.130687983
31/01/2021,15:06:45,eth,0x80d1170c71daf0ae59e70e78e38becd8d426323f0f4a037fc577c7d4e3f4f78c,https://etherscan.io/tx/0x80d1170c71daf0ae59e70e78e38becd8d426323f0f4a037fc577c7d4e3f4f78c,send,0x2271eb7bc6c70dd533379758b70aadff075d72b7,USDC,-2411.167788
02/03/2023,20:01:31,arb,0x3079ca5f1f1d1b705d62f160f153ffb898cf824c52478017f6d11bb9e236fe7b,https://arbiscan.io/tx/0x3079ca5f1f1d1b705d62f160f153ffb898cf824c52478017f6d11bb9e236fe7b,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ETH,-0.20052092611244618
29/11/2022,17:19:17,arb,0xbc0a30cd7a8adb9c4a481175a9c459eeb7a06debac459aaf2c82fe2bb4987af3,https://arbiscan.io/tx/0xbc0a30cd7a8adb9c4a481175a9c459eeb7a06debac459aaf2c82fe2bb4987af3,send,0x3b2fff706ba34c53d9b005af6647bfac39a666ca,ETH,-2
29/11/2022,16:37:02,arb,0xfce0cf7d49730289a0dfbd6a5ba4422537dd05c6ad276611f6ba1abe596fa7ef,https://arbiscan.io/tx/0xfce0cf7d49730289a0dfbd6a5ba4422537dd05c6ad276611f6ba1abe596fa7ef,receive,0x3b2fff706ba34c53d9b005af6647bfac39a666ca,ETH,2
16/05/2023,22:45:21,arb,0xe769746aec3c6e1d35df24d11a6a1d5993ce4b7a0febc09f3a6036662c4a4ffe,https://arbiscan.io/tx/0xe769746aec3c6e1d35df24d11a6a1d5993ce4b7a0febc09f3a6036662c4a4ffe,send,0x430cff5356fdbad334e8c992e5be56bed769b0ce,ETH,-0.1191317324994862
14/10/2022,19:13:39,op,0x4d77129530689f6715eac1249cd5492b68749f85ff68286b38f9a9251abb8cc5,https://optimistic.etherscan.io/tx/0x4d77129530689f6715eac1249cd5492b68749f85ff68286b38f9a9251abb8cc5,send,0x597c818c0a0c97894cac517762c697b38229af77,ETH,-0.0711
24/12/2021,20:00:00,eth,0xb71f6c442601f6419d4805f6c29419bd2b4978802e55dc97046e11af50d68b9d,https://etherscan.io/tx/0xb71f6c442601f6419d4805f6c29419bd2b4978802e55dc97046e11af50d68b9d,send,0x5da12c13488d373cbab53bd3613f334868d05d7d,ETH,-0.06852688399614222
11/12/2021,03:09:30,eth,0x794b9b3ce0bbd6275502962982cc05ef911cc69d5968004144f6893b9efe5563,https://etherscan.io/tx/0x794b9b3ce0bbd6275502962982cc05ef911cc69d5968004144f6893b9efe5563,send,0x5da12c13488d373cbab53bd3613f334868d05d7d,ETH,-0.20426883217641442
