Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
19/10/2022,00:52:35,op,0xe22382187d3e146528cc5edaa0744d11a7e0b3242bfc09283cb98e1bc3efb71c,https://optimistic.etherscan.io/tx/0xe22382187d3e146528cc5edaa0744d11a7e0b3242bfc09283cb98e1bc3efb71c,receive,0x00d7be72669c06d68c5d7f5f4483a5e6b84eb70b,ETH,0.019455352300273513
19/10/2022,21:16:48,op,0x5534e4bb261ff669e96ac1ecf01c5e4edc5fb68424a473b954ff0d5a0506ad71,https://optimistic.etherscan.io/tx/0x5534e4bb261ff669e96ac1ecf01c5e4edc5fb68424a473b954ff0d5a0506ad71,receive,0x11daf469380d8d251b1f11e12d770aa71148e808,ETH,0.019106872012573942
19/10/2022,01:02:45,op,0x83ff2c4d1fb843727534387b78be8684d5fe0c219abf65be1f884ca841df61ee,https://optimistic.etherscan.io/tx/0x83ff2c4d1fb843727534387b78be8684d5fe0c219abf65be1f884ca841df61ee,receive,0x13947e418e613d43fa55849ddc8626e7105f957f,ETH,0.018355316132997863
19/10/2022,19:36:49,op,0x766ee8b76829d503db1aa37579f81d3f4f6081b46ba56989fd25b06e521c2cf2,https://optimistic.etherscan.io/tx/0x766ee8b76829d503db1aa37579f81d3f4f6081b46ba56989fd25b06e521c2cf2,receive,0x141d220615135ccf90d1d742d0b43334a12b79e9,ETH,0.019992707281588307
19/10/2022,22:53:27,op,0x89056df74a4b48dc832d1c4119bd6af08b73cf4cd0d26079e22253aa09bafeb1,https://optimistic.etherscan.io/tx/0x89056df74a4b48dc832d1c4119bd6af08b73cf4cd0d26079e22253aa09bafeb1,receive,0x2a9526dbfb521b1b314b3dbb69ddbf9fff22a9a6,ETH,0.038104725096543626
19/10/2022,21:36:11,op,0xe440e8958aa813b4c2f850a94d678a3fb325ad22200f2388cc8a5218e30ea34d,https://optimistic.etherscan.io/tx/0xe440e8958aa813b4c2f850a94d678a3fb325ad22200f2388cc8a5218e30ea34d,send,0x2a9526dbfb521b1b314b3dbb69ddbf9fff22a9a6,ETH,-0.04
19/10/2022,15:47:53,op,0xce24a72e69d196323cdf80f5bcdd4025360f0cec665dada1148d7cac2527ae0e,https://optimistic.etherscan.io/tx/0xce24a72e69d196323cdf80f5bcdd4025360f0cec665dada1148d7cac2527ae0e,receive,0x30af67de2004d5a1c92e3a8ea03a8c4399e94b7c,ETH,0.019905136246266508
19/10/2022,18:58:30,op,0x86be32f7991740e99c5b69885084a533c6342bd86e356db13eaa76c70e416477,https://optimistic.etherscan.io/tx/0x86be32f7991740e99c5b69885084a533c6342bd86e356db13eaa76c70e416477,receive,0x36ca0fb08237a56117e92d5159693cb3590ae0c4,ETH,0.01990118900242312
19/10/2022,22:11:38,op,0x55208166d59d9180f34a2e2f8f96ab1c549a5d89b569cb2625f2d8121ca018a4,https://optimistic.etherscan.io/tx/0x55208166d59d9180f34a2e2f8f96ab1c549a5d89b569cb2625f2d8121ca018a4,receive,0x37ea33ff9224cb5c8bd024ef2df1e21f74c87753,ETH,0.038544624631605594
19/10/2022,21:35:26,op,0x33d4f3cbb99379921829046424b20ee67bf9f14c1603c5fc41211454be940bbb,https://optimistic.etherscan.io/tx/0x33d4f3cbb99379921829046424b20ee67bf9f14c1603c5fc41211454be940bbb,send,0x37ea33ff9224cb5c8bd024ef2df1e21f74c87753,ETH,-0.04
22/03/2023,20:03:07,bsc,0x7ef7a5d4e7a6e595135e6b6905700e0a7eaddc20b74b6719e8a87acaefc54ba8,https://bscscan.com/tx/0x7ef7a5d4e7a6e595135e6b6905700e0a7eaddc20b74b6719e8a87acaefc54ba8,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ID,-82.409
03/03/2023,18:33:25,arb,0xae55fb46e1969a06e31854f9939f309dcd4b473cd1becad574f5e418b20bc702,https://arbiscan.io/tx/0xae55fb46e1969a06e31854f9939f309dcd4b473cd1becad574f5e418b20bc702,send,0x3beb6395223598a0dc8fc2586696f094b3816cb0,ETH,-0.001383235970180153
18/10/2022,22:35:07,op,0x2519772bdb7625d1481960a6779411fd8806fff5a2979f8d0cf6472fe4354832,https://optimistic.etherscan.io/tx/0x2519772bdb7625d1481960a6779411fd8806fff5a2979f8d0cf6472fe4354832,receive,0x3beb6395223598a0dc8fc2586696f094b3816cb0,ETH,0.018169085107540454
19/10/2022,19:11:51,op,0x6e4650b115c93a8448e32ea2e354b601cb07aca297ec6ba27887100be4dc8d94,https://optimistic.etherscan.io/tx/0x6e4650b115c93a8448e32ea2e354b601cb07aca297ec6ba27887100be4dc8d94,receive,0x3e17e2ce7df075e861c8bae8ead720f3d8408cda,ETH,0.019935958960155837
19/10/2022,20:11:17,op,0xfb9e0ae813cf2ea939926e5dd6bcba362931489db3d69f8fc2e83021e292119c,https://optimistic.etherscan.io/tx/0xfb9e0ae813cf2ea939926e5dd6bcba362931489db3d69f8fc2e83021e292119c,receive,0x4d08673b100ec2cb900eefeb78683f01e3977af4,ETH,0.019773682966422096
19/10/2022,14:58:03,op,0xa5e0991bdba53f6398aca9d4cf7a50d8cc0c5642c9ff2687b10abc07a69e920d,https://optimistic.etherscan.io/tx/0xa5e0991bdba53f6398aca9d4cf7a50d8cc0c5642c9ff2687b10abc07a69e920d,receive,0x53488cabd6bd7200e277d0b2d716eb7a44c294ad,ETH,0.019346069336492584
19/10/2022,16:15:18,op,0xf61d1185eeda9f171d1d25ffd374f001d25ea3478f11c004948fa944bcaf4409,https://optimistic.etherscan.io/tx/0xf61d1185eeda9f171d1d25ffd374f001d25ea3478f11c004948fa944bcaf4409,receive,0x5489a7a7af5e0181b7ed2824dd058bf2f1bb7493,ETH,0.0197918939038886
19/10/2022,15:21:43,op,0x762195a07e21d7ab6cde18e0912c5049c015841bb37dce43b04bc4af360d7c43,https://optimistic.etherscan.io/tx/0x762195a07e21d7ab6cde18e0912c5049c015841bb37dce43b04bc4af360d7c43,receive,0x57517584ef5d31a5cedbe3f5d2bb0d5cddd70274,ETH,0.021042044696162984
19/10/2022,18:00:38,op,0xb871d460ed095942ca90487f696b6591c6bcc2d03a93dc443845ca9a1ea32cf7,https://optimistic.etherscan.io/tx/0xb871d460ed095942ca90487f696b6591c6bcc2d03a93dc443845ca9a1ea32cf7,receive,0x5a502cafd066f79e7e8ef8784eda6617112438bd,ETH,0.019772879211454944
11/03/2023,00:03:32,arb,0xb95424a62b44459c44c3ade1cf7d2eb09cf1c10182a903e07093ca9cca92ca47,https://arbiscan.io/tx/0xb95424a62b44459c44c3ade1cf7d2eb09cf1c10182a903e07093ca9cca92ca47,receive,0x6eff9fb6c5d52098b953a904a4d805b0b96da884,ETH,0.002654990121057356
14/09/2022,19:28:30,eth,0x5fe221c26797fe7037cafefe6ac4fdd899a96ce85e8b6df14cd54cf7fc4d0ce7,https://etherscan.io/tx/0x5fe221c26797fe7037cafefe6ac4fdd899a96ce85e8b6df14cd54cf7fc4d0ce7,receive,0x6eff9fb6c5d52098b953a904a4d805b0b96da884,ETH,0.002
19/10/2022,13:12:56,op,0xae5ea1df66dbe4e763d45487051f5963180c82b246ae11e01ae4842c147eecbe,https://optimistic.etherscan.io/tx/0xae5ea1df66dbe4e763d45487051f5963180c82b246ae11e01ae4842c147eecbe,receive,0x73d438d4ba8b1f45aa9c49e08e6e86ffc484eda3,ETH,0.01883096721378392
19/10/2022,23:03:44,op,0x245d668bfd273eff9c81a3738c47e7bb680733780becc8ede57ffcc61a9619d6,https://optimistic.etherscan.io/tx/0x245d668bfd273eff9c81a3738c47e7bb680733780becc8ede57ffcc61a9619d6,receive,0x82e2ce848b2816dc9cb840f9b069903f83333233,ETH,0.019198376061450976
