Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
12/05/2023,03:15:10,matic,0xfccb86d1cfa9d4f78ad92d4ece4bb266248610883e957d0863c8094d5e634db0,https://polygonscan.com/tx/0xfccb86d1cfa9d4f78ad92d4ece4bb266248610883e957d0863c8094d5e634db0,send,0x007189853c32eb23d4c4790377af397723a09e01,MILK,-15431.325910596
12/05/2023,02:34:34,arb,0x9eee3a77ee9948684a194be4006946cf34025c26ddc659131c2d66a60c488b24,https://arbiscan.io/tx/0x9eee3a77ee9948684a194be4006946cf34025c26ddc659131c2d66a60c488b24,send,0x007189853c32eb23d4c4790377af397723a09e01,BRUH,-50554880
30/04/2023,01:12:24,matic,0x874c3eb9dbadee7c45f2fa1f2daef6a8c1c9bb5e176a93a3600b72fff16f27c2,https://polygonscan.com/tx/0x874c3eb9dbadee7c45f2fa1f2daef6a8c1c9bb5e176a93a3600b72fff16f27c2,send,0x007189853c32eb23d4c4790377af397723a09e01,MILK,-8783.409463589
20/04/2023,14:09:43,matic,0xaa92ffc8965900e03c914b544ab80941a69eb44c0af6762dc05bcf060a6fe2cd,https://polygonscan.com/tx/0xaa92ffc8965900e03c914b544ab80941a69eb44c0af6762dc05bcf060a6fe2cd,receive,0x007189853c32eb23d4c4790377af397723a09e01,MILK,3090.143073707
10/04/2023,09:25:29,matic,0x0eef2f0ebbbcc0450e7a801a5ae9036bae718ec827cb3b238cfecfd01d5b536a,https://polygonscan.com/tx/0x0eef2f0ebbbcc0450e7a801a5ae9036bae718ec827cb3b238cfecfd01d5b536a,receive,0x007189853c32eb23d4c4790377af397723a09e01,MILK,3575.578978228
07/04/2023,18:52:29,matic,0x95493e04437f226f075210ba8dc26e967736db1d1d34e10722630aa3e1056bd2,https://polygonscan.com/tx/0x95493e04437f226f075210ba8dc26e967736db1d1d34e10722630aa3e1056bd2,receive,0x007189853c32eb23d4c4790377af397723a09e01,MILK,5641.746348932
02/04/2023,03:07:14,arb,0x91e556bf08df1e737277d4fe9c3a3a9d0d76145cd115cfe63d5ec8ed603a5773,https://arbiscan.io/tx/0x91e556bf08df1e737277d4fe9c3a3a9d0d76145cd115cfe63d5ec8ed603a5773,send,0x007189853c32eb23d4c4790377af397723a09e01,MAGIC,-900
29/03/2023,14:12:58,matic,0xf6e84309fa996ca1231d3caa5e332f85e03b54bd15934ae7b1d75dce4a3d3c2d,https://polygonscan.com/tx/0xf6e84309fa996ca1231d3caa5e332f85e03b54bd15934ae7b1d75dce4a3d3c2d,receive,0x007189853c32eb23d4c4790377af397723a09e01,MILK,5616.396115355
26/03/2023,02:17:57,matic,0xe32cb309a60ed84752539dcc4b3a87d7e67433656a6ab0bdc10c50c6f8ef7bd4,https://polygonscan.com/tx/0xe32cb309a60ed84752539dcc4b3a87d7e67433656a6ab0bdc10c50c6f8ef7bd4,receive,0x007189853c32eb23d4c4790377af397723a09e01,MILK,6532.900622596
24/03/2023,00:05:13,arb,0x8441c9371135c23bad9aecf511010467b8ded475a5ed53530184d70af84a2ef2,https://arbiscan.io/tx/0x8441c9371135c23bad9aecf511010467b8ded475a5ed53530184d70af84a2ef2,receive,0x007189853c32eb23d4c4790377af397723a09e01,ARB,875
18/02/2023,11:25:55,arb,0xa84f906aaa524e4275d71ee48d394597e49902b762825ca8d480a3fabcb494fe,https://arbiscan.io/tx/0xa84f906aaa524e4275d71ee48d394597e49902b762825ca8d480a3fabcb494fe,send,0x007189853c32eb23d4c4790377af397723a09e01,MAGIC,-100
26/03/2024,16:57:35,op,0x4bf5e500868e5c500826a2929c84f83db56ea0f036c6507b5fc99a60045ead9d,https://optimistic.etherscan.io/tx/0x4bf5e500868e5c500826a2929c84f83db56ea0f036c6507b5fc99a60045ead9d,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,8.88e-12
26/03/2024,16:26:47,op,0x26df88b916ed78b71f87196e9b5760db88c15918ad90eba5fb2afdc84988ee2d,https://optimistic.etherscan.io/tx/0x26df88b916ed78b71f87196e9b5760db88c15918ad90eba5fb2afdc84988ee2d,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,3.1e-13
