Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
24/04/2023,23:01:35,eth,0x245ee69dba09dabafa33554a80437b3a3a73cf1e3e0432ff2f604e24a277312b,https://etherscan.io/tx/0x245ee69dba09dabafa33554a80437b3a3a73cf1e3e0432ff2f604e24a277312b,receive,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,DZOO,2082.4755
27/03/2023,00:06:04,arb,0x7a2fb45f899c7bb98f12f2f8ea3f13eb8db001c9bf1b0966e82a85d484533a4c,https://arbiscan.io/tx/0x7a2fb45f899c7bb98f12f2f8ea3f13eb8db001c9bf1b0966e82a85d484533a4c,send,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,ETH,-0.01
10/03/2023,21:21:33,bsc,0x09f5c70b826c359e6b081ce4f69a152fbf656b343cb36536971f690e74f130ea,https://bscscan.com/tx/0x09f5c70b826c359e6b081ce4f69a152fbf656b343cb36536971f690e74f130ea,send,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,GPT,-1400
09/03/2023,15:02:19,bsc,0xfb3bc1a9edc2dccb90e33b7d7343dbca199018a6f6f6a5a8e7bbd699d9ce812d,https://bscscan.com/tx/0xfb3bc1a9edc2dccb90e33b7d7343dbca199018a6f6f6a5a8e7bbd699d9ce812d,send,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,BUSD,-500
03/03/2023,22:15:49,bsc,0x5052f419ab18ce8f4bd06f27ef2924cabe033d6902926233c7ce4e7e413b60d9,https://bscscan.com/tx/0x5052f419ab18ce8f4bd06f27ef2924cabe033d6902926233c7ce4e7e413b60d9,receive,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,BUSD,169
27/02/2023,03:47:59,eth,0x2e0d7d21ebbbebe58928b4e7f5aea12ee67f8180f9157711b578e641f6027118,https://etherscan.io/tx/0x2e0d7d21ebbbebe58928b4e7f5aea12ee67f8180f9157711b578e641f6027118,send,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,ETH,-0.3
06/02/2023,16:03:03,bsc,0x028bb8d43ddc570f2b4a773709331fa10b2e1e866d090cd0da7a0a2c5e29b820,https://bscscan.com/tx/0x028bb8d43ddc570f2b4a773709331fa10b2e1e866d090cd0da7a0a2c5e29b820,send,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,Metis,-100.527
06/02/2023,16:01:47,matic,0xdfc8ad935c1c7c82fe7bdf280c6f5befa212fb9cfff5c76dc76b9f15d968dc4f,https://polygonscan.com/tx/0xdfc8ad935c1c7c82fe7bdf280c6f5befa212fb9cfff5c76dc76b9f15d968dc4f,send,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,MATIC,-350
06/02/2023,16:01:11,matic,0x4dbaafafff09f462a213856802d83b015f591d967ee315bbcf080c7474651525,https://polygonscan.com/tx/0x4dbaafafff09f462a213856802d83b015f591d967ee315bbcf080c7474651525,send,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,DAI,-2010.42602072
06/02/2023,16:00:43,matic,0x11b775156c6b96662e3f4e1e69f83e52585ccc5f71986a3394113467a2f5df90,https://polygonscan.com/tx/0x11b775156c6b96662e3f4e1e69f83e52585ccc5f71986a3394113467a2f5df90,send,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,USDC,-9320.268124
06/02/2023,16:00:21,matic,0x31242f686a2b404228dd29761b171914b791e016802dfa09f9fd35e6de913dbf,https://polygonscan.com/tx/0x31242f686a2b404228dd29761b171914b791e016802dfa09f9fd35e6de913dbf,send,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,MVX,-565.3218725273819
06/02/2023,15:58:17,matic,0xb88cae63879abf647c6bb7b5d07606351630fd224bad0c04f32d553f103f74bf,https://polygonscan.com/tx/0xb88cae63879abf647c6bb7b5d07606351630fd224bad0c04f32d553f103f74bf,send,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,GNS,-248.86041059584667
15/01/2023,23:02:34,bsc,0xc6ce073778cee3b4ba8bd1d27bdff5e86005ef43a374560201b80f79484b0676,https://bscscan.com/tx/0xc6ce073778cee3b4ba8bd1d27bdff5e86005ef43a374560201b80f79484b0676,receive,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,BUSD,106
13/01/2023,19:17:40,bsc,0x9a97188b39711a302d72312bf5a4db27da5a55cf192fdc4fffc95dd64d87891c,https://bscscan.com/tx/0x9a97188b39711a302d72312bf5a4db27da5a55cf192fdc4fffc95dd64d87891c,receive,0x03a2de444009d66ecf956a0dd368e34ad1cc1d7e,BUSD,50
