Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
09/03/2024,18:42:53,base,0x53d5ebb436ab7a83f104294bf29f3011a43be16d0e0975c3d24da5c4ed9b25a5,https://www.basescan.org/tx/0x53d5ebb436ab7a83f104294bf29f3011a43be16d0e0975c3d24da5c4ed9b25a5,send,0x0624e1d8c03cc0e06a60a5819e47e491d20b790a,ETH,-0.0005
03/07/2023,02:36:44,bsc,0x58240521dc325b73dfb15eaf36eefc2c0099c3503662a3ec3189521e7961a0b1,https://bscscan.com/tx/0x58240521dc325b73dfb15eaf36eefc2c0099c3503662a3ec3189521e7961a0b1,send,0x0da157cbea3f40fdb7d8c1f813fa9dc3f3078e48,USDT,-15
01/03/2023,22:43:19,bsc,0x7e0a7125781a82580de3eb22db9ea8a71111d42148a4806a66ee0a97e088a369,https://bscscan.com/tx/0x7e0a7125781a82580de3eb22db9ea8a71111d42148a4806a66ee0a97e088a369,send,0x0da157cbea3f40fdb7d8c1f813fa9dc3f3078e48,BUSD,-5
31/01/2023,22:15:32,arb,0x52783ad3d9abb109adc6ea1999c30ed20984633532579c7dcb65fa6a77176113,https://arbiscan.io/tx/0x52783ad3d9abb109adc6ea1999c30ed20984633532579c7dcb65fa6a77176113,send,0x1dac7b60a4864e2842c0c05ef9fbd6e6482f89ea,ETH,-0.001
02/02/2024,18:59:12,matic,0xef3433f73dfc6f839ebadd1bd7628bb23054b6d2715a0118a46e73c471123a8e,https://polygonscan.com/tx/0xef3433f73dfc6f839ebadd1bd7628bb23054b6d2715a0118a46e73c471123a8e,send,0x35359f1c9c2e166e1e0efee79496baa2b1461fef,USDT,-3
21/04/2023,00:06:00,arb,0x074dc41f0852e30b891d5b6eb3f9293d65ab70d8242d51095b966fb367fa35c2,https://arbiscan.io/tx/0x074dc41f0852e30b891d5b6eb3f9293d65ab70d8242d51095b966fb367fa35c2,send,0x3bfbaf197495362c31126ab2bc51a8eb1a7d9f4b,ETH,-0.0006
21/04/2023,00:05:44,arb,0x539901528c8b16a8853291f15d392ea3694d422954c016a4dda005ad0ae5df2a,https://arbiscan.io/tx/0x539901528c8b16a8853291f15d392ea3694d422954c016a4dda005ad0ae5df2a,receive,0x3bfbaf197495362c31126ab2bc51a8eb1a7d9f4b,AISHIB,1
22/03/2024,03:11:47,base,0x71aba8d3894d674b8fe712353831b88ac44890f4564b15f0ffc9d3512104891f,https://www.basescan.org/tx/0x71aba8d3894d674b8fe712353831b88ac44890f4564b15f0ffc9d3512104891f,send,0x44eb0a2a44a176272d4ec67dda594e18846bb6b3,ETH,-0.08755187448563273
29/09/2023,18:50:23,eth,0xe4b109ff30956bd88ba67680c9cb90987d139e49b4c79c970a94b56a649fd0af,https://etherscan.io/tx/0xe4b109ff30956bd88ba67680c9cb90987d139e49b4c79c970a94b56a649fd0af,receive,0x45f50500874d2f900d18c0a998bbf6edc6321d77,ETH,0.006
05/08/2022,05:43:29,bsc,0x9a916f45b658a6570959d431c1fa406e2173ee461bf38f14e32f288de0920a6e,https://bscscan.com/tx/0x9a916f45b658a6570959d431c1fa406e2173ee461bf38f14e32f288de0920a6e,send,0x45f50500874d2f900d18c0a998bbf6edc6321d77,BNB,-0.002
05/08/2022,05:12:23,bsc,0x71fdf186d2a2ab44bfb913d822d1b10c7e7bf6c719a7c3a119f3fbf6fb3cc2b8,https://bscscan.com/tx/0x71fdf186d2a2ab44bfb913d822d1b10c7e7bf6c719a7c3a119f3fbf6fb3cc2b8,send,0x45f50500874d2f900d18c0a998bbf6edc6321d77,BNB,-0.002
06/05/2022,22:12:54,eth,0xa338dec3945f8ac5d927010d93e272c1d82127efaf65a8681f61a61076c19c1a,https://etherscan.io/tx/0xa338dec3945f8ac5d927010d93e272c1d82127efaf65a8681f61a61076c19c1a,receive,0x45f50500874d2f900d18c0a998bbf6edc6321d77,ETH,1.33
06/05/2022,21:33:27,eth,0x602881126511b7e5c9e7f3f6e22d21f86877e49802c1b73a1161a43014a7c1f8,https://etherscan.io/tx/0x602881126511b7e5c9e7f3f6e22d21f86877e49802c1b73a1161a43014a7c1f8,send,0x45f50500874d2f900d18c0a998bbf6edc6321d77,ETH,-1.32
02/05/2022,17:29:40,eth,0x532a25d66f592c2b33038f50ae57d54b260c645cc4b7d731f5036531a836275e,https://etherscan.io/tx/0x532a25d66f592c2b33038f50ae57d54b260c645cc4b7d731f5036531a836275e,receive,0x45f50500874d2f900d18c0a998bbf6edc6321d77,ETH,1.42516
18/01/2022,17:21:59,bsc,0x97fc35c537d726bd6751179cd69ccff6322cbdd87d05b3c7460d7f07c278029f,https://bscscan.com/tx/0x97fc35c537d726bd6751179cd69ccff6322cbdd87d05b3c7460d7f07c278029f,receive,0x45f50500874d2f900d18c0a998bbf6edc6321d77,BUSD,170
