Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
23/03/2023,22:43:25,arb,0x62d3224b814364b3976497e37048facde110cdd34b9bcb39e45e1cf7c51c7e9e,https://arbiscan.io/tx/0x62d3224b814364b3976497e37048facde110cdd34b9bcb39e45e1cf7c51c7e9e,send,0x023a9e71848964720aa938d50f1232d34f46b470,ARB,-875
11/03/2018,01:28:33,eth,0x203a790217a94a4d09cbf6489d17c62cbd85c40f5faa597f18efb5f08a544e0f,https://etherscan.io/tx/0x203a790217a94a4d09cbf6489d17c62cbd85c40f5faa597f18efb5f08a544e0f,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,BEE,-890
07/03/2018,02:45:29,eth,0x9198ac536dd5c716bbb93a35a85796c59dd6d0fbd33a52dfad87e72c56bea33e,https://etherscan.io/tx/0x9198ac536dd5c716bbb93a35a85796c59dd6d0fbd33a52dfad87e72c56bea33e,receive,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,1.9
07/03/2018,02:33:05,eth,0x9d1d0508d93b4f7fa942d2a7387f7c41542e22d4cb63fc106c6bd9e47142922e,https://etherscan.io/tx/0x9d1d0508d93b4f7fa942d2a7387f7c41542e22d4cb63fc106c6bd9e47142922e,receive,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,1.9
05/02/2018,17:46:10,eth,0xb93cd44a0cb0b0468d1bc63d77214fd6a0c63fb189e84897359721effcc188dc,https://etherscan.io/tx/0xb93cd44a0cb0b0468d1bc63d77214fd6a0c63fb189e84897359721effcc188dc,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,-0.136664174
15/01/2018,21:05:00,eth,0x683fac2a0815852d760c098da05e060d1566bbce94920531d08e3e10269d2195,https://etherscan.io/tx/0x683fac2a0815852d760c098da05e060d1566bbce94920531d08e3e10269d2195,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,-2.07
14/01/2018,06:58:41,eth,0x6256ed4149b21faf8f328d1949ff2eb35fe502aa37be78922a775fcb812e3fa8,https://etherscan.io/tx/0x6256ed4149b21faf8f328d1949ff2eb35fe502aa37be78922a775fcb812e3fa8,receive,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,2
22/12/2017,06:17:36,eth,0x8e3be1f5a9e81eb6c0eaa7faeaa6fd56dafc192dd00aed0a0b98a0e08ec0e37f,https://etherscan.io/tx/0x8e3be1f5a9e81eb6c0eaa7faeaa6fd56dafc192dd00aed0a0b98a0e08ec0e37f,receive,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,5.05
20/09/2017,20:44:36,eth,0xb1507ff27d0c43ffaed659ff9792b4d397b2de693bcb7af4220d615e2cfd90a0,https://etherscan.io/tx/0xb1507ff27d0c43ffaed659ff9792b4d397b2de693bcb7af4220d615e2cfd90a0,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,-7.039852997
19/09/2017,19:12:48,eth,0x69700c2c067936afdcb2b2879f025435a2e4665344bf2d9a3c714a714c06e6f3,https://etherscan.io/tx/0x69700c2c067936afdcb2b2879f025435a2e4665344bf2d9a3c714a714c06e6f3,receive,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,7.04
12/09/2017,13:45:43,eth,0x3b76006b5fc8455e942d4e9f50f4fcded4e727acb414037ecaeb8597424767a7,https://etherscan.io/tx/0x3b76006b5fc8455e942d4e9f50f4fcded4e727acb414037ecaeb8597424767a7,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,-19.999915996
11/09/2017,21:54:39,eth,0x125450465fc4095b9102f8ed7de22a2b173d619d1031aa06486a5e9c65c62820,https://etherscan.io/tx/0x125450465fc4095b9102f8ed7de22a2b173d619d1031aa06486a5e9c65c62820,receive,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,20
27/02/2023,22:58:31,op,0xdd46c997a0da708c2550a1f2e0eb6bd907df239872d772c5b823b1a6cf3056d7,https://optimistic.etherscan.io/tx/0xdd46c997a0da708c2550a1f2e0eb6bd907df239872d772c5b823b1a6cf3056d7,send,0x183bffe026d50515516a8f873162396068143425,ETH,-0.0004
27/02/2023,20:16:12,arb,0x02772341937329ec7d199db9018d62cee6e0f694b701f32f9959fd22100aa187,https://arbiscan.io/tx/0x02772341937329ec7d199db9018d62cee6e0f694b701f32f9959fd22100aa187,receive,0x183bffe026d50515516a8f873162396068143425,ETH,0.0956291
27/04/2022,22:40:50,eth,0x598138bd9570ffb192f7590479b584e5af0efbbccabf9083384f0ca345f3780c,https://etherscan.io/tx/0x598138bd9570ffb192f7590479b584e5af0efbbccabf9083384f0ca345f3780c,receive,0x183bffe026d50515516a8f873162396068143425,USDT,5000
27/02/2023,20:16:03,arb,0xbc2e9c4555e0964b547b57e7fd765c410b8cb2eb601d1de3e5ecca75afabce90,https://arbiscan.io/tx/0xbc2e9c4555e0964b547b57e7fd765c410b8cb2eb601d1de3e5ecca75afabce90,receive,0x1f8f1b97863c44c41bde993aa078b2500d9424fa,ETH,0.0111737
11/10/2022,06:32:04,op,0x770e78cbfb7009adf2a3fa2ef94bc40cacbb43788f474a1c6b6da0f52ea640af,https://optimistic.etherscan.io/tx/0x770e78cbfb7009adf2a3fa2ef94bc40cacbb43788f474a1c6b6da0f52ea640af,send,0x1f8f1b97863c44c41bde993aa078b2500d9424fa,ETH,-0.0677
01/12/2022,16:09:08,op,0xb153a29339b45033a72920934c4124f1214fc18ae6804317994347ddd65f9f27,https://optimistic.etherscan.io/tx/0xb153a29339b45033a72920934c4124f1214fc18ae6804317994347ddd65f9f27,receive,0x2271eb7bc6c70dd533379758b70aadff075d72b7,USDC,267.53
22/03/2023,20:17:05,bsc,0x0078dce1c9687bd52cad049642ee6d43c08f93ffe7b1bfc314253b03a4a2bbbe,https://bscscan.com/tx/0x0078dce1c9687bd52cad049642ee6d43c08f93ffe7b1bfc314253b03a4a2bbbe,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ID,-83.81299999999999
16/05/2023,22:36:25,arb,0xa0027c6f515bd7fa0125239b697d17b03c6a3b1eba7f916598458326cb0f4166,https://arbiscan.io/tx/0xa0027c6f515bd7fa0125239b697d17b03c6a3b1eba7f916598458326cb0f4166,send,0x430cff5356fdbad334e8c992e5be56bed769b0ce,ETH,-0.11354902442124326
27/02/2023,20:15:49,arb,0x8221384134c421a3e733e90f640322735ee9e0abb0319eaef45a1d556d8b928d,https://arbiscan.io/tx/0x8221384134c421a3e733e90f640322735ee9e0abb0319eaef45a1d556d8b928d,receive,0x448eb1f657e3ae6b381f3f82321b838af4fea266,ETH,0.0281694
05/12/2022,04:33:24,matic,0xc441a0ac33d463d37de0e06b73c5c34c4b0da4344b9a50da8b88dbd6f928c4da,https://polygonscan.com/tx/0xc441a0ac33d463d37de0e06b73c5c34c4b0da4344b9a50da8b88dbd6f928c4da,receive,0x448eb1f657e3ae6b381f3f82321b838af4fea266,MATIC,22662.219940051687
05/12/2022,02:38:47,op,0xf4e0e47354996501abfa07d09e66a0241fed29af266cba31d9f86eddcf5fa6ab,https://optimistic.etherscan.io/tx/0xf4e0e47354996501abfa07d09e66a0241fed29af266cba31d9f86eddcf5fa6ab,receive,0x448eb1f657e3ae6b381f3f82321b838af4fea266,ETH,35.104264947856606
05/12/2022,01:59:28,op,0x68259744ee4af9cf4d4176175d836de83c2c4a7d0b122f07b6a5118b41f98c75,https://optimistic.etherscan.io/tx/0x68259744ee4af9cf4d4176175d836de83c2c4a7d0b122f07b6a5118b41f98c75,receive,0x448eb1f657e3ae6b381f3f82321b838af4fea266,ETH,0.11853287347165094
04/12/2022,19:03:11,eth,0x219e0ff0ebb00e42a7cb2046a91437cb19bae4163029cd6ddb566869067121c5,https://etherscan.io/tx/0x219e0ff0ebb00e42a7cb2046a91437cb19bae4163029cd6ddb566869067121c5,receive,0x448eb1f657e3ae6b381f3f82321b838af4fea266,ETH,35.77726663746164
03/12/2022,22:52:05,arb,0x31c386695268465c44386fe7f65ba0b45a037cbc1bf0fd1b0b5a537b31c8909d,https://arbiscan.io/tx/0x31c386695268465c44386fe7f65ba0b45a037cbc1bf0fd1b0b5a537b31c8909d,receive,0x448eb1f657e3ae6b381f3f82321b838af4fea266,ETH,33.02733939155286
23/11/2022,18:16:11,op,0x73eedb4f2be90ef6695b9f1d14f291f0064f46d8ef859f229c22d491737e12d9,https://optimistic.etherscan.io/tx/0x73eedb4f2be90ef6695b9f1d14f291f0064f46d8ef859f229c22d491737e12d9,receive,0x448eb1f657e3ae6b381f3f82321b838af4fea266,WETH,34.340042040236575
15/11/2022,18:50:11,op,0xe44fe9036ac305a96a70154b59e008547dabbb59ac091b050af325cba265109b,https://optimistic.etherscan.io/tx/0xe44fe9036ac305a96a70154b59e008547dabbb59ac091b050af325cba265109b,receive,0x448eb1f657e3ae6b381f3f82321b838af4fea266,ETH,0.0123
15/11/2022,18:49:41,op,0x9bb350d634d6ce8fa88dce3a602d0aee593301ed2c9dc56aa31322ceab5f491e,https://optimistic.etherscan.io/tx/0x9bb350d634d6ce8fa88dce3a602d0aee593301ed2c9dc56aa31322ceab5f491e,receive,0x448eb1f657e3ae6b381f3f82321b838af4fea266,sUSD,24
09/12/2021,22:12:58,eth,0x14cdf03b31dfe417338f74cfca6c90323d0b31fbfb3bf79b4d8f003b14c751dc,https://etherscan.io/tx/0x14cdf03b31dfe417338f74cfca6c90323d0b31fbfb3bf79b4d8f003b14c751dc,send,0x448eb1f657e3ae6b381f3f82321b838af4fea266,ETH,-0.01
