Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
07/04/2023,21:45:34,era,0x302ec874689b78637e5a8e4687b53f02d21e69fbab08e0a77aa46bcb7f3fd08b,https://era.zksync.network/tx/0x302ec874689b78637e5a8e4687b53f02d21e69fbab08e0a77aa46bcb7f3fd08b,send,0x041f7776a0b68488796b2a955c653dc04c204625,ZKP,-1
09/05/2023,20:10:35,arb,0x525d616a03b4b5da06a4daeb079916ce2054c86c27bb6f2458498cf915e32a16,https://arbiscan.io/tx/0x525d616a03b4b5da06a4daeb079916ce2054c86c27bb6f2458498cf915e32a16,receive,0x0f6f8cd73237d8ceb4af488868934adba989d1ea,ETH,0.000769009708158558
21/04/2023,01:50:28,arb,0xbfa56a06bce45b4358cf0d1b928a7b5522f61d7204017d94ef682bfaee89c10c,https://arbiscan.io/tx/0xbfa56a06bce45b4358cf0d1b928a7b5522f61d7204017d94ef682bfaee89c10c,send,0x0f6f8cd73237d8ceb4af488868934adba989d1ea,ETH,-0.001
16/04/2023,22:31:21,op,0xd2e0a9d9be2c0160abc4b50c541efc5aeb5796bebfb7890856db6098dd998283,https://optimistic.etherscan.io/tx/0xd2e0a9d9be2c0160abc4b50c541efc5aeb5796bebfb7890856db6098dd998283,receive,0x0f6f8cd73237d8ceb4af488868934adba989d1ea,ETH,0.11
15/04/2023,23:13:07,arb,0xa6db4ad2b7066e1281f656025defaa3791481594df7a549222dfda95344fec97,https://arbiscan.io/tx/0xa6db4ad2b7066e1281f656025defaa3791481594df7a549222dfda95344fec97,receive,0x0f6f8cd73237d8ceb4af488868934adba989d1ea,ETH,0.005
05/04/2023,11:17:52,op,0x71016cfae8d6c7e710667c4827e099b216d5e0b6684efddf3db1d9ab9365fdda,https://optimistic.etherscan.io/tx/0x71016cfae8d6c7e710667c4827e099b216d5e0b6684efddf3db1d9ab9365fdda,send,0x0f6f8cd73237d8ceb4af488868934adba989d1ea,ETH,-0.002
20/02/2023,01:57:53,matic,0x603de9660a19a7f154e6146f900a8998a5385916838218b2aefedaaf2be7ef1f,https://polygonscan.com/tx/0x603de9660a19a7f154e6146f900a8998a5385916838218b2aefedaaf2be7ef1f,receive,0x0f6f8cd73237d8ceb4af488868934adba989d1ea,WETH,0.00997
19/02/2023,04:50:20,nova,0x2f082b5080cb5de3265470fd2dd66858e7cdd8391b3054e439eec6359d4c38d7,https://nova.arbiscan.io/tx/0x2f082b5080cb5de3265470fd2dd66858e7cdd8391b3054e439eec6359d4c38d7,receive,0x0f6f8cd73237d8ceb4af488868934adba989d1ea,ETH,0.0076
16/02/2023,07:30:32,nova,0xa00fe81dfbd1e2362cbee7f168ff3744434bdc0a968820cf87b41827089754e2,https://nova.arbiscan.io/tx/0xa00fe81dfbd1e2362cbee7f168ff3744434bdc0a968820cf87b41827089754e2,receive,0x0f6f8cd73237d8ceb4af488868934adba989d1ea,ETH,0.002
12/12/2022,02:03:54,op,0x06b61e163b35dad4a7c189b8e1c91b5bf1daf1909570d8687b1f0ea3b67b876d,https://optimistic.etherscan.io/tx/0x06b61e163b35dad4a7c189b8e1c91b5bf1daf1909570d8687b1f0ea3b67b876d,receive,0x0f6f8cd73237d8ceb4af488868934adba989d1ea,ETH,0.051
25/02/2024,16:45:13,op,0x0256484aa3431fa85cf4949b18dc44511cf3b107a7cb607d4fbad2c03a168be5,https://optimistic.etherscan.io/tx/0x0256484aa3431fa85cf4949b18dc44511cf3b107a7cb607d4fbad2c03a168be5,send,0x13ce8d43abe7fa29fc22ada9f957291648c8d770,ETH,-0.1028153
16/09/2023,19:26:25,op,0x3ceaa19ca12d4cad9f96ab8339b386289a8d1240efb282d0b1ed0d964f0abe8c,https://optimistic.etherscan.io/tx/0x3ceaa19ca12d4cad9f96ab8339b386289a8d1240efb282d0b1ed0d964f0abe8c,send,0x146dc2e7d242300e4f1f321cc6fa32a3e1e32927,ETH,-0.0009
22/08/2022,07:46:55,nova,0x3204eb92926d0a83b043515d62240d40a2bcd809373e3ea958c3b1be8437e127,https://nova.arbiscan.io/tx/0x3204eb92926d0a83b043515d62240d40a2bcd809373e3ea958c3b1be8437e127,receive,0x146dc2e7d242300e4f1f321cc6fa32a3e1e32927,ETH,0.0027
