Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
23/03/2023,22:43:58,arb,0x20044d179068e89bc08de8f888dffbfc3ebff0c238065c1969cf0b05817d2fdd,https://arbiscan.io/tx/0x20044d179068e89bc08de8f888dffbfc3ebff0c238065c1969cf0b05817d2fdd,send,0x023a9e71848964720aa938d50f1232d34f46b470,ARB,-625
12/03/2018,02:46:37,eth,0xfb04b5e92407d7ae4051f04ff78afce0c253e5935d99a309f5c3ffe93c12a115,https://etherscan.io/tx/0xfb04b5e92407d7ae4051f04ff78afce0c253e5935d99a309f5c3ffe93c12a115,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,BEE,-890
05/02/2018,17:56:38,eth,0xcb2c34124f3e21047f73b30cb8445e3c4a2392b7ebd08e991a26cbf58ed9d3e6,https://etherscan.io/tx/0xcb2c34124f3e21047f73b30cb8445e3c4a2392b7ebd08e991a26cbf58ed9d3e6,send,0x0413f607ebce5fc58e3fdc8eb0bbfd7420df8835,ETH,-0.142756679
22/03/2023,21:18:00,bsc,0x0cd3abbfa073cf7d3192648827bcb682c320baf8c975ef99c18b1e941dff6c39,https://bscscan.com/tx/0x0cd3abbfa073cf7d3192648827bcb682c320baf8c975ef99c18b1e941dff6c39,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ID,-83.46199999999999
16/05/2023,22:37:42,arb,0x1bf241743cea2fea22906b54cdadbd0f27e45f262efb39bdbfa013a113468aed,https://arbiscan.io/tx/0x1bf241743cea2fea22906b54cdadbd0f27e45f262efb39bdbfa013a113468aed,send,0x430cff5356fdbad334e8c992e5be56bed769b0ce,ETH,-0.11775446627966803
01/12/2022,17:03:09,op,0x2d79647791c0d80cb4d45138240d25caf9520a00508cc7a348cad976736bc06e,https://optimistic.etherscan.io/tx/0x2d79647791c0d80cb4d45138240d25caf9520a00508cc7a348cad976736bc06e,send,0x448eb1f657e3ae6b381f3f82321b838af4fea266,USDC,-267.6858
11/05/2023,19:07:16,op,0x2cbbfb3e5c5067ba60aed4ac5af3a5db396fddb3b435247bd857201dd15dfebe,https://optimistic.etherscan.io/tx/0x2cbbfb3e5c5067ba60aed4ac5af3a5db396fddb3b435247bd857201dd15dfebe,send,0x5dd4eee26c31b44dff545c764742d6800dae3dc5,S*USDC,-1022.7006
10/05/2023,20:50:42,matic,0xdbfd87b51f130056c764466bfc8707e1177bd1bcd2e879d3ef422a6cc57e13fd,https://polygonscan.com/tx/0xdbfd87b51f130056c764466bfc8707e1177bd1bcd2e879d3ef422a6cc57e13fd,send,0x5dd4eee26c31b44dff545c764742d6800dae3dc5,USDC,-1054.697438
20/11/2022,02:13:42,op,0x819b0c995dc1f15b5a113e0a1a03248fb5855323e55ef6758cb30605b969ea36,https://optimistic.etherscan.io/tx/0x819b0c995dc1f15b5a113e0a1a03248fb5855323e55ef6758cb30605b969ea36,send,0x66419605e28803b0b7c3400d536db5853f7bd15b,WETH,-0.2739
14/09/2022,20:48:32,arb,0x085cde1611912ebbc2a2c869db83e057c416fb25b1010098fc0d49b1fd03a3fb,https://arbiscan.io/tx/0x085cde1611912ebbc2a2c869db83e057c416fb25b1010098fc0d49b1fd03a3fb,send,0x66419605e28803b0b7c3400d536db5853f7bd15b,ETH,-0.182
