Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/02/2024,17:00:09,matic,0x29d9de848587171c0fedbf7733fe9595929c548758083768e18c8228b24e3816,https://polygonscan.com/tx/0x29d9de848587171c0fedbf7733fe9595929c548758083768e18c8228b24e3816,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-7.137583
19/12/2023,13:49:43,linea,0x4a49db5e608e387eaabd94368201c1661493fc79fd0e031a96812cfd73c5c411,https://lineascan.build/tx/0x4a49db5e608e387eaabd94368201c1661493fc79fd0e031a96812cfd73c5c411,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:06:25,linea,0x3348beda5e604cbdf8bcc68e1ed69d6460bc79346f82a691e4f233032532bfa8,https://lineascan.build/tx/0x3348beda5e604cbdf8bcc68e1ed69d6460bc79346f82a691e4f233032532bfa8,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:48:50,nova,0x7d0b24477e5afc11c0229446d2b9d7d010ad6f91c597d2aea6afb45cf4ed506e,https://nova.arbiscan.io/tx/0x7d0b24477e5afc11c0229446d2b9d7d010ad6f91c597d2aea6afb45cf4ed506e,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.0039712046195932
25/08/2023,21:32:30,ftm,0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,https://ftmscan.com/tx/0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:25:15,matic,0x8ae7152dc30e77517ef6ea48468685ee01b6f760e55ffb7c2721900f519617a1,https://polygonscan.com/tx/0x8ae7152dc30e77517ef6ea48468685ee01b6f760e55ffb7c2721900f519617a1,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
22/11/2023,02:56:01,op,0x2ca7b54d5d2d8c26af63c31b9b9d5544a2416892afd3bb8f3965110af7a6832f,https://optimistic.etherscan.io/tx/0x2ca7b54d5d2d8c26af63c31b9b9d5544a2416892afd3bb8f3965110af7a6832f,receive,0x0591215c6cc1d186a52decdff24e5a79f861e0f2,ETH,0.5686
24/07/2023,04:41:26,dfk,0xb527005cefaa1ce4205caa22160abd482ae605501a40a35fabc4b1be93a5529b,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xb527005cefaa1ce4205caa22160abd482ae605501a40a35fabc4b1be93a5529b,receive,0x0591215c6cc1d186a52decdff24e5a79f861e0f2,DFKGOLD,100
24/07/2023,04:39:37,dfk,0xc75e6ba0936b37ca8f5e791d087cab44139ef5fd5529072c4953366729420cfc,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xc75e6ba0936b37ca8f5e791d087cab44139ef5fd5529072c4953366729420cfc,receive,0x0591215c6cc1d186a52decdff24e5a79f861e0f2,JEWEL,1
23/07/2023,23:02:54,bsc,0xd5f964ec7c57783b9bb9ea93dd73aeaa1331886ba52375af08e81116cbbd1ef3,https://bscscan.com/tx/0xd5f964ec7c57783b9bb9ea93dd73aeaa1331886ba52375af08e81116cbbd1ef3,send,0x0591215c6cc1d186a52decdff24e5a79f861e0f2,BNB,-0.02
16/06/2023,14:55:41,bsc,0xd1808540fd8e36f31fc805516b150db8329fe38e66bc125786d4fd569371e3e9,https://bscscan.com/tx/0xd1808540fd8e36f31fc805516b150db8329fe38e66bc125786d4fd569371e3e9,receive,0x0591215c6cc1d186a52decdff24e5a79f861e0f2,BNB,0.3
12/04/2023,19:03:52,bsc,0x3e29d3a929fa10f6935beeea8dea792ccf11bcb7e1c23eb22df2b8fae2ad01a1,https://bscscan.com/tx/0x3e29d3a929fa10f6935beeea8dea792ccf11bcb7e1c23eb22df2b8fae2ad01a1,receive,0x0591215c6cc1d186a52decdff24e5a79f861e0f2,BNB,0.0235
11/02/2023,23:26:11,eth,0xac09be8bcb15e7b06153442eb6995904c9e80f0b37072c1bc7ae74d5f4281005,https://etherscan.io/tx/0xac09be8bcb15e7b06153442eb6995904c9e80f0b37072c1bc7ae74d5f4281005,receive,0x0591215c6cc1d186a52decdff24e5a79f861e0f2,ETH,0.03
30/01/2023,11:16:35,eth,0xff1fea2281204cc7fb385236139941909f1a05ea86646df73b5c8b56dfdd81bd,https://etherscan.io/tx/0xff1fea2281204cc7fb385236139941909f1a05ea86646df73b5c8b56dfdd81bd,receive,0x2808fadf1a325e497c46b0945b54a9b4fbe1eb44,ETH,0.00186887934177
30/01/2023,11:16:59,eth,0x7f94168690b7dc906b9502fa362c4057c89c12cf3afaddf52005cf8ebd32de38,https://etherscan.io/tx/0x7f94168690b7dc906b9502fa362c4057c89c12cf3afaddf52005cf8ebd32de38,receive,0x3d183a1dd2e43f47c9be4e7c939d1b87e4014600,ETH,0.001821148879998
12/12/2021,18:33:08,eth,0x72e4a765a4db14da723848b83630d5d4c6fafd9b5b07e68a5b96170945bd6a5a,https://etherscan.io/tx/0x72e4a765a4db14da723848b83630d5d4c6fafd9b5b07e68a5b96170945bd6a5a,send,0x3d83412902d587c89280eff64c85304a7162504c,ETH,-0.0072
23/02/2023,22:57:37,matic,0xeefe27abc9749b36f2cd33e6c23433660cbbe7c6f676f2c6ceb622a39e919bd5,https://polygonscan.com/tx/0xeefe27abc9749b36f2cd33e6c23433660cbbe7c6f676f2c6ceb622a39e919bd5,receive,0x53443858cfd6d199e80fda52a77382f6dd9dc69c,CLGM,1
21/08/2023,02:15:10,xdai,0xb48b06a66e47b4e956904ecf4e552fa60b4aff2912f72f6809a97701a0b27302,https://gnosisscan.io/tx/0xb48b06a66e47b4e956904ecf4e552fa60b4aff2912f72f6809a97701a0b27302,send,0x5d51cdfd17d970cb4d6e2395d49c0a1e94107537,xDai,-0.07
21/08/2023,02:18:30,xdai,0xa02aa0be7b942820e7f7fbbab517a50785650f1dbcba7e521d57f32cf28a4deb,https://gnosisscan.io/tx/0xa02aa0be7b942820e7f7fbbab517a50785650f1dbcba7e521d57f32cf28a4deb,send,0x5dce2b2f765f76f03467d121135eb279e382dae5,xDai,-0.07
21/08/2023,02:21:15,xdai,0x950268bf89e253c9e4c4b6f3da4a49e9507857b222dfc86d857706160db8b014,https://gnosisscan.io/tx/0x950268bf89e253c9e4c4b6f3da4a49e9507857b222dfc86d857706160db8b014,send,0x7901d0cf0c2972a65c24e822a4363a51244bff84,xDai,-0.07
12/12/2021,18:33:08,eth,0x48c1a4425dc4b963eba42324573327d9bdb259f38a66ae9e1fe98297d70ad6c9,https://etherscan.io/tx/0x48c1a4425dc4b963eba42324573327d9bdb259f38a66ae9e1fe98297d70ad6c9,send,0x7f6d43cd6e14848b739e69e67658215e32924983,ETH,-0.0072
28/07/2023,15:01:37,celo,0x6311b3ac18bdf70198d6501c672c0da5ef0a01bfd782e5380189f85a04d9a05c,https://celoscan.io/tx/0x6311b3ac18bdf70198d6501c672c0da5ef0a01bfd782e5380189f85a04d9a05c,receive,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,EURA,0.01
22/06/2023,21:03:41,op,0x087742253862d25d57b54c42b8c0b8a0169b40f9c65ac622cae3a74eaabdbd7f,https://optimistic.etherscan.io/tx/0x087742253862d25d57b54c42b8c0b8a0169b40f9c65ac622cae3a74eaabdbd7f,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,COLLAB,-10
11/06/2023,01:55:59,op,0xb3809c3bc9c380b46b4c5cce8c42d777b698782b55f62b340760f68819c77b53,https://optimistic.etherscan.io/tx/0xb3809c3bc9c380b46b4c5cce8c42d777b698782b55f62b340760f68819c77b53,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,USDC,-53.174429
11/06/2023,01:52:11,op,0x5534c5761bb3a92248f3f46e0a22f85e7cc132bb44397d90572007d64b01bc96,https://optimistic.etherscan.io/tx/0x5534c5761bb3a92248f3f46e0a22f85e7cc132bb44397d90572007d64b01bc96,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,sUSD,-67.62743001465398
03/03/2023,00:15:54,matic,0x463ebd5e2adf3c1c6a27026a1bd4e9ea94f4deb8fa299bf9d1d2a1fc1d31b1d2,https://polygonscan.com/tx/0x463ebd5e2adf3c1c6a27026a1bd4e9ea94f4deb8fa299bf9d1d2a1fc1d31b1d2,receive,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,GALHOL,1
21/02/2023,21:42:17,op,0x883df0a20f04f566fe6ed1db92a66a2dc5834977f7b580586adac4d045cff95b,https://optimistic.etherscan.io/tx/0x883df0a20f04f566fe6ed1db92a66a2dc5834977f7b580586adac4d045cff95b,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,OP,-7.011226616448017
19/02/2023,15:47:14,nova,0x3d9099c16067145fb5645e9b207472ba1eabed64e529933532b814d7bfad5394,https://nova.arbiscan.io/tx/0x3d9099c16067145fb5645e9b207472ba1eabed64e529933532b814d7bfad5394,receive,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,ETH,0.002
17/02/2023,01:49:11,matic,0x4632af5d6845b1b595e12ed3e66fdf603b7252fe40c685caec6bca5066835813,https://polygonscan.com/tx/0x4632af5d6845b1b595e12ed3e66fdf603b7252fe40c685caec6bca5066835813,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,USDC,-0.10173
11/02/2023,16:23:54,bsc,0x01be71aeb6128fb17e4b4f4f9a394454c0cb62743e0cfa566a71b49c79989854,https://bscscan.com/tx/0x01be71aeb6128fb17e4b4f4f9a394454c0cb62743e0cfa566a71b49c79989854,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,BNB,-0.199297455
