Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
18/11/2022,19:45:25,bsc,0xc08f96fd17a05a69441e50bb0ecc69e01648d442ede20d32e2307a779564ee4f,https://bscscan.com/tx/0xc08f96fd17a05a69441e50bb0ecc69e01648d442ede20d32e2307a779564ee4f,send,0x0b5c9ad0c21bd659e1c7a8881d4ec212d8ba48ba,BUSD,-1.5
24/12/2022,17:27:57,matic,0x6a981248014e8fd00cafbac7bbe1a22ed3d414231bbf6095c36e4c597c7f5196,https://polygonscan.com/tx/0x6a981248014e8fd00cafbac7bbe1a22ed3d414231bbf6095c36e4c597c7f5196,receive,0x0e4851f6464471004bc9736fe8f66eb82591650e,USDC,0.01
24/11/2022,23:43:46,matic,0x56ee89b0a5b1564d29da187e0d9c3e21b542903d636892f23ba7f86c5354666c,https://polygonscan.com/tx/0x56ee89b0a5b1564d29da187e0d9c3e21b542903d636892f23ba7f86c5354666c,receive,0x0e4851f6464471004bc9736fe8f66eb82591650e,USDC,0.5
15/02/2023,23:27:22,bsc,0xc03ae783ac975a89a84120ead15511990124176260cbaa6a77072bd906dcf716,https://bscscan.com/tx/0xc03ae783ac975a89a84120ead15511990124176260cbaa6a77072bd906dcf716,send,0x2402dd9b8057b3e2dd53ede5a9bdf56bc0de7000,BUSD,-7.4
11/12/2021,18:01:49,bsc,0xebbb30b7da42cee1cd369f077adc2b71f64e0741730dfeb1028b384a9af6d1ff,https://bscscan.com/tx/0xebbb30b7da42cee1cd369f077adc2b71f64e0741730dfeb1028b384a9af6d1ff,send,0x26f82edc0e0f90b2bb673d73e0730bfc0aa76384,BUSD,-40
10/12/2021,22:48:11,bsc,0x10a8f18edc4f7bd9cc2bdbe9facd2da0afec240f69ba163e0906981e3c60db68,https://bscscan.com/tx/0x10a8f18edc4f7bd9cc2bdbe9facd2da0afec240f69ba163e0906981e3c60db68,send,0x26f82edc0e0f90b2bb673d73e0730bfc0aa76384,BNB,-0.016
24/11/2021,23:25:29,bsc,0xbb42e70bcaaf01983e48fa66baeceb82662a0b9cd2cdb04cd9fe685b0b3ceadb,https://bscscan.com/tx/0xbb42e70bcaaf01983e48fa66baeceb82662a0b9cd2cdb04cd9fe685b0b3ceadb,send,0x55ab1798a3c717d009671d3118894284d83a8ba9,BUSD,-100
11/08/2021,23:37:46,bsc,0x329255160b31fdae3587b9ec409fbc529c346557100a172e09e3a940b15d8a41,https://bscscan.com/tx/0x329255160b31fdae3587b9ec409fbc529c346557100a172e09e3a940b15d8a41,send,0x55ab1798a3c717d009671d3118894284d83a8ba9,BUSD,-45
07/11/2022,17:32:34,bsc,0xe8057fa9d5d234499ba27bc48366c3fd318ec65938aa8e5660885b00b2e3af8d,https://bscscan.com/tx/0xe8057fa9d5d234499ba27bc48366c3fd318ec65938aa8e5660885b00b2e3af8d,send,0x579cd2fca20009b00b0dfd4c0ea08d1cca9c348d,BUSD,-65
23/01/2023,20:39:48,bsc,0xb637e2bc1540fe53ee66d7a236c2f36ddf49f476df37d06c042e5da1b0efd4bd,https://bscscan.com/tx/0xb637e2bc1540fe53ee66d7a236c2f36ddf49f476df37d06c042e5da1b0efd4bd,send,0x59d898d5db5364cd83f09a3d7dfdb78f1a5d347e,BUSD,-70
19/11/2021,16:30:52,matic,0x49e7c149a5dfc15746e8eb478e88560b0934ea920d60935afa7789587a8b6160,https://polygonscan.com/tx/0x49e7c149a5dfc15746e8eb478e88560b0934ea920d60935afa7789587a8b6160,receive,0x5b72d6744d6b7f0e4e6f81f4d3be3878620bebee,MATIC,1.4
19/11/2021,16:29:40,bsc,0xc5dce067e0c262da396446d5b3d59b64fcd054257145b11d5f31d03aaf9cd0ab,https://bscscan.com/tx/0xc5dce067e0c262da396446d5b3d59b64fcd054257145b11d5f31d03aaf9cd0ab,send,0x5b72d6744d6b7f0e4e6f81f4d3be3878620bebee,BUSD,-2.5
17/10/2021,23:14:36,bsc,0xd4b566cd6c125f1f6c49d51aade3ea2e5db4f5a397a2fdc9ee274f159daf5a0c,https://bscscan.com/tx/0xd4b566cd6c125f1f6c49d51aade3ea2e5db4f5a397a2fdc9ee274f159daf5a0c,receive,0x5bec4a47f2e8529a27dac5f34d0c5bc2e8064ea0,BUSD,5
17/10/2021,22:53:58,matic,0x0c066c2074ea72b8a6c6ed162d0f25553452bc6c77a34c4efe09d585aa58d831,https://polygonscan.com/tx/0x0c066c2074ea72b8a6c6ed162d0f25553452bc6c77a34c4efe09d585aa58d831,send,0x5bec4a47f2e8529a27dac5f34d0c5bc2e8064ea0,MATIC,-3
