Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
10/01/2023,17:43:38,op,0x1165a5e2c0c3844742916f98b66a88278e9517b16f6268ba0b89efcace7c6ab9,https://optimistic.etherscan.io/tx/0x1165a5e2c0c3844742916f98b66a88278e9517b16f6268ba0b89efcace7c6ab9,receive,0x011feb9802b878fd5d497a05f06782c12c5cad27,USDC,103.212237
10/01/2023,17:37:38,op,0x13634873a5afdbfe0f37ed0623f5fae1d3bc4143c4348033cc5546eaf38631dd,https://optimistic.etherscan.io/tx/0x13634873a5afdbfe0f37ed0623f5fae1d3bc4143c4348033cc5546eaf38631dd,receive,0x01874f8e9f96a2721725724f640c0c4895333ede,USDC,103.118467
13/11/2022,19:36:28,arb,0x8de470fefac426d2e4c9fd8e9d6116eeb8c4e15512bddd34442b031bf062b488,https://arbiscan.io/tx/0x8de470fefac426d2e4c9fd8e9d6116eeb8c4e15512bddd34442b031bf062b488,receive,0x01874f8e9f96a2721725724f640c0c4895333ede,ETH,0.07
10/01/2023,17:38:38,op,0x73fdf124d5abc3853a88192c3767f51abb15a4bd6868f6b10be9aedb15d29bc2,https://optimistic.etherscan.io/tx/0x73fdf124d5abc3853a88192c3767f51abb15a4bd6868f6b10be9aedb15d29bc2,receive,0x020ea80c38af0e5dcb3e8103131354fee7d35ba5,USDC,103.716431
13/11/2022,19:35:09,arb,0x24e802b94c4bc94662e3b310b53c59005b87b03abe47ed30c282712c53b3b9d2,https://arbiscan.io/tx/0x24e802b94c4bc94662e3b310b53c59005b87b03abe47ed30c282712c53b3b9d2,receive,0x020ea80c38af0e5dcb3e8103131354fee7d35ba5,ETH,0.07
28/01/2023,20:08:25,op,0xda8d3627e1203fc2a6e4fb9b4df07b236c88706d7651ba4fe7268be9408892bc,https://optimistic.etherscan.io/tx/0xda8d3627e1203fc2a6e4fb9b4df07b236c88706d7651ba4fe7268be9408892bc,send,0x084724cbf55f8dad39fd89868b7b8608766806d9,ETH,-0.0096652
12/12/2022,23:55:14,op,0xf1e26bbf6a9ffd58631093590e384e7529e7c4157e1d5671ff29b3d049c30b1c,https://optimistic.etherscan.io/tx/0xf1e26bbf6a9ffd58631093590e384e7529e7c4157e1d5671ff29b3d049c30b1c,send,0x084724cbf55f8dad39fd89868b7b8608766806d9,USDC,-54.668578
10/01/2023,17:36:53,op,0xa6eea464591da2b8f26fdb088554270873f6dab589caba77283cb21c101d787a,https://optimistic.etherscan.io/tx/0xa6eea464591da2b8f26fdb088554270873f6dab589caba77283cb21c101d787a,receive,0x1d0c6aa572cd7a4fda0794ca5408e553a4799eca,USDC,103.016613
13/11/2022,19:38:07,arb,0xb4250375c8347fc927a72e3e04d964d01e8fe8ed7e68c34d2ab4476d9fc85445,https://arbiscan.io/tx/0xb4250375c8347fc927a72e3e04d964d01e8fe8ed7e68c34d2ab4476d9fc85445,receive,0x1d0c6aa572cd7a4fda0794ca5408e553a4799eca,ETH,0.07
10/01/2023,17:41:23,op,0x578ebdb7f8e0775cf3185b0a1b147f9f19fdb8803801dbdecf84a0406292ad30,https://optimistic.etherscan.io/tx/0x578ebdb7f8e0775cf3185b0a1b147f9f19fdb8803801dbdecf84a0406292ad30,receive,0x1e4470b1d9ca034d8627ba1ac3281a97f760bb59,USDC,104.009177
13/11/2022,19:15:44,arb,0xb0b3a698b2c1e48ce1dae0d186e94256a608bbeedce537fe5a67c7b9881a4114,https://arbiscan.io/tx/0xb0b3a698b2c1e48ce1dae0d186e94256a608bbeedce537fe5a67c7b9881a4114,receive,0x1e4470b1d9ca034d8627ba1ac3281a97f760bb59,ETH,0.07
10/01/2023,17:36:23,op,0x3bc1d53d127a6286eaf212e0c33acce48435b2adf650f1ac3af0ad1ea7f82dfc,https://optimistic.etherscan.io/tx/0x3bc1d53d127a6286eaf212e0c33acce48435b2adf650f1ac3af0ad1ea7f82dfc,receive,0x1f66d1600a8a2bf94d3775427be2ae1e928cc06e,USDC,103.517947
13/11/2022,19:38:49,arb,0x2faa7dbb3b2779ca5185a1629f8ab85953ce3eef802b821062251cf2208147b2,https://arbiscan.io/tx/0x2faa7dbb3b2779ca5185a1629f8ab85953ce3eef802b821062251cf2208147b2,receive,0x1f66d1600a8a2bf94d3775427be2ae1e928cc06e,ETH,0.07
17/09/2022,19:41:14,arb,0x18169dcc381b37629ce976e9d485eeeed429103009852386268f04abcc4691aa,https://arbiscan.io/tx/0x18169dcc381b37629ce976e9d485eeeed429103009852386268f04abcc4691aa,send,0x1f66d1600a8a2bf94d3775427be2ae1e928cc06e,ETH,-1.6
10/01/2023,17:40:08,op,0x7e69e45f0965b8d093c197c51330b7b2bbc5afce6118bbaa3c4491f1e46722e7,https://optimistic.etherscan.io/tx/0x7e69e45f0965b8d093c197c51330b7b2bbc5afce6118bbaa3c4491f1e46722e7,receive,0x22aec562eb0d741e64a6d1f7ce310f79709ee2fa,USDC,103.872
13/11/2022,19:32:48,arb,0xeb310f6536286ea0a56d0ffa64b3a70f3c58201e5ea103e3a52fbcd30265f2d5,https://arbiscan.io/tx/0xeb310f6536286ea0a56d0ffa64b3a70f3c58201e5ea103e3a52fbcd30265f2d5,receive,0x22aec562eb0d741e64a6d1f7ce310f79709ee2fa,ETH,0.07
10/01/2023,17:39:38,op,0x360423a938c426bee06837686d4cd8caf8c7f72f28ce6d14768d3f64ddb8ca88,https://optimistic.etherscan.io/tx/0x360423a938c426bee06837686d4cd8caf8c7f72f28ce6d14768d3f64ddb8ca88,receive,0x29179e1fe783dabd5f9a37f4eb6f236f549c7ee6,USDC,103.184446
13/11/2022,19:33:35,arb,0x5c8d7e7ec449a430c5ef7a610df8385be052105110258b37c3562825b1324a9b,https://arbiscan.io/tx/0x5c8d7e7ec449a430c5ef7a610df8385be052105110258b37c3562825b1324a9b,receive,0x29179e1fe783dabd5f9a37f4eb6f236f549c7ee6,ETH,0.07
10/01/2023,17:43:53,op,0x7e1f7ced717c69cc7e323cf242564cb11081396b6e381c0f6140ae774297085c,https://optimistic.etherscan.io/tx/0x7e1f7ced717c69cc7e323cf242564cb11081396b6e381c0f6140ae774297085c,receive,0x296bd47052d751c71be6bd00f02a11444a65599c,USDC,103.621259
10/01/2023,17:40:23,op,0xedf809291068d0241d8a96bdccd9e5b4a196871c4fb818eb45a56484d5058f06,https://optimistic.etherscan.io/tx/0xedf809291068d0241d8a96bdccd9e5b4a196871c4fb818eb45a56484d5058f06,receive,0x2a6e16587ceb7855fe6f118ff410c048addf677f,USDC,103.821915
13/11/2022,19:32:38,arb,0x7fd02a5bb0849fe56d68b095eb5bcb2c0395289d62c0999739ee95767a91e7c2,https://arbiscan.io/tx/0x7fd02a5bb0849fe56d68b095eb5bcb2c0395289d62c0999739ee95767a91e7c2,receive,0x2a6e16587ceb7855fe6f118ff410c048addf677f,ETH,0.07
10/01/2023,17:41:53,op,0x78563047821284b1a284980ab0a6c6847c7540154a14a6b1c2f0a54806c0d1a0,https://optimistic.etherscan.io/tx/0x78563047821284b1a284980ab0a6c6847c7540154a14a6b1c2f0a54806c0d1a0,receive,0x328cefc86249d6d04c339441c5c6972106061494,USDC,103.517143
13/11/2022,19:14:02,arb,0x37ba607d741189a8b07d48fd5109e27a46000789f82723c8cf0a6b35fc50aac9,https://arbiscan.io/tx/0x37ba607d741189a8b07d48fd5109e27a46000789f82723c8cf0a6b35fc50aac9,receive,0x328cefc86249d6d04c339441c5c6972106061494,ETH,0.07
10/01/2023,17:32:53,op,0x2af8d1d150d39c9db497341df3861fe7bdd79dae2ef1489627152d01701fff94,https://optimistic.etherscan.io/tx/0x2af8d1d150d39c9db497341df3861fe7bdd79dae2ef1489627152d01701fff94,receive,0x339e3910986693ea51e23c941210a6151efba3e1,USDC,103.117897
13/11/2022,19:44:23,arb,0x075e2b12828c9366eb81ad30a7c495a357c81e0b44b3143799fa33568159e534,https://arbiscan.io/tx/0x075e2b12828c9366eb81ad30a7c495a357c81e0b44b3143799fa33568159e534,receive,0x339e3910986693ea51e23c941210a6151efba3e1,ETH,0.07
14/09/2022,20:30:36,arb,0x8eb26877169375dfb0709c825d5de8bd85ac8f3762365ef135bd2fbb789fdad4,https://arbiscan.io/tx/0x8eb26877169375dfb0709c825d5de8bd85ac8f3762365ef135bd2fbb789fdad4,receive,0x339e3910986693ea51e23c941210a6151efba3e1,ETH,0.12308483744128762
10/01/2023,17:37:08,op,0xb95050cf757ee9ffa9140b3ebf43ed75bce14cecd745a2d8a67428c261308be8,https://optimistic.etherscan.io/tx/0xb95050cf757ee9ffa9140b3ebf43ed75bce14cecd745a2d8a67428c261308be8,receive,0x344fe794afd0d42d12ce06bb00759ace858ce92e,USDC,103.215465
13/11/2022,19:37:58,arb,0x8677b7652e1d20717432ed7c8d656a99d9fbae018823269c30e19be233757f06,https://arbiscan.io/tx/0x8677b7652e1d20717432ed7c8d656a99d9fbae018823269c30e19be233757f06,receive,0x344fe794afd0d42d12ce06bb00759ace858ce92e,ETH,0.07
10/01/2023,17:36:53,op,0xd9beee29e4308ac392d01e762f57d694b9cdb25973dc3c5685460619cf31dbff,https://optimistic.etherscan.io/tx/0xd9beee29e4308ac392d01e762f57d694b9cdb25973dc3c5685460619cf31dbff,receive,0x404d84ac45b0bede2f696722b4a961d4fb745160,USDC,103.028394
