Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
15/09/2022,00:56:14,arb,0x810dd3076a84a1e077c6b0603e8a492570f8d81cc7836ecbd375efbcb617d477,https://arbiscan.io/tx/0x810dd3076a84a1e077c6b0603e8a492570f8d81cc7836ecbd375efbcb617d477,receive,0x011a57dfa7d8b655ea616a115180e0b2bcdb1c45,ETH,0.04124146707746575
23/03/2023,22:22:21,arb,0xb16ac618994271845f13d6b5f267d9ad4cd13ebd829d5e01a9a684e450512166,https://arbiscan.io/tx/0xb16ac618994271845f13d6b5f267d9ad4cd13ebd829d5e01a9a684e450512166,send,0x023a9e71848964720aa938d50f1232d34f46b470,ARB,-875
19/12/2022,13:52:10,op,0xf1757a494a40b6525009d1373204a6c4b96e9006de2faa6179506e6700937b4b,https://optimistic.etherscan.io/tx/0xf1757a494a40b6525009d1373204a6c4b96e9006de2faa6179506e6700937b4b,receive,0x0582ca62c4b807f3788142dab35c15e7199e3b6d,USDC,101.7737
10/12/2022,11:57:50,op,0xfe4c2bcc8f5306440fe6733825b2328906259092936bc411f9e41b971d24fe29,https://optimistic.etherscan.io/tx/0xfe4c2bcc8f5306440fe6733825b2328906259092936bc411f9e41b971d24fe29,receive,0x0582ca62c4b807f3788142dab35c15e7199e3b6d,USDC,54
31/07/2023,19:55:49,pze,0xcdf8e29ce656a167ef2e3ae0dcf045011eb28a7eee13d85be39b62579e5f0a5b,https://zkevm.polygonscan.com/tx/0xcdf8e29ce656a167ef2e3ae0dcf045011eb28a7eee13d85be39b62579e5f0a5b,send,0x09165ace351f732d697a378b5761b81df7e2f334,ETH,-0.000055341432
15/09/2022,00:56:27,arb,0x86906fa03d31f718e553a0bb8b1e9ca56bf577d13332858e9dd77ea189269a87,https://arbiscan.io/tx/0x86906fa03d31f718e553a0bb8b1e9ca56bf577d13332858e9dd77ea189269a87,receive,0x09165ace351f732d697a378b5761b81df7e2f334,ETH,0.4400641961877089
19/12/2022,13:39:25,op,0xe6ad72e2dfa1810f6d3cf10b4dee7828399aa259c564ccf659a32989b53eac40,https://optimistic.etherscan.io/tx/0xe6ad72e2dfa1810f6d3cf10b4dee7828399aa259c564ccf659a32989b53eac40,receive,0x0fb0d251630fc839d59a3605a1b5507d267ddb67,USDC,101.76215
10/12/2022,11:50:50,op,0xb88cfdfd250b4858562b0a69655d80876262621f948b08b90174a3679e28326e,https://optimistic.etherscan.io/tx/0xb88cfdfd250b4858562b0a69655d80876262621f948b08b90174a3679e28326e,receive,0x0fb0d251630fc839d59a3605a1b5507d267ddb67,USDC,54
15/09/2022,00:56:04,arb,0xc10dff1246b8beeadf08a25c198be7df1f2a69b53620c1ad029a57fced0a127c,https://arbiscan.io/tx/0xc10dff1246b8beeadf08a25c198be7df1f2a69b53620c1ad029a57fced0a127c,receive,0x0fb0d251630fc839d59a3605a1b5507d267ddb67,ETH,0.0444269519460139
07/12/2023,16:35:13,linea,0xd2f4b868f730f58f4679decbfad4f7fef9d717390fc1db346135f4835b53c068,https://lineascan.build/tx/0xd2f4b868f730f58f4679decbfad4f7fef9d717390fc1db346135f4835b53c068,receive,0x1003f7c841b78059ef48ad35c74d23bbfbdfb81b,ETH,0.0005
09/11/2023,20:15:01,pze,0xe36a8ae5f628f2c411813156fa57713080adce5e237850e8e493c2e6ddd8600b,https://zkevm.polygonscan.com/tx/0xe36a8ae5f628f2c411813156fa57713080adce5e237850e8e493c2e6ddd8600b,send,0x1003f7c841b78059ef48ad35c74d23bbfbdfb81b,ETH,-0.003677512610969732
19/12/2022,13:36:10,op,0x589d998496a5c5ebe8a0d8b75515d3367f898d31b9bc1fcf324ac5528b542e12,https://optimistic.etherscan.io/tx/0x589d998496a5c5ebe8a0d8b75515d3367f898d31b9bc1fcf324ac5528b542e12,receive,0x1003f7c841b78059ef48ad35c74d23bbfbdfb81b,USDC,100.79451
10/12/2022,12:05:20,op,0x71ff9b708014332c40677f295b47ba077e3c654c624bc94a9eb076652a186778,https://optimistic.etherscan.io/tx/0x71ff9b708014332c40677f295b47ba077e3c654c624bc94a9eb076652a186778,receive,0x13dd167a5036d63d3126c005577ee397441fecf9,USDC,54
15/09/2022,00:55:54,arb,0x8b4624927593ae1cd397b3dadce52a74622628b4fa22066b9d4560d9fba42c3e,https://arbiscan.io/tx/0x8b4624927593ae1cd397b3dadce52a74622628b4fa22066b9d4560d9fba42c3e,receive,0x147a981713013ac3dd664bc0c8bca15ad007475f,ETH,0.04353614995654641
19/12/2022,14:09:40,op,0xd1f990bd2a6dc61a19dfd1c356ec8ef6a766ac8b5b8ea72e6a7b6556d4f55e2f,https://optimistic.etherscan.io/tx/0xd1f990bd2a6dc61a19dfd1c356ec8ef6a766ac8b5b8ea72e6a7b6556d4f55e2f,receive,0x1cb718803965f265b8b12d09c40c18b38fc45a94,USDC,100.78103
19/12/2022,13:58:55,op,0x96c9b6c63c7b68285c96e0fc3cb67c6d3be2f21af7daae5eceb93fc29d667b51,https://optimistic.etherscan.io/tx/0x96c9b6c63c7b68285c96e0fc3cb67c6d3be2f21af7daae5eceb93fc29d667b51,receive,0x1ea73987ffc55df336c81c79dacb5181d03fafb5,USDC,101.91794
19/12/2022,13:46:55,op,0x752f9fc187eb4dc9f149be95ad9ab212483256ba54d1111b75dcbcc3ed6f7b2e,https://optimistic.etherscan.io/tx/0x752f9fc187eb4dc9f149be95ad9ab212483256ba54d1111b75dcbcc3ed6f7b2e,receive,0x299832716ed3edbfee2c8808ed4260804bd004e3,USDC,101.80035
19/12/2022,13:59:25,op,0xcd332b84d068aad88226eee41abbea6bb0bfc188a0a676b917542d3e99f37aa6,https://optimistic.etherscan.io/tx/0xcd332b84d068aad88226eee41abbea6bb0bfc188a0a676b917542d3e99f37aa6,receive,0x2ca12a0755d49a68e4720afeb428e98340ffe058,USDC,101.77617
19/12/2022,13:40:55,op,0x217d5f1ae19a3e076b3b5af3f0fa48a4a5f8a05958c7d7e7b14c2a29810b3db9,https://optimistic.etherscan.io/tx/0x217d5f1ae19a3e076b3b5af3f0fa48a4a5f8a05958c7d7e7b14c2a29810b3db9,receive,0x2e43740416ff12302c3cc9c6129d317738118dfa,USDC,101.79294
15/09/2022,00:54:21,arb,0xc6401deaef90131d60fcdccd7a4ebd26cf26b436a7c0bb444f91d40d4dc6c480,https://arbiscan.io/tx/0xc6401deaef90131d60fcdccd7a4ebd26cf26b436a7c0bb444f91d40d4dc6c480,receive,0x2e43740416ff12302c3cc9c6129d317738118dfa,ETH,0.04363633074366305
22/03/2023,20:41:06,bsc,0xc268cadf96eac9e443c20fc9c1a0124051ad83a3ca248d00c3531496837b7f00,https://bscscan.com/tx/0xc268cadf96eac9e443c20fc9c1a0124051ad83a3ca248d00c3531496837b7f00,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ID,-81.356
