Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
09/02/2024,00:07:14,bsc,0x87215b267e9de71a6dd75e6d7566fa75dfcb8391dc30c943fe53a3cf1bcd8155,https://bscscan.com/tx/0x87215b267e9de71a6dd75e6d7566fa75dfcb8391dc30c943fe53a3cf1bcd8155,receive,0x017e1f81b2e17bd02c4cd337fcbeabe01a0b4bf0,USDT,7
29/01/2024,04:35:19,matic,0xe6928ada588f048b93d2976142aa4edc084109363122e666f87b64030b4570ab,https://polygonscan.com/tx/0xe6928ada588f048b93d2976142aa4edc084109363122e666f87b64030b4570ab,receive,0x14e378dfbd9cc1fa83633d49e1ee4d12614714e8,USDT,12.7
28/01/2024,23:22:44,matic,0xc0902092cbda3db95c566c6877a504fc91d8812d97c24e4501eff0f89f5bcfa4,https://polygonscan.com/tx/0xc0902092cbda3db95c566c6877a504fc91d8812d97c24e4501eff0f89f5bcfa4,receive,0x14e378dfbd9cc1fa83633d49e1ee4d12614714e8,USDT,65
19/07/2023,01:50:54,bsc,0x8ebfc1d611293c8c4e935b35df580efb127d0d1142c76631cf6dfb58ae7d6574,https://bscscan.com/tx/0x8ebfc1d611293c8c4e935b35df580efb127d0d1142c76631cf6dfb58ae7d6574,receive,0x2402dd9b8057b3e2dd53ede5a9bdf56bc0de7000,USDT,3.9
16/07/2023,19:43:39,bsc,0x1a0bf4ac370f2dc97e735f0e47382d1a245c5c247d37894f58ad0c1fbc14cace,https://bscscan.com/tx/0x1a0bf4ac370f2dc97e735f0e47382d1a245c5c247d37894f58ad0c1fbc14cace,send,0x2402dd9b8057b3e2dd53ede5a9bdf56bc0de7000,USDT,-7.8
09/07/2023,07:02:27,bsc,0x28deb6dd7572db92dc445c12644d92f770cbecf631c6c57a35d6baa244322970,https://bscscan.com/tx/0x28deb6dd7572db92dc445c12644d92f770cbecf631c6c57a35d6baa244322970,receive,0x2402dd9b8057b3e2dd53ede5a9bdf56bc0de7000,USDT,3.75
09/07/2023,01:09:02,bsc,0xb3cd5c3d96cbcd1468d6424054af3bd4cba2562a9a236a7aab148d403aa1b1ea,https://bscscan.com/tx/0xb3cd5c3d96cbcd1468d6424054af3bd4cba2562a9a236a7aab148d403aa1b1ea,send,0x2402dd9b8057b3e2dd53ede5a9bdf56bc0de7000,USDT,-3
02/07/2023,18:39:41,bsc,0x99aedbecf54f9bedefd7b2b3d9ec796fff445aef6b28926cfedbee18a84e87e8,https://bscscan.com/tx/0x99aedbecf54f9bedefd7b2b3d9ec796fff445aef6b28926cfedbee18a84e87e8,send,0x2402dd9b8057b3e2dd53ede5a9bdf56bc0de7000,USDT,-28
28/06/2023,02:41:39,bsc,0xb560e49eb6048b784b77a9fd0345289fe89e623935e598f721407023dcc81da1,https://bscscan.com/tx/0xb560e49eb6048b784b77a9fd0345289fe89e623935e598f721407023dcc81da1,receive,0x2402dd9b8057b3e2dd53ede5a9bdf56bc0de7000,USDT,28
22/12/2023,23:50:25,matic,0x4856ab9e586fbc24c20ef69e2fe600fc20b4eec8b09c2c517b08c09129ae77c8,https://polygonscan.com/tx/0x4856ab9e586fbc24c20ef69e2fe600fc20b4eec8b09c2c517b08c09129ae77c8,send,0x2652182b51f783e0b9ed901cb51676e7d72d0382,MATIC,-6
22/12/2023,21:52:39,manta,0x8dba704830b90a60d4bdc8578161e344bf7084b2fbc161a629afbccdf6221e61,https://pacific-explorer.manta.network/tx/0x8dba704830b90a60d4bdc8578161e344bf7084b2fbc161a629afbccdf6221e61,receive,0x2652182b51f783e0b9ed901cb51676e7d72d0382,ETH,0.00216593674598327
24/06/2023,17:20:59,eth,0x9a59b136e45099a72bba376b0cb412d9233f8d90d7617152001b4ed6acf4f928,https://etherscan.io/tx/0x9a59b136e45099a72bba376b0cb412d9233f8d90d7617152001b4ed6acf4f928,receive,0x32eb30cae36e1c2e9271ca1c02da64e5c27cb465,SHARDS,1
16/06/2023,04:29:35,eth,0x10fe1ed04df17b77af2dfa2e132f5875931467f19809452d11c2293bbc2c46df,https://etherscan.io/tx/0x10fe1ed04df17b77af2dfa2e132f5875931467f19809452d11c2293bbc2c46df,send,0x32eb30cae36e1c2e9271ca1c02da64e5c27cb465,SHARDS,-1
27/08/2023,04:21:29,op,0x12fad3f9c65b1116b5e4936f45d561e45ff8466c02ec0c26fc2d1c38ddf2ad3d,https://optimistic.etherscan.io/tx/0x12fad3f9c65b1116b5e4936f45d561e45ff8466c02ec0c26fc2d1c38ddf2ad3d,receive,0x3b37f60810f25af443c8adadc1e30b635066c9be,ETH,0.00537182367288593
27/08/2023,04:19:57,arb,0x957f1263e3acf57513b6e1e5691ebbff92676c7bb530de6d8b6bd4138783c263,https://arbiscan.io/tx/0x957f1263e3acf57513b6e1e5691ebbff92676c7bb530de6d8b6bd4138783c263,receive,0x3b37f60810f25af443c8adadc1e30b635066c9be,ETH,0.011599685843398102
02/08/2023,17:24:55,matic,0x26167d3703623e8629ef1baa459580d0cb75fc42d274931a0931a41613f70898,https://polygonscan.com/tx/0x26167d3703623e8629ef1baa459580d0cb75fc42d274931a0931a41613f70898,send,0x3b37f60810f25af443c8adadc1e30b635066c9be,MATIC,-1
29/05/2023,16:42:15,bsc,0xcffe927842fa6219fd5f36191e8f25e0ed68e078448810194358e57dcd88344f,https://bscscan.com/tx/0xcffe927842fa6219fd5f36191e8f25e0ed68e078448810194358e57dcd88344f,send,0x3b37f60810f25af443c8adadc1e30b635066c9be,BNB,-0.003
27/04/2023,16:41:01,arb,0x27270d799a0b167068ed5c900c2ca9ddfe9c58d8fae5f5861af0525cfd1634e2,https://arbiscan.io/tx/0x27270d799a0b167068ed5c900c2ca9ddfe9c58d8fae5f5861af0525cfd1634e2,receive,0x3b37f60810f25af443c8adadc1e30b635066c9be,USDC,50.689981
21/04/2023,20:42:04,arb,0x56c8687afa84bb5028d0ddb3c503d4918aea0c23a64d1b887f074304d7e4ff40,https://arbiscan.io/tx/0x56c8687afa84bb5028d0ddb3c503d4918aea0c23a64d1b887f074304d7e4ff40,receive,0x3b37f60810f25af443c8adadc1e30b635066c9be,ETH,0.021
06/04/2023,23:37:59,eth,0xaec2299b5d638b8744ee3e2680164245ff21b3e3181153613e521e59e6bc91ca,https://etherscan.io/tx/0xaec2299b5d638b8744ee3e2680164245ff21b3e3181153613e521e59e6bc91ca,send,0x3b37f60810f25af443c8adadc1e30b635066c9be,ETH,-0.01
04/04/2023,16:13:35,eth,0x54e8ff51ebfe405f4550d5c5e58e3c922bc40d9ed0a020926502a60c20e0837f,https://etherscan.io/tx/0x54e8ff51ebfe405f4550d5c5e58e3c922bc40d9ed0a020926502a60c20e0837f,receive,0x3b37f60810f25af443c8adadc1e30b635066c9be,ETH,0.02789885865914045
12/03/2023,18:30:35,eth,0x4c7cd25b273e01cdb2c775e5a4cd1946e462b63fbd47c7db2d79acae99bc1b65,https://etherscan.io/tx/0x4c7cd25b273e01cdb2c775e5a4cd1946e462b63fbd47c7db2d79acae99bc1b65,send,0x3b37f60810f25af443c8adadc1e30b635066c9be,ETH,-0.004
10/03/2023,15:43:32,op,0x47e31d6fd4326a2ea586a8d60975213cd207901c7e8c7a7d391dedb1fb307a7c,https://optimistic.etherscan.io/tx/0x47e31d6fd4326a2ea586a8d60975213cd207901c7e8c7a7d391dedb1fb307a7c,send,0x3b37f60810f25af443c8adadc1e30b635066c9be,ETH,-0.002
06/03/2023,21:50:47,eth,0xc5224f5d78ea320acf0a27984453f05713a8063758ce729490a29a97ee8f8c13,https://etherscan.io/tx/0xc5224f5d78ea320acf0a27984453f05713a8063758ce729490a29a97ee8f8c13,receive,0x3b37f60810f25af443c8adadc1e30b635066c9be,ETH,0.0606704463588408
05/03/2023,14:50:35,eth,0xdde0dda58a30d255f8090b3eca1de63551a57fa8f7817729b90c9dce35285888,https://etherscan.io/tx/0xdde0dda58a30d255f8090b3eca1de63551a57fa8f7817729b90c9dce35285888,send,0x3b37f60810f25af443c8adadc1e30b635066c9be,ETH,-0.07
02/03/2023,12:14:59,eth,0x5b514901a42ecc1c97fd6578fce4dbc7426fab654920d9cb4696bbf14cc0dd1d,https://etherscan.io/tx/0x5b514901a42ecc1c97fd6578fce4dbc7426fab654920d9cb4696bbf14cc0dd1d,send,0x3b37f60810f25af443c8adadc1e30b635066c9be,WETH,-0.00001
02/03/2023,12:14:47,eth,0x0340a7aef338dd27b0de010747133d8ff4fe7dbed443ff6881f7467e801809bf,https://etherscan.io/tx/0x0340a7aef338dd27b0de010747133d8ff4fe7dbed443ff6881f7467e801809bf,send,0x3b37f60810f25af443c8adadc1e30b635066c9be,WETH,-0.00001
02/03/2023,12:14:35,eth,0xe7f5f63aa40a2d51ca96cfd92111447bf84866cf4fd94ea3aae4af57e04a01fb,https://etherscan.io/tx/0xe7f5f63aa40a2d51ca96cfd92111447bf84866cf4fd94ea3aae4af57e04a01fb,send,0x3b37f60810f25af443c8adadc1e30b635066c9be,WETH,-0.00001
02/03/2023,12:14:23,eth,0x180daa86e244b9ff69c4756677cb53ba78ad2add2016316a42730d872a0d7062,https://etherscan.io/tx/0x180daa86e244b9ff69c4756677cb53ba78ad2add2016316a42730d872a0d7062,send,0x3b37f60810f25af443c8adadc1e30b635066c9be,WETH,-0.00001
02/03/2023,12:13:59,eth,0xdb45751da7ec0a3d6d352fc32b48ab78e4da29843c5e99d678ab2f7b40fc7b22,https://etherscan.io/tx/0xdb45751da7ec0a3d6d352fc32b48ab78e4da29843c5e99d678ab2f7b40fc7b22,send,0x3b37f60810f25af443c8adadc1e30b635066c9be,WETH,-0.00001
21/02/2023,12:51:59,eth,0x20287edf98e87cf2c2bc3ec834f74985f00790c0726d9adf84020d4113d7cb56,https://etherscan.io/tx/0x20287edf98e87cf2c2bc3ec834f74985f00790c0726d9adf84020d4113d7cb56,send,0x3b37f60810f25af443c8adadc1e30b635066c9be,ETH,-0.02
