Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
29/10/2022,11:50:11,matic,0xb2e856d0cdf9d47b98d68633c74f4973bc1ae6eda095d2725f75da527d1e20c8,https://polygonscan.com/tx/0xb2e856d0cdf9d47b98d68633c74f4973bc1ae6eda095d2725f75da527d1e20c8,send,0x01fabc7e3ee0d830a134f4b744e6fdceb592f97b,USDC,-110
02/03/2022,01:52:13,matic,0x0d66cfe63b7de037526a05302cf81d6bb6a0ced29fa762906c78310d93f5a3d2,https://polygonscan.com/tx/0x0d66cfe63b7de037526a05302cf81d6bb6a0ced29fa762906c78310d93f5a3d2,send,0x01fabc7e3ee0d830a134f4b744e6fdceb592f97b,RBW,-31
25/09/2021,15:41:33,eth,0x975808c53fabbcd2d71017b1dbd7bd109c450929da12909628286c3ef55f4e22,https://etherscan.io/tx/0x975808c53fabbcd2d71017b1dbd7bd109c450929da12909628286c3ef55f4e22,receive,0x01fabc7e3ee0d830a134f4b744e6fdceb592f97b,ETH,0.008586
20/06/2021,17:07:41,bsc,0xd8bde24b02a071210a418bf62c129033bc410b752744b3bbc26e2ffc8ee79543,https://bscscan.com/tx/0xd8bde24b02a071210a418bf62c129033bc410b752744b3bbc26e2ffc8ee79543,send,0x01fabc7e3ee0d830a134f4b744e6fdceb592f97b,Cake-LP,-4
07/05/2022,13:18:06,evmos,0xe95fbe63af901634b9d1245fb6535b578430e2f7ab2a3aee77f0b1ee6bd5a4da,https://escan.live/tx/0xe95fbe63af901634b9d1245fb6535b578430e2f7ab2a3aee77f0b1ee6bd5a4da,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,EVMOS,-10
01/03/2022,23:46:45,matic,0xe3b87623ec907e981d4ddb0d28b388cb1c9845e3cfe6362eb28a4a0a80dfe5b9,https://polygonscan.com/tx/0xe3b87623ec907e981d4ddb0d28b388cb1c9845e3cfe6362eb28a4a0a80dfe5b9,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,MATIC,-1
01/03/2022,23:01:23,matic,0x882f65bf8b8e0b1d5084d5ed556eeb5d386abc2311727b1c4127e5bf538c1322,https://polygonscan.com/tx/0x882f65bf8b8e0b1d5084d5ed556eeb5d386abc2311727b1c4127e5bf538c1322,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,RBW,-18
27/07/2021,11:51:26,eth,0xdb0d6331dd6d4c77b7c783e68d7bc1885973a31ca749d96d7644ecc08ad8a86b,https://etherscan.io/tx/0xdb0d6331dd6d4c77b7c783e68d7bc1885973a31ca749d96d7644ecc08ad8a86b,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,ETH,-0.01
02/12/2022,10:40:23,eth,0xcf9c235a236bb4770e98ca4f96fee7df0f5c7c1e33e4cf6c4dfa95f8ab5ef1f5,https://etherscan.io/tx/0xcf9c235a236bb4770e98ca4f96fee7df0f5c7c1e33e4cf6c4dfa95f8ab5ef1f5,receive,0x136c2b7118beb7bd7981360d36bb5010b5608f25,ETH,0.008938849580092615
16/10/2022,22:42:35,arb,0x5725dce38caa506783667903d8ec76211876574be178fe674b895a185c4f80e2,https://arbiscan.io/tx/0x5725dce38caa506783667903d8ec76211876574be178fe674b895a185c4f80e2,send,0x136c2b7118beb7bd7981360d36bb5010b5608f25,ETH,-0.001
