Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/12/2023,18:29:45,linea,0x320712ee4ab8f2a480fc8a588d4973e2637e4e19d5dc8820840b4e4b39d9fb4f,https://lineascan.build/tx/0x320712ee4ab8f2a480fc8a588d4973e2637e4e19d5dc8820840b4e4b39d9fb4f,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.01
19/12/2023,13:39:55,linea,0x609abf0c4ae33bc421f0a185dd5b054f9209d75b30aaf578b072adf4594aaf1c,https://lineascan.build/tx/0x609abf0c4ae33bc421f0a185dd5b054f9209d75b30aaf578b072adf4594aaf1c,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:47:25,linea,0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,https://lineascan.build/tx/0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:43:52,nova,0xfdc59393bc72b3dac97f337c58b8b26836c335f3fb5b395426328f801ac822ea,https://nova.arbiscan.io/tx/0xfdc59393bc72b3dac97f337c58b8b26836c335f3fb5b395426328f801ac822ea,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.003975116722908741
09/12/2023,13:00:49,linea,0xa9480fcca38ef72f3d7514c22acd9768cdb280b25807761e5a9e9d24bcf13f49,https://lineascan.build/tx/0xa9480fcca38ef72f3d7514c22acd9768cdb280b25807761e5a9e9d24bcf13f49,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,wstETH,-0.01130060441063343
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:59,matic,0xca41023852915977e90496252590c167401d2ffbb2ebd9956742fe3cf68faca4,https://polygonscan.com/tx/0xca41023852915977e90496252590c167401d2ffbb2ebd9956742fe3cf68faca4,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
30/12/2022,07:00:11,eth,0x9aaf77d90372258833b69925c09a2b697707f12405110fe1b5e64a9ab1a6afab,https://etherscan.io/tx/0x9aaf77d90372258833b69925c09a2b697707f12405110fe1b5e64a9ab1a6afab,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,0.08
06/01/2023,17:48:09,matic,0x173411f5a695e7c62dd1c26cbbb6c37799000c4b83888605324f9a8700b90019,https://polygonscan.com/tx/0x173411f5a695e7c62dd1c26cbbb6c37799000c4b83888605324f9a8700b90019,send,0x0591215c6cc1d186a52decdff24e5a79f861e0f2,GALHOL,-1
27/07/2023,02:58:35,dfk,0x03be05c1bb139a241f30c2d4865b62e1b3e580dd8c350764f35a745784a7d512,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x03be05c1bb139a241f30c2d4865b62e1b3e580dd8c350764f35a745784a7d512,send,0x0f8b9876392d4dc3f96d5b99a8c64cfd7a468957,JEWEL,-1
