Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
29/09/2023,18:46:16,arb,0xf8ac0f87f1bc938182212d5a27a5cb31ee63a4ed50381459cf19b277d09ca740,https://arbiscan.io/tx/0xf8ac0f87f1bc938182212d5a27a5cb31ee63a4ed50381459cf19b277d09ca740,receive,0x017e1f81b2e17bd02c4cd337fcbeabe01a0b4bf0,USDT,3.8
19/03/2024,21:26:07,bsc,0x98d79c36328836f1a8de83126e94c47e867ce51b35d67e1d7bdf880f9f1117c4,https://bscscan.com/tx/0x98d79c36328836f1a8de83126e94c47e867ce51b35d67e1d7bdf880f9f1117c4,receive,0x05c84ce28bd8b3f1d02dff361f3203cfa63b3782,BNB,0.00093511
15/01/2024,01:22:27,op,0x69f562c1d7d84f5f5d0379382f082d249cc50a106f5f4b70ecd5b20a0fe3e467,https://optimistic.etherscan.io/tx/0x69f562c1d7d84f5f5d0379382f082d249cc50a106f5f4b70ecd5b20a0fe3e467,receive,0x05c84ce28bd8b3f1d02dff361f3203cfa63b3782,USDT,58.983126
14/01/2024,22:21:23,op,0x8b18eb17bebf9e84e5d8721109ec1f51edf7ef07f3fffef0dc0e7dfb0d4a5afa,https://optimistic.etherscan.io/tx/0x8b18eb17bebf9e84e5d8721109ec1f51edf7ef07f3fffef0dc0e7dfb0d4a5afa,send,0x05c84ce28bd8b3f1d02dff361f3203cfa63b3782,ETH,-0.0007
25/12/2023,16:46:41,matic,0x0c6147bb827aa4cb086836f76f4485af7054cd101e029909e927ce96c6d57b4c,https://polygonscan.com/tx/0x0c6147bb827aa4cb086836f76f4485af7054cd101e029909e927ce96c6d57b4c,receive,0x05c84ce28bd8b3f1d02dff361f3203cfa63b3782,MATIC,20.977518724051993
25/12/2023,16:43:23,eth,0x10af1342fa602a62b57394ff1939756fedc98f743bf5031f5d798225dff2ee68,https://etherscan.io/tx/0x10af1342fa602a62b57394ff1939756fedc98f743bf5031f5d798225dff2ee68,receive,0x05c84ce28bd8b3f1d02dff361f3203cfa63b3782,ETH,0.004998055344577
30/09/2023,01:47:59,op,0x9ff5031d7f2ac7a3ec6af410602995fc0bb15c3bf33678c5159b144380c96c9d,https://optimistic.etherscan.io/tx/0x9ff5031d7f2ac7a3ec6af410602995fc0bb15c3bf33678c5159b144380c96c9d,receive,0x05c84ce28bd8b3f1d02dff361f3203cfa63b3782,ETH,0.001792
29/09/2023,04:55:21,op,0xa6058e0c93ecf73188e24b9b44457113a0a00d44f80f795a00f03f205ad487b8,https://optimistic.etherscan.io/tx/0xa6058e0c93ecf73188e24b9b44457113a0a00d44f80f795a00f03f205ad487b8,receive,0x05c84ce28bd8b3f1d02dff361f3203cfa63b3782,USDC,18.529967
03/02/2024,21:46:41,zeta,0xb27e7c9aef663d94c1b33d27686e93aca38f09f1cafe2326e1bc6b1eb00b7676,https://zetachain.blockscout.com/tx/0xb27e7c9aef663d94c1b33d27686e93aca38f09f1cafe2326e1bc6b1eb00b7676,receive,0x09df0370a8e5e2cdd80087a3543f36926b0fedf1,ZETA,125.99971649999999
11/11/2023,09:46:28,arb,0x867cec2fc1da14c6583c12f415d4198634a2931f92ad7704ea7581ef8de18c63,https://arbiscan.io/tx/0x867cec2fc1da14c6583c12f415d4198634a2931f92ad7704ea7581ef8de18c63,send,0x0c9b8249841292c53caef89356e5c42ee79b75e0,USDT,-6
