Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
27/07/2023,02:58:35,dfk,0x97d14d75ffb8985e404c814c85553b21a11c09fcf4483b7eaae116509c8ecd6f,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x97d14d75ffb8985e404c814c85553b21a11c09fcf4483b7eaae116509c8ecd6f,send,0x0179c150e32d7054be23107b97ff8e2ae7c346d7,JEWEL,-1
25/07/2023,22:55:58,dfk,0x4cab8546fe1dc36960afe7a44516dcdf9f992ff6cec510b9fe3d63b6ab865ba1,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x4cab8546fe1dc36960afe7a44516dcdf9f992ff6cec510b9fe3d63b6ab865ba1,send,0x0179c150e32d7054be23107b97ff8e2ae7c346d7,DFKGOLD,-10
21/02/2024,16:52:21,matic,0x39160cb0a203f78ef4b8de0ecb811c321ada77debdeca2e3ef1b302e38e5c727,https://polygonscan.com/tx/0x39160cb0a203f78ef4b8de0ecb811c321ada77debdeca2e3ef1b302e38e5c727,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-2.294277
21/12/2023,18:24:21,linea,0xf57ebc332a5c6ed41c323b8b5aa80ff9c7693b4eb2f1aa4efab9f841f4b1958e,https://lineascan.build/tx/0xf57ebc332a5c6ed41c323b8b5aa80ff9c7693b4eb2f1aa4efab9f841f4b1958e,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.01
19/12/2023,13:39:55,linea,0xd699052d1827cc0bed1ea27421d5f96c1c42bcc1f313dd3a493d3264b52c1c0d,https://lineascan.build/tx/0xd699052d1827cc0bed1ea27421d5f96c1c42bcc1f313dd3a493d3264b52c1c0d,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:47:25,linea,0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,https://lineascan.build/tx/0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:43:52,nova,0x782e4edecef97909746c6d4e7c4e43302ea3f354d8e2bc936b3046143ff5c04c,https://nova.arbiscan.io/tx/0x782e4edecef97909746c6d4e7c4e43302ea3f354d8e2bc936b3046143ff5c04c,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.001963291007505891
09/12/2023,13:00:49,linea,0xd8d39783b01bd9bb73fb78dd45d9f7babc43d48a043c3565ec062100e5268d20,https://lineascan.build/tx/0xd8d39783b01bd9bb73fb78dd45d9f7babc43d48a043c3565ec062100e5268d20,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,wstETH,-0.011307386468596501
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:15,matic,0x2f1ac2ff446ca582c82994c5d3c37e28c73c93d19556afb6fec3d9ffd2d4547c,https://polygonscan.com/tx/0x2f1ac2ff446ca582c82994c5d3c37e28c73c93d19556afb6fec3d9ffd2d4547c,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
21/08/2023,03:47:38,celo,0x73857ff68b26620e267bd4356bec0dd2fe1f9f0ee9c8e3b2ef1bd71fcd867e59,https://celoscan.io/tx/0x73857ff68b26620e267bd4356bec0dd2fe1f9f0ee9c8e3b2ef1bd71fcd867e59,send,0x12743598c5fd560538b723def11a9e454d10ebae,CELO,-0.15
21/08/2023,02:09:55,xdai,0x488a1a3f4ecb8b9d5fcd0f93ab08221535620bac11f89887b52befc10513ce91,https://gnosisscan.io/tx/0x488a1a3f4ecb8b9d5fcd0f93ab08221535620bac11f89887b52befc10513ce91,send,0x12743598c5fd560538b723def11a9e454d10ebae,xDai,-0.07
21/08/2023,03:48:38,celo,0x5ac1522f1982ae3345f367fd4ed6f8d17f3521cdabec577707a0218b4f5d4fdd,https://celoscan.io/tx/0x5ac1522f1982ae3345f367fd4ed6f8d17f3521cdabec577707a0218b4f5d4fdd,send,0x1b3903699a7b64e8f9adbc74ae1cad88cf299672,CELO,-0.15
21/08/2023,02:12:00,xdai,0x4afa038569c301e9a07cd4507be7e020ad38741b8b764820313490d0563b34e7,https://gnosisscan.io/tx/0x4afa038569c301e9a07cd4507be7e020ad38741b8b764820313490d0563b34e7,send,0x1b3903699a7b64e8f9adbc74ae1cad88cf299672,xDai,-0.07
27/07/2023,02:54:37,dfk,0xe08836fa4586ba614ab6d39f43016bf33600f2880efd6d06bd0497ea7ed54e9b,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xe08836fa4586ba614ab6d39f43016bf33600f2880efd6d06bd0497ea7ed54e9b,send,0x23ae944c28b28fc972de7e49eb054070cfab252c,JEWEL,-1
25/07/2023,22:50:35,dfk,0x068164298dec64ee5c54b5a9e99dafc3f0610bdb95aebd9cf47ce944f4819db6,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x068164298dec64ee5c54b5a9e99dafc3f0610bdb95aebd9cf47ce944f4819db6,send,0x23ae944c28b28fc972de7e49eb054070cfab252c,DFKGOLD,-10
27/07/2023,02:53:23,dfk,0x93e0c5b0dc4324c9e798d1fe3f23fa65c583aad004de6ead2c00d48e51cb6198,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x93e0c5b0dc4324c9e798d1fe3f23fa65c583aad004de6ead2c00d48e51cb6198,send,0x29b92c3e3389d6f54475bf73ab7dc64762a7591e,JEWEL,-1
25/07/2023,21:03:43,dfk,0x75e3c8785f1926357605a9aeef865f701178a9beb6a66d44cfea871455eeaa20,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x75e3c8785f1926357605a9aeef865f701178a9beb6a66d44cfea871455eeaa20,send,0x29b92c3e3389d6f54475bf73ab7dc64762a7591e,DFKGOLD,-10
12/04/2023,18:35:16,bsc,0xd218909f3837b22c8d67c2cb8bca86d5ec399d733c5eeef3245f6de2c6926dff,https://bscscan.com/tx/0xd218909f3837b22c8d67c2cb8bca86d5ec399d733c5eeef3245f6de2c6926dff,send,0x29b92c3e3389d6f54475bf73ab7dc64762a7591e,BNB,-0.02683
30/01/2023,09:48:23,eth,0x7c8219ab6139ce5a8ca868b8a89f69b567054b545c854e06524f6e5ae955ba1b,https://etherscan.io/tx/0x7c8219ab6139ce5a8ca868b8a89f69b567054b545c854e06524f6e5ae955ba1b,receive,0x3213b3fcb445913c7f8e607cc292bef38d4f8702,ETH,0.001825926005904
27/07/2023,02:55:17,dfk,0x1f7297f045ec45349f1e95de132f26b487c078938bf4ea4634ec9dc87ca1494f,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x1f7297f045ec45349f1e95de132f26b487c078938bf4ea4634ec9dc87ca1494f,send,0x3409f6699404ccc76220b5fe8101b198a6ab126c,JEWEL,-1
25/07/2023,22:51:45,dfk,0xaa52d1f63edd3e9177a6e42f13ef2aa7d3090147f2beb8becc62879fd6212243,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xaa52d1f63edd3e9177a6e42f13ef2aa7d3090147f2beb8becc62879fd6212243,send,0x3409f6699404ccc76220b5fe8101b198a6ab126c,DFKGOLD,-10
27/07/2023,02:54:02,dfk,0x085314a9c45c1ba6fbe5a0921d1e8c503802c1e6ec21a0ea4d97836e121bc25a,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x085314a9c45c1ba6fbe5a0921d1e8c503802c1e6ec21a0ea4d97836e121bc25a,send,0x3b26676ee05e001ee118a8ec1ddda059ba28cc49,JEWEL,-1
25/07/2023,21:28:36,dfk,0x956f4435b48de5917a601e2ea51b7635a4d5c16943ee3aeea35ed8dbc94e66a3,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x956f4435b48de5917a601e2ea51b7635a4d5c16943ee3aeea35ed8dbc94e66a3,send,0x3b26676ee05e001ee118a8ec1ddda059ba28cc49,DFKGOLD,-10
21/08/2023,03:50:03,celo,0x8e27b6368db432f55ce31a7b555ecc134e077b908025ec1f159867c8e659bdbf,https://celoscan.io/tx/0x8e27b6368db432f55ce31a7b555ecc134e077b908025ec1f159867c8e659bdbf,send,0x47435a3525bd1dbb1a00851c0c1f2bd6f8fc3e82,CELO,-0.15
27/07/2023,02:57:06,dfk,0x52537e40c6d9b3961783e7b8db0edf6579eee65f74f2e5d830bc3761a24ebd27,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x52537e40c6d9b3961783e7b8db0edf6579eee65f74f2e5d830bc3761a24ebd27,send,0x51b6f70c2a7641c76c423ca3c760f55971ec2c7e,JEWEL,-1
25/07/2023,22:53:19,dfk,0xc447615adb2fa3f37ca8ccc923f9e8cca43cdf37ae96939d7eb5dae8db8a07e8,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xc447615adb2fa3f37ca8ccc923f9e8cca43cdf37ae96939d7eb5dae8db8a07e8,send,0x51b6f70c2a7641c76c423ca3c760f55971ec2c7e,DFKGOLD,-10
22/11/2023,05:25:27,op,0xac3361e55bfb9f38a0a90375d81932fa9d523d1a832de34313a4a65f0947552d,https://optimistic.etherscan.io/tx/0xac3361e55bfb9f38a0a90375d81932fa9d523d1a832de34313a4a65f0947552d,receive,0x520bf5a6831946695d6758ca4cc96f837ca00762,ETH,0.5543
21/08/2023,03:56:23,celo,0x0471812d8b3962e1d5a35deab2af67e4ad71b3c585ac06cf9b1f5299f2eeecab,https://celoscan.io/tx/0x0471812d8b3962e1d5a35deab2af67e4ad71b3c585ac06cf9b1f5299f2eeecab,send,0x577a2eaafe2cd3a45464d39d74b20ae13a5bcaaf,CELO,-0.15
23/02/2023,22:33:07,matic,0x09dbec7e58221f7dcae636d5ac57ca60d05ccec2046b03427d686a9213616f68,https://polygonscan.com/tx/0x09dbec7e58221f7dcae636d5ac57ca60d05ccec2046b03427d686a9213616f68,receive,0x6117a21b81d40425bbf0c1d49ac10beda191acb1,CLGM,1
27/07/2023,02:57:50,dfk,0x1d5b101a7f75fca6913618d3faaa3d832f17509055735bc3a1a0a87161ae3cb0,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x1d5b101a7f75fca6913618d3faaa3d832f17509055735bc3a1a0a87161ae3cb0,send,0x6dfa1d2ad884377e2201e19016d27d2625202036,JEWEL,-1
25/07/2023,22:54:52,dfk,0x95db4c0365963c03e41f868fa17edaebd42f6a2ee38515817a5dce7eb620851a,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x95db4c0365963c03e41f868fa17edaebd42f6a2ee38515817a5dce7eb620851a,send,0x6dfa1d2ad884377e2201e19016d27d2625202036,DFKGOLD,-10
15/07/2023,01:05:54,bsc,0x15acc7667e9a3856ce3c38d582b13b156916888a57b3198bf8f5700a79af403e,https://bscscan.com/tx/0x15acc7667e9a3856ce3c38d582b13b156916888a57b3198bf8f5700a79af403e,receive,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,BNB,0.01
22/06/2023,21:10:35,op,0x1864dc3fe30b73211ebf412a323aabe05354e7b4bdfa18b60fb7eebb3befe923,https://optimistic.etherscan.io/tx/0x1864dc3fe30b73211ebf412a323aabe05354e7b4bdfa18b60fb7eebb3befe923,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,COLLAB,-10
11/06/2023,00:47:03,op,0xe1c702ef3c8dc572c37a690c87bf0ea72cf70f23d9f1d5ede95be6fec60b88a8,https://optimistic.etherscan.io/tx/0xe1c702ef3c8dc572c37a690c87bf0ea72cf70f23d9f1d5ede95be6fec60b88a8,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,USDC,-53.173957
11/06/2023,00:41:03,op,0x233e3b6f4aa513cf092b4115cec0256cde6b0bf3ae4535bdaa1a187d5dbac68b,https://optimistic.etherscan.io/tx/0x233e3b6f4aa513cf092b4115cec0256cde6b0bf3ae4535bdaa1a187d5dbac68b,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,sUSD,-65.56991565487037
