Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/02/2024,16:52:21,matic,0x4a0d1666a6ed2906eaf089c7733c99dc805119d6a3d5756298776a43879bc7ba,https://polygonscan.com/tx/0x4a0d1666a6ed2906eaf089c7733c99dc805119d6a3d5756298776a43879bc7ba,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-2.085032
21/12/2023,18:24:21,linea,0x5aaf73d03362133daa71938a39254f3de0a75c13bb91b5dd6a17fa02fa395f19,https://lineascan.build/tx/0x5aaf73d03362133daa71938a39254f3de0a75c13bb91b5dd6a17fa02fa395f19,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.01
19/12/2023,13:39:55,linea,0x2afd8bdfbc895b56bc86470f47a2de59ef13124937fd74b5ea0844f699fa289c,https://lineascan.build/tx/0x2afd8bdfbc895b56bc86470f47a2de59ef13124937fd74b5ea0844f699fa289c,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:47:25,linea,0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,https://lineascan.build/tx/0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:43:52,nova,0x352baeb465d164c89fb2eaed2d105f93966a2c9b45e68c5e92d09bc65d4891b7,https://nova.arbiscan.io/tx/0x352baeb465d164c89fb2eaed2d105f93966a2c9b45e68c5e92d09bc65d4891b7,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.00397063319892236
09/12/2023,13:00:49,linea,0xe0503a9ea880b1efdd7bf5bad9af3c5e7f03d51221e849ed4eda5bb43a71d4d9,https://lineascan.build/tx/0xe0503a9ea880b1efdd7bf5bad9af3c5e7f03d51221e849ed4eda5bb43a71d4d9,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,wstETH,-0.01130060441063343
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:59,matic,0xd2b6f26e88b5425a6ddeeb4839126a950a2e91226dcd215337a544a13c05b36b,https://polygonscan.com/tx/0xd2b6f26e88b5425a6ddeeb4839126a950a2e91226dcd215337a544a13c05b36b,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
24/07/2023,04:13:26,dfk,0x0416fd39b55ed340bd7b0699a992e0eb2a84cb851902c8911599ebdd52a568ca,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x0416fd39b55ed340bd7b0699a992e0eb2a84cb851902c8911599ebdd52a568ca,send,0x0591215c6cc1d186a52decdff24e5a79f861e0f2,DFKGOLD,-200
27/07/2023,02:57:06,dfk,0x487ec6aba2ba87e3f59e0512f11c0eaf929f9fbeae4934eefbf5260d3c661a6e,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x487ec6aba2ba87e3f59e0512f11c0eaf929f9fbeae4934eefbf5260d3c661a6e,send,0x1c579af02eeda8bd983aab4af2f6fb2d54af60c7,JEWEL,-1
