Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
12/08/2023,23:44:13,bsc,0x69f32d9be54c20f97c1e4339208770096f6e4c5efe5afc926a8b8871bb687fef,https://bscscan.com/tx/0x69f32d9be54c20f97c1e4339208770096f6e4c5efe5afc926a8b8871bb687fef,receive,0x09ca229c1a374f91b7977923d9b61c25f3550af4,BNB,0.52
18/02/2024,12:33:56,matic,0x0a8f06f927cbaeff2978352d95d8f154db71278d51d4331baa6b2f81bd517308,https://polygonscan.com/tx/0x0a8f06f927cbaeff2978352d95d8f154db71278d51d4331baa6b2f81bd517308,send,0x14c65434a74f42363f58b33f72487c8079e92b3e,MATIC,-11.5
28/01/2024,22:07:32,matic,0xd928226ea3cdc141af072f5c9a573525abbde547e908e55a5022e731f0f299cc,https://polygonscan.com/tx/0xd928226ea3cdc141af072f5c9a573525abbde547e908e55a5022e731f0f299cc,send,0x14c65434a74f42363f58b33f72487c8079e92b3e,MATIC,-12
04/12/2023,22:00:36,linea,0xde5497958cfd3ee612530cfa69dd0b0ea221fd184a4b200a9c289800bf7bd59e,https://lineascan.build/tx/0xde5497958cfd3ee612530cfa69dd0b0ea221fd184a4b200a9c289800bf7bd59e,send,0x14c65434a74f42363f58b33f72487c8079e92b3e,ETH,-0.021
25/11/2022,21:24:45,matic,0x740a4f005f3f0eab7980da1b5172551a470b6d2fee3a60f65d619a49c6426756,https://polygonscan.com/tx/0x740a4f005f3f0eab7980da1b5172551a470b6d2fee3a60f65d619a49c6426756,send,0x14c65434a74f42363f58b33f72487c8079e92b3e,USDC,-25.7957
05/02/2024,20:37:15,bsc,0xcd206fb99ff21037c2e58b2e9401491726eddbfa212f8adceb38771efb838266,https://bscscan.com/tx/0xcd206fb99ff21037c2e58b2e9401491726eddbfa212f8adceb38771efb838266,send,0x1dc4920df43267cd29e0d818974adb5a21229571,USDT,-501
13/08/2023,00:14:37,bsc,0xf38eb137ca8c6aa711e1aa2881e9709b8e897be244f9200df9991f17ce32cebb,https://bscscan.com/tx/0xf38eb137ca8c6aa711e1aa2881e9709b8e897be244f9200df9991f17ce32cebb,send,0x1dc4920df43267cd29e0d818974adb5a21229571,BNB,-0.512
05/02/2024,20:36:42,bsc,0xc8ca4dbcd411dcffb8923a63d6d9ef405eebf4987709d7ef7839c084c7cc7bb8,https://bscscan.com/tx/0xc8ca4dbcd411dcffb8923a63d6d9ef405eebf4987709d7ef7839c084c7cc7bb8,send,0x217fa6d15106ae33f8a75b9daf43595a515c234e,USDT,-501
08/02/2024,23:44:55,bsc,0x62bc9ef68a97531f01d05cdfa1e6d8f5f809f746f62a26248c21a79ee4b97b12,https://bscscan.com/tx/0x62bc9ef68a97531f01d05cdfa1e6d8f5f809f746f62a26248c21a79ee4b97b12,receive,0x21b6ab1b8b328fff93050c844217a4773e294453,BNB,0.9
18/01/2024,04:03:13,matic,0xac34d029565d5d12ea01b2b7a7bbb2a579eea1efc1a1de2e020ad744e76a1738,https://polygonscan.com/tx/0xac34d029565d5d12ea01b2b7a7bbb2a579eea1efc1a1de2e020ad744e76a1738,send,0x21b6ab1b8b328fff93050c844217a4773e294453,MATIC,-4
26/11/2023,23:46:17,era,0x8e9f2c1d66552a68fb36665389cb5d4c0b1de7d9b04ea777b7d26ba742613098,https://era.zksync.network/tx/0x8e9f2c1d66552a68fb36665389cb5d4c0b1de7d9b04ea777b7d26ba742613098,receive,0x21b6ab1b8b328fff93050c844217a4773e294453,ETH,0.005
27/05/2022,20:25:39,bsc,0xe02fb20f056c83a3f93c4c86cb63307ed13e6523f550be55a2ea1f5c8a689c2f,https://bscscan.com/tx/0xe02fb20f056c83a3f93c4c86cb63307ed13e6523f550be55a2ea1f5c8a689c2f,send,0x21b6ab1b8b328fff93050c844217a4773e294453,USDT,-20
07/02/2024,19:02:39,linea,0x4c17288063ae323c2685f2809b559788cb95d4b36570c30d7db75f55518f9e69,https://lineascan.build/tx/0x4c17288063ae323c2685f2809b559788cb95d4b36570c30d7db75f55518f9e69,send,0x252364d01045637d999a49578921cff17405a8ba,ETH,-0.007
05/02/2024,20:35:51,bsc,0x3ea28f268e6161e5c2605734df618f5955b3e8e6ae4ab02382fe01cbb8e82427,https://bscscan.com/tx/0x3ea28f268e6161e5c2605734df618f5955b3e8e6ae4ab02382fe01cbb8e82427,send,0x252364d01045637d999a49578921cff17405a8ba,USDT,-501
20/12/2023,15:22:44,linea,0xb07cd2ea30b44aa92c732a2fbebae9f4bfc77770f47017d5bcbc3a561b810a8c,https://lineascan.build/tx/0xb07cd2ea30b44aa92c732a2fbebae9f4bfc77770f47017d5bcbc3a561b810a8c,send,0x25c5da294c6dc7de4a5924be2ed2b37d0ceb7acc,ETH,-0.003
13/02/2024,00:08:59,zeta,0xca1136f770aee2de78a8cb32d04e6f6235057920485f3c488c498fd539291a7e,https://zetachain.blockscout.com/tx/0xca1136f770aee2de78a8cb32d04e6f6235057920485f3c488c498fd539291a7e,receive,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,ZETA,29.5
05/02/2024,20:35:09,bsc,0x5bc8b33700357e617ca88f80bb0c8e04ee0eb1cf13e33a20b3b919960dc5af08,https://bscscan.com/tx/0x5bc8b33700357e617ca88f80bb0c8e04ee0eb1cf13e33a20b3b919960dc5af08,receive,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,USDT,20
28/01/2024,22:02:40,matic,0xab8e811b32e42ab3a9d73039dabe3fa826a3509e81f90f94b6154eaffcb793c4,https://polygonscan.com/tx/0xab8e811b32e42ab3a9d73039dabe3fa826a3509e81f90f94b6154eaffcb793c4,receive,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,MATIC,150
21/01/2024,16:36:34,zkfair,0xac0383d073b8322f3c551d44f2371dee078bb45172eb2037382445890e659758,https://scan.zkfair.io/tx/0xac0383d073b8322f3c551d44f2371dee078bb45172eb2037382445890e659758,send,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,USDC,-114.90607683467142
18/01/2024,15:53:59,eth,0xcdcbf782839b26ae983aea7335c17cd509f847bc872dfb4350950fffc2bbe9d4,https://etherscan.io/tx/0xcdcbf782839b26ae983aea7335c17cd509f847bc872dfb4350950fffc2bbe9d4,receive,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,ETH,0.05
18/01/2024,14:15:35,eth,0xc0a6fdb258428cb4a240d31ef82a898c27a53329624e1b05f08eae64d06df6a6,https://etherscan.io/tx/0xc0a6fdb258428cb4a240d31ef82a898c27a53329624e1b05f08eae64d06df6a6,receive,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,MEME,2000
01/01/2024,12:29:44,zkfair,0xd44b5fdc9879f80329908a279b0301c2ca337df70be4c5483af06f0d2a6a8307,https://scan.zkfair.io/tx/0xd44b5fdc9879f80329908a279b0301c2ca337df70be4c5483af06f0d2a6a8307,send,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,ZKF,-123734.2665835057
28/12/2023,11:10:18,zkfair,0x513eba600721d2a754944714711fcbbd2ee3cc58800cb92f3624870dc72915c3,https://scan.zkfair.io/tx/0x513eba600721d2a754944714711fcbbd2ee3cc58800cb92f3624870dc72915c3,send,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,USDC,-1000
25/12/2023,19:45:26,zkfair,0x9b9b5784ccb90cb7b5944ae68948651e22f26870828894ce69753b934e09bf3e,https://scan.zkfair.io/tx/0x9b9b5784ccb90cb7b5944ae68948651e22f26870828894ce69753b934e09bf3e,receive,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,USDC,700
25/12/2023,11:34:47,eth,0xc73070eb47f74fe171e8ab034d41ba8d3868f03c9571aa92d848b2d232a86328,https://etherscan.io/tx/0xc73070eb47f74fe171e8ab034d41ba8d3868f03c9571aa92d848b2d232a86328,receive,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,ETH,0.016
25/12/2023,09:58:51,zkfair,0x13c448313d79b7ed8f2434f3fd87c52ba5bea0110acc1a2c02b64d110fd41bb0,https://scan.zkfair.io/tx/0x13c448313d79b7ed8f2434f3fd87c52ba5bea0110acc1a2c02b64d110fd41bb0,send,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,USDC,-105.3872
24/12/2023,19:25:14,zkfair,0xef551456ed21bcfef7c42ce06cf769f9423a1894f2487f75e6e3497a912cf703,https://scan.zkfair.io/tx/0xef551456ed21bcfef7c42ce06cf769f9423a1894f2487f75e6e3497a912cf703,receive,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,USDC,600
24/12/2023,01:53:11,opbnb,0x4247016e884a1abc9829699a2bfb9646fd1bd5e3ca7b88b59267687a57132e5a,https://mainnet.opbnbscan.com/tx/0x4247016e884a1abc9829699a2bfb9646fd1bd5e3ca7b88b59267687a57132e5a,receive,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,BNB,0.5
22/12/2023,20:05:35,eth,0x774e6b2c498020f34cbd080e0907d6cdc2ecf499ea2ff00bbe75aec2a09a8e1e,https://etherscan.io/tx/0x774e6b2c498020f34cbd080e0907d6cdc2ecf499ea2ff00bbe75aec2a09a8e1e,receive,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,ETH,0.2
30/05/2023,14:00:11,eth,0x72f258de13d00ac551018c695e2cb4f0728d2b0377f378cdca127d03d9ac2650,https://etherscan.io/tx/0x72f258de13d00ac551018c695e2cb4f0728d2b0377f378cdca127d03d9ac2650,send,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,LOVE,-1000
14/05/2023,23:44:26,era,0xae7436d4c8749d8876987411fca697b75f61d0d039577fc20ee2c9598cd42033,https://era.zksync.network/tx/0xae7436d4c8749d8876987411fca697b75f61d0d039577fc20ee2c9598cd42033,receive,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,ETH,0.2104545
24/04/2023,23:42:49,arb,0x54ec3295d9030b9b953134f3d4b97ef3c5524a61e0bf1052b8903e5882801aa6,https://arbiscan.io/tx/0x54ec3295d9030b9b953134f3d4b97ef3c5524a61e0bf1052b8903e5882801aa6,send,0x25e6d7b6a6dbff4e9775f0988c4125ec1a65681d,LSDOGE,-184000000
