Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
29/12/2022,19:05:45,arb,0x444e6b6de6452bef2a0b057fe160eb3753b4cf177376293df8174e662d3faea6,https://arbiscan.io/tx/0x444e6b6de6452bef2a0b057fe160eb3753b4cf177376293df8174e662d3faea6,receive,0x0f106ff30470ab4cfa1539bc716dae467dbecbdb,ETH,0.0045
05/03/2024,20:24:15,avax,0x9cdc60b0395521c69e4fec4bde2eeb41ddf3d40e76c63aa9c18248187569f033,https://snowtrace.io/tx/0x9cdc60b0395521c69e4fec4bde2eeb41ddf3d40e76c63aa9c18248187569f033,receive,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,AVAX,0.73
05/03/2024,20:10:38,avax,0xc0c185d880e61019336c019c55254f496e32e99ea153f742c8b4fca8b498bcc6,https://snowtrace.io/tx/0xc0c185d880e61019336c019c55254f496e32e99ea153f742c8b4fca8b498bcc6,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,AVAX,-0.33
05/03/2024,20:05:57,avax,0x4bcec4a0aba663e64de3d72d6051d0d6e8aeba17217a04b25998c69e43ca210e,https://snowtrace.io/tx/0x4bcec4a0aba663e64de3d72d6051d0d6e8aeba17217a04b25998c69e43ca210e,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,AVAX,-0.4
05/03/2024,18:31:09,avax,0x35480fb69d0d60bae138fb37ef3945454b948d6688493eed4f42ab476822effe,https://snowtrace.io/tx/0x35480fb69d0d60bae138fb37ef3945454b948d6688493eed4f42ab476822effe,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,AVAX,-0.2
18/01/2024,22:32:19,manta,0xb84948fc669c66fe95a56b1758a45d959a65cb31919c7cef022bbcea6df2c91c,https://pacific-explorer.manta.network/tx/0xb84948fc669c66fe95a56b1758a45d959a65cb31919c7cef022bbcea6df2c91c,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,MANTA,-34.99
25/12/2023,15:24:09,base,0x6d025f36b441923fa57b7cd40f83a0e16cb7e88ff306369808665d3b9722b534,https://www.basescan.org/tx/0x6d025f36b441923fa57b7cd40f83a0e16cb7e88ff306369808665d3b9722b534,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,USDC,-20
08/12/2023,18:53:26,arb,0x15fdff88697abc9ac76e7f134f1ac5a1cf04bfb4545d99b6657219e65b1c0207,https://arbiscan.io/tx/0x15fdff88697abc9ac76e7f134f1ac5a1cf04bfb4545d99b6657219e65b1c0207,receive,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,ETH,0.008194533726886178
24/08/2023,21:01:09,base,0xfb9d9ff226b8c3389dde472dd88fa7f5723857ee10fb6e2c3e5e71e3f1c7582c,https://www.basescan.org/tx/0xfb9d9ff226b8c3389dde472dd88fa7f5723857ee10fb6e2c3e5e71e3f1c7582c,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,ETH,-0.001
15/08/2023,01:34:26,bsc,0x82dfc69ec3cbd88b7b5125663aa2e5e7cdf1945b5be684b7e1d6f62bc6910c40,https://bscscan.com/tx/0x82dfc69ec3cbd88b7b5125663aa2e5e7cdf1945b5be684b7e1d6f62bc6910c40,receive,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,USDT,95
27/07/2023,02:35:26,bsc,0xab26ce2c2424c7a38ef6cccc6abd7ee2c22303131bfdd2dce5f3b031ba135353,https://bscscan.com/tx/0xab26ce2c2424c7a38ef6cccc6abd7ee2c22303131bfdd2dce5f3b031ba135353,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,USDT,-95
27/07/2023,02:12:39,arb,0xa42c7235f6d2402dd7250dff25dac7f0f4da49dd3eedaddba539d2cb1e44b2a9,https://arbiscan.io/tx/0xa42c7235f6d2402dd7250dff25dac7f0f4da49dd3eedaddba539d2cb1e44b2a9,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,USDC,-97
18/07/2023,21:09:11,eth,0xc724ad087d1f89f68d0a92d73f0c5bee9f3acb18f4fb6477dd134d608c9ab180,https://etherscan.io/tx/0xc724ad087d1f89f68d0a92d73f0c5bee9f3acb18f4fb6477dd134d608c9ab180,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,ETH,-0.005
24/02/2023,04:00:58,matic,0x0c64e7119276ac5c73d09fafc75e77e68acd6b5ac80d0bcea01f2d4539cb3c7e,https://polygonscan.com/tx/0x0c64e7119276ac5c73d09fafc75e77e68acd6b5ac80d0bcea01f2d4539cb3c7e,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,MATIC,-1
24/02/2023,03:59:32,matic,0xdcfffd0a3a478e9de92e8ba8367d8fa021d8ba0bff86d684005c7e09d06ba968,https://polygonscan.com/tx/0xdcfffd0a3a478e9de92e8ba8367d8fa021d8ba0bff86d684005c7e09d06ba968,receive,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,MATIC,0.3048093281154519
07/12/2022,23:49:03,matic,0x0e1bce960734689bd657da15672b0c6103c3583b32e9cab2bf2b33f9375b227e,https://polygonscan.com/tx/0x0e1bce960734689bd657da15672b0c6103c3583b32e9cab2bf2b33f9375b227e,receive,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,MATIC,0.7
26/04/2022,03:37:42,bsc,0x019f4a444312562aaabb4b76ea7b9d58b0f90f312a1950e5d5571aabb69c9294,https://bscscan.com/tx/0x019f4a444312562aaabb4b76ea7b9d58b0f90f312a1950e5d5571aabb69c9294,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,BUSD,-13.37
08/04/2022,01:01:41,matic,0x0ef72a36128a5018308a17e883b0b956f1267a3d8c8cf58d60ff4fb8b53a24e0,https://polygonscan.com/tx/0x0ef72a36128a5018308a17e883b0b956f1267a3d8c8cf58d60ff4fb8b53a24e0,receive,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,MATIC,2
07/04/2022,21:47:29,matic,0xa67e2ed065a46ea1ad249b926f83a08b9b1dba6e3423e9a70518e4d84d9cbcc6,https://polygonscan.com/tx/0xa67e2ed065a46ea1ad249b926f83a08b9b1dba6e3423e9a70518e4d84d9cbcc6,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,MATIC,-2
23/02/2022,03:47:41,matic,0x3ffbb065c006c633584e9ee875f22ed96a7944ef934559646745ff857bdf7a5e,https://polygonscan.com/tx/0x3ffbb065c006c633584e9ee875f22ed96a7944ef934559646745ff857bdf7a5e,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,MATIC,-1.337
23/01/2022,19:23:15,bsc,0xdf9ddf8af63ce9ef8ec61c639d07c587a82ac5529e00163cd7ce3332b844e624,https://bscscan.com/tx/0xdf9ddf8af63ce9ef8ec61c639d07c587a82ac5529e00163cd7ce3332b844e624,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,IDIA,-89.6
20/12/2021,21:06:09,matic,0x7031c037728f05cc50a9811a09ea9d36df3c7b801982bb1662b1ad8e09db8e8d,https://polygonscan.com/tx/0x7031c037728f05cc50a9811a09ea9d36df3c7b801982bb1662b1ad8e09db8e8d,receive,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,MATIC,0.05
10/12/2021,18:06:09,bsc,0xa246ea59d6e3c936400a960fa9a32e975002eae1f57aef193c06e23b0a0e64ec,https://bscscan.com/tx/0xa246ea59d6e3c936400a960fa9a32e975002eae1f57aef193c06e23b0a0e64ec,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,BNB,-0.001
08/12/2021,06:15:00,bsc,0x851542088f2fa0b25a05f421328650c29dc4bbb1a7ca40a70553d6cf4389c3a0,https://bscscan.com/tx/0x851542088f2fa0b25a05f421328650c29dc4bbb1a7ca40a70553d6cf4389c3a0,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,BNB,-0.001
08/12/2021,06:08:06,bsc,0xa3310325d4c059224165beabb5957d50dcbb02f3d2b25cc99b237227c5147258,https://bscscan.com/tx/0xa3310325d4c059224165beabb5957d50dcbb02f3d2b25cc99b237227c5147258,send,0x17e85b76b9fc37020a3724c65ce5bacc86c94905,BUSD,-3
11/02/2023,22:01:33,matic,0x314d7aeb9a508758d1ee272d43470f8e9b6f9529375ebbeb4d5bd8e109f6d999,https://polygonscan.com/tx/0x314d7aeb9a508758d1ee272d43470f8e9b6f9529375ebbeb4d5bd8e109f6d999,send,0x22458ad0500617f8903f4133549edde06ea49ab1,MATIC,-0.02
19/01/2023,04:08:25,matic,0x32afd026b23a92385e050afd8faed86472966043b83a8d8420e87190f54b2c04,https://polygonscan.com/tx/0x32afd026b23a92385e050afd8faed86472966043b83a8d8420e87190f54b2c04,send,0x32d35cc978b2ff14dc8e54345541898584f313d7,MATIC,-0.02
15/04/2024,21:37:33,base,0x5d586c285e8e545c09a0147d912246d19d844ab165ecdff6677df1cfdd660623,https://www.basescan.org/tx/0x5d586c285e8e545c09a0147d912246d19d844ab165ecdff6677df1cfdd660623,send,0x42754faafbd2cd45c139e071603efc8695d91c76,ETH,-0.0007
28/02/2024,05:54:23,merlin,0x91068f3b7b27bbb56bf234836afb007cc2b854443700fd408e8166ec91f7c2d8,https://scan.merlinchain.io/tx/0x91068f3b7b27bbb56bf234836afb007cc2b854443700fd408e8166ec91f7c2d8,send,0x42754faafbd2cd45c139e071603efc8695d91c76,BTC,-0.00011
25/03/2023,16:58:35,eth,0xd2c6789d09215b6659c9d72f9c6e3fbfd284793dd9cc4efec544f7bbd7ab0b46,https://etherscan.io/tx/0xd2c6789d09215b6659c9d72f9c6e3fbfd284793dd9cc4efec544f7bbd7ab0b46,receive,0x42754faafbd2cd45c139e071603efc8695d91c76,ETH,0.004
19/03/2023,17:28:11,eth,0x924168719a6c53c8a963ac206244c415525449c62812f304d421491628d24582,https://etherscan.io/tx/0x924168719a6c53c8a963ac206244c415525449c62812f304d421491628d24582,receive,0x42754faafbd2cd45c139e071603efc8695d91c76,ETH,0.005
31/12/2022,01:27:03,matic,0x0b1f9b030ea83c363dfea96c00794d6bd9e53015af46fee1721006acddcef9dc,https://polygonscan.com/tx/0x0b1f9b030ea83c363dfea96c00794d6bd9e53015af46fee1721006acddcef9dc,receive,0x42754faafbd2cd45c139e071603efc8695d91c76,MATIC,19.053018717419825
31/12/2022,01:20:05,matic,0x9f0d689345072cc9ef5c706043f59c340865b048cf1e7678577eeddbfac71d6d,https://polygonscan.com/tx/0x9f0d689345072cc9ef5c706043f59c340865b048cf1e7678577eeddbfac71d6d,send,0x42754faafbd2cd45c139e071603efc8695d91c76,MATIC,-0.09249591
28/03/2024,21:55:27,blast,0x16c8c6bfa89ceeeee861f9b7b4b231a4d7c0084a18009dbe69a01a843ad8f78b,https://blastscan.io/tx/0x16c8c6bfa89ceeeee861f9b7b4b231a4d7c0084a18009dbe69a01a843ad8f78b,send,0x54b091638e12fe7f0d05e618860957f0dc7a452a,ETH,-0.001
25/08/2023,03:57:11,eth,0xd0ed9a27396e01ca8a4273c8249516391b905bb62e002c3125177e10007f78d2,https://etherscan.io/tx/0xd0ed9a27396e01ca8a4273c8249516391b905bb62e002c3125177e10007f78d2,send,0x54b091638e12fe7f0d05e618860957f0dc7a452a,ETH,-0.005
11/02/2023,16:08:56,matic,0xa6f29668939bc35a3d2427ad49796481809508d0834856f3de5a96e343bcdf3d,https://polygonscan.com/tx/0xa6f29668939bc35a3d2427ad49796481809508d0834856f3de5a96e343bcdf3d,send,0x54b091638e12fe7f0d05e618860957f0dc7a452a,MATIC,-0.03
16/09/2022,06:31:54,matic,0xcbb3f67a341587367a1b32d8661c387fd0dc33dd545c84a00c9c0cb1fe1e78a8,https://polygonscan.com/tx/0xcbb3f67a341587367a1b32d8661c387fd0dc33dd545c84a00c9c0cb1fe1e78a8,send,0x54b091638e12fe7f0d05e618860957f0dc7a452a,MATIC,-0.01
