Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
09/01/2023,05:07:42,avax,0x115f954db7ceddb906f189edbef8045bfa3034e5134e111eda011aa57768cb35,https://snowscan.xyz/tx/0x115f954db7ceddb906f189edbef8045bfa3034e5134e111eda011aa57768cb35,receive,0x086cbf662396e8bc3769bd535801e5603521f0d8,AVAX,0.018443425569661085
09/01/2023,05:06:12,avax,0x65263cc9bf113b8756d1c7fda4c20d45579f582b06ebe4e1e79b885676327d78,https://snowscan.xyz/tx/0x65263cc9bf113b8756d1c7fda4c20d45579f582b06ebe4e1e79b885676327d78,send,0x086cbf662396e8bc3769bd535801e5603521f0d8,AVAX,-0.001153455753437298
24/12/2022,09:06:00,avax,0x17bb91404915c86c8c8624d795229f355ee7c92d1d3aa59b97532041393f4dd6,https://snowscan.xyz/tx/0x17bb91404915c86c8c8624d795229f355ee7c92d1d3aa59b97532041393f4dd6,send,0x086cbf662396e8bc3769bd535801e5603521f0d8,AVAX,-0.004900639533459116
06/03/2023,08:12:48,bsc,0x65a4720861ae7607670fbf73f7094d7eddd6e868ae9be392bd97f7753ecd1aa5,https://bscscan.com/tx/0x65a4720861ae7607670fbf73f7094d7eddd6e868ae9be392bd97f7753ecd1aa5,send,0x0d360e9ca892dc85783b8f910c053e1c6747d30e,BNB,-0.003
09/02/2023,19:30:23,matic,0x9afe465a02db1ffb11502db4174a6cc058818e45abe6d14c74e0aee7649dd7ce,https://polygonscan.com/tx/0x9afe465a02db1ffb11502db4174a6cc058818e45abe6d14c74e0aee7649dd7ce,send,0x0d360e9ca892dc85783b8f910c053e1c6747d30e,MATIC,-0.02086375964948884
09/02/2023,07:14:25,bsc,0xf6847c76890960fcffb5bb1757afb8d47bdb437844753fb38f7665c0a9888fda,https://bscscan.com/tx/0xf6847c76890960fcffb5bb1757afb8d47bdb437844753fb38f7665c0a9888fda,send,0x0d360e9ca892dc85783b8f910c053e1c6747d30e,BNB,-0.002951256623990091
09/12/2022,03:36:44,arb,0x9400b2260ee0d6fb61c4e515e7d79204bd9a643353f644240b9594ac1ec768a6,https://arbiscan.io/tx/0x9400b2260ee0d6fb61c4e515e7d79204bd9a643353f644240b9594ac1ec768a6,send,0x0d360e9ca892dc85783b8f910c053e1c6747d30e,ETH,-0.07
09/12/2022,03:08:00,arb,0x83a382164e96819802735ad6b467e42ea5ac8f803443e50b774cf6cc92410ac9,https://arbiscan.io/tx/0x83a382164e96819802735ad6b467e42ea5ac8f803443e50b774cf6cc92410ac9,receive,0x0d360e9ca892dc85783b8f910c053e1c6747d30e,ETH,0.06996940279
11/06/2022,08:26:27,eth,0x2fc6f48b797a8caf336f7733347a07efeef168f56cea32a2b6bf1b146cc2f72e,https://etherscan.io/tx/0x2fc6f48b797a8caf336f7733347a07efeef168f56cea32a2b6bf1b146cc2f72e,send,0x0d360e9ca892dc85783b8f910c053e1c6747d30e,ETH,-0.0051
24/05/2022,14:49:50,matic,0x902f0aa4135b42fb9857836a43bb21a8ade9882fcbf45b4f1a75cbe76d2cf6e2,https://polygonscan.com/tx/0x902f0aa4135b42fb9857836a43bb21a8ade9882fcbf45b4f1a75cbe76d2cf6e2,send,0x299f70376d88868d26772f152751d25b910d6b33,GOTCHI,-1
