Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
03/01/2023,17:30:26,op,0x44146a187a03e08171da165def5dd42a5f902f68631bd512e072c630b6c56a74,https://optimistic.etherscan.io/tx/0x44146a187a03e08171da165def5dd42a5f902f68631bd512e072c630b6c56a74,receive,0x0043dccaad17a53c9143c55d1e3380c6ff71fb6f,USDC,103.030565
22/03/2023,19:56:52,bsc,0x28a775600a15d753c4524bb813157d6c8ff05b3c055f8c666537eaa3690cb0a8,https://bscscan.com/tx/0x28a775600a15d753c4524bb813157d6c8ff05b3c055f8c666537eaa3690cb0a8,receive,0x004db980f93091b0c1b0be98b5c68f43042ad1d1,ID,82.409
22/03/2023,20:03:52,bsc,0x69248f5831f0a47b8740ac1f6adb7af81841ea4064b6b5be267397ced93723ed,https://bscscan.com/tx/0x69248f5831f0a47b8740ac1f6adb7af81841ea4064b6b5be267397ced93723ed,receive,0x00d7be72669c06d68c5d7f5f4483a5e6b84eb70b,ID,82.409
09/03/2023,14:22:21,arb,0xab09a6fca4790d33ece0ddcfc2ed31554783f0d247dd040ae735b0a81f9d5599,https://arbiscan.io/tx/0xab09a6fca4790d33ece0ddcfc2ed31554783f0d247dd040ae735b0a81f9d5599,send,0x010c1589bf4401449af22654f427a569a7e27643,ETH,-0.002
22/03/2023,20:41:42,bsc,0xde5987020dec8fbcaec546fb7b061ba7265604c4e090b5994b0cfb08e355c506,https://bscscan.com/tx/0xde5987020dec8fbcaec546fb7b061ba7265604c4e090b5994b0cfb08e355c506,receive,0x011a57dfa7d8b655ea616a115180e0b2bcdb1c45,ID,80.73299999999999
28/03/2023,01:29:35,eth,0x8a6eb3d51b0440e3325ae0a674d9e2f6fa6687aa2a4bf6e05b4eaa533262a3a7,https://etherscan.io/tx/0x8a6eb3d51b0440e3325ae0a674d9e2f6fa6687aa2a4bf6e05b4eaa533262a3a7,receive,0x023a9e71848964720aa938d50f1232d34f46b470,USDT,121000
24/03/2023,01:23:04,arb,0x0c6d42b937efda48cf1f5ea243b45e84ca45c0bc7c44b1ce2c0eb56fa4a29b37,https://arbiscan.io/tx/0x0c6d42b937efda48cf1f5ea243b45e84ca45c0bc7c44b1ce2c0eb56fa4a29b37,send,0x023a9e71848964720aa938d50f1232d34f46b470,ARB,-875
22/03/2023,19:40:32,bsc,0x739498a3eddd574af8322f04cf67ecd3b11797f8dc85ae290d166c873b3dc6bb,https://bscscan.com/tx/0x739498a3eddd574af8322f04cf67ecd3b11797f8dc85ae290d166c873b3dc6bb,receive,0x033b32bbcb86fc3cdbb88f8d9daffe528e873943,ID,82.409
22/03/2023,20:09:24,bsc,0x945357933c05d1de1bf32122c0fdab28086a66fe66fec5b44ed4a22a90677535,https://bscscan.com/tx/0x945357933c05d1de1bf32122c0fdab28086a66fe66fec5b44ed4a22a90677535,receive,0x034719c9ed27d01d5ec0e383bebba0694a861f09,ID,82.058
22/03/2023,20:03:22,bsc,0xfcf42a3ca06c55640c5e06bd2c9e25b85a8da7e63a0cdab78422227d6f27db68,https://bscscan.com/tx/0xfcf42a3ca06c55640c5e06bd2c9e25b85a8da7e63a0cdab78422227d6f27db68,receive,0x043deaaaf0cf4547895e8161094975e371dccfcb,ID,82.409
22/03/2023,19:54:45,bsc,0x4670793ff0d9c9f14334342e6ab75bf607198f91013710280a270874133896c8,https://bscscan.com/tx/0x4670793ff0d9c9f14334342e6ab75bf607198f91013710280a270874133896c8,receive,0x046f6015ee70afe623ccf3e75eb6a5b8472343b4,ID,82.409
22/03/2023,19:29:32,bsc,0x8e494a8f263b5827d68348dcc63230e0cde03f2b95b74edd50e2708e73897a18,https://bscscan.com/tx/0x8e494a8f263b5827d68348dcc63230e0cde03f2b95b74edd50e2708e73897a18,receive,0x04fd55ea3bd786651282883af3ba217f5ea38d4a,ID,82.409
26/01/2023,16:47:31,op,0x476ed4a43b0f1fc4ddd248467754744362bb63ca21b480d9f444d2d7294b6752,https://optimistic.etherscan.io/tx/0x476ed4a43b0f1fc4ddd248467754744362bb63ca21b480d9f444d2d7294b6752,receive,0x04fd55ea3bd786651282883af3ba217f5ea38d4a,USDC,58.271792
22/03/2023,19:51:26,bsc,0x59f70c5ac310fa953f8b64017ba30b8331d7613805b03f6628909767419e6d78,https://bscscan.com/tx/0x59f70c5ac310fa953f8b64017ba30b8331d7613805b03f6628909767419e6d78,receive,0x05b140a4b42cbe6cd525cc75a5ad75251ce510a7,ID,82.409
22/03/2023,20:00:13,bsc,0xaec1eba0bb77bccc9e7d2d51461112827c9fa35eb4a9505a87b0d241fe6fe707,https://bscscan.com/tx/0xaec1eba0bb77bccc9e7d2d51461112827c9fa35eb4a9505a87b0d241fe6fe707,receive,0x072c8fe700da44026852b076f14b7c9e9d2b433b,ID,82.409
04/03/2023,00:28:58,arb,0x6be4d51b4b0b0d7b847d6f12855fb14f3ba3c2ae1504c19a8567d7f0b230b3db,https://arbiscan.io/tx/0x6be4d51b4b0b0d7b847d6f12855fb14f3ba3c2ae1504c19a8567d7f0b230b3db,receive,0x07e434baf31942e6fb60f12fc81ddd3f3d47e84e,ETH,0.10628070891053952
19/02/2023,17:23:25,arb,0x132716687425efd34ecef591d2908704ecbe98742d9d53d66ed2ca4aed95de8f,https://arbiscan.io/tx/0x132716687425efd34ecef591d2908704ecbe98742d9d53d66ed2ca4aed95de8f,receive,0x07e434baf31942e6fb60f12fc81ddd3f3d47e84e,ETH,0.075543
19/02/2023,17:03:43,arb,0x98880ac5bcc6acac47f20ce04b3a71210bc23d1ebe38e8dd9b19ee8cb60a0274,https://arbiscan.io/tx/0x98880ac5bcc6acac47f20ce04b3a71210bc23d1ebe38e8dd9b19ee8cb60a0274,receive,0x07e434baf31942e6fb60f12fc81ddd3f3d47e84e,USDC,213.999
