Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
03/12/2021,02:45:28,eth,0x9005466651443f8e819346b09c5d9316b3df32f4a6f55bcf071a43e590cc0069,https://etherscan.io/tx/0x9005466651443f8e819346b09c5d9316b3df32f4a6f55bcf071a43e590cc0069,receive,0x032a440e46507e460f47658946092513dd597093,ETH,0.09830826100641567
02/12/2021,23:06:58,eth,0x51fcc2552d02cbcfd624d71f5732fb55a2af62acc52de488749bcb3ff4e4dd94,https://etherscan.io/tx/0x51fcc2552d02cbcfd624d71f5732fb55a2af62acc52de488749bcb3ff4e4dd94,send,0x032a440e46507e460f47658946092513dd597093,ETH,-0.1
02/12/2021,15:07:11,matic,0x2085046afbf9ada4227a70b2d52c198d6cceb539aa5e847116cd301f819fa4b5,https://polygonscan.com/tx/0x2085046afbf9ada4227a70b2d52c198d6cceb539aa5e847116cd301f819fa4b5,send,0x032a440e46507e460f47658946092513dd597093,MATIC,-0.01
18/11/2021,22:55:20,eth,0x5e7ee81a8057743c8d55a5c14d854a145d2f9f0b780cbb8289d7f22f5d552b20,https://etherscan.io/tx/0x5e7ee81a8057743c8d55a5c14d854a145d2f9f0b780cbb8289d7f22f5d552b20,receive,0x032a440e46507e460f47658946092513dd597093,XDEFI,615.3846153846154
17/11/2021,05:40:30,eth,0x3ea06c1e6b69d7177336a409cd8838d2483a4ad217b064d090eed09bdce3f173,https://etherscan.io/tx/0x3ea06c1e6b69d7177336a409cd8838d2483a4ad217b064d090eed09bdce3f173,receive,0x032a440e46507e460f47658946092513dd597093,ETH,0.026145045280245745
02/11/2021,08:08:39,matic,0xb1ba89295b445ee2e1eadaa3885fe60fbf553aa5a034f8c2f09462ad02fe865b,https://polygonscan.com/tx/0xb1ba89295b445ee2e1eadaa3885fe60fbf553aa5a034f8c2f09462ad02fe865b,receive,0x032a440e46507e460f47658946092513dd597093,MATIC,0.2685815348999029
05/10/2021,22:40:54,eth,0x14a21ce1d4c52c27d4c247179d5a6fd82517b156bb532e8741e762a676cc68a5,https://etherscan.io/tx/0x14a21ce1d4c52c27d4c247179d5a6fd82517b156bb532e8741e762a676cc68a5,send,0x032a440e46507e460f47658946092513dd597093,ETH,-0.063
18/04/2023,04:25:33,era,0x8b64485c91a27cb8c1168a2553abf3ba4ef9634a7f299393cb17c78f2a728e03,https://era.zksync.network/tx/0x8b64485c91a27cb8c1168a2553abf3ba4ef9634a7f299393cb17c78f2a728e03,send,0x03388fb806e00999df6bc408b65df34b532afe52,.era,-1
25/11/2021,03:04:16,bsc,0x855336509e0f688844de4e3e6f686b4f93742209eec2c3067c01d37a4275c473,https://bscscan.com/tx/0x855336509e0f688844de4e3e6f686b4f93742209eec2c3067c01d37a4275c473,send,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,BUSD,-200
24/11/2021,23:01:41,bsc,0x83997a9baf0e2c48663902754f2607f5e53ccd52316a52796882710592b8826b,https://bscscan.com/tx/0x83997a9baf0e2c48663902754f2607f5e53ccd52316a52796882710592b8826b,send,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,BUSD,-300
23/11/2021,00:50:48,bsc,0x14959e84bf73c281ee4bc8578125148df07139337820a5469a5bfe2e1515c57e,https://bscscan.com/tx/0x14959e84bf73c281ee4bc8578125148df07139337820a5469a5bfe2e1515c57e,send,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,BUSD,-400
21/11/2021,06:44:41,bsc,0xd832320092b4a3c36a4842f3edac1d1673c14dbd635ad92e7c3c7470ab557b2b,https://bscscan.com/tx/0xd832320092b4a3c36a4842f3edac1d1673c14dbd635ad92e7c3c7470ab557b2b,send,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,BUSD,-316.67
20/10/2021,03:49:04,matic,0x8c6f2dfaf89f0d2d35789eb9e2c04d0cbffcc70c3a61f1741d443621caa99f0a,https://polygonscan.com/tx/0x8c6f2dfaf89f0d2d35789eb9e2c04d0cbffcc70c3a61f1741d443621caa99f0a,receive,0x1521ca1fc139ece6e2be44634adba46ccea19f4e,MATIC,0.8
14/03/2022,23:57:48,bsc,0x2466d9d3c32fed13209b76fd4ff362a0d2daba47e7cd4ecaae83d6a17bf339d8,https://bscscan.com/tx/0x2466d9d3c32fed13209b76fd4ff362a0d2daba47e7cd4ecaae83d6a17bf339d8,receive,0x155637260f91b3a3bb99fbe2b48d11cf51bc9d5c,BNB,0.002747735
14/03/2022,23:57:45,bsc,0xa9e758a0e349e418abe30362bcdc18f18fb9676b26a46d3a3e4f71f90798b5aa,https://bscscan.com/tx/0xa9e758a0e349e418abe30362bcdc18f18fb9676b26a46d3a3e4f71f90798b5aa,receive,0x155637260f91b3a3bb99fbe2b48d11cf51bc9d5c,BNB,0.002705735
14/03/2022,23:57:45,bsc,0x2b50f64fcf20fa724c63482eba9ef8ccfe9794ee28c0cdcc05df0fe902e0610a,https://bscscan.com/tx/0x2b50f64fcf20fa724c63482eba9ef8ccfe9794ee28c0cdcc05df0fe902e0610a,receive,0x155637260f91b3a3bb99fbe2b48d11cf51bc9d5c,BNB,0.002663525
