Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
25/01/2019,04:48:55,eth,0x28ff02aab773dc2aaf2a81acde2955b5d7df78fc35e1dd0eb5878ef3b39005aa,https://etherscan.io/tx/0x28ff02aab773dc2aaf2a81acde2955b5d7df78fc35e1dd0eb5878ef3b39005aa,send,0x0e6e260da1c4f4cace794e24aaf78ffa0ef16dbb,ETH,-0.001
25/01/2019,04:41:41,eth,0x39f4e2182d0ee26618d666fc2acd21a695f25f2426f3a79e5fef121eafe887df,https://etherscan.io/tx/0x39f4e2182d0ee26618d666fc2acd21a695f25f2426f3a79e5fef121eafe887df,send,0x30c7a64a9639cf2a5ee043e60195c2f8f1cc4103,ETH,-0.001
06/12/2021,23:53:03,matic,0x675989321deb3af9294eabb61045093cc04e5c2f77f4f5f7b96d48f1f5b2629a,https://polygonscan.com/tx/0x675989321deb3af9294eabb61045093cc04e5c2f77f4f5f7b96d48f1f5b2629a,send,0x30f096ad3312a6be1d54cbde07cad4d512a4f4da,WETH,-0.005939793981167922
24/03/2021,21:02:14,eth,0x669a64d20131b9364e98469a29370a5abee6380e77aa62b84e42246dd0addbe9,https://etherscan.io/tx/0x669a64d20131b9364e98469a29370a5abee6380e77aa62b84e42246dd0addbe9,receive,0x4b1ba9aa4337e65ffa2155b92bafd8e177e73cb5,ETH,0.031
03/06/2018,19:17:33,eth,0xb2a3b58c590c0fc9282c61473c93fe072e1b028ca9efc4988c0c326ff7cc7424,https://etherscan.io/tx/0xb2a3b58c590c0fc9282c61473c93fe072e1b028ca9efc4988c0c326ff7cc7424,receive,0x4b1ba9aa4337e65ffa2155b92bafd8e177e73cb5,ETH,1.4
02/06/2018,23:14:24,eth,0x3928923cc790ebf2f3ff2cd0e9e2f94dc1dcffa6fc3e0e52e4a4aa0af5c8368a,https://etherscan.io/tx/0x3928923cc790ebf2f3ff2cd0e9e2f94dc1dcffa6fc3e0e52e4a4aa0af5c8368a,receive,0x4b1ba9aa4337e65ffa2155b92bafd8e177e73cb5,ETH,1.4
10/02/2022,23:08:36,matic,0xf19db743e0a02086d16661b72459ef853c91ab57548f4c8070af82028350afe2,https://polygonscan.com/tx/0xf19db743e0a02086d16661b72459ef853c91ab57548f4c8070af82028350afe2,send,0x60f5732aa512bdb409a19dce0df3a7f445aea96a,MATIC,-0.01140161
04/02/2022,16:04:03,matic,0xc347e6cda5abf17bdd9eb46a01b0433ac6369a792292d0dd74f06f792abcb779,https://polygonscan.com/tx/0xc347e6cda5abf17bdd9eb46a01b0433ac6369a792292d0dd74f06f792abcb779,receive,0x613c8a65a2e3e1983c5ba9fec189bf9dc186ad0c,LUNA,3.54645
14/12/2021,19:43:55,op,0x87b684200065fa193177175fcec6864ef09f52c49ae2c56b4de3caf0997b7b80,https://optimistic.etherscan.io/tx/0x87b684200065fa193177175fcec6864ef09f52c49ae2c56b4de3caf0997b7b80,receive,0x613c8a65a2e3e1983c5ba9fec189bf9dc186ad0c,ETH,0.2334
30/11/2021,12:46:01,eth,0x553c044c52179a9952c213f8a9b50c6a77275e4f6261d078c931fc486e836a3d,https://etherscan.io/tx/0x553c044c52179a9952c213f8a9b50c6a77275e4f6261d078c931fc486e836a3d,receive,0x613c8a65a2e3e1983c5ba9fec189bf9dc186ad0c,ETH,0.46366375
