Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
17/09/2021,12:19:33,matic,0xa45fd90595de50dac9a14645ebb4abb0bed221d3dced4402a01e59256861b1ba,https://polygonscan.com/tx/0xa45fd90595de50dac9a14645ebb4abb0bed221d3dced4402a01e59256861b1ba,send,0x01fabc7e3ee0d830a134f4b744e6fdceb592f97b,UNI-V2,-6e-7
17/09/2021,17:55:25,matic,0x0ee6fd2d6f3803aab3d4164f78ac59939e132c9e072f821d7a2817284909e793,https://polygonscan.com/tx/0x0ee6fd2d6f3803aab3d4164f78ac59939e132c9e072f821d7a2817284909e793,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,UNI-V2,-6e-7
17/09/2021,12:08:55,matic,0xbf893f9793568bc38469ce6a461944ed54078ce641c7ad274d6611285a00c448,https://polygonscan.com/tx/0xbf893f9793568bc38469ce6a461944ed54078ce641c7ad274d6611285a00c448,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,MATIC,-6e-7
21/07/2021,01:59:33,bsc,0xaad144282cbabfb764097d03b9c9bb97aba814e8c3914eaeb3a9c9da2a5c1dd7,https://bscscan.com/tx/0xaad144282cbabfb764097d03b9c9bb97aba814e8c3914eaeb3a9c9da2a5c1dd7,receive,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,BNB,0.03
19/06/2021,12:17:49,bsc,0xa5f25ff38eb06e5390f7e2a492327883d4c610564391d1135483a75b1fc4bb6c,https://bscscan.com/tx/0xa5f25ff38eb06e5390f7e2a492327883d4c610564391d1135483a75b1fc4bb6c,receive,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,O3,0.96
09/02/2023,01:26:10,matic,0x32f4025006ba3fe74dc7e66f7f3824fccfc3b2bd52b98404b0d8aefa6848ed20,https://polygonscan.com/tx/0x32f4025006ba3fe74dc7e66f7f3824fccfc3b2bd52b98404b0d8aefa6848ed20,receive,0x136c2b7118beb7bd7981360d36bb5010b5608f25,USDC,77.025
24/08/2021,23:51:33,matic,0x44cbeee162cbc0eafc0de41cfd25882316877dd05875d47f7b31627e579c9990,https://polygonscan.com/tx/0x44cbeee162cbc0eafc0de41cfd25882316877dd05875d47f7b31627e579c9990,receive,0x26327d036cc08b93bcb9e475c8450ba8a3225daf,MATIC,7
07/11/2022,20:33:46,arb,0xa3648af2463eeedf2e236285bafa3af6103b5b3185c9a6fa0bd313b2dd6a9264,https://arbiscan.io/tx/0xa3648af2463eeedf2e236285bafa3af6103b5b3185c9a6fa0bd313b2dd6a9264,send,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,ETH,-0.04692670370918605
29/10/2022,03:03:28,matic,0xab744a7d42825b1279808d6cf70a2cfb1e848668e45538d841add89f99abaf8a,https://polygonscan.com/tx/0xab744a7d42825b1279808d6cf70a2cfb1e848668e45538d841add89f99abaf8a,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,USDC,186.184401
27/03/2022,05:10:48,matic,0x7fb5cf171682025fb514b4a07504b978147998e630f868689f0c623fd66bb827,https://polygonscan.com/tx/0x7fb5cf171682025fb514b4a07504b978147998e630f868689f0c623fd66bb827,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,UNIM,2470
02/03/2022,00:45:46,matic,0x718a1b28d51f4277bf3e7519d35307166e9c7622585e2f894932d89bf3078bc4,https://polygonscan.com/tx/0x718a1b28d51f4277bf3e7519d35307166e9c7622585e2f894932d89bf3078bc4,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,RBW,26
13/12/2021,23:24:15,xdai,0x5f288ab17ebbfee817590873130216d70fbc8459b807a9c14dd2588972b2fa35,https://gnosisscan.io/tx/0x5f288ab17ebbfee817590873130216d70fbc8459b807a9c14dd2588972b2fa35,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,xDai,7.82809635981105
13/12/2021,23:22:55,xdai,0xd3b97c1ea808eeded33ab74cff2638b8a9c445cb7edaed2b1943bb80cd7d403e,https://gnosisscan.io/tx/0xd3b97c1ea808eeded33ab74cff2638b8a9c445cb7edaed2b1943bb80cd7d403e,receive,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,USDC,188.875057
26/10/2021,23:34:30,ftm,0xa523eda80d1ec6910094254cb6139a09a27ea24b46229edf750c7bb29ff8fc72,https://ftmscan.com/tx/0xa523eda80d1ec6910094254cb6139a09a27ea24b46229edf750c7bb29ff8fc72,send,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,FTM,-19.969214242235758
26/10/2021,03:42:53,matic,0x6b625b295eed731884cdbe49b8ae64a183ae84fdcfd0e6965c0999fb31801076,https://polygonscan.com/tx/0x6b625b295eed731884cdbe49b8ae64a183ae84fdcfd0e6965c0999fb31801076,send,0x26914add47df18adbe372fc4d6f8d3ea97e7e063,MATIC,-14.409939972713524
