Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
19/10/2022,04:07:47,eth,0x8d3241d6d8c29566b7dac3a2da68b275a0f9513ecc683bad308be414a2ab3c8a,https://etherscan.io/tx/0x8d3241d6d8c29566b7dac3a2da68b275a0f9513ecc683bad308be414a2ab3c8a,receive,0x00a310933a29e2aa2e5a6590975e5e5e8c79e1e9,ETH,0.01
11/09/2021,09:25:09,arb,0x8f60acee84deffab163c8511d8c6b96d3f2322a4958082d760139a2397ecbab3,https://arbiscan.io/tx/0x8f60acee84deffab163c8511d8c6b96d3f2322a4958082d760139a2397ecbab3,send,0x00a310933a29e2aa2e5a6590975e5e5e8c79e1e9,ETH,-0.1
24/02/2021,10:54:21,eth,0xaa5d013fe57f34740b711fb7f4f1df243c096c04d2ef8357b7b8bac0efa8426e,https://etherscan.io/tx/0xaa5d013fe57f34740b711fb7f4f1df243c096c04d2ef8357b7b8bac0efa8426e,receive,0x00a310933a29e2aa2e5a6590975e5e5e8c79e1e9,ETH,0.2
29/09/2022,15:29:59,eth,0xf9dba3bdd6459aff6c23995457464e92601c707b4d4edbae2e6d4ff876be9830,https://etherscan.io/tx/0xf9dba3bdd6459aff6c23995457464e92601c707b4d4edbae2e6d4ff876be9830,receive,0x164d92a6126ebf0f354fa098e173f1a50277fdd2,$PORK,1
29/09/2022,14:41:35,eth,0x35d28187d03cc731b922753a6a89fc1f5a5bc3b69dbe4a4e841b0e1e21b0b1e7,https://etherscan.io/tx/0x35d28187d03cc731b922753a6a89fc1f5a5bc3b69dbe4a4e841b0e1e21b0b1e7,receive,0x164d92a6126ebf0f354fa098e173f1a50277fdd2,$PORK,1
22/01/2022,18:56:06,eth,0x8055073eca7e46c05493c584c54fa34f3cf4b397fee621f8e624d715d8275f4b,https://etherscan.io/tx/0x8055073eca7e46c05493c584c54fa34f3cf4b397fee621f8e624d715d8275f4b,receive,0x164d92a6126ebf0f354fa098e173f1a50277fdd2,USDC,501.01812
26/11/2021,02:54:43,arb,0x3c37430a97760c347fc8c117e9cea5671df1e59ee3cf7d633503f35ca6e7d898,https://arbiscan.io/tx/0x3c37430a97760c347fc8c117e9cea5671df1e59ee3cf7d633503f35ca6e7d898,receive,0x164d92a6126ebf0f354fa098e173f1a50277fdd2,MAGIC,2821.4740744909536
12/10/2021,21:48:25,eth,0x21e9f412f388ae5ebae8a6cc28c7ad9ba5fab7ddba64b125db3b720ee802cb94,https://etherscan.io/tx/0x21e9f412f388ae5ebae8a6cc28c7ad9ba5fab7ddba64b125db3b720ee802cb94,send,0x164d92a6126ebf0f354fa098e173f1a50277fdd2,WETH,-0.845
15/09/2021,16:53:53,bsc,0x50c2196ccef4faceddc473ade36634a873b463507e9ff2a90869d0ecc06c9754,https://bscscan.com/tx/0x50c2196ccef4faceddc473ade36634a873b463507e9ff2a90869d0ecc06c9754,receive,0x164d92a6126ebf0f354fa098e173f1a50277fdd2,DAI,1902.222981124283
15/09/2021,16:45:13,bsc,0xb0d25ca4e8a40b4f1ee2e2cbaeee4fdc3fdfc08c3aa7bd54ed08a8bf16cd5dd7,https://bscscan.com/tx/0xb0d25ca4e8a40b4f1ee2e2cbaeee4fdc3fdfc08c3aa7bd54ed08a8bf16cd5dd7,receive,0x164d92a6126ebf0f354fa098e173f1a50277fdd2,BNB,0.15
15/09/2021,16:44:52,bsc,0x5384f9ddd4dc3d6a0b68e8467167974d36fc13120571921c63da8eaf31568d98,https://bscscan.com/tx/0x5384f9ddd4dc3d6a0b68e8467167974d36fc13120571921c63da8eaf31568d98,receive,0x164d92a6126ebf0f354fa098e173f1a50277fdd2,BNB,0.15
15/09/2021,16:43:09,bsc,0xb87a6192357a38631e88b3c8ba4ab2fb9eda79d47836e787c01662cc23be05ba,https://bscscan.com/tx/0xb87a6192357a38631e88b3c8ba4ab2fb9eda79d47836e787c01662cc23be05ba,send,0x164d92a6126ebf0f354fa098e173f1a50277fdd2,DAI,-1900
15/09/2021,15:43:26,bsc,0x784d91cb6d773320d31be5d0652cce402969a5dbd90c6258e4d2a5839795daaa,https://bscscan.com/tx/0x784d91cb6d773320d31be5d0652cce402969a5dbd90c6258e4d2a5839795daaa,receive,0x164d92a6126ebf0f354fa098e173f1a50277fdd2,BNB,0.2
15/09/2021,15:42:02,bsc,0x1c0094d89902926fbb0670b4eb8914f67032ea7f9e4d03b470220fdfbff08cee,https://bscscan.com/tx/0x1c0094d89902926fbb0670b4eb8914f67032ea7f9e4d03b470220fdfbff08cee,receive,0x164d92a6126ebf0f354fa098e173f1a50277fdd2,DAI,1970
24/08/2021,18:11:15,eth,0xffde08f6ab10aeb11f3735b58d9dc35301d7dd6d54b7bd2726e89b76540b050f,https://etherscan.io/tx/0xffde08f6ab10aeb11f3735b58d9dc35301d7dd6d54b7bd2726e89b76540b050f,send,0x164d92a6126ebf0f354fa098e173f1a50277fdd2,USDC,-500
21/01/2022,22:56:05,eth,0x37d029c9faf9a934495898671c841522f8d014ef24cfd56d7fa019b6ef8ff21c,https://etherscan.io/tx/0x37d029c9faf9a934495898671c841522f8d014ef24cfd56d7fa019b6ef8ff21c,receive,0x225244f53b4c940e1bb5701399f5b61d218080ef,LOOKS,500.00000004590186
21/01/2022,20:10:22,eth,0x05b42b2ab84f42e46b150203c3b1a32f56236619df804549529408f1cfb4df7c,https://etherscan.io/tx/0x05b42b2ab84f42e46b150203c3b1a32f56236619df804549529408f1cfb4df7c,send,0x225244f53b4c940e1bb5701399f5b61d218080ef,ETH,-0.08
26/11/2021,02:57:44,arb,0xfd461539bb72ec577786305b9f7ba1e1f9bfd88065f87c34adfadd3e9925b030,https://arbiscan.io/tx/0xfd461539bb72ec577786305b9f7ba1e1f9bfd88065f87c34adfadd3e9925b030,receive,0x225244f53b4c940e1bb5701399f5b61d218080ef,MAGIC,2351.363832665005
15/03/2023,02:22:32,bsc,0xa6bf0c9dfa0057fcff877cd2aa3ffc28d45c7b2656267c03801eba1b27ecd1ba,https://bscscan.com/tx/0xa6bf0c9dfa0057fcff877cd2aa3ffc28d45c7b2656267c03801eba1b27ecd1ba,send,0x2851857a4a55db6d462016f8787fab9d9e710b60,lowb,-1078632.5923593359
