Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
28/12/2022,15:47:29,bsc,0xf01ffd85bccd4c3e408b59fc02b01cd5cd6fa1d747d06827a654f41db924f34a,https://bscscan.com/tx/0xf01ffd85bccd4c3e408b59fc02b01cd5cd6fa1d747d06827a654f41db924f34a,send,0x00025fb5b4cf5c2cf893b02b30ee736def40bfa8,BNB,-0.0005
24/12/2022,23:38:31,matic,0xaabb805d722f967430bfc09d5733adf425c448f727e1e3ecc0e39decd6271c35,https://polygonscan.com/tx/0xaabb805d722f967430bfc09d5733adf425c448f727e1e3ecc0e39decd6271c35,send,0x00025fb5b4cf5c2cf893b02b30ee736def40bfa8,MATIC,-0.1
27/12/2022,20:38:45,op,0xb462e40a13397f1590dd5d5161c76863cc352120908329d8aafce4a02e2adf7f,https://optimistic.etherscan.io/tx/0xb462e40a13397f1590dd5d5161c76863cc352120908329d8aafce4a02e2adf7f,send,0x022c4430e0f8b1b2aafe364816b345b5b3c41e81,ETH,-0.00017
27/12/2022,20:38:35,bsc,0x39988107639a1e6a23868b84fe1d6547e514da38ade3c8d503f4b4d930640bc5,https://bscscan.com/tx/0x39988107639a1e6a23868b84fe1d6547e514da38ade3c8d503f4b4d930640bc5,send,0x022c4430e0f8b1b2aafe364816b345b5b3c41e81,BNB,-0.0005
24/12/2022,22:37:39,matic,0xc2b1d9e5ab8ba6f49ed1a85bb6cca32656a8813d8d49d434d90f626ba5a51f9a,https://polygonscan.com/tx/0xc2b1d9e5ab8ba6f49ed1a85bb6cca32656a8813d8d49d434d90f626ba5a51f9a,send,0x022c4430e0f8b1b2aafe364816b345b5b3c41e81,MATIC,-0.1
27/12/2022,19:39:02,bsc,0x5f65a2b8357f9ee4501c3ce13b3f948b28a09db5020fc9d8efdda8ff1289a539,https://bscscan.com/tx/0x5f65a2b8357f9ee4501c3ce13b3f948b28a09db5020fc9d8efdda8ff1289a539,send,0x080e49d463557f45c78628e757e25ea7ea90de31,BNB,-0.0005
27/12/2022,19:38:30,op,0x3a82403a8456e1828c6c06c387ee601f46ddc16f2e28afa359120b5e3070fe1e,https://optimistic.etherscan.io/tx/0x3a82403a8456e1828c6c06c387ee601f46ddc16f2e28afa359120b5e3070fe1e,send,0x080e49d463557f45c78628e757e25ea7ea90de31,ETH,-0.00016
24/12/2022,22:25:25,matic,0xc09f382dea98d866e95393ff840773fe8a8d392171a8b6d8e326efd8b3c58dd2,https://polygonscan.com/tx/0xc09f382dea98d866e95393ff840773fe8a8d392171a8b6d8e326efd8b3c58dd2,send,0x080e49d463557f45c78628e757e25ea7ea90de31,MATIC,-0.1
28/12/2022,22:03:29,bsc,0xc3f09aa82b2d26d234f603f9214be7720dd580bfe7ffec616febc557444b2570,https://bscscan.com/tx/0xc3f09aa82b2d26d234f603f9214be7720dd580bfe7ffec616febc557444b2570,send,0x081a5c57c1bfa9abdd0afc0824df75a3515da651,BNB,-0.0005
24/12/2022,23:51:23,matic,0xf220c4a829c6ffa7647cc3cab6b19f986f310a31ddf0157cf6d42b1167d7afd4,https://polygonscan.com/tx/0xf220c4a829c6ffa7647cc3cab6b19f986f310a31ddf0157cf6d42b1167d7afd4,send,0x081a5c57c1bfa9abdd0afc0824df75a3515da651,MATIC,-0.1
28/12/2022,23:10:03,bsc,0xc5bdcd584c6e9cf2aad23875ac54ef121e9432a138bb1985e0cf569e17f841ad,https://bscscan.com/tx/0xc5bdcd584c6e9cf2aad23875ac54ef121e9432a138bb1985e0cf569e17f841ad,send,0x0f6b10a00b200e01c9beea628fd4ef3b8182ce30,BNB,-0.0005
