Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
13/01/2023,02:52:09,bsc,0x308d08000979bdcdd6b0d13334a077459432b82d04a4a0d6b9fb6236f0e25c19,https://bscscan.com/tx/0x308d08000979bdcdd6b0d13334a077459432b82d04a4a0d6b9fb6236f0e25c19,send,0x0172425c9c7927ba5bfffce42d418afc556296e2,BUSD,-5
04/12/2022,03:41:20,bsc,0x878c8bea50f70c2e32813710938678f95e686f87c21129cf31bb9b83121e755f,https://bscscan.com/tx/0x878c8bea50f70c2e32813710938678f95e686f87c21129cf31bb9b83121e755f,send,0x0172425c9c7927ba5bfffce42d418afc556296e2,BUSD,-6
25/08/2022,07:28:25,eth,0xfb250f40d7c0300b447e2e3e3c9616c39580a38e79b59cd827075a6800d0e2a8,https://etherscan.io/tx/0xfb250f40d7c0300b447e2e3e3c9616c39580a38e79b59cd827075a6800d0e2a8,receive,0x0172425c9c7927ba5bfffce42d418afc556296e2,ETH,0.0035
19/03/2024,07:54:09,bsc,0x0144649a4a598b1f961b15585c8c2f6f8aa6d9e8bf91bff0a5afe368d3807edc,https://bscscan.com/tx/0x0144649a4a598b1f961b15585c8c2f6f8aa6d9e8bf91bff0a5afe368d3807edc,receive,0x017e1f81b2e17bd02c4cd337fcbeabe01a0b4bf0,USDT,12
10/01/2024,09:31:38,matic,0xb3fdd37b05b1a2ccadba973456f542727137aa3c61c696a867b6e9ab25254955,https://polygonscan.com/tx/0xb3fdd37b05b1a2ccadba973456f542727137aa3c61c696a867b6e9ab25254955,receive,0x1023fb10b518902d440e4fb9a993849cae64a0bb,MATIC,2.2
16/12/2022,03:17:32,bsc,0x89ec96e535292c6b406a7c513f33719efcca7ff2126f17fa1f21cbe669039167,https://bscscan.com/tx/0x89ec96e535292c6b406a7c513f33719efcca7ff2126f17fa1f21cbe669039167,send,0x1ab8738eaee7cc8869ad5ac8a8f37a091cdf45bf,BUSD,-10
04/09/2022,05:38:07,bsc,0x2aa3cbb6e00caa299ed0737a0bc5de85b9a5df03029fc13931e964356433dde7,https://bscscan.com/tx/0x2aa3cbb6e00caa299ed0737a0bc5de85b9a5df03029fc13931e964356433dde7,send,0x33c3d2a5b6da7b925687c6191e3bc4874afeb78e,BUSD,-15
04/09/2022,05:37:43,matic,0xba44cf2ea3b18cc4a217261792cdc845b6291c6e51356bbce28ce29ce4bbe97a,https://polygonscan.com/tx/0xba44cf2ea3b18cc4a217261792cdc845b6291c6e51356bbce28ce29ce4bbe97a,send,0x33c3d2a5b6da7b925687c6191e3bc4874afeb78e,MATIC,-0.1
01/07/2022,04:43:36,matic,0x5e7f249454618bccadebee09e9924514aa1ed40fa2738767d204fc4b1d2ec0dc,https://polygonscan.com/tx/0x5e7f249454618bccadebee09e9924514aa1ed40fa2738767d204fc4b1d2ec0dc,receive,0x4f2085615261cc9afe0e54fe04f7c6fc6c1b8f3a,MATIC,0.1
05/05/2022,22:09:47,bsc,0xc2002549b99a047f63d4c09e2578d2effb03a4aef31ed97a289dafda030194b7,https://bscscan.com/tx/0xc2002549b99a047f63d4c09e2578d2effb03a4aef31ed97a289dafda030194b7,send,0x4f2085615261cc9afe0e54fe04f7c6fc6c1b8f3a,BUSD,-6
05/05/2022,22:08:23,matic,0x4d4b3d0f07ff960a773611e5fdca9046678b90903e7a2a1fbc1c7d361db9a667,https://polygonscan.com/tx/0x4d4b3d0f07ff960a773611e5fdca9046678b90903e7a2a1fbc1c7d361db9a667,send,0x4f2085615261cc9afe0e54fe04f7c6fc6c1b8f3a,MATIC,-9
26/03/2024,00:40:11,eth,0x2dcdb02e9f6d1630979b8e509d0420daabfdd767e6e60ef33fec0654d04a31fc,https://etherscan.io/tx/0x2dcdb02e9f6d1630979b8e509d0420daabfdd767e6e60ef33fec0654d04a31fc,receive,0x5f399aaf88796f51207aaae3f4c4ec9546c95517,ETH,0.14
27/04/2022,21:16:47,bsc,0x13f8a68053049b2959289a4e56608a6c13eb600bdf5ed8caedc3b557de00cc97,https://bscscan.com/tx/0x13f8a68053049b2959289a4e56608a6c13eb600bdf5ed8caedc3b557de00cc97,receive,0x643dfc6542186a47d029448ae0a7f2c6dae7f3f0,BUSD,10
02/02/2022,03:56:09,bsc,0xcd677fe52275ad001c36bf6406613e5548601ea8a617f20ae4016739522f3c18,https://bscscan.com/tx/0xcd677fe52275ad001c36bf6406613e5548601ea8a617f20ae4016739522f3c18,receive,0x643dfc6542186a47d029448ae0a7f2c6dae7f3f0,BNB,0.003
