Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/03/2024,09:39:02,arb,0xcdfa6884aa82f002da98de6e14ba5dec33abcf1e8b5e4791e8d5778de100f3ee,https://arbiscan.io/tx/0xcdfa6884aa82f002da98de6e14ba5dec33abcf1e8b5e4791e8d5778de100f3ee,send,0x004fbb1e3ae907fa7feccbcf8e3607c9911eb523,ETH,-0.15
09/04/2024,20:08:37,op,0x6c3c39ddee71ee00091a9b82321fbe4a432db1b1c0864248873590a0198629cf,https://optimistic.etherscan.io/tx/0x6c3c39ddee71ee00091a9b82321fbe4a432db1b1c0864248873590a0198629cf,receive,0x00f8563069be7266d379497228bda89efd69c6cd,ETH,0.07
09/04/2024,20:08:35,eth,0xb0d319a11c462bdbee61bbb3a7032ee9609c9a52f2ef964a6a2c7dedb0a02758,https://etherscan.io/tx/0xb0d319a11c462bdbee61bbb3a7032ee9609c9a52f2ef964a6a2c7dedb0a02758,send,0x00f8563069be7266d379497228bda89efd69c6cd,ETH,-0.07
09/04/2024,20:01:55,op,0xa7f775e1e60cf07ad7c35ad5c373fb61eb7436024d2997e0ee5ca15fe8ac7852,https://optimistic.etherscan.io/tx/0xa7f775e1e60cf07ad7c35ad5c373fb61eb7436024d2997e0ee5ca15fe8ac7852,receive,0x00f8563069be7266d379497228bda89efd69c6cd,ETH,0.07
09/04/2024,20:01:23,eth,0xd3655580aebef4b172917b150d83e1b4a9c00fd3b99a9f437c7f3203ddc14cf4,https://etherscan.io/tx/0xd3655580aebef4b172917b150d83e1b4a9c00fd3b99a9f437c7f3203ddc14cf4,send,0x00f8563069be7266d379497228bda89efd69c6cd,ETH,-0.07
09/04/2024,19:41:35,op,0xe6c4a204bc66a0040ba33eb5fce492eee1996ad998bb8c3651d11cbf7f197e65,https://optimistic.etherscan.io/tx/0xe6c4a204bc66a0040ba33eb5fce492eee1996ad998bb8c3651d11cbf7f197e65,send,0x00f8563069be7266d379497228bda89efd69c6cd,ETH,-0.003
19/11/2023,13:42:13,zora,0x84f8f7a400f873dac37195d49368756039abeb1ce901e42533f3bc4e44f942b0,https://explorer.zora.energy/tx/0x84f8f7a400f873dac37195d49368756039abeb1ce901e42533f3bc4e44f942b0,send,0x014ba58280ac29b504910b71f047bf31701d135b,ETH,-0.003
19/11/2023,13:40:35,scrl,0xe9d7bb588d9f882c58bdeeeef9b3f04cf7ae59cb69c8e9c31ba5686c67f77455,https://scrollscan.com/tx/0xe9d7bb588d9f882c58bdeeeef9b3f04cf7ae59cb69c8e9c31ba5686c67f77455,send,0x014ba58280ac29b504910b71f047bf31701d135b,ETH,-0.003
19/11/2023,13:36:31,linea,0x194b1d814f89f18ade9a3cbedf2455a6119f64e80121056358fae30096579893,https://lineascan.build/tx/0x194b1d814f89f18ade9a3cbedf2455a6119f64e80121056358fae30096579893,send,0x014ba58280ac29b504910b71f047bf31701d135b,ETH,-0.005
12/08/2023,01:52:48,bsc,0x85313513a65fcf53531bed6aaff1b8ff7bbfd5b4f39c83c4a104899691274e70,https://bscscan.com/tx/0x85313513a65fcf53531bed6aaff1b8ff7bbfd5b4f39c83c4a104899691274e70,receive,0x017e1f81b2e17bd02c4cd337fcbeabe01a0b4bf0,USDT,251.5
20/03/2024,13:55:21,arb,0x568708defee2e795055673adecf8368a639d4dcc806f739df5011cc83365ecc4,https://arbiscan.io/tx/0x568708defee2e795055673adecf8368a639d4dcc806f739df5011cc83365ecc4,receive,0x0e21558173f2174f0e96f309cce2f7bae2b4ecc1,ETH,1.305
20/03/2024,13:55:11,eth,0x6c109270d5f9efb12ca2de9647f3524968dad08af9ba77c573f2c66552fa9143,https://etherscan.io/tx/0x6c109270d5f9efb12ca2de9647f3524968dad08af9ba77c573f2c66552fa9143,receive,0x0e21558173f2174f0e96f309cce2f7bae2b4ecc1,ETH,1.705
20/03/2024,13:01:55,arb,0xa2235e758186ca126375ca4fea9f26619fac57df38bf5c67aaebf2924e15c8a4,https://arbiscan.io/tx/0xa2235e758186ca126375ca4fea9f26619fac57df38bf5c67aaebf2924e15c8a4,send,0x0e21558173f2174f0e96f309cce2f7bae2b4ecc1,ETH,-1.3
20/03/2024,13:01:35,eth,0x98d4b15970a3928fd22778de39b9c32073ae51110a6c1b58f6694875baafc32a,https://etherscan.io/tx/0x98d4b15970a3928fd22778de39b9c32073ae51110a6c1b58f6694875baafc32a,send,0x0e21558173f2174f0e96f309cce2f7bae2b4ecc1,ETH,-1.7
20/03/2024,12:32:23,ftm,0x4e0c34cd194b52846e458e71f5a70d9cd5eab263d366f15f9b077982fc8805dc,https://ftmscan.com/tx/0x4e0c34cd194b52846e458e71f5a70d9cd5eab263d366f15f9b077982fc8805dc,send,0x0e21558173f2174f0e96f309cce2f7bae2b4ecc1,FTM,-10
17/03/2024,11:17:29,ftm,0x068bbeffdd12c92312e5b4335f6929d23158a02ba66b0037eec69e6fb4f88ae5,https://ftmscan.com/tx/0x068bbeffdd12c92312e5b4335f6929d23158a02ba66b0037eec69e6fb4f88ae5,send,0x0e21558173f2174f0e96f309cce2f7bae2b4ecc1,FTM,-5
10/03/2024,11:29:18,linea,0x77e8cfb4ab661d55bca0379440b48485162181d280b35fd8bdc432ea46af606a,https://lineascan.build/tx/0x77e8cfb4ab661d55bca0379440b48485162181d280b35fd8bdc432ea46af606a,send,0x0e21558173f2174f0e96f309cce2f7bae2b4ecc1,ETH,-0.005
10/03/2024,10:48:30,linea,0xdf53f4bdc55da3503f8b901e34bddebf2bdba8cd25296a7f6bf63fb37f57a8d2,https://lineascan.build/tx/0xdf53f4bdc55da3503f8b901e34bddebf2bdba8cd25296a7f6bf63fb37f57a8d2,send,0x0e21558173f2174f0e96f309cce2f7bae2b4ecc1,ETH,-0.003
09/03/2024,12:44:53,bsc,0x6230333d1e085f7c22382dec63643583ee66abf42d2e68fc8ea22d23912aa7ad,https://bscscan.com/tx/0x6230333d1e085f7c22382dec63643583ee66abf42d2e68fc8ea22d23912aa7ad,receive,0x0e21558173f2174f0e96f309cce2f7bae2b4ecc1,USDV,29.988
