Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
24/03/2023,00:06:32,arb,0xcbe01eb80889fb5b1006fd4512ad703c4326cabe472e31491b20b34722d59d1e,https://arbiscan.io/tx/0xcbe01eb80889fb5b1006fd4512ad703c4326cabe472e31491b20b34722d59d1e,send,0x023a9e71848964720aa938d50f1232d34f46b470,ARB,-2250
24/04/2023,14:41:06,op,0xbcd72f9059c2c4fe3478559135de240f624167911aab6a9bb9ac7e0786c39d28,https://optimistic.etherscan.io/tx/0xbcd72f9059c2c4fe3478559135de240f624167911aab6a9bb9ac7e0786c39d28,receive,0x033b32bbcb86fc3cdbb88f8d9daffe528e873943,ETH,0.002
02/01/2023,19:48:56,op,0x0e94a532ab6bd14b2b4a8ab3fa9b2b4ab17e1e880334adac14add71bacc5ef16,https://optimistic.etherscan.io/tx/0x0e94a532ab6bd14b2b4a8ab3fa9b2b4ab17e1e880334adac14add71bacc5ef16,receive,0x04fd55ea3bd786651282883af3ba217f5ea38d4a,HOP,38.256812
02/01/2023,17:25:50,op,0x9110b962eb65e519fd43d43cb09fa63d7400811f3becab0c5522c66636a2c41a,https://optimistic.etherscan.io/tx/0x9110b962eb65e519fd43d43cb09fa63d7400811f3becab0c5522c66636a2c41a,receive,0x04fd55ea3bd786651282883af3ba217f5ea38d4a,USDC,46.893867
02/01/2023,15:52:19,op,0xfddeced63fde9c109adafa6c78f472823dda7a1a4978fb60721dc8eb464ee8cd,https://optimistic.etherscan.io/tx/0xfddeced63fde9c109adafa6c78f472823dda7a1a4978fb60721dc8eb464ee8cd,receive,0x04fd55ea3bd786651282883af3ba217f5ea38d4a,sUSD,14.4067539
22/12/2022,00:01:39,op,0xb1c8b592495aeb705362610ef3c70e5c3e21f6345b3a7c94f2e4ce6caa99f05c,https://optimistic.etherscan.io/tx/0xb1c8b592495aeb705362610ef3c70e5c3e21f6345b3a7c94f2e4ce6caa99f05c,send,0x04fd55ea3bd786651282883af3ba217f5ea38d4a,USDC,-70
12/11/2022,17:57:48,op,0x91fae6aabfff7ef33f57c8e00182a85e1113b081b342a61c91ab9eb313e4f297,https://optimistic.etherscan.io/tx/0x91fae6aabfff7ef33f57c8e00182a85e1113b081b342a61c91ab9eb313e4f297,receive,0x04fd55ea3bd786651282883af3ba217f5ea38d4a,SNX,209.97
16/10/2022,05:03:59,arb,0x07426756b988ed4b2e052ebb3282ce8b5ac1f5a36e450c3f8cf505e58311c161,https://arbiscan.io/tx/0x07426756b988ed4b2e052ebb3282ce8b5ac1f5a36e450c3f8cf505e58311c161,receive,0x04fd55ea3bd786651282883af3ba217f5ea38d4a,ETH,0.074567
14/09/2022,23:45:57,arb,0xe870e586ca88a6972501073f9d32c213a31e591b5ead3abb823324893b73f8e5,https://arbiscan.io/tx/0xe870e586ca88a6972501073f9d32c213a31e591b5ead3abb823324893b73f8e5,receive,0x04fd55ea3bd786651282883af3ba217f5ea38d4a,ETH,0.1096
26/01/2023,17:22:27,op,0x6530d1939fdda9f942af495045273026a78ad6f97fcd852af7f62b5ddde00f1d,https://optimistic.etherscan.io/tx/0x6530d1939fdda9f942af495045273026a78ad6f97fcd852af7f62b5ddde00f1d,receive,0x07e434baf31942e6fb60f12fc81ddd3f3d47e84e,sUSD,81.41281
26/01/2023,17:01:37,op,0x8d0b29a0a244e9cf22901d3bf5e0a7a24c9be28467cd9fdb2f8358949bc043e5,https://optimistic.etherscan.io/tx/0x8d0b29a0a244e9cf22901d3bf5e0a7a24c9be28467cd9fdb2f8358949bc043e5,receive,0x07e434baf31942e6fb60f12fc81ddd3f3d47e84e,USDC,43.627572
16/10/2022,05:13:20,arb,0xbcb23ef74f0c18402577d658e173f97164625e51557ef6a042088d60cdd2ec12,https://arbiscan.io/tx/0xbcb23ef74f0c18402577d658e173f97164625e51557ef6a042088d60cdd2ec12,receive,0x07e434baf31942e6fb60f12fc81ddd3f3d47e84e,ETH,0.078
15/09/2022,00:08:41,arb,0x8d1d8fd8d892d743c0889937053c187c2f72df777749a72bd62e8f0262f63aec,https://arbiscan.io/tx/0x8d1d8fd8d892d743c0889937053c187c2f72df777749a72bd62e8f0262f63aec,receive,0x07e434baf31942e6fb60f12fc81ddd3f3d47e84e,ETH,0.107777
15/12/2022,14:56:05,op,0xb16810bbd7ccfbc61602c90881a851c6a66f1b0bc0839ff43251fa53b370b1a7,https://optimistic.etherscan.io/tx/0xb16810bbd7ccfbc61602c90881a851c6a66f1b0bc0839ff43251fa53b370b1a7,send,0x081a86bdd7488ffa7d45e76839b5b8ca2d92c238,USDC,-31
02/01/2023,19:59:26,op,0x7aea6dda6bf96e6bc7ab20d94f58808ce9ea21ddd2f5f2cffbf7c9d42156ea65,https://optimistic.etherscan.io/tx/0x7aea6dda6bf96e6bc7ab20d94f58808ce9ea21ddd2f5f2cffbf7c9d42156ea65,receive,0x0862b872d63d399c16513a27bf63f683900b988f,HOP,33.197971
02/01/2023,17:36:05,op,0x06485a6eed4606f88e313abd2ffce2e454c19380a9ddb2f83a0ded28228d6ffd,https://optimistic.etherscan.io/tx/0x06485a6eed4606f88e313abd2ffce2e454c19380a9ddb2f83a0ded28228d6ffd,receive,0x0862b872d63d399c16513a27bf63f683900b988f,USDC,39.308601
02/01/2023,16:02:04,op,0xee778b6e4a0d2e526e12e0da4fe7dfd15d98dbbba7363b85c165342b38097cdc,https://optimistic.etherscan.io/tx/0xee778b6e4a0d2e526e12e0da4fe7dfd15d98dbbba7363b85c165342b38097cdc,receive,0x0862b872d63d399c16513a27bf63f683900b988f,sUSD,77.7817251
11/12/2022,23:55:39,op,0x56b8684e8c958bdb55d0f5b860db7b77bd2dcfbdabeb9ad9539bbba4aeb9ddbf,https://optimistic.etherscan.io/tx/0x56b8684e8c958bdb55d0f5b860db7b77bd2dcfbdabeb9ad9539bbba4aeb9ddbf,receive,0x0862b872d63d399c16513a27bf63f683900b988f,USDC,62.45
16/10/2022,05:18:53,arb,0x3698bff919b8e5765a2c23ea5b5bafb415f34320f328f623eb01ec173234ffca,https://arbiscan.io/tx/0x3698bff919b8e5765a2c23ea5b5bafb415f34320f328f623eb01ec173234ffca,receive,0x0862b872d63d399c16513a27bf63f683900b988f,ETH,0.076234
16/05/2023,22:38:28,arb,0x68aa6bc603efe231755a6e1995f0dbd2ff20e664fb9c44423e8fe8f31a993222,https://arbiscan.io/tx/0x68aa6bc603efe231755a6e1995f0dbd2ff20e664fb9c44423e8fe8f31a993222,receive,0x0ea67df8006be15ac59b5bca21ae206eb925fc6c,ETH,0.11640247929999159
16/05/2023,22:45:21,arb,0xe769746aec3c6e1d35df24d11a6a1d5993ce4b7a0febc09f3a6036662c4a4ffe,https://arbiscan.io/tx/0xe769746aec3c6e1d35df24d11a6a1d5993ce4b7a0febc09f3a6036662c4a4ffe,receive,0x0fe69b4d246d615f6edbff410fabdb9f99fb8545,ETH,0.1191317324994862
16/05/2023,22:42:56,arb,0x5fe87b245f88740e85dd14f91b8d7efe3813c452c30edbbaaace215e33b6d8ba,https://arbiscan.io/tx/0x5fe87b245f88740e85dd14f91b8d7efe3813c452c30edbbaaace215e33b6d8ba,receive,0x12819404c709e2dd584ef397564fc7506a9bc93f,ETH,0.1150458307319455
12/11/2022,16:50:47,op,0xdda29518a74bf627998593bcdfd01fe79ed755cb7627ff1555ffa8929431b862,https://optimistic.etherscan.io/tx/0xdda29518a74bf627998593bcdfd01fe79ed755cb7627ff1555ffa8929431b862,receive,0x12e7ac380f854f23df005186d1314d6d8b320607,SNX,105.87
16/05/2023,22:36:25,arb,0xa0027c6f515bd7fa0125239b697d17b03c6a3b1eba7f916598458326cb0f4166,https://arbiscan.io/tx/0xa0027c6f515bd7fa0125239b697d17b03c6a3b1eba7f916598458326cb0f4166,receive,0x131251e8e11451ebdb0f9c805f64372a9225b178,ETH,0.11354902442124326
16/05/2023,22:44:41,arb,0x7ac5e9630b0763bc70be1b8f3a71ec81eada59e9c729dda5c4d439ff37d69da1,https://arbiscan.io/tx/0x7ac5e9630b0763bc70be1b8f3a71ec81eada59e9c729dda5c4d439ff37d69da1,receive,0x15dd3b5f278d4a8c7417147b37e23aa7a02dd69c,ETH,0.12159422448720837
16/05/2023,22:37:42,arb,0x1bf241743cea2fea22906b54cdadbd0f27e45f262efb39bdbfa013a113468aed,https://arbiscan.io/tx/0x1bf241743cea2fea22906b54cdadbd0f27e45f262efb39bdbfa013a113468aed,receive,0x15e42a3448609f4dd684af8fe94563ac7c3a7502,ETH,0.11775446627966803
02/01/2023,19:53:11,op,0x5b7a200528cf7e81900e13494aa3cff166a0d7a4ee7a69b022e25531353f4252,https://optimistic.etherscan.io/tx/0x5b7a200528cf7e81900e13494aa3cff166a0d7a4ee7a69b022e25531353f4252,receive,0x177c589c646933f93389ceacc571e612093f5287,HOP,37.025532
02/01/2023,17:29:35,op,0x417f5b2de59a13630de80429b547d51bca9d000424dd4ba0e054ca02be3e3ed5,https://optimistic.etherscan.io/tx/0x417f5b2de59a13630de80429b547d51bca9d000424dd4ba0e054ca02be3e3ed5,receive,0x177c589c646933f93389ceacc571e612093f5287,USDC,36.877652
02/01/2023,16:23:04,op,0xcb6baae9dfc0018daf6f25ed8db40d7dd732e2ea233b20cecc5698a6824a92f3,https://optimistic.etherscan.io/tx/0xcb6baae9dfc0018daf6f25ed8db40d7dd732e2ea233b20cecc5698a6824a92f3,receive,0x177c589c646933f93389ceacc571e612093f5287,sUSD,11.709458
12/11/2022,16:53:47,op,0xbb8401245b98f6a620a643d3d892983196ce3e0c87f953d00ec9a73f1af5a79f,https://optimistic.etherscan.io/tx/0xbb8401245b98f6a620a643d3d892983196ce3e0c87f953d00ec9a73f1af5a79f,receive,0x177c589c646933f93389ceacc571e612093f5287,SNX,105.876
16/10/2022,05:42:54,arb,0x2c23fe201540a951f5ced83686c9ce83706c27fb39578acc3abe1ab70437fb3a,https://arbiscan.io/tx/0x2c23fe201540a951f5ced83686c9ce83706c27fb39578acc3abe1ab70437fb3a,receive,0x177c589c646933f93389ceacc571e612093f5287,ETH,0.080070862645
16/05/2023,22:42:12,arb,0xee35fc89b52f37e9e6796768e67d91ba25265364483ccbc7e752a10ac3f6d3eb,https://arbiscan.io/tx/0xee35fc89b52f37e9e6796768e67d91ba25265364483ccbc7e752a10ac3f6d3eb,receive,0x1804cf8fbcd91a278419b3121ca1571b13cdd8c8,ETH,0.1249319237121579
16/05/2023,22:36:52,arb,0xe544efc3f60351c90bd9b9560f84633d56d778b701efbbe47e9abe50c2278bba,https://arbiscan.io/tx/0xe544efc3f60351c90bd9b9560f84633d56d778b701efbbe47e9abe50c2278bba,receive,0x183bffe026d50515516a8f873162396068143425,ETH,0.38545235664131566
03/01/2023,17:31:11,op,0xb04dcb595d262e122b6eede4189be24b538e6a8c95785bf5653a81dbeeaa00a4,https://optimistic.etherscan.io/tx/0xb04dcb595d262e122b6eede4189be24b538e6a8c95785bf5653a81dbeeaa00a4,receive,0x1efa7f3e64cd5b1df8a3ec254073a2d828e32067,USDC,103.315798
16/05/2023,22:41:04,arb,0x3c54a350ddc574976bf86b1d6fd2b85b8b34aed9f4de03a480a633507fab392a,https://arbiscan.io/tx/0x3c54a350ddc574976bf86b1d6fd2b85b8b34aed9f4de03a480a633507fab392a,receive,0x1f61d6ce5d2afe65303587523dc05c4ba164d14b,ETH,0.13371989096483097
16/05/2023,22:36:37,arb,0xfc9e49e2fc1e10025380852ea8d906195297051cdb4c37e21794556685a8564e,https://arbiscan.io/tx/0xfc9e49e2fc1e10025380852ea8d906195297051cdb4c37e21794556685a8564e,receive,0x1f8f1b97863c44c41bde993aa078b2500d9424fa,ETH,0.10677546859406709
16/05/2023,22:40:31,arb,0x696ec9d838a366567607fa38478109cd6d5f9b34fcb399fecbfd6e8b8052507a,https://arbiscan.io/tx/0x696ec9d838a366567607fa38478109cd6d5f9b34fcb399fecbfd6e8b8052507a,receive,0x2271eb7bc6c70dd533379758b70aadff075d72b7,ETH,0.1322489854708256
03/01/2023,17:28:41,op,0xad8eb47d7231fe1108ee6bf1fce6224d52f38eb0eee71ba11c32cc59e1c42e21,https://optimistic.etherscan.io/tx/0xad8eb47d7231fe1108ee6bf1fce6224d52f38eb0eee71ba11c32cc59e1c42e21,receive,0x24b87355015378d5b897033314c506e6447c55fc,USDC,102.810638
03/01/2023,17:30:41,op,0x31c6dc84f970b5e5a8b2dee1ea59b55024134d385084e6974d722a8f18f4e087,https://optimistic.etherscan.io/tx/0x31c6dc84f970b5e5a8b2dee1ea59b55024134d385084e6974d722a8f18f4e087,receive,0x26e0fe0540d6ef92c5425bd875b0bcf862c38d28,USDC,103.827773
11/12/2022,23:56:09,op,0xc1c5db981510e4151fb1e33a8d9a6869f516ffec4a0295812ded24a847178088,https://optimistic.etherscan.io/tx/0xc1c5db981510e4151fb1e33a8d9a6869f516ffec4a0295812ded24a847178088,receive,0x29bc109a576fd17b3d46341471d69d842b89976f,USDC,63.27
16/10/2022,05:07:44,arb,0xaf9b16887bf6b7930c4a5834dfa816f9cc23d205a850f91c1d56436815c3662d,https://arbiscan.io/tx/0xaf9b16887bf6b7930c4a5834dfa816f9cc23d205a850f91c1d56436815c3662d,receive,0x2cc43761ae77a6db65ef6ab84badf983249893d2,ETH,0.080123
03/01/2023,17:31:41,op,0x9c2b8c5dcc70660c56f6febbb31a2b954a31213c4fc8d6f47af6f812443c853f,https://optimistic.etherscan.io/tx/0x9c2b8c5dcc70660c56f6febbb31a2b954a31213c4fc8d6f47af6f812443c853f,receive,0x2f6e85e606f4f29ee26c2e6e36ed3a2b508907a7,USDC,104.08918
20/11/2023,22:31:23,eth,0xe6c934782a3a4943ee3d1482b6e90e857714588b98282365867cbf82a44b42bf,https://etherscan.io/tx/0xe6c934782a3a4943ee3d1482b6e90e857714588b98282365867cbf82a44b42bf,receive,0x32b3bc0b23c9b85ea1d22046ca593029db575a8d,gg,1
11/12/2022,23:56:39,op,0x0ae413c1111b93bc879815f5cc216c2b4b5e0e752c7ceccc89abdba8b3da4844,https://optimistic.etherscan.io/tx/0x0ae413c1111b93bc879815f5cc216c2b4b5e0e752c7ceccc89abdba8b3da4844,receive,0x33367d072d33d9653874b545f7da707527b1a3c0,USDC,62.46
16/10/2022,05:41:30,arb,0xa520677b23f8fe674e2403ed7067db4c2b5e667abdcea9841c06a8b74bf4609f,https://arbiscan.io/tx/0xa520677b23f8fe674e2403ed7067db4c2b5e667abdcea9841c06a8b74bf4609f,receive,0x33367d072d33d9653874b545f7da707527b1a3c0,ETH,0.077971149845
26/01/2023,17:05:12,op,0x1105a9163fe72567a1d38f1faf0eb30c672020cdbec2a359610b902184b570b5,https://optimistic.etherscan.io/tx/0x1105a9163fe72567a1d38f1faf0eb30c672020cdbec2a359610b902184b570b5,receive,0x3768cba9ce338c79d99142524b2bf337aa385663,USDC,41.480303
16/10/2022,05:41:40,arb,0xd960c416fc2e9d8801f7fe68591729b32ee99a3baab047bb4c32d4205c5c1ee1,https://arbiscan.io/tx/0xd960c416fc2e9d8801f7fe68591729b32ee99a3baab047bb4c32d4205c5c1ee1,receive,0x3768cba9ce338c79d99142524b2bf337aa385663,ETH,0.077971149845
16/05/2023,22:45:25,arb,0x56904ffe97b5e89eab7a0fef2a82085228bcb55a2d76a1186323b578c74d30a2,https://arbiscan.io/tx/0x56904ffe97b5e89eab7a0fef2a82085228bcb55a2d76a1186323b578c74d30a2,receive,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ETH,0.2792764262007148
22/03/2023,19:29:14,bsc,0xf54710ad7197da786babe9b18f9702c622016171152fc42fbb5ddcba15acd244,https://bscscan.com/tx/0xf54710ad7197da786babe9b18f9702c622016171152fc42fbb5ddcba15acd244,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ID,-82.409
22/03/2023,19:03:59,bsc,0x36e5cdb93439fee1244e89d9c22ff50020b2f1a74c7af37fc8da37f264dd2f40,https://bscscan.com/tx/0x36e5cdb93439fee1244e89d9c22ff50020b2f1a74c7af37fc8da37f264dd2f40,receive,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,BNB,0.001
03/03/2023,02:21:41,arb,0x33789e62fec3ed92c39503da670099f8e6431aaf7e218f3c1e6861a5fddc3110,https://arbiscan.io/tx/0x33789e62fec3ed92c39503da670099f8e6431aaf7e218f3c1e6861a5fddc3110,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,USDC,-201.125844
26/01/2023,17:30:03,op,0xbb7d67bd8fe348aa614cca544e5fec533231e888ee7e739de7c9500dc37c0f9f,https://optimistic.etherscan.io/tx/0xbb7d67bd8fe348aa614cca544e5fec533231e888ee7e739de7c9500dc37c0f9f,receive,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,sUSD,228.99409699999998
26/01/2023,16:47:01,op,0x7b65a4a5c91991dc721b18a4abf9f367548e11578ff5221eabe119efd65234c5,https://optimistic.etherscan.io/tx/0x7b65a4a5c91991dc721b18a4abf9f367548e11578ff5221eabe119efd65234c5,receive,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,USDC,93.005109
03/01/2023,17:34:41,op,0x7ce143ab173711dea01e83345aa3cdd114c3444627cdcd19ce6cae7dfe09d142,https://optimistic.etherscan.io/tx/0x7ce143ab173711dea01e83345aa3cdd114c3444627cdcd19ce6cae7dfe09d142,receive,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,USDC,4916.638
02/01/2023,19:48:26,op,0xbd9b737f4457a918246ee9cc219cca8474ff62c9cc556406f06c0a2f0f4026f0,https://optimistic.etherscan.io/tx/0xbd9b737f4457a918246ee9cc219cca8474ff62c9cc556406f06c0a2f0f4026f0,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,HOP,-55.353622
02/01/2023,17:25:35,op,0x123d04fb236c39ab35bf53051a6affe50e80ad20c9ee1ec57268f0c2e83297b1,https://optimistic.etherscan.io/tx/0x123d04fb236c39ab35bf53051a6affe50e80ad20c9ee1ec57268f0c2e83297b1,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,USDC,-32.153872
02/01/2023,16:36:19,op,0x953993ab6b837cc75abc39b81f21f2744237825535c5e9cbc3c243e6d73bbe34,https://optimistic.etherscan.io/tx/0x953993ab6b837cc75abc39b81f21f2744237825535c5e9cbc3c243e6d73bbe34,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,sUSD,-1836.75436
02/01/2023,16:19:19,op,0x4f898046e6d6e5041f80fb6574c8640fbdfde079d574d96fc1b52a170360cfd2,https://optimistic.etherscan.io/tx/0x4f898046e6d6e5041f80fb6574c8640fbdfde079d574d96fc1b52a170360cfd2,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,sUSD,-656.213906
02/01/2023,15:51:49,op,0x0d9ddb456ebda5192bd36c87dcacf1a37b0dcf53dd4af5610c1b8276129cd359,https://optimistic.etherscan.io/tx/0x0d9ddb456ebda5192bd36c87dcacf1a37b0dcf53dd4af5610c1b8276129cd359,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,sUSD,-14.3803729
12/11/2022,18:03:03,op,0x7cc12b13dacf3e742eb0c983001f9c07fe040d349dfd9947d04ecef227320417,https://optimistic.etherscan.io/tx/0x7cc12b13dacf3e742eb0c983001f9c07fe040d349dfd9947d04ecef227320417,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,SNX,-2636.535
