Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
08/04/2024,12:40:59,eth,0xfc7aa5ca983891617570f7e2d2e2a893e38ba3b8a769df6cab8b55a44ed61b09,https://etherscan.io/tx/0xfc7aa5ca983891617570f7e2d2e2a893e38ba3b8a769df6cab8b55a44ed61b09,receive,0x009a54532176298629cdc0ab2b399380166fad9c,ETH,0.00035
20/06/2023,12:18:37,op,0x0608abcfb7f530caa29a3269f8972e7c224d2e61ebac72d564c15b3ea10e778e,https://optimistic.etherscan.io/tx/0x0608abcfb7f530caa29a3269f8972e7c224d2e61ebac72d564c15b3ea10e778e,send,0x009a54532176298629cdc0ab2b399380166fad9c,ETH,-0.007
02/06/2023,13:27:55,bsc,0x486e215de77cbf9dfeb342cb82e04db85d6c8feaab93ae41326baf391c70f863,https://bscscan.com/tx/0x486e215de77cbf9dfeb342cb82e04db85d6c8feaab93ae41326baf391c70f863,send,0x009a54532176298629cdc0ab2b399380166fad9c,BNB,-0.0008
27/05/2023,14:54:18,matic,0xcbe1cb5a7dbf157e3fbefdde203e6fcfdbd57fc6ba765a711820886a8e805525,https://polygonscan.com/tx/0xcbe1cb5a7dbf157e3fbefdde203e6fcfdbd57fc6ba765a711820886a8e805525,send,0x009a54532176298629cdc0ab2b399380166fad9c,MATIC,-1
21/05/2023,14:58:49,op,0x19209381e9fefb0d8657c6d5c2f67cc15716c7b659ee0f6fa9c50311ec42f975,https://optimistic.etherscan.io/tx/0x19209381e9fefb0d8657c6d5c2f67cc15716c7b659ee0f6fa9c50311ec42f975,send,0x009a54532176298629cdc0ab2b399380166fad9c,ETH,-0.004
18/05/2023,18:39:09,matic,0x1fd10b7b9568d69b8a121e56581f720732fe5280a5a5a9731b2c5b2b4934f2f2,https://polygonscan.com/tx/0x1fd10b7b9568d69b8a121e56581f720732fe5280a5a5a9731b2c5b2b4934f2f2,send,0x009a54532176298629cdc0ab2b399380166fad9c,MATIC,-0.2
14/05/2023,01:43:12,nova,0x6c15e2ad64ffe0be2318cf4aee2203b13a11bcd9315179ff4cd593855516fd17,https://nova.arbiscan.io/tx/0x6c15e2ad64ffe0be2318cf4aee2203b13a11bcd9315179ff4cd593855516fd17,send,0x009a54532176298629cdc0ab2b399380166fad9c,ETH,-0.00001
01/05/2023,17:06:27,op,0x94364c1ea6bc413cc6a3631098dd6238e0da32f6f4ef7152366670ee4eeccd78,https://optimistic.etherscan.io/tx/0x94364c1ea6bc413cc6a3631098dd6238e0da32f6f4ef7152366670ee4eeccd78,send,0x009a54532176298629cdc0ab2b399380166fad9c,ETH,-0.003
16/04/2023,17:49:05,era,0x8e47558d61f3db1a03b94993628c47485e5551f8131d9e4eeaba466c6daadeab,https://era.zksync.network/tx/0x8e47558d61f3db1a03b94993628c47485e5551f8131d9e4eeaba466c6daadeab,send,0x009a54532176298629cdc0ab2b399380166fad9c,ETH,-0.002
07/04/2023,13:44:17,matic,0x29df28e7d285e2276ac16896f4a6373b4771087e7ac0bda43423d8226c1474c9,https://polygonscan.com/tx/0x29df28e7d285e2276ac16896f4a6373b4771087e7ac0bda43423d8226c1474c9,send,0x009a54532176298629cdc0ab2b399380166fad9c,MATIC,-0.03
26/03/2023,14:23:11,eth,0x05b1534b30d6bd4c85279f6a4333340dbe88a461225fc9d1fa2445b450a8b90c,https://etherscan.io/tx/0x05b1534b30d6bd4c85279f6a4333340dbe88a461225fc9d1fa2445b450a8b90c,send,0x009a54532176298629cdc0ab2b399380166fad9c,ETH,-0.02
