Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/02/2024,17:00:09,matic,0x0274fd29b554a47d3ebb54366150f51f6fb346cf35d3055ec6e0c5e530b91fd2,https://polygonscan.com/tx/0x0274fd29b554a47d3ebb54366150f51f6fb346cf35d3055ec6e0c5e530b91fd2,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-9.274255
19/12/2023,13:49:43,linea,0x7c1ee63fd2d44ebbad0784b0698cabae2de3f4fbcd29ddef691ea5928d57ab2a,https://lineascan.build/tx/0x7c1ee63fd2d44ebbad0784b0698cabae2de3f4fbcd29ddef691ea5928d57ab2a,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:06:25,linea,0x3348beda5e604cbdf8bcc68e1ed69d6460bc79346f82a691e4f233032532bfa8,https://lineascan.build/tx/0x3348beda5e604cbdf8bcc68e1ed69d6460bc79346f82a691e4f233032532bfa8,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:49:07,nova,0x472e510e3f8411aadb109d681b20df8bb4062f3c25bb908c8ad57bb743266671,https://nova.arbiscan.io/tx/0x472e510e3f8411aadb109d681b20df8bb4062f3c25bb908c8ad57bb743266671,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.003970514156018194
25/08/2023,21:32:30,ftm,0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,https://ftmscan.com/tx/0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:25:15,matic,0x76a4be0d42714ed55b5ecd060d6fea9b16c64a983aba312d49eef3d7b0a03db7,https://polygonscan.com/tx/0x76a4be0d42714ed55b5ecd060d6fea9b16c64a983aba312d49eef3d7b0a03db7,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
12/12/2021,18:53:11,eth,0x1c6bfc9d34bef6aef4cc0facef957fa9db0dc674486a25c92bd0e358d9740884,https://etherscan.io/tx/0x1c6bfc9d34bef6aef4cc0facef957fa9db0dc674486a25c92bd0e358d9740884,send,0x06ccff192e4e2dc9fba359715483a22ee89842bc,ETH,-0.0072
22/11/2023,05:37:01,op,0x265c47337305fa365411ffef59d36664dc6db4af9f02e4bb0dde3566ee167618,https://optimistic.etherscan.io/tx/0x265c47337305fa365411ffef59d36664dc6db4af9f02e4bb0dde3566ee167618,receive,0x088106bc7b413759fc01879d6cc07d670bcca27d,ETH,0.5528
24/07/2023,04:41:26,dfk,0xf6ead9d1d668d141224d3a7b664dcb7d59bcbb1b0545ef99474e1f0519f80cfe,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xf6ead9d1d668d141224d3a7b664dcb7d59bcbb1b0545ef99474e1f0519f80cfe,receive,0x088106bc7b413759fc01879d6cc07d670bcca27d,DFKGOLD,100
24/07/2023,04:39:37,dfk,0x1ad2d2f4667cb2b73643571d93e8df585e6265e7e262ef8839f577b71f584b76,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x1ad2d2f4667cb2b73643571d93e8df585e6265e7e262ef8839f577b71f584b76,receive,0x088106bc7b413759fc01879d6cc07d670bcca27d,JEWEL,1
23/07/2023,23:02:54,bsc,0x35a56afa96e81298a7c08aab52fb1addaec3e0c5411e6b5bc4102b93156e5084,https://bscscan.com/tx/0x35a56afa96e81298a7c08aab52fb1addaec3e0c5411e6b5bc4102b93156e5084,send,0x088106bc7b413759fc01879d6cc07d670bcca27d,BNB,-0.02
