Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
05/02/2023,20:44:51,matic,0xda45121a674b3dc6bcd18a373d8fff40627b25e79c1dc429d53f8706cfd6f8d7,https://polygonscan.com/tx/0xda45121a674b3dc6bcd18a373d8fff40627b25e79c1dc429d53f8706cfd6f8d7,receive,0x00951c1d1241f9be0ef5a55a1755fa49c5629ebd,WMATIC,0.01
03/04/2023,23:19:37,arb,0x9b90e31864f68015e1e145be966b2e13210d18dc897fbedb421d0a60d5bd9ef3,https://arbiscan.io/tx/0x9b90e31864f68015e1e145be966b2e13210d18dc897fbedb421d0a60d5bd9ef3,send,0x02ae53c17aa0e8d66adc49e768e18e05612457ee,ETH,-0.00223
05/04/2023,00:20:21,arb,0x518d947d3b5fa9f536a4e396e20b2b16f9fb2b282a6ec6cee440d8894a321561,https://arbiscan.io/tx/0x518d947d3b5fa9f536a4e396e20b2b16f9fb2b282a6ec6cee440d8894a321561,send,0x098ffb814b404ef92a36d673bb5c983c22335776,ETH,-0.0015
02/07/2023,12:21:37,core,0x73e25e7a756537ad15dd1a46a20db4ab9f4d2c96c6defcdd2776bcc25fe9551f,https://scan.coredao.org/tx/0x73e25e7a756537ad15dd1a46a20db4ab9f4d2c96c6defcdd2776bcc25fe9551f,send,0x0d44c4d0ac72e4f2c07c423d138a04d00c66f42c,CORE,-1
04/02/2023,19:57:36,matic,0x9ef01aa1908653e24f56710689058ac39abc9b59ecb60514e1c491f1665d521f,https://polygonscan.com/tx/0x9ef01aa1908653e24f56710689058ac39abc9b59ecb60514e1c491f1665d521f,receive,0x0ea26a02ff109846c187aecd464ae9ae9e758ff3,WMATIC,0.01
04/02/2023,21:48:56,matic,0xdaa551ebc3417d6f75463031f9423596633bb218f2acc6fdd19fdd047558552c,https://polygonscan.com/tx/0xdaa551ebc3417d6f75463031f9423596633bb218f2acc6fdd19fdd047558552c,receive,0x0f4cf4b085409d27aaf33f7c3e4bc3f648e71f22,WMATIC,0.01
02/07/2023,13:30:52,core,0x888827b5fe40716cd79e9396defdd786cb7e4ffebc972a32362f4be4af5a6f3f,https://scan.coredao.org/tx/0x888827b5fe40716cd79e9396defdd786cb7e4ffebc972a32362f4be4af5a6f3f,send,0x114ba81e178f4416e1970b0a2b50cf38854f7a42,CORE,-1
31/05/2023,23:39:26,op,0x8952eeff317369323663777d7543e2b30a113e754d89dad74dcc348ed72a6763,https://optimistic.etherscan.io/tx/0x8952eeff317369323663777d7543e2b30a113e754d89dad74dcc348ed72a6763,send,0x1370161592c96bbe0221d07dadb5b02bd7e8f95b,ETH,-0.00053816
01/05/2023,10:27:42,era,0x7f1110c55d2aba17d3d93ec4752930ac6f3a153b0f17980a0699e0cde2174440,https://era.zksync.network/tx/0x7f1110c55d2aba17d3d93ec4752930ac6f3a153b0f17980a0699e0cde2174440,receive,0x1370161592c96bbe0221d07dadb5b02bd7e8f95b,ETH,0.004
01/05/2023,10:24:58,era,0x7c3a9722bf537c40b7326eacb26d46a5a402fb49491ed35aae3bfae50a7a3a3f,https://era.zksync.network/tx/0x7c3a9722bf537c40b7326eacb26d46a5a402fb49491ed35aae3bfae50a7a3a3f,send,0x1370161592c96bbe0221d07dadb5b02bd7e8f95b,ETH,-0.00163
17/02/2023,00:38:38,canto,0x2c4fcaa356b6983aec4900080581f6d335bcb1d06aa7cbd718741d5aada2e96f,https://tuber.build/tx/0x2c4fcaa356b6983aec4900080581f6d335bcb1d06aa7cbd718741d5aada2e96f,send,0x19745f6d7a0ec2585c9a00245da657a9895a9f27,Canto,-0.2
12/04/2023,21:56:40,nova,0xbe59541f41933fa05f6290d08cd0f1ebb7feb0bdd10c2a8320743395502fdb5e,https://nova.arbiscan.io/tx/0xbe59541f41933fa05f6290d08cd0f1ebb7feb0bdd10c2a8320743395502fdb5e,send,0x199c7f2343cec88f9519759b445f351ed2edfb3f,ETH,-0.0002
03/04/2023,23:22:08,arb,0x5e41e837ca83ed3e27c6365c16308dfc8664c63b65cb048bc3ab93b5fce91bdc,https://arbiscan.io/tx/0x5e41e837ca83ed3e27c6365c16308dfc8664c63b65cb048bc3ab93b5fce91bdc,send,0x199c7f2343cec88f9519759b445f351ed2edfb3f,ETH,-0.00223
