Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
30/12/2022,16:53:46,arb,0xad26e85a1ff2f5ed8211e610d4a138861534f6be5f0882b7c97004dc1c852012,https://arbiscan.io/tx/0xad26e85a1ff2f5ed8211e610d4a138861534f6be5f0882b7c97004dc1c852012,send,0x05eaf3564c72506ac18981890f1b1e9873a43a4e,TOUCAN,-1
15/03/2024,19:08:35,bsc,0x862c344148e8722de58337ef1c9edc175d3c74c54a0110828bca29f79df8d7b8,https://bscscan.com/tx/0x862c344148e8722de58337ef1c9edc175d3c74c54a0110828bca29f79df8d7b8,send,0x1a449f52a49fb17345bdff2e4a06e84be71fa22c,USDT,-100
08/02/2024,02:26:40,bsc,0x50d13b2d13eb5950bb7f40a727bd757cb41b7c32c55e93f7295acdfcf6a03870,https://bscscan.com/tx/0x50d13b2d13eb5950bb7f40a727bd757cb41b7c32c55e93f7295acdfcf6a03870,send,0x1a449f52a49fb17345bdff2e4a06e84be71fa22c,USDT,-5
28/02/2023,14:08:47,eth,0x723b981722d56c5e626bfeee0a65c49c7828cbcbf1ca68c0ed53a8e3cc38342e,https://etherscan.io/tx/0x723b981722d56c5e626bfeee0a65c49c7828cbcbf1ca68c0ed53a8e3cc38342e,receive,0x1a60e0981631cea879c59b356e957ca1907dd795,USDT,1200
16/01/2023,17:34:47,eth,0x3a5c38727c265283fc1b09ffc4d7f45685ae2a3d98bf687814da40715d335247,https://etherscan.io/tx/0x3a5c38727c265283fc1b09ffc4d7f45685ae2a3d98bf687814da40715d335247,receive,0x1a60e0981631cea879c59b356e957ca1907dd795,USDT,1200
15/11/2022,12:42:35,eth,0xef2cda689fb79c21bf7d2c09ffe530a82e131a310ea78fe9fa0e4fbf5353180f,https://etherscan.io/tx/0xef2cda689fb79c21bf7d2c09ffe530a82e131a310ea78fe9fa0e4fbf5353180f,receive,0x1a60e0981631cea879c59b356e957ca1907dd795,USDT,1200
20/10/2022,16:13:35,xdai,0x77f2bd74aca00860b586910b64be5bf83af64cb239cdabb90b75c13423c08a0d,https://gnosisscan.io/tx/0x77f2bd74aca00860b586910b64be5bf83af64cb239cdabb90b75c13423c08a0d,receive,0x1a60e0981631cea879c59b356e957ca1907dd795,xDai,25
14/10/2022,19:37:59,eth,0xc0ef7000cc54fb1b6aae22400fee93e92222ffa1a9b941078e261f83da0db1c5,https://etherscan.io/tx/0xc0ef7000cc54fb1b6aae22400fee93e92222ffa1a9b941078e261f83da0db1c5,receive,0x1a60e0981631cea879c59b356e957ca1907dd795,USDT,800
10/10/2022,21:26:10,xdai,0xa913f05b7aad5f3a50e8a3b10e09f9a089206444dd4b231d531db45a10eba79a,https://gnosisscan.io/tx/0xa913f05b7aad5f3a50e8a3b10e09f9a089206444dd4b231d531db45a10eba79a,receive,0x1a60e0981631cea879c59b356e957ca1907dd795,xDai,5
04/10/2022,20:27:25,xdai,0x9ae9076f9406f6d3634e6832077ca95c92de30526997ea2b95a47f6344a0d4c1,https://gnosisscan.io/tx/0x9ae9076f9406f6d3634e6832077ca95c92de30526997ea2b95a47f6344a0d4c1,receive,0x1a60e0981631cea879c59b356e957ca1907dd795,xDai,10
24/09/2022,14:04:35,eth,0xeaf2f84891695ce302e428a1bcfb3fffa2fdb98e1518e1a8b0ce3e6073bd2463,https://etherscan.io/tx/0xeaf2f84891695ce302e428a1bcfb3fffa2fdb98e1518e1a8b0ce3e6073bd2463,receive,0x1a60e0981631cea879c59b356e957ca1907dd795,USDT,400
19/04/2023,22:05:01,matic,0x5059a8dc592a62210eb3e1b09c7b49e5b0e54f2853d8c0f205194b6f0c44a087,https://polygonscan.com/tx/0x5059a8dc592a62210eb3e1b09c7b49e5b0e54f2853d8c0f205194b6f0c44a087,receive,0x2533f41b13a7a8dac5dcb9381ec6cc437af24294,OPENSTORE,1
22/10/2023,02:20:34,bsc,0x2ec1bee76162aa3a0f02ab3bcbe59013dcd89ba10b2363c89b59e75f9e56613b,https://bscscan.com/tx/0x2ec1bee76162aa3a0f02ab3bcbe59013dcd89ba10b2363c89b59e75f9e56613b,receive,0x281545148fe2eb44c23df4b0923700d107d85266,BUSD,16
26/01/2023,23:16:33,bsc,0x3eabba2150a3b44fd0f6eae7e1f2a35bc39445c8c2185c3847a6c24f991e2d21,https://bscscan.com/tx/0x3eabba2150a3b44fd0f6eae7e1f2a35bc39445c8c2185c3847a6c24f991e2d21,receive,0x281545148fe2eb44c23df4b0923700d107d85266,BUSD,16
29/12/2022,17:00:23,eth,0xd9c9597a3545727c7c29e1db7d75f95f0f5bdb74281efb3dc22e2b97f89a7f6b,https://etherscan.io/tx/0xd9c9597a3545727c7c29e1db7d75f95f0f5bdb74281efb3dc22e2b97f89a7f6b,receive,0x281545148fe2eb44c23df4b0923700d107d85266,ETH,0.0075
20/11/2022,02:09:34,bsc,0xf67d93c9146517790230b0b015131ec56e2a1c5722c915d31b662422f6bf2dd4,https://bscscan.com/tx/0xf67d93c9146517790230b0b015131ec56e2a1c5722c915d31b662422f6bf2dd4,receive,0x281545148fe2eb44c23df4b0923700d107d85266,BUSD,27
13/09/2021,14:52:09,eth,0x499266eec45fc3573cb43e84904e663f8e7f34b1ebfd28e2768fcbc47e9b69c4,https://etherscan.io/tx/0x499266eec45fc3573cb43e84904e663f8e7f34b1ebfd28e2768fcbc47e9b69c4,receive,0x2b291be98c53e2fc88224745cd0b75fa02121f28,OMNI,1
13/09/2021,04:07:53,eth,0xcaa230faae08790f33d701b14bc571a71a8c94a987c15bd2ae6b5b4a091c65e4,https://etherscan.io/tx/0xcaa230faae08790f33d701b14bc571a71a8c94a987c15bd2ae6b5b4a091c65e4,send,0x2b291be98c53e2fc88224745cd0b75fa02121f28,ETH,-0.105
18/08/2023,19:59:36,bsc,0x1a4ed6c8e0b1a190101803b536c1f695c5f61b3fbae6e9b03f12a08e6f47c8bc,https://bscscan.com/tx/0x1a4ed6c8e0b1a190101803b536c1f695c5f61b3fbae6e9b03f12a08e6f47c8bc,send,0x2bcdfc56c8334ea904143ac71c407ec71b6fff63,USDT,-32
18/08/2023,19:56:39,bsc,0xbce2ac954d5e99aff44eb37e0cc5cbd504c1cfdf93df90497d8f3c506e6ed293,https://bscscan.com/tx/0xbce2ac954d5e99aff44eb37e0cc5cbd504c1cfdf93df90497d8f3c506e6ed293,receive,0x2bcdfc56c8334ea904143ac71c407ec71b6fff63,USDT,31.90111
18/08/2023,18:23:47,bsc,0x5cc7dea1220739d4a4bae41a1ce026de5a949c59c090b197fd6387aebff89d11,https://bscscan.com/tx/0x5cc7dea1220739d4a4bae41a1ce026de5a949c59c090b197fd6387aebff89d11,send,0x2bcdfc56c8334ea904143ac71c407ec71b6fff63,USDT,-11100
