Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
08/01/2023,00:12:11,eth,0x00b1907814d6719c4b0051aacc9338916672219bf5e891b018cd4b54e82286a2,https://etherscan.io/tx/0x00b1907814d6719c4b0051aacc9338916672219bf5e891b018cd4b54e82286a2,receive,0x0845212ebf21bcf9757b718db4065e911caba155,ETH,1.23592065
08/01/2023,00:08:59,eth,0x2de605a1d70ae20018500db6216acd4bb47cbacdbf28334a2685434e15ff0359,https://etherscan.io/tx/0x2de605a1d70ae20018500db6216acd4bb47cbacdbf28334a2685434e15ff0359,receive,0x0845212ebf21bcf9757b718db4065e911caba155,xSUSHI,2800
30/05/2021,02:45:47,eth,0x45a516ad812ef76cb24e4e671d7376420277088f3fa3783c9490e7b9aee2cf4a,https://etherscan.io/tx/0x45a516ad812ef76cb24e4e671d7376420277088f3fa3783c9490e7b9aee2cf4a,receive,0x0845212ebf21bcf9757b718db4065e911caba155,ETH,0.17949867438626418
16/03/2021,01:56:24,eth,0x20457b97a5013e12c8b2b097268b896736483e958c5c9b0c55d2a23db05575a3,https://etherscan.io/tx/0x20457b97a5013e12c8b2b097268b896736483e958c5c9b0c55d2a23db05575a3,send,0x0845212ebf21bcf9757b718db4065e911caba155,ETH,-0.05
18/12/2020,02:35:51,eth,0x23d0002074b0ec9a7ff2ef8f4bfd49694c9be52eb49ff138796e86dd2ac55851,https://etherscan.io/tx/0x23d0002074b0ec9a7ff2ef8f4bfd49694c9be52eb49ff138796e86dd2ac55851,receive,0x0845212ebf21bcf9757b718db4065e911caba155,GRT,66623.16
23/10/2020,20:18:37,eth,0x75f92bc2aec566e9399979d93078e30c7c58bcac8374ed692703fced9046962c,https://etherscan.io/tx/0x75f92bc2aec566e9399979d93078e30c7c58bcac8374ed692703fced9046962c,send,0x0845212ebf21bcf9757b718db4065e911caba155,ETH,-5.46
25/01/2019,03:47:00,eth,0x471edccfe7a5e63f2b139495da3aecc2634403e48f07efb2ec66e395b4d06b50,https://etherscan.io/tx/0x471edccfe7a5e63f2b139495da3aecc2634403e48f07efb2ec66e395b4d06b50,send,0x0845212ebf21bcf9757b718db4065e911caba155,ETH,-0.002
24/03/2021,17:43:54,eth,0x8714d438e8718b811061f8a5a6ee79ba0f16e22e2e0b7bc8c335ef5bf2b013d2,https://etherscan.io/tx/0x8714d438e8718b811061f8a5a6ee79ba0f16e22e2e0b7bc8c335ef5bf2b013d2,send,0x0eb5748527ca26c826f2c9b3c577df4945355b1a,ETH,-0.033
16/06/2023,01:19:31,ftm,0x9704296f624dd657caaf4736b4cc26c211f79a58a819d362c315896347082087,https://ftmscan.com/tx/0x9704296f624dd657caaf4736b4cc26c211f79a58a819d362c315896347082087,receive,0x0f561a684ad3ccd20f1893925838a267a1761884,FTM,1
18/11/2022,01:40:35,eth,0x2a00ce65561d246b3efff1800c0c711b44f2cfaf3326a149ed77f727fe999eef,https://etherscan.io/tx/0x2a00ce65561d246b3efff1800c0c711b44f2cfaf3326a149ed77f727fe999eef,send,0x0f561a684ad3ccd20f1893925838a267a1761884,ETH,-0.0304571
08/11/2022,20:25:11,eth,0x62c18a42f6b81110d26c4174e6a89e4a6c78d5838355a3a380b1a69a61295404,https://etherscan.io/tx/0x62c18a42f6b81110d26c4174e6a89e4a6c78d5838355a3a380b1a69a61295404,send,0x0f561a684ad3ccd20f1893925838a267a1761884,xSUSHI,-4916.491365480609
28/11/2021,01:31:00,matic,0xe70dbd58e8750a7c86a5e1639e7fd4c693cae74c28d23679fc0a2ee24e246811,https://polygonscan.com/tx/0xe70dbd58e8750a7c86a5e1639e7fd4c693cae74c28d23679fc0a2ee24e246811,receive,0x0f561a684ad3ccd20f1893925838a267a1761884,MATIC,100
13/11/2021,23:56:46,eth,0x88b9fc6396dd640700f186da1d2b13260c0f543d1031d9f57b5e83d0429f7986,https://etherscan.io/tx/0x88b9fc6396dd640700f186da1d2b13260c0f543d1031d9f57b5e83d0429f7986,receive,0x0f561a684ad3ccd20f1893925838a267a1761884,ETH,0.373285963930428
21/09/2021,11:23:04,eth,0x7ea4abb6f48c8f2d84e429e0791195aeb764fd2820a84a9993eaea1a983f970e,https://etherscan.io/tx/0x7ea4abb6f48c8f2d84e429e0791195aeb764fd2820a84a9993eaea1a983f970e,send,0x0f561a684ad3ccd20f1893925838a267a1761884,ETH,-0.676976
20/07/2021,01:26:24,bsc,0x1bd696991bb036857a37da62403a0c66d15549a6daac9ce9492010b86baddd6f,https://bscscan.com/tx/0x1bd696991bb036857a37da62403a0c66d15549a6daac9ce9492010b86baddd6f,send,0x0f561a684ad3ccd20f1893925838a267a1761884,BNB,-0.04899
19/07/2021,22:16:24,eth,0x20bcc6a3ca3d04e0e64a1c0d70b5eacaf4da9d4b0907bc41d31db1a185934f58,https://etherscan.io/tx/0x20bcc6a3ca3d04e0e64a1c0d70b5eacaf4da9d4b0907bc41d31db1a185934f58,send,0x0f561a684ad3ccd20f1893925838a267a1761884,ETH,-0.015137
15/03/2021,21:22:24,eth,0xe1668f103691f66eb4acf142fe08854a5feac949b325b84d29f3972524b2734b,https://etherscan.io/tx/0xe1668f103691f66eb4acf142fe08854a5feac949b325b84d29f3972524b2734b,send,0x0f561a684ad3ccd20f1893925838a267a1761884,ETH,-0.06
24/02/2021,00:42:28,eth,0xa8e7dd42d6ac6c0849d319d9817aadbd3a9e83f31a2dd9cc11de1712387bc913,https://etherscan.io/tx/0xa8e7dd42d6ac6c0849d319d9817aadbd3a9e83f31a2dd9cc11de1712387bc913,receive,0x0f561a684ad3ccd20f1893925838a267a1761884,ETH,1.537290525
18/12/2020,02:15:56,eth,0x344ad7d96c5f0e81e98b8ac8bf7c308420fe4a6e887cb05b317f7d6487079009,https://etherscan.io/tx/0x344ad7d96c5f0e81e98b8ac8bf7c308420fe4a6e887cb05b317f7d6487079009,receive,0x0f561a684ad3ccd20f1893925838a267a1761884,GRT,66623.16
23/10/2020,20:36:00,eth,0xdc34f6f4b237ee689e1a09844aa25da435eb4013ea2635750a8011d27ad6b830,https://etherscan.io/tx/0xdc34f6f4b237ee689e1a09844aa25da435eb4013ea2635750a8011d27ad6b830,send,0x0f561a684ad3ccd20f1893925838a267a1761884,ETH,-5.45
07/06/2018,00:02:24,eth,0x0a899a8d73ac00a6ba066c3a755ccf49e7e173a4aca63848689e918e6b05b8d3,https://etherscan.io/tx/0x0a899a8d73ac00a6ba066c3a755ccf49e7e173a4aca63848689e918e6b05b8d3,send,0x0f561a684ad3ccd20f1893925838a267a1761884,ETH,-1.008
