Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
07/06/2023,16:39:58,bsc,0x21a41a5c2630f95990de446d32a47cf4cc913548f60632ff9aac334eed5a57b9,https://bscscan.com/tx/0x21a41a5c2630f95990de446d32a47cf4cc913548f60632ff9aac334eed5a57b9,send,0x022c9fe28b86e4c5e4cebbc7333103f582354586,USDT,-61
19/04/2024,04:06:57,zora,0x43e9706b4b0d663b4a4584f30b77c42036573ed0bc8722afe9dc4be6adc168a8,https://explorer.zora.energy/tx/0x43e9706b4b0d663b4a4584f30b77c42036573ed0bc8722afe9dc4be6adc168a8,receive,0x1671b592610fb7427ed788b66fa3e9217ff41047,USDzC,15
19/01/2024,07:38:43,zora,0x47ff23e488949960cdc0841cd0daba20b407652aa110b63fdbcbfd1be8163497,https://explorer.zora.energy/tx/0x47ff23e488949960cdc0841cd0daba20b407652aa110b63fdbcbfd1be8163497,receive,0x1671b592610fb7427ed788b66fa3e9217ff41047,ETH,0.005
19/01/2024,07:31:49,manta,0x062dd138ca28e14e74101beab43baf535d687d63998897217904f98cf18fc583,https://pacific-explorer.manta.network/tx/0x062dd138ca28e14e74101beab43baf535d687d63998897217904f98cf18fc583,send,0x1671b592610fb7427ed788b66fa3e9217ff41047,ETH,-0.005
29/11/2023,03:07:29,era,0x4372ea928e7d0d1aa691d8f7cf5137647f5063c20637260ad7e80ca569bdcd23,https://era.zksync.network/tx/0x4372ea928e7d0d1aa691d8f7cf5137647f5063c20637260ad7e80ca569bdcd23,receive,0x1671b592610fb7427ed788b66fa3e9217ff41047,ETH,0.0005
12/10/2021,21:13:48,bsc,0xf9b4b3f1e996b394c981fc4faf147014d1392b9a08bb857790d0db9f106d08dd,https://bscscan.com/tx/0xf9b4b3f1e996b394c981fc4faf147014d1392b9a08bb857790d0db9f106d08dd,receive,0x1eba693a68204d19a2369a9471960efed5c0f152,USDT,20
12/10/2021,19:12:44,bsc,0x11e95e451e1f088cca47bca3e15654c543739557494d1b582ba59fcaada4f3f2,https://bscscan.com/tx/0x11e95e451e1f088cca47bca3e15654c543739557494d1b582ba59fcaada4f3f2,send,0x1eba693a68204d19a2369a9471960efed5c0f152,BNB,-0.0075
12/10/2021,19:09:14,bsc,0xfb993f6b2a5e81a51e3d48711d6016327c9691154ee63fa0b4768e9e2d34e16d,https://bscscan.com/tx/0xfb993f6b2a5e81a51e3d48711d6016327c9691154ee63fa0b4768e9e2d34e16d,send,0x1eba693a68204d19a2369a9471960efed5c0f152,USDT,-20
17/10/2021,20:31:42,bsc,0x79385026dabf98b2b599e9d22523d6af67f8af40b744a7276238515436d9530a,https://bscscan.com/tx/0x79385026dabf98b2b599e9d22523d6af67f8af40b744a7276238515436d9530a,receive,0x2242b1cca43ff179428b229fcc40b49fbf272e4c,BUSD,36
14/10/2021,17:53:31,bsc,0x8ed1a7380217ebea0339b9804b7882509ddc19fcf215debd582e87a56217d164,https://bscscan.com/tx/0x8ed1a7380217ebea0339b9804b7882509ddc19fcf215debd582e87a56217d164,receive,0x2242b1cca43ff179428b229fcc40b49fbf272e4c,BUSD,5
17/03/2022,17:12:00,mobm,0x1d5816f4da09c6695fe935cb5d373951a1ceb5e0a5b4f32f821de6da49bee8c8,https://moonscan.io/tx/0x1d5816f4da09c6695fe935cb5d373951a1ceb5e0a5b4f32f821de6da49bee8c8,receive,0x2a1763d59eb7d45f0c83dacb44a9ca61806fd1b1,GLMR,1.01
