Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
03/02/2022,05:15:26,matic,0x1a75c1544a1350d1e1e52c0864d9595af1a7d1b875726eae409a7a4d259f6e53,https://polygonscan.com/tx/0x1a75c1544a1350d1e1e52c0864d9595af1a7d1b875726eae409a7a4d259f6e53,send,0x028d9c0f1ce0bb5c1ead6073b184daa5f827e130,WETH,-0.2
19/12/2023,04:36:47,matic,0x8b893f043c38aa2402ab4c4d0878322fddbad5d3a741955ad6a92aaa0e56e9de,https://polygonscan.com/tx/0x8b893f043c38aa2402ab4c4d0878322fddbad5d3a741955ad6a92aaa0e56e9de,receive,0x07b1a8bc41f09a518e469dd6b39b7f1f5a959d6a,UNICORNS,1
18/12/2023,07:18:29,matic,0x8be6b069b4e79b355d05bafe173a970e2f4c3fe429e5f7f97131ec012876a611,https://polygonscan.com/tx/0x8be6b069b4e79b355d05bafe173a970e2f4c3fe429e5f7f97131ec012876a611,receive,0x07b1a8bc41f09a518e469dd6b39b7f1f5a959d6a,UNICORNS,1
18/12/2023,07:00:43,matic,0x06fb830cc81ec053ddfbd6eddaafea1150e8f10e71c51c3cc06ca1d7b9506995,https://polygonscan.com/tx/0x06fb830cc81ec053ddfbd6eddaafea1150e8f10e71c51c3cc06ca1d7b9506995,send,0x07b1a8bc41f09a518e469dd6b39b7f1f5a959d6a,UNICORNS,-1
18/12/2023,06:57:37,matic,0xf09066eb1ab324bfce167d70dcbb1f6ce60dd4df2160171edd1935f0ccb5ce37,https://polygonscan.com/tx/0xf09066eb1ab324bfce167d70dcbb1f6ce60dd4df2160171edd1935f0ccb5ce37,send,0x07b1a8bc41f09a518e469dd6b39b7f1f5a959d6a,UNICORNS,-1
18/12/2023,06:56:23,matic,0x416c3d515d764d7a81325b0e2e460657495ae35a1d14890067a4f33ca463db26,https://polygonscan.com/tx/0x416c3d515d764d7a81325b0e2e460657495ae35a1d14890067a4f33ca463db26,send,0x07b1a8bc41f09a518e469dd6b39b7f1f5a959d6a,UNICORNS,-1
28/10/2023,03:31:30,matic,0x5a69b6f5edffd5f974649c5a752c6db1399515eb983418a43431a00fa17c16dd,https://polygonscan.com/tx/0x5a69b6f5edffd5f974649c5a752c6db1399515eb983418a43431a00fa17c16dd,receive,0x07b1a8bc41f09a518e469dd6b39b7f1f5a959d6a,RBW,511
25/10/2023,07:34:17,matic,0x197ed2587df1d5d8b09d28065679a24b1c05100bfdb41a2b3b80ef6c60d9148b,https://polygonscan.com/tx/0x197ed2587df1d5d8b09d28065679a24b1c05100bfdb41a2b3b80ef6c60d9148b,receive,0x07b1a8bc41f09a518e469dd6b39b7f1f5a959d6a,UNIM,2572
28/09/2023,04:44:53,matic,0x4db7213380dee7ffbe497141be95bf4fc80b49725121ef2bae94c1a010472bbd,https://polygonscan.com/tx/0x4db7213380dee7ffbe497141be95bf4fc80b49725121ef2bae94c1a010472bbd,send,0x07b1a8bc41f09a518e469dd6b39b7f1f5a959d6a,UNIF,-1
28/09/2023,04:42:33,matic,0x769258c0780d3eaa218270b43ecf30a4bce059a7afc860c816660b68fbd1d286,https://polygonscan.com/tx/0x769258c0780d3eaa218270b43ecf30a4bce059a7afc860c816660b68fbd1d286,send,0x07b1a8bc41f09a518e469dd6b39b7f1f5a959d6a,UNIF,-1
26/09/2023,23:34:11,matic,0xdd35f3925d390230eca69826638b4ec7bacaa8228042a73617fa755ebacfd4cb,https://polygonscan.com/tx/0xdd35f3925d390230eca69826638b4ec7bacaa8228042a73617fa755ebacfd4cb,send,0x07b1a8bc41f09a518e469dd6b39b7f1f5a959d6a,UNIF,-1
26/09/2023,23:34:01,matic,0x142c0029cb4a473a68a1b817a17212285696878a69ee8a0152adb3238008668c,https://polygonscan.com/tx/0x142c0029cb4a473a68a1b817a17212285696878a69ee8a0152adb3238008668c,send,0x07b1a8bc41f09a518e469dd6b39b7f1f5a959d6a,UNIF,-1
25/09/2023,05:24:18,matic,0x5dc667f44ae6e6feda07facabc21373f9ee8414de35c99d3ed2cf4a9b1c4666b,https://polygonscan.com/tx/0x5dc667f44ae6e6feda07facabc21373f9ee8414de35c99d3ed2cf4a9b1c4666b,send,0x07b1a8bc41f09a518e469dd6b39b7f1f5a959d6a,UNIF,-1
25/09/2023,05:23:56,matic,0x1f8d3b3f1f6bc26ee826f2c9104bb4d2fc029f27b311172e784537826267e100,https://polygonscan.com/tx/0x1f8d3b3f1f6bc26ee826f2c9104bb4d2fc029f27b311172e784537826267e100,send,0x07b1a8bc41f09a518e469dd6b39b7f1f5a959d6a,UNIF,-1
