Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/08/2023,03:56:23,celo,0x6510421b5a8de2aaac2dfb595873d4176ec5042e2002a0035626e0cb0f948e09,https://celoscan.io/tx/0x6510421b5a8de2aaac2dfb595873d4176ec5042e2002a0035626e0cb0f948e09,send,0x038fbb17eff0c348725c45e1109ef29041250d1d,CELO,-0.15
13/12/2023,14:59:13,matic,0xbcfa522c24de03390884b361bffb3c3acf8e83fdbe9ad24d0638fc55e6a22cf5,https://polygonscan.com/tx/0xbcfa522c24de03390884b361bffb3c3acf8e83fdbe9ad24d0638fc55e6a22cf5,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-1.934598
13/12/2023,14:51:23,matic,0x6f89eea309c6b7ef663dd6a8c41fb939eb525323523caa7daf2ee503799213c2,https://polygonscan.com/tx/0x6f89eea309c6b7ef663dd6a8c41fb939eb525323523caa7daf2ee503799213c2,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-3.812136
13/12/2023,14:49:19,bsc,0xc33eb1cf1fbc1f4ffe799410e9a8c32214793219768bef028ba2ca6fecff00fb,https://bscscan.com/tx/0xc33eb1cf1fbc1f4ffe799410e9a8c32214793219768bef028ba2ca6fecff00fb,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,BNB,-0.019967152928605004
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:59,matic,0x957e1371442e89504f1e875e54904701677bca92752319db4bc2631fc59df127,https://polygonscan.com/tx/0x957e1371442e89504f1e875e54904701677bca92752319db4bc2631fc59df127,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
30/12/2022,06:53:35,eth,0x1c7ac690963aa415070d06f048070f00b5e6bd33c5007ca35ba79a9f16db7310,https://etherscan.io/tx/0x1c7ac690963aa415070d06f048070f00b5e6bd33c5007ca35ba79a9f16db7310,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,0.08
18/12/2022,19:19:59,eth,0xb890a62fd5f42ecd16d14374bf90f7260159ccaf28a198579f2a85cc22c26864,https://etherscan.io/tx/0xb890a62fd5f42ecd16d14374bf90f7260159ccaf28a198579f2a85cc22c26864,send,0x0591215c6cc1d186a52decdff24e5a79f861e0f2,ETH,-0.07186
18/12/2022,14:43:49,matic,0x3ebef4aefe8057da7b16b0cfdc882af94e63d98edc3a5ed7cb0b73c0c8b41c31,https://polygonscan.com/tx/0x3ebef4aefe8057da7b16b0cfdc882af94e63d98edc3a5ed7cb0b73c0c8b41c31,send,0x0591215c6cc1d186a52decdff24e5a79f861e0f2,MATIC,-42.27605474
27/07/2023,02:58:35,dfk,0xf9779030d338835e26885f61c38e3957a0814e2a96a16dfb285d14e2d74625da,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xf9779030d338835e26885f61c38e3957a0814e2a96a16dfb285d14e2d74625da,send,0x07c2c25c9c005ee40a5724e4dab0beeb3fe87522,JEWEL,-1
25/07/2023,22:55:56,dfk,0x8fbf899cf04b42dd8a82d0973b9e1885b27c84d3fb2e147d44129f9de6f71403,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x8fbf899cf04b42dd8a82d0973b9e1885b27c84d3fb2e147d44129f9de6f71403,send,0x07c2c25c9c005ee40a5724e4dab0beeb3fe87522,DFKGOLD,-10
27/07/2023,02:57:06,dfk,0xd4df19038042b62d08a91011510826aee8793504bb81606cd13579650961896f,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xd4df19038042b62d08a91011510826aee8793504bb81606cd13579650961896f,send,0x0e8ddd3074a288d64646190a32bffd54158ec75c,JEWEL,-1
