Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
30/03/2024,15:45:45,linea,0xf910a8d092968cac1b701c030271de0cf488d7183e002c234018304fe56c83b6,https://lineascan.build/tx/0xf910a8d092968cac1b701c030271de0cf488d7183e002c234018304fe56c83b6,receive,0x026b4e03bd8594ad51e76819eb7d258a0a616344,SAT,1
01/02/2024,13:20:47,mode,0x4a126927743be87cb4408434cc7cf52ebea3aa0035cbcf82a5fd76fe964871c7,https://explorer.mode.network/tx/0x4a126927743be87cb4408434cc7cf52ebea3aa0035cbcf82a5fd76fe964871c7,receive,0x0cfbcc70fdb7b963cd15d4b36ee0985e9e241168,Zop13,5
16/12/2023,16:38:25,era,0x3d0803336d8212972486cd1c81f63bc41207fe1efb7497ff55feb7de2916ea58,https://era.zksync.network/tx/0x3d0803336d8212972486cd1c81f63bc41207fe1efb7497ff55feb7de2916ea58,receive,0x25e7cf6b655b78b40c271d64c12ba272f10b6d15,mytoken,1
09/02/2024,11:23:09,era,0xcbae7d39d66394e2aad0b979e800fac1df24687a3861d7b10b804f03e6f28c46,https://era.zksync.network/tx/0xcbae7d39d66394e2aad0b979e800fac1df24687a3861d7b10b804f03e6f28c46,receive,0x27191959700ca8c1a9bd0cf256d193f78845e789,CODEX,1
02/01/2024,05:14:51,era,0x521b22284602a818d1423c2854043edc50d4a35fcfbedd4fbc6ca21f9bebe9b7,https://era.zksync.network/tx/0x521b22284602a818d1423c2854043edc50d4a35fcfbedd4fbc6ca21f9bebe9b7,receive,0x30cc5a244c355ea9fa488e828d4acf65f748135a,art,7
13/03/2024,08:17:01,scrl,0x478841befe55bb9e4b5eb096de60f8d4c758f304116b9a1c96de9952b8b6d9a8,https://scrollscan.com/tx/0x478841befe55bb9e4b5eb096de60f8d4c758f304116b9a1c96de9952b8b6d9a8,receive,0x35787278dfd1bd013c08ce5d895fd648243b608f,TWUSI,200
21/02/2024,09:39:21,scrl,0xa6378fb702b295289fe63c7ec717af3255f79a22511ad63050e79b7d9a303033,https://scrollscan.com/tx/0xa6378fb702b295289fe63c7ec717af3255f79a22511ad63050e79b7d9a303033,receive,0x46a00ea2dc117b60b8bc9736dca870ae000d0fa8,Bingus,100
05/03/2024,09:55:51,zeta,0x3f92c36eaca17cb1d3262f9562eeb5241e503e7890e83f7441c0c2697579b948,https://zetachain.blockscout.com/tx/0x3f92c36eaca17cb1d3262f9562eeb5241e503e7890e83f7441c0c2697579b948,receive,0x5afe19a8e8b62dda50050dcad297391f8ea72999,ZETA,0.01
23/05/2023,01:16:29,arb,0x15a245e9515feeaa22dfaf83a77050af03b344f27b1086448c83faced0af71b3,https://arbiscan.io/tx/0x15a245e9515feeaa22dfaf83a77050af03b344f27b1086448c83faced0af71b3,receive,0x677574ccc8748e2140889b224540c384fbff7f5a,ETH,0.025
19/12/2023,14:54:37,era,0xd18a05087e36f510206eed72f9c77460b8ef0a036e94b51fc16597496e66f6ca,https://era.zksync.network/tx/0xd18a05087e36f510206eed72f9c77460b8ef0a036e94b51fc16597496e66f6ca,receive,0x6a4c058b47ce9ad9b412e4fc2ca8e19b9147d0bb,idk,100
