Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
26/03/2024,17:14:49,op,0xb9d854f27797788a78fef2e12a1038d3381413bb8c3626df1d53e763f8644fde,https://optimistic.etherscan.io/tx/0xb9d854f27797788a78fef2e12a1038d3381413bb8c3626df1d53e763f8644fde,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,6.75e-12
26/03/2024,17:07:55,op,0xa6edd83fc63f05caca05fc25ba77fa860ba40a20e766241795994d407aa9def4,https://optimistic.etherscan.io/tx/0xa6edd83fc63f05caca05fc25ba77fa860ba40a20e766241795994d407aa9def4,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,3e-12
26/03/2024,16:37:21,op,0xf30b6d8074fc3796f019cab0a7049ec73b221e0eafa9711283ba68d8f7d6b5fa,https://optimistic.etherscan.io/tx/0xf30b6d8074fc3796f019cab0a7049ec73b221e0eafa9711283ba68d8f7d6b5fa,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,7.77e-12
26/03/2024,16:15:19,op,0x724a8efd764ae160689cc3be6b933083a5b5a4a7875e8339b3908aa068821860,https://optimistic.etherscan.io/tx/0x724a8efd764ae160689cc3be6b933083a5b5a4a7875e8339b3908aa068821860,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1.1e-13
19/03/2024,23:14:03,base,0x9705b3e2590843e319434057f08425748463bed25b16d9eec225bca4908ad2c3,https://www.basescan.org/tx/0x9705b3e2590843e319434057f08425748463bed25b16d9eec225bca4908ad2c3,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,3.11e-12
26/02/2024,04:09:29,era,0xecb13055ce285ab61947fc1191b6f4088294a14b16e76fce9d983d2686e41b19,https://era.zksync.network/tx/0xecb13055ce285ab61947fc1191b6f4088294a14b16e76fce9d983d2686e41b19,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,6.76e-12
20/01/2024,22:58:25,op,0xd6fe0db968324b6a247b7564c0ecc98c60569adfd536e146d13f603d8707c929,https://optimistic.etherscan.io/tx/0xd6fe0db968324b6a247b7564c0ecc98c60569adfd536e146d13f603d8707c929,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,3.51e-12
29/12/2023,04:11:02,opbnb,0xa54e930ffbc9a744dc1c968f1f9f9061446e72ac4ee09e22a73c9556b6bdda91,https://mainnet.opbnbscan.com/tx/0xa54e930ffbc9a744dc1c968f1f9f9061446e72ac4ee09e22a73c9556b6bdda91,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,BNB,7.83e-12
12/09/2023,00:26:20,era,0xc3778e45d33179d9c1114516c0362491cd25fedcbc9e3ff24240b72067ec6ec8,https://era.zksync.network/tx/0xc3778e45d33179d9c1114516c0362491cd25fedcbc9e3ff24240b72067ec6ec8,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1.912e-10
11/07/2023,21:55:51,pze,0x6b848a2322a576cc65951411026aa12574967c75848d2c164c0280d8b6da610f,https://zkevm.polygonscan.com/tx/0x6b848a2322a576cc65951411026aa12574967c75848d2c164c0280d8b6da610f,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1e-10
09/07/2023,21:57:59,nova,0x9fdefe4665c221acc848f1a1da339c27e388e676ea0e2dc60d57dc5b7aee5a1f,https://nova.arbiscan.io/tx/0x9fdefe4665c221acc848f1a1da339c27e388e676ea0e2dc60d57dc5b7aee5a1f,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1e-10
09/02/2024,22:01:07,opbnb,0x34dc203b526b3cef27803e41f0828cb532add7fc2aa80f188d1a92fa29314562,https://mainnet.opbnbscan.com/tx/0x34dc203b526b3cef27803e41f0828cb532add7fc2aa80f188d1a92fa29314562,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,BNB,4.32e-11
31/12/2023,06:55:57,opbnb,0xb9f473e6206e669a020bdc51c8c1a6a3c08ac82c5dd1853f27e0b07c4b3fd876,https://mainnet.opbnbscan.com/tx/0xb9f473e6206e669a020bdc51c8c1a6a3c08ac82c5dd1853f27e0b07c4b3fd876,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,BNB,4.38e-11
31/12/2023,03:45:22,opbnb,0x091a8c8a421c096b00061cf5e4803b5bbb1a78848821bb18165d2320872e8ee3,https://mainnet.opbnbscan.com/tx/0x091a8c8a421c096b00061cf5e4803b5bbb1a78848821bb18165d2320872e8ee3,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,BNB,4.28e-11
25/09/2023,14:54:13,linea,0xea3193f2d80cddc50215195216a9bba94c8d38fbc925c926ef81dc3b7a148e0e,https://lineascan.build/tx/0xea3193f2d80cddc50215195216a9bba94c8d38fbc925c926ef81dc3b7a148e0e,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,6.6554399999e-8
25/09/2023,13:42:37,linea,0x325529a145ce68ec807607448ed600992160e5718fc8e89bcaf0ea85f6787c61,https://lineascan.build/tx/0x325529a145ce68ec807607448ed600992160e5718fc8e89bcaf0ea85f6787c61,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,6.6009912e-8
25/09/2023,13:23:43,base,0xf62f3c8e8c381b4411e75a4695c4d7c8ff9a51ea67964a9d64257c1b464ea379,https://www.basescan.org/tx/0xf62f3c8e8c381b4411e75a4695c4d7c8ff9a51ea67964a9d64257c1b464ea379,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,6.6009912e-8
14/07/2023,22:55:39,nova,0x83895e8e1a3d86b4b37b7e797d32ed264536dd7b2e3de24457a53c2915db1354,https://nova.arbiscan.io/tx/0x83895e8e1a3d86b4b37b7e797d32ed264536dd7b2e3de24457a53c2915db1354,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,1e-10
14/02/2024,05:07:38,era,0x57944fb6452dddc26fa8882475a5a36373190cc08a93163fcacdd612e2c13882,https://era.zksync.network/tx/0x57944fb6452dddc26fa8882475a5a36373190cc08a93163fcacdd612e2c13882,receive,0x0424090d76b3bda9caf1a7de885a063995735170,ETH,3.3e-12
25/09/2023,14:40:37,linea,0xc3195d08cc7b227d51d5f4c4932e5c6135af18e63bbb6cbf4f813c6cca131300,https://lineascan.build/tx/0xc3195d08cc7b227d51d5f4c4932e5c6135af18e63bbb6cbf4f813c6cca131300,receive,0x0424090d76b3bda9caf1a7de885a063995735170,ETH,6.6303599999e-8
25/09/2023,13:25:13,linea,0xe79e234e24af8d911d3b8d7b4fb78bfae3060f752053bd66a9409fca50168f70,https://lineascan.build/tx/0xe79e234e24af8d911d3b8d7b4fb78bfae3060f752053bd66a9409fca50168f70,receive,0x0424090d76b3bda9caf1a7de885a063995735170,ETH,6.6005428e-8
25/09/2023,13:14:39,base,0xdcaf72b3fc582e4400e4f3feb95965065963df69f19d51007fa4fbd1a025ee25,https://www.basescan.org/tx/0xdcaf72b3fc582e4400e4f3feb95965065963df69f19d51007fa4fbd1a025ee25,receive,0x0424090d76b3bda9caf1a7de885a063995735170,ETH,6.6005428e-8
22/09/2023,16:06:23,pze,0x21b26badc527091a92754755e848bc5bb8cde1c0829e004dd454cda72d1990b4,https://zkevm.polygonscan.com/tx/0x21b26badc527091a92754755e848bc5bb8cde1c0829e004dd454cda72d1990b4,receive,0x0424090d76b3bda9caf1a7de885a063995735170,ETH,5.64952e-10
14/07/2023,22:42:35,nova,0x6a3d76fae25f994cd4da322a707858b7a43934926d931c5e7e64a02e71252680,https://nova.arbiscan.io/tx/0x6a3d76fae25f994cd4da322a707858b7a43934926d931c5e7e64a02e71252680,receive,0x0424090d76b3bda9caf1a7de885a063995735170,ETH,1e-10
19/03/2024,23:14:09,base,0x54b6cd0e384ccc53ad980c37d6db494f90d3170dbc34f4126e3072979e5eabdc,https://www.basescan.org/tx/0x54b6cd0e384ccc53ad980c37d6db494f90d3170dbc34f4126e3072979e5eabdc,receive,0x06aa873f9fdc4130c97a02e6a385b6d158af2026,ETH,4.25e-11
12/02/2024,21:46:51,era,0x29bc1d578966ec6a37d95f203e7c4ead949fdd3556070ec279791fc94be4a793,https://era.zksync.network/tx/0x29bc1d578966ec6a37d95f203e7c4ead949fdd3556070ec279791fc94be4a793,receive,0x06aa873f9fdc4130c97a02e6a385b6d158af2026,ETH,1.11e-11
05/11/2023,05:24:17,base,0xd04c4dfc3720546170bc2b823b682492727b2ed64c2b2caff01d98e716677b62,https://www.basescan.org/tx/0xd04c4dfc3720546170bc2b823b682492727b2ed64c2b2caff01d98e716677b62,receive,0x06aa873f9fdc4130c97a02e6a385b6d158af2026,ETH,9.1e-12
14/07/2023,22:49:17,nova,0x551d3fa8737895b8bbc389a9fcab8c264fdc1367b69de69b7bc5eead0e9378af,https://nova.arbiscan.io/tx/0x551d3fa8737895b8bbc389a9fcab8c264fdc1367b69de69b7bc5eead0e9378af,receive,0x06aa873f9fdc4130c97a02e6a385b6d158af2026,ETH,1e-10
31/12/2023,05:54:34,opbnb,0xcdcbcf2ced97848a96df52ce0d3b54214af1ddfa64093fd1c50bdef66c6bc750,https://mainnet.opbnbscan.com/tx/0xcdcbcf2ced97848a96df52ce0d3b54214af1ddfa64093fd1c50bdef66c6bc750,receive,0x09ccc8aed0090094edd86d31550b2bcb645c75a3,BNB,4.91e-11
14/07/2023,22:32:21,nova,0x3b9a570b9fc51e673f1ece60a13cf9eb4ba76c9015d9e571391113c4d4978b9d,https://nova.arbiscan.io/tx/0x3b9a570b9fc51e673f1ece60a13cf9eb4ba76c9015d9e571391113c4d4978b9d,receive,0x09ccc8aed0090094edd86d31550b2bcb645c75a3,ETH,1e-10
12/02/2024,04:18:41,base,0xbae3237108f45c73d0c8f46eadcc84114acc17875cb1b6ad50f1f680825ecf11,https://www.basescan.org/tx/0xbae3237108f45c73d0c8f46eadcc84114acc17875cb1b6ad50f1f680825ecf11,receive,0x0c00af57a3360357fd5f48dc57e8e54faa45ad72,ETH,4.26e-11
09/02/2024,21:35:50,opbnb,0x6a7f63f841f26d6e902599d80a739723a0d90e7f6fdb72fe8620ae813807a07f,https://mainnet.opbnbscan.com/tx/0x6a7f63f841f26d6e902599d80a739723a0d90e7f6fdb72fe8620ae813807a07f,receive,0x0c00af57a3360357fd5f48dc57e8e54faa45ad72,BNB,7.8e-12
19/10/2023,22:19:09,base,0xda72eead8dd255dea596bcb6246388becb3dca0f181a0c7e528b83ea3644e41f,https://www.basescan.org/tx/0xda72eead8dd255dea596bcb6246388becb3dca0f181a0c7e528b83ea3644e41f,receive,0x0c00af57a3360357fd5f48dc57e8e54faa45ad72,ETH,1.96e-11
10/10/2023,05:06:29,arb,0x749a1eed6a767e72d90382c351027f889c4a381dbaa9c7f56b2a31735e0393d0,https://arbiscan.io/tx/0x749a1eed6a767e72d90382c351027f889c4a381dbaa9c7f56b2a31735e0393d0,receive,0x0c00af57a3360357fd5f48dc57e8e54faa45ad72,ETH,9e-13
