Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
01/04/2022,18:59:07,avax,0x2979c5520fb4021b25402eba4c7cceecc1fb549f78101d646a29bbd7eb01f2b4,https://snowtrace.io/tx/0x2979c5520fb4021b25402eba4c7cceecc1fb549f78101d646a29bbd7eb01f2b4,send,0x0aaf38602f6f5778ddd5f4781592b9574d5fbb7e,AVAX,-0.0001
06/06/2022,19:13:23,eth,0xb3c56336af2ad60e402168bd62063f5157e1797ade60e8a3425366b97da7f095,https://etherscan.io/tx/0xb3c56336af2ad60e402168bd62063f5157e1797ade60e8a3425366b97da7f095,receive,0x103e6188a458b52d73f537808108ef3a88580923,ETH,0.1
04/06/2022,03:47:09,eth,0x61c97328cfebe98bef5c41f834b8b8444686d3ae747bdf452868114d6705a060,https://etherscan.io/tx/0x61c97328cfebe98bef5c41f834b8b8444686d3ae747bdf452868114d6705a060,send,0x103e6188a458b52d73f537808108ef3a88580923,ETH,-1
06/12/2021,00:00:16,bsc,0x72b400938889a9432bf2278592e8145d14eef36f78f5da3f7a8ebf06c3c777dc,https://bscscan.com/tx/0x72b400938889a9432bf2278592e8145d14eef36f78f5da3f7a8ebf06c3c777dc,send,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,BUSD,-500
01/09/2021,18:59:18,movr,0x49420678cf07d46f19025180822b4bd2ae602c712b459766ead84039e5e38b8d,https://moonriver.moonscan.io/tx/0x49420678cf07d46f19025180822b4bd2ae602c712b459766ead84039e5e38b8d,send,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,MOVR,-0.1
31/08/2021,19:30:48,movr,0x51d74e9611e29c71ab2f5350e52aa029f2a5d93fb6e4b5572f1a0625e022b3bf,https://moonriver.moonscan.io/tx/0x51d74e9611e29c71ab2f5350e52aa029f2a5d93fb6e4b5572f1a0625e022b3bf,receive,0x120609da75cf68f9aacf4d7e8b627eb9186ba27b,MOVR,0.1
07/06/2022,23:29:43,ftm,0x7fbde523c2093a1a1bdbaeaddc7c518ed4fd87887b3e99c87221d53999628092,https://ftmscan.com/tx/0x7fbde523c2093a1a1bdbaeaddc7c518ed4fd87887b3e99c87221d53999628092,receive,0x188428b1e88b2ac1cc2b26e8fab538297143a16b,FTM,107
20/08/2021,04:03:35,eth,0xcca8363351640cd98bf93cb5a8f54c922913c5fe2144801334b2616fc15d6164,https://etherscan.io/tx/0xcca8363351640cd98bf93cb5a8f54c922913c5fe2144801334b2616fc15d6164,send,0x188428b1e88b2ac1cc2b26e8fab538297143a16b,ETH,-0.013
04/08/2021,18:22:18,eth,0x6db51bcd1df84406ccf77c0b6d447ddabf11cdc5be96a63138d3a369440c0c17,https://etherscan.io/tx/0x6db51bcd1df84406ccf77c0b6d447ddabf11cdc5be96a63138d3a369440c0c17,receive,0x188428b1e88b2ac1cc2b26e8fab538297143a16b,cBSN,63423.88330174301
25/01/2023,15:48:16,arb,0xcec5e56ee9c3ebf3032e8e94b757e9822c763d8aa0d46f6d0df3dbcf2aeae6c5,https://arbiscan.io/tx/0xcec5e56ee9c3ebf3032e8e94b757e9822c763d8aa0d46f6d0df3dbcf2aeae6c5,receive,0x1b5049099a28b0d1664e2ee032e7bcf5a4bb9c2d,RDNT,4953.26
09/12/2022,00:51:11,eth,0x0a29648fe1500647680612f154f93ac77a299ff92f85f23be2b03e09bbdaac06,https://etherscan.io/tx/0x0a29648fe1500647680612f154f93ac77a299ff92f85f23be2b03e09bbdaac06,receive,0x1b5049099a28b0d1664e2ee032e7bcf5a4bb9c2d,ETH,0.03
17/10/2022,16:24:58,bsc,0x3f3356a36c02bfb18ea5f7e5a6cdf1c856a70ca2768d623d120a5fec53991494,https://bscscan.com/tx/0x3f3356a36c02bfb18ea5f7e5a6cdf1c856a70ca2768d623d120a5fec53991494,send,0x1b5049099a28b0d1664e2ee032e7bcf5a4bb9c2d,BUSD,-100.46713725
