Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
13/08/2021,21:52:35,bsc,0x2fe08348561e867b2ca43af2e47bce2a8c606e8849442f4de7a3c7c0f3ca67d7,https://bscscan.com/tx/0x2fe08348561e867b2ca43af2e47bce2a8c606e8849442f4de7a3c7c0f3ca67d7,receive,0x055cc85e9864f755e1e15f5ffd8d6c501f7ffc84,ZOON,12635
02/12/2021,16:01:09,matic,0xc581749ac0e0f88697d0cf5af0eb63c181b232318fb2d39e2b6b24e09b6baa3c,https://polygonscan.com/tx/0xc581749ac0e0f88697d0cf5af0eb63c181b232318fb2d39e2b6b24e09b6baa3c,send,0x06ef3d4a3dcd5dcb6604c6358c46f760d43e3606,MATIC,-0.02
28/07/2022,18:22:29,bsc,0xf5be2fc3b6deb7fc3f56118c35af25e5437d4a8940b6f4efebe9f411ffecad5b,https://bscscan.com/tx/0xf5be2fc3b6deb7fc3f56118c35af25e5437d4a8940b6f4efebe9f411ffecad5b,receive,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,BOT,4802
28/07/2022,18:16:53,bsc,0xce7ee6b54ba49c3ae8d9ff42b5d7a3523283dc85e5a56de9f2116c3358fc9047,https://bscscan.com/tx/0xce7ee6b54ba49c3ae8d9ff42b5d7a3523283dc85e5a56de9f2116c3358fc9047,send,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,BOT,-4900
10/04/2022,14:28:25,matic,0x4a2e21b0961a6f5e7955abd8032bea30db3fbfdf8a913943adf27701aaac8f06,https://polygonscan.com/tx/0x4a2e21b0961a6f5e7955abd8032bea30db3fbfdf8a913943adf27701aaac8f06,send,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,MATIC,-7
21/12/2021,22:48:09,bsc,0xdf5b5f81ba9e143593ea00552ec6be3482adac843eb6d841b91228567dd5e1e5,https://bscscan.com/tx/0xdf5b5f81ba9e143593ea00552ec6be3482adac843eb6d841b91228567dd5e1e5,send,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,AXS,-2.55263821e-9
21/12/2021,22:47:15,bsc,0x239d5abdd94ef239c29e17f5ee1b627c7c5f70c6d9b44e0b29f9084551b84c0f,https://bscscan.com/tx/0x239d5abdd94ef239c29e17f5ee1b627c7c5f70c6d9b44e0b29f9084551b84c0f,send,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,ZOON,-6.6752564390736
12/12/2021,00:33:57,matic,0x91b2958d5d64bc478f574e814aa3b06ab6d171c64ca8d1c38d1c7e4066129469,https://polygonscan.com/tx/0x91b2958d5d64bc478f574e814aa3b06ab6d171c64ca8d1c38d1c7e4066129469,send,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,MATIC,-0.02
12/12/2021,00:33:33,matic,0x1d244809de9178cdcf43bab000f4c428dfc239e3eb46a6322b8c6a5ffc1edc8a,https://polygonscan.com/tx/0x1d244809de9178cdcf43bab000f4c428dfc239e3eb46a6322b8c6a5ffc1edc8a,send,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,WETH,-0.6975918069044534
12/12/2021,00:32:37,avax,0x99f9036e64bf88bf498ae9bd1cacfe7e349d4842a0473fa493b0164603f7f080,https://snowscan.xyz/tx/0x99f9036e64bf88bf498ae9bd1cacfe7e349d4842a0473fa493b0164603f7f080,send,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,AVAX,-0.4767853
26/11/2021,07:11:51,bsc,0x03475e833efc3af769bc50ccc865ecb718264e832a6926b95a4f72c814f7dc0c,https://bscscan.com/tx/0x03475e833efc3af769bc50ccc865ecb718264e832a6926b95a4f72c814f7dc0c,receive,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,BUSD,200
25/11/2021,02:44:34,bsc,0xf52c51bff428720aa227549b1f1fdc7e6b2381a02f5afe62b6ce0f3d6ef07d13,https://bscscan.com/tx/0xf52c51bff428720aa227549b1f1fdc7e6b2381a02f5afe62b6ce0f3d6ef07d13,receive,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,BUSD,300
23/11/2021,02:23:11,bsc,0xde0467d4db056cfdf27e4e4ac60fa513ff6185ae5b99d5a69b30db41c4c1eb6f,https://bscscan.com/tx/0xde0467d4db056cfdf27e4e4ac60fa513ff6185ae5b99d5a69b30db41c4c1eb6f,receive,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,BUSD,400
21/11/2021,11:44:47,bsc,0x05b767bcb3f417cd27626f50b9f92ef20749d25d4928914255b898386bc35f49,https://bscscan.com/tx/0x05b767bcb3f417cd27626f50b9f92ef20749d25d4928914255b898386bc35f49,receive,0x06f42fa91023bdcefaf09e7bcba0d3bd658b3457,BUSD,633.34
