Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
28/11/2022,23:37:47,eth,0x1784bc8275a49d6f63a548a5c95632954d018480d33839ef32ab9c5e6e878b50,https://etherscan.io/tx/0x1784bc8275a49d6f63a548a5c95632954d018480d33839ef32ab9c5e6e878b50,send,0x0845212ebf21bcf9757b718db4065e911caba155,ETH,-0.84033381
28/11/2022,23:37:23,eth,0x2fddbe1361065f07440ca214209fcd55f1183af446a680519c6c87269ac6ae51,https://etherscan.io/tx/0x2fddbe1361065f07440ca214209fcd55f1183af446a680519c6c87269ac6ae51,send,0x0845212ebf21bcf9757b718db4065e911caba155,xSUSHI,-2000
17/11/2022,03:34:11,eth,0xe5a7056a0087fb579ecaf7e41d8075f3a8eb987b71b8a347c2b8295ae015b783,https://etherscan.io/tx/0xe5a7056a0087fb579ecaf7e41d8075f3a8eb987b71b8a347c2b8295ae015b783,receive,0x0845212ebf21bcf9757b718db4065e911caba155,ETH,0.86
18/11/2022,01:42:23,eth,0xd7f97f40731a8f3c9daee7d8984c05f8829216046a75d5b96409fd553532b53e,https://etherscan.io/tx/0xd7f97f40731a8f3c9daee7d8984c05f8829216046a75d5b96409fd553532b53e,receive,0x0f561a684ad3ccd20f1893925838a267a1761884,xSUSHI,2000
02/08/2021,23:38:32,eth,0xc3a10153b931b5f46fc3c77fe56c1dcc9da342a7a922eb7370c0784d4236c0de,https://etherscan.io/tx/0xc3a10153b931b5f46fc3c77fe56c1dcc9da342a7a922eb7370c0784d4236c0de,receive,0x0f561a684ad3ccd20f1893925838a267a1761884,ETH,0.002725
28/11/2021,15:19:38,matic,0xa7d1f17dfdba229e0e771696ca1c12522a5925f76e8910721169ef380d4a262a,https://polygonscan.com/tx/0xa7d1f17dfdba229e0e771696ca1c12522a5925f76e8910721169ef380d4a262a,receive,0x183e1de5bef874ac3d56df0c03a045b5dc084aa7,WETH,0.0014625
16/06/2018,09:21:00,eth,0x30b788c5d64b5b5ccadf7f365c924471b89300108d7cb41335331049b02a50fe,https://etherscan.io/tx/0x30b788c5d64b5b5ccadf7f365c924471b89300108d7cb41335331049b02a50fe,receive,0x183e1de5bef874ac3d56df0c03a045b5dc084aa7,ETH,0.5
03/03/2019,21:23:57,eth,0x35bfab347ef5f2dbf96b6d0da253947b387b95fcdc7e2ceded4cf09cb81f13fc,https://etherscan.io/tx/0x35bfab347ef5f2dbf96b6d0da253947b387b95fcdc7e2ceded4cf09cb81f13fc,receive,0x1cea44a82d97970341ca897016cba93af131d468,ETH,0.046
22/07/2018,10:23:53,eth,0x6cd6bbee4c917400166ca409dfe93d8218685cb63818744e74eb47998bbaedbe,https://etherscan.io/tx/0x6cd6bbee4c917400166ca409dfe93d8218685cb63818744e74eb47998bbaedbe,receive,0x1cea44a82d97970341ca897016cba93af131d468,ETH,0.1
19/03/2019,10:28:09,eth,0x2a0065fbf619002c005b0e47365b59596464be7a8bfc5c74a2f37e0e31df1b8c,https://etherscan.io/tx/0x2a0065fbf619002c005b0e47365b59596464be7a8bfc5c74a2f37e0e31df1b8c,send,0x30c7a64a9639cf2a5ee043e60195c2f8f1cc4103,BNB,-100
