Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
14/10/2022,19:13:39,op,0x4d77129530689f6715eac1249cd5492b68749f85ff68286b38f9a9251abb8cc5,https://optimistic.etherscan.io/tx/0x4d77129530689f6715eac1249cd5492b68749f85ff68286b38f9a9251abb8cc5,receive,0x0fe69b4d246d615f6edbff410fabdb9f99fb8545,ETH,0.0711
02/03/2023,18:08:24,arb,0x2a0d382bc94dbe02e4889dee6239dc5bdbecd6f9eb03c558ee44de33d53c533b,https://arbiscan.io/tx/0x2a0d382bc94dbe02e4889dee6239dc5bdbecd6f9eb03c558ee44de33d53c533b,receive,0x12819404c709e2dd584ef397564fc7506a9bc93f,ETH,0.126414053901689
14/10/2022,19:11:54,op,0x947bd8a72827e945fca1236219f6b5b2bd9cdb1a0e6b2729b0c7d7cdb5e453f5,https://optimistic.etherscan.io/tx/0x947bd8a72827e945fca1236219f6b5b2bd9cdb1a0e6b2729b0c7d7cdb5e453f5,receive,0x15dd3b5f278d4a8c7417147b37e23aa7a02dd69c,ETH,0.0777
02/03/2023,18:07:50,arb,0xb150c943fffb1b101479ca4a8d88566537aa5530c6670631989c8a394b9fb926,https://arbiscan.io/tx/0xb150c943fffb1b101479ca4a8d88566537aa5530c6670631989c8a394b9fb926,receive,0x1804cf8fbcd91a278419b3121ca1571b13cdd8c8,ETH,0.12936704514168898
20/11/2022,22:07:26,arb,0xb5ba1a389d984b540c7cb2bd259f54e9d22efc05e501630e596af14ad2fc8025,https://arbiscan.io/tx/0xb5ba1a389d984b540c7cb2bd259f54e9d22efc05e501630e596af14ad2fc8025,send,0x183bffe026d50515516a8f873162396068143425,USDT,-102
02/03/2023,20:00:51,arb,0xaead24a321fde9d08dd13b1e571b903d7ae3ec13bb1a42d9841926fa339b9cc3,https://arbiscan.io/tx/0xaead24a321fde9d08dd13b1e571b903d7ae3ec13bb1a42d9841926fa339b9cc3,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ETH,-0.5322904395788596
14/10/2022,20:22:11,op,0xe918f0e7d82801b5fa55622d228e0a1bfdbdbac38ee03bee4227283554e3a74d,https://optimistic.etherscan.io/tx/0xe918f0e7d82801b5fa55622d228e0a1bfdbdbac38ee03bee4227283554e3a74d,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ETH,-0.33
16/05/2023,22:44:23,arb,0x8b875c6088fb29e75b211314d60faf23607abc554c5079ad380f7ba6079d5059,https://arbiscan.io/tx/0x8b875c6088fb29e75b211314d60faf23607abc554c5079ad380f7ba6079d5059,send,0x430cff5356fdbad334e8c992e5be56bed769b0ce,ETH,-0.11765558018644535
02/03/2023,18:06:52,nova,0xb123f16f8e19a012a9c6067f308b6b2c1f69cacd6152de740a36cb5ad027f17c,https://nova.arbiscan.io/tx/0xb123f16f8e19a012a9c6067f308b6b2c1f69cacd6152de740a36cb5ad027f17c,receive,0x448eb1f657e3ae6b381f3f82321b838af4fea266,ETH,0.1328
02/03/2023,18:08:30,arb,0x7961cbf19978fa18e995c512d5cd5851c3a7d176f9d0b0d1726645cdea9362c4,https://arbiscan.io/tx/0x7961cbf19978fa18e995c512d5cd5851c3a7d176f9d0b0d1726645cdea9362c4,receive,0x4fb06c92835ebe6a8668ab071b3d52d110afb4bb,ETH,0.109412278101689
