Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
25/04/2022,20:50:45,avax,0x572e47bd3bcafdcb7b19e12f2d82198fee6655da746a5371463c8bbba3c56b7e,https://snowtrace.io/tx/0x572e47bd3bcafdcb7b19e12f2d82198fee6655da746a5371463c8bbba3c56b7e,receive,0x080246d21da40c1b6f8e32c2a0f025872a650f87,TUS,9
16/04/2022,11:48:07,avax,0x9a41b83fb4c5ba9adcdf2b2ba5b9727276b916c1295741659af5d9150c25caf0,https://snowtrace.io/tx/0x9a41b83fb4c5ba9adcdf2b2ba5b9727276b916c1295741659af5d9150c25caf0,receive,0x097e3725a78fe52a803da00e827bb60a99509483,TUS,12.51
29/04/2022,02:37:37,avax,0x94d116e2208934f63a9074a12c857d4a9a09c6aae07b3815956aaa3f4fb22273,https://snowtrace.io/tx/0x94d116e2208934f63a9074a12c857d4a9a09c6aae07b3815956aaa3f4fb22273,receive,0x09fbdc8add033db8aa0fc1a7d2b41dab71929c3b,TUS,7.2
07/05/2022,21:11:42,avax,0x5c6374436b9bbfe4e0fece2bb3c7ec8775321ee63bbafa76c3c5b772796e3b99,https://snowtrace.io/tx/0x5c6374436b9bbfe4e0fece2bb3c7ec8775321ee63bbafa76c3c5b772796e3b99,receive,0x0ae80da773eb20a20b1f49f71c644911c3013b12,TUS,3.6
06/05/2022,08:27:21,avax,0x321e167684925cbd2d09f95c1a55f860d3bdf488efce2e1ab83f3b5e81a186b1,https://snowtrace.io/tx/0x321e167684925cbd2d09f95c1a55f860d3bdf488efce2e1ab83f3b5e81a186b1,receive,0x0e4fd432a843006c06a53bf944ed5de27df20713,TUS,3.6
15/05/2022,02:36:48,avax,0xa6286e324896c5e6c29c4366deebd9f0a1f61fa731f8b6962c3567ff7d5d2725,https://snowtrace.io/tx/0xa6286e324896c5e6c29c4366deebd9f0a1f61fa731f8b6962c3567ff7d5d2725,receive,0x1109a3d4c5cdf78de8bd7ad2c8158e1368a643b0,TUS,2.97
26/04/2022,19:18:40,avax,0xb3caaa3db13ac7ae55678731efc123e47a349b397c897118fc4e7ad7f67c5500,https://snowtrace.io/tx/0xb3caaa3db13ac7ae55678731efc123e47a349b397c897118fc4e7ad7f67c5500,receive,0x126dec491fd807d6557ebdcf8a2fea25571f3838,TUS,9
25/04/2022,15:16:12,avax,0x461d1248fdf9fb59650ce8164a77f8c55dd6a14b97da90f1fa65a5849c4974f6,https://snowtrace.io/tx/0x461d1248fdf9fb59650ce8164a77f8c55dd6a14b97da90f1fa65a5849c4974f6,receive,0x126dec491fd807d6557ebdcf8a2fea25571f3838,TUS,9
23/04/2022,17:18:49,avax,0x37ebad026714de664202554b5eea9f3ad64196188f92fc4499eaab12b84101dd,https://snowtrace.io/tx/0x37ebad026714de664202554b5eea9f3ad64196188f92fc4499eaab12b84101dd,receive,0x126dec491fd807d6557ebdcf8a2fea25571f3838,TUS,9
22/04/2022,06:43:44,avax,0xf516a2a4a341adf8a62b569ce34817421e095102b60827a10e8c1ef260cb52fd,https://snowtrace.io/tx/0xf516a2a4a341adf8a62b569ce34817421e095102b60827a10e8c1ef260cb52fd,receive,0x1636f5e8c2136c138a989782f223e940233e47ee,TUS,9
16/04/2022,01:32:57,avax,0xece033fa0cced8a725213f48e965aee382c1982d67fa7bb73031470f8a7d5c3c,https://snowtrace.io/tx/0xece033fa0cced8a725213f48e965aee382c1982d67fa7bb73031470f8a7d5c3c,receive,0x17be0774e3ecb2ff74bc98697f7e9093432a0dbe,TUS,15.21
14/04/2022,00:46:30,avax,0x98698d2719b91f1aa576027d9ec84895c5132da2f43cdd29c89f6f9bcc40486e,https://snowtrace.io/tx/0x98698d2719b91f1aa576027d9ec84895c5132da2f43cdd29c89f6f9bcc40486e,receive,0x1d7cb25b55c2e62311f254f33faf053979c5fc04,TUS,15.21
14/04/2022,18:51:35,avax,0x68e7ec2021a29671dfb07000dcbaf3199f1152e5da8535ab570dcbd94f86a2e2,https://snowtrace.io/tx/0x68e7ec2021a29671dfb07000dcbaf3199f1152e5da8535ab570dcbd94f86a2e2,receive,0x1d865c690fd71baae22dd3e776249cf3d2e58e59,TUS,15.21
14/04/2022,15:39:47,avax,0x29f67fb0d4d67a0951e39618a1282727574560431eadad086ea3f443cd742f71,https://snowtrace.io/tx/0x29f67fb0d4d67a0951e39618a1282727574560431eadad086ea3f443cd742f71,receive,0x26f6c7097ea222da0fb4baa18dbe9fb6450d303e,TUS,12.51
26/04/2022,15:15:31,avax,0x564bb9cf906794eb768bb742ba96a73c155fd1be058dcb899643488bce28d1e9,https://snowtrace.io/tx/0x564bb9cf906794eb768bb742ba96a73c155fd1be058dcb899643488bce28d1e9,receive,0x2b9c7d49c0536b0517d0ee6325fe7192c28e9d5a,TUS,9
10/05/2022,21:48:39,avax,0xcf6821fc1ebbb81ee6478b27ae5ee6e0f76e1289893ffa7ffb30444da544b690,https://snowtrace.io/tx/0xcf6821fc1ebbb81ee6478b27ae5ee6e0f76e1289893ffa7ffb30444da544b690,receive,0x2fdb22d05ed9c55616e802bc71c61810b7e28a60,TUS,5.175
28/04/2022,12:28:17,avax,0xbb7939255e8b3837b6a7ab6f5035dcccee687191137e6da5fcd92e2c9a97ba04,https://snowtrace.io/tx/0xbb7939255e8b3837b6a7ab6f5035dcccee687191137e6da5fcd92e2c9a97ba04,receive,0x3139c194b0bdead79b506dadb305b33d78c5cc5b,TUS,7.2
30/04/2022,15:12:21,avax,0x12b6f254f84f5d2641c8b08a7f2a54dd372fd1bcf6132749ac29b659acf42d6c,https://snowtrace.io/tx/0x12b6f254f84f5d2641c8b08a7f2a54dd372fd1bcf6132749ac29b659acf42d6c,receive,0x31b285e5303944f766bb0fa5fdff5b5d44ad3255,TUS,7.2
