Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
10/08/2023,16:36:08,celo,0xd0b7fd95d0e666db82e489f390e403ef70357ff0b7153ef68850901c52f8f1ab,https://celoscan.io/tx/0xd0b7fd95d0e666db82e489f390e403ef70357ff0b7153ef68850901c52f8f1ab,receive,0x00980decdab20f78ab79dc28171b68ce238ec327,EURA,8000
05/08/2023,23:05:23,celo,0xbf574a79dc06efe4796026d10a20eab4975ef04bf7b82ededa4801aa761a4112,https://celoscan.io/tx/0xbf574a79dc06efe4796026d10a20eab4975ef04bf7b82ededa4801aa761a4112,receive,0x01c20f8119a4243dfbde6ef19968bf1a7ac8f2ec,EURA,2000
20/12/2023,16:12:20,linea,0x2141ddfc3cd83669e57f42a8b49203a006c26adde5f8b98af796109af55f7a17,https://lineascan.build/tx/0x2141ddfc3cd83669e57f42a8b49203a006c26adde5f8b98af796109af55f7a17,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-22.114997
16/12/2023,16:47:25,linea,0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,https://lineascan.build/tx/0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
10/12/2023,04:23:50,linea,0x0d3e3d40fedcd0ca1fa0d75cde4bcd84e0436c65810c1b2032ebd10c7aed8e43,https://lineascan.build/tx/0x0d3e3d40fedcd0ca1fa0d75cde4bcd84e0436c65810c1b2032ebd10c7aed8e43,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,lETH,-0.02180980338944345
23/08/2023,16:09:50,metis,0x044e3836440351d0d26195218859caa923a20a7ed3c4fdb2b9163fa254d0233a,https://explorer.metis.io/tx/0x044e3836440351d0d26195218859caa923a20a7ed3c4fdb2b9163fa254d0233a,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,Metis,0.03
23/08/2023,16:02:04,mtr,0x5cfe8672084cf57a8685c689cb5842e2dc1fc8b5067eda6348ab2f8797b2021a,https://scan.meter.io/tx/0x5cfe8672084cf57a8685c689cb5842e2dc1fc8b5067eda6348ab2f8797b2021a,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MTR,0.0458
10/12/2023,17:49:48,linea,0x750441e8d264ff61a1c29bc89f725bacba3b359d692d68f265c25983c1baf733,https://lineascan.build/tx/0x750441e8d264ff61a1c29bc89f725bacba3b359d692d68f265c25983c1baf733,receive,0x16b0767f7b97bc1fdcdf99a512fc9f61d60875ac,ETH,0.01
02/12/2023,15:22:51,op,0xf4f5c6883bb90628d2ce3d3e2ff6279abcb4b35d7e34b522bdda93922bafda92,https://optimistic.etherscan.io/tx/0xf4f5c6883bb90628d2ce3d3e2ff6279abcb4b35d7e34b522bdda93922bafda92,receive,0x1bd159bd84af1aad10837e92db29a0311870443f,ETH,0.00854
19/08/2023,10:50:32,matic,0x5262c6255ea62b5f9d9df688dbfea1323a85fbcc04cac8b3198306e6374c5b43,https://polygonscan.com/tx/0x5262c6255ea62b5f9d9df688dbfea1323a85fbcc04cac8b3198306e6374c5b43,send,0x1bd159bd84af1aad10837e92db29a0311870443f,MATIC,-2
13/08/2023,18:01:27,matic,0x439a8523ac7e16e5a0b80576b8ab4eb27a9b4b0cc9d08336eea256730bbd2945,https://polygonscan.com/tx/0x439a8523ac7e16e5a0b80576b8ab4eb27a9b4b0cc9d08336eea256730bbd2945,send,0x1bd159bd84af1aad10837e92db29a0311870443f,MATIC,-0.3
13/08/2023,17:46:22,matic,0xba5e03fd49b0ae5270424ba64274789294a0ba09c3f0eb4a2dfedf119012785a,https://polygonscan.com/tx/0xba5e03fd49b0ae5270424ba64274789294a0ba09c3f0eb4a2dfedf119012785a,send,0x1bd159bd84af1aad10837e92db29a0311870443f,USDC,-0.1
05/08/2023,22:53:30,xdai,0xd95e50507963ed0ad2177daaf4eed682a61b918b4ea968e94dee3f5e0ada4317,https://gnosisscan.io/tx/0xd95e50507963ed0ad2177daaf4eed682a61b918b4ea968e94dee3f5e0ada4317,send,0x1bd159bd84af1aad10837e92db29a0311870443f,xDai,-2.5
05/08/2023,22:18:41,celo,0xec2e2a34bd25bc4bf01a089cabf3ed06ca512ec5c8b92006fcd507bc9837fbf5,https://celoscan.io/tx/0xec2e2a34bd25bc4bf01a089cabf3ed06ca512ec5c8b92006fcd507bc9837fbf5,send,0x1bd159bd84af1aad10837e92db29a0311870443f,CELO,-5
19/08/2023,10:50:42,matic,0x2047799dd5f63e5a512ac9222608f2ac0cfa2c8ec98c6e1a37323f972157a2aa,https://polygonscan.com/tx/0x2047799dd5f63e5a512ac9222608f2ac0cfa2c8ec98c6e1a37323f972157a2aa,send,0x1ea337e5d1a7f5e000206ad662e9c921dca2c099,MATIC,-2
