Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
02/02/2024,07:51:09,zora,0xc4a2a8a72871c941005f573d780e7a5bf9d7d0cc65adfc29462a15c2a9251192,https://explorer.zora.energy/tx/0xc4a2a8a72871c941005f573d780e7a5bf9d7d0cc65adfc29462a15c2a9251192,receive,0x05981315b4df8ffb978fd3c312ce75964cfd26a6,ETH,0.000304038499960909
08/03/2024,03:11:02,bsc,0x1eaa1f15fcff6267e6e4744d211163d1bd980dd721b6adfbf0aabf4c6c9a130a,https://bscscan.com/tx/0x1eaa1f15fcff6267e6e4744d211163d1bd980dd721b6adfbf0aabf4c6c9a130a,receive,0x0adb747a8d79782c947092d42ed04d5a6adf726f,BNB,0.000116339001818025
02/02/2024,08:09:24,bsc,0x221da73bcac4d823095c3368e533221674d5932ca067895165c9b7b5e7949f96,https://bscscan.com/tx/0x221da73bcac4d823095c3368e533221674d5932ca067895165c9b7b5e7949f96,send,0x0b04bc27c60dd2b6f98de87d78fd5c6271084f12,BNB,-0.00188385322470258
02/02/2024,07:50:45,zora,0xbf0d3f22b7d7414442f28202a7fdd45990fa63caf91e9a854b951ba3d5068b18,https://explorer.zora.energy/tx/0xbf0d3f22b7d7414442f28202a7fdd45990fa63caf91e9a854b951ba3d5068b18,receive,0x0b04bc27c60dd2b6f98de87d78fd5c6271084f12,ETH,0.000282321464249416
09/02/2024,05:35:04,bsc,0x1994f7c8be12a8d7d4b5243f65396be509eb760e95dbea72862d8e2581a45c44,https://bscscan.com/tx/0x1994f7c8be12a8d7d4b5243f65396be509eb760e95dbea72862d8e2581a45c44,receive,0x0f9cc1b913a5faf1ddb4d32a4b399a313d926ec9,BNB,0.000018247236516719
21/02/2024,18:53:41,zora,0x8f5986a2871e852191c71f1dc664870056dbbcad174dc52774bfa2250bf0f6a6,https://explorer.zora.energy/tx/0x8f5986a2871e852191c71f1dc664870056dbbcad174dc52774bfa2250bf0f6a6,send,0x13977dab3fa22cccde600d0a28d6f72fa782f025,ETH,-0.000154006742072931
10/02/2024,18:36:31,matic,0x1390f3f0b2a3941a313eae87d25ff68c47a8fdbf2244bc581a1dfbf55dc1e9a9,https://polygonscan.com/tx/0x1390f3f0b2a3941a313eae87d25ff68c47a8fdbf2244bc581a1dfbf55dc1e9a9,send,0x1c65dccace089f71b2a2655147cd9caa10ebba65,MATIC,-0.023643456673365648
12/02/2024,21:06:21,nova,0x38e8ba66029fc828975e8bd569c7229520e9b532debb8fdf5ba9d763596a4607,https://nova.arbiscan.io/tx/0x38e8ba66029fc828975e8bd569c7229520e9b532debb8fdf5ba9d763596a4607,receive,0x1c7e294e6ace20ece17fb276c12781167d4db0af,ETH,0.000438602611
18/03/2024,15:21:21,op,0x071d52a2a6ca28385f8a66671493d26ceaa228d675b94beca88eeec410461893,https://optimistic.etherscan.io/tx/0x071d52a2a6ca28385f8a66671493d26ceaa228d675b94beca88eeec410461893,send,0x54af2c90cfdbfac2e09cc4c7d7bc6184cf1e344c,ETH,-0.000013811277184046
23/02/2024,00:36:47,bsc,0x2343c844dfc4f85d09483d19272011daad9bfb70122deabea950258d0014dc99,https://bscscan.com/tx/0x2343c844dfc4f85d09483d19272011daad9bfb70122deabea950258d0014dc99,send,0x57bb9d5701d7bbc5d58b4fa2aed3caa87f26767c,BNB,-0.031468228
02/02/2024,11:01:17,arb,0x9b4e9a8b3aa30996911841a1a0625d263ddd11fbed46ad6d26b1f1201d1a7b2c,https://arbiscan.io/tx/0x9b4e9a8b3aa30996911841a1a0625d263ddd11fbed46ad6d26b1f1201d1a7b2c,send,0x5ccef9021241e5045e7492a53445acb0547b33fb,ETH,-0.000017382990743557
02/02/2024,07:42:26,bsc,0x634a5a512117dd84474259f225889461c565dea41f980fc7c8042be2749aecf2,https://bscscan.com/tx/0x634a5a512117dd84474259f225889461c565dea41f980fc7c8042be2749aecf2,receive,0x5d13f6cee6776aff3d9529920b0b6fc5e040efaf,BNB,0.00263847622470258
09/02/2024,05:34:52,bsc,0x33355b13d86489d9c52db162fe35e75e8c69e6008be1aef0baf72c3ae7f58c01,https://bscscan.com/tx/0x33355b13d86489d9c52db162fe35e75e8c69e6008be1aef0baf72c3ae7f58c01,receive,0x78081992f545ff84764a625f487364ae9e76ef71,BNB,0.000063790228726564
20/03/2024,07:21:43,arb,0xfbaa721ec5e2bbbd68547319a1ee763976b1ab47755e7d01ea08db94c43c4ecd,https://arbiscan.io/tx/0xfbaa721ec5e2bbbd68547319a1ee763976b1ab47755e7d01ea08db94c43c4ecd,receive,0x8556a5d37a19854f230d5d3325c49cc605cea56f,ETH,0.000017909082879203
08/03/2024,19:53:29,matic,0x36c710eb641c2684fb2e260e1d1d1daf9138caf7b5e6b71e4983d64d9ed79428,https://polygonscan.com/tx/0x36c710eb641c2684fb2e260e1d1d1daf9138caf7b5e6b71e4983d64d9ed79428,send,0x8556a5d37a19854f230d5d3325c49cc605cea56f,MATIC,-0.01458776879055631
09/05/2024,04:00:06,mobm,0xb530a587a0514b6a0b8f8104ecb57f58089830129cca857e58911a9518bb4c6d,https://moonscan.io/tx/0xb530a587a0514b6a0b8f8104ecb57f58089830129cca857e58911a9518bb4c6d,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,GLMR,-0.03074815
17/04/2024,10:10:47,linea,0x803e471a2ae872bbb9d43fc7968319b2e68a3ee4f5456bc8f7544e7dab467003,https://lineascan.build/tx/0x803e471a2ae872bbb9d43fc7968319b2e68a3ee4f5456bc8f7544e7dab467003,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,0.000080666238597827
11/04/2024,03:56:15,op,0x941958bd69c7c4447a91745388a45427eca8037fa2fdbf52e9c140622827c65f,https://optimistic.etherscan.io/tx/0x941958bd69c7c4447a91745388a45427eca8037fa2fdbf52e9c140622827c65f,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,-0.00126313992688582
11/04/2024,03:54:41,op,0x13b9d56e3f55c24ce553b52ee5e00d6471f1fc0cb62ea9880258a3ae31b1d1ed,https://optimistic.etherscan.io/tx/0x13b9d56e3f55c24ce553b52ee5e00d6471f1fc0cb62ea9880258a3ae31b1d1ed,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,ETH,0.000218809675366009
07/04/2024,17:53:20,bsc,0x37a12368f43d7be023fa7ecf26c3dafe4db1f13b87c5c5c9d3fa1a166bcdaa4f,https://bscscan.com/tx/0x37a12368f43d7be023fa7ecf26c3dafe4db1f13b87c5c5c9d3fa1a166bcdaa4f,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,BNB,-0.000102195499991484
07/04/2024,17:52:59,bsc,0xf3ed48ff1338a33e26cef3a0a995e628448c27af3da1ddef506c4e6e490f7da8,https://bscscan.com/tx/0xf3ed48ff1338a33e26cef3a0a995e628448c27af3da1ddef506c4e6e490f7da8,send,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,USDT,-0.4170117265168169
07/04/2024,17:52:37,bsc,0xb35a283f7921797aab49159b957d70421f3e4157842f6a4c7283b4feea67fc90,https://bscscan.com/tx/0xb35a283f7921797aab49159b957d70421f3e4157842f6a4c7283b4feea67fc90,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,BNB,0.000102195499991484
07/04/2024,17:51:16,bsc,0xb32f7b613dc5a2518d1aeae4dab558ab7deb38d9b1818cac24cb19d7b5d4e177,https://bscscan.com/tx/0xb32f7b613dc5a2518d1aeae4dab558ab7deb38d9b1818cac24cb19d7b5d4e177,receive,0x9bac53cbfbb8c52f22e7e278c63ec7c4abf0593e,BNB,0.000272521333310623
