Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
14/01/2023,21:09:11,eth,0x34e03adfbd1dcd1164710a928ea7cf032960a5c03b63b6b027b0ede18aaf050f,https://etherscan.io/tx/0x34e03adfbd1dcd1164710a928ea7cf032960a5c03b63b6b027b0ede18aaf050f,send,0x038f718a92583cf2298ae751cd3b15f5b5595e0e,NA,-1
25/03/2023,13:21:23,eth,0x4145b3875ac567ba2d12ad0d8a2c3eb921d0af09bcb91cfdabbf20b5b669b731,https://etherscan.io/tx/0x4145b3875ac567ba2d12ad0d8a2c3eb921d0af09bcb91cfdabbf20b5b669b731,receive,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,NFDKEYS,1
06/02/2023,01:11:23,eth,0x2ee32c4aea98ddc7f735e108198be186068028d252a6e9244fb198a5c673bdad,https://etherscan.io/tx/0x2ee32c4aea98ddc7f735e108198be186068028d252a6e9244fb198a5c673bdad,send,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,ETH,-0.006
04/11/2022,05:38:27,bsc,0xc7a41c706275e9fca1da668afded5cdb66b7467a3b39efff501404686143fc0e,https://bscscan.com/tx/0xc7a41c706275e9fca1da668afded5cdb66b7467a3b39efff501404686143fc0e,receive,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,Cake,2.591385661540533
14/10/2022,17:09:59,eth,0x65206dacb510924a692be2cdc0cea5965588ff5362be2d413462239f3d82ab61,https://etherscan.io/tx/0x65206dacb510924a692be2cdc0cea5965588ff5362be2d413462239f3d82ab61,send,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,ETH,-0.008
06/01/2022,21:10:18,bsc,0xaac415f86cfe544a3fc8c97e1e2cf053b1ed4ba0b3faba0086f35ee9c6315c26,https://bscscan.com/tx/0xaac415f86cfe544a3fc8c97e1e2cf053b1ed4ba0b3faba0086f35ee9c6315c26,receive,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,IF,101
06/01/2022,20:31:29,bsc,0x728152510e0b1d078b3abe9a5b9b2a41e28fae89695771717810e61f16c69862,https://bscscan.com/tx/0x728152510e0b1d078b3abe9a5b9b2a41e28fae89695771717810e61f16c69862,receive,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,ETH,0.021074995565935624
06/01/2022,20:29:47,bsc,0xeffe51b0d4b5b44a514b379b25eba52fba97c6d9eb879dde9ca4cd7afa5b2fbe,https://bscscan.com/tx/0xeffe51b0d4b5b44a514b379b25eba52fba97c6d9eb879dde9ca4cd7afa5b2fbe,receive,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,OGS,8000
03/01/2022,21:34:30,bsc,0xe25879235e1f6efd1f048e047f67d54c563fb9c7d745156ae7b241d15103fa4b,https://bscscan.com/tx/0xe25879235e1f6efd1f048e047f67d54c563fb9c7d745156ae7b241d15103fa4b,send,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,BUSD,-200
13/12/2021,08:38:27,bsc,0x0671756707b562e65c7edb1d9190943b69957bff792414379744154be00f19eb,https://bscscan.com/tx/0x0671756707b562e65c7edb1d9190943b69957bff792414379744154be00f19eb,send,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,BNB,-0.17
13/12/2021,08:38:15,bsc,0xa96d31d1062425971ba7b9d76225c9991980caf4b0a6e8e3fb1867ae9e078eaf,https://bscscan.com/tx/0xa96d31d1062425971ba7b9d76225c9991980caf4b0a6e8e3fb1867ae9e078eaf,send,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,BNB,-0.17
28/11/2021,18:44:47,bsc,0x26ac5c9ddf8e0f40837a0d22e0ce05c0fc4227751bc156af30f6905266d3f73f,https://bscscan.com/tx/0x26ac5c9ddf8e0f40837a0d22e0ce05c0fc4227751bc156af30f6905266d3f73f,send,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,BNB,-0.27
28/09/2021,19:32:31,bsc,0x934dc2e6f6b37e5388d164e3edcb6f1a07c68aae3ab200d728f72745df661473,https://bscscan.com/tx/0x934dc2e6f6b37e5388d164e3edcb6f1a07c68aae3ab200d728f72745df661473,send,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,BNB,-0.0003
26/09/2021,17:50:49,eth,0x0472305e2653bf719449c75e3221f10b7d834f2fa4823da1ab831dca1e17bc6b,https://etherscan.io/tx/0x0472305e2653bf719449c75e3221f10b7d834f2fa4823da1ab831dca1e17bc6b,send,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,ETH,-0.009
26/09/2021,17:13:15,eth,0xa4cac8a227aeabbb296056c183e83b215a73d835b1690618f43a527952789635,https://etherscan.io/tx/0xa4cac8a227aeabbb296056c183e83b215a73d835b1690618f43a527952789635,send,0x0620c318efbdce7cf6b3dbde027d076b9aca00ca,USDT,-501
25/03/2023,13:23:47,eth,0x23c6c6e4eab6b9fc4b1da85872f43520e3102ebc6da551d9a55d070bebdd1a79,https://etherscan.io/tx/0x23c6c6e4eab6b9fc4b1da85872f43520e3102ebc6da551d9a55d070bebdd1a79,receive,0x102847ae2bb1cf59335516da263d5fb50e1ac4c8,NFDKEYS,1
31/01/2023,12:52:02,matic,0x963c8d868a45a735a3fc350af0f083e6bf9c88593ff88dc071b643095f4b609f,https://polygonscan.com/tx/0x963c8d868a45a735a3fc350af0f083e6bf9c88593ff88dc071b643095f4b609f,receive,0x102847ae2bb1cf59335516da263d5fb50e1ac4c8,MATIC,0.6
18/09/2022,01:18:23,eth,0xb718413554904ce6165305c99a9f20534859aed643b0e5567b0f3e8b331e3382,https://etherscan.io/tx/0xb718413554904ce6165305c99a9f20534859aed643b0e5567b0f3e8b331e3382,receive,0x102847ae2bb1cf59335516da263d5fb50e1ac4c8,ETH,0.06427661354560858
27/08/2022,05:56:03,eth,0x8cd4ca5dc4a7d2e5907f8c5ca40de4d4db8df32a36e4b5a2ea681ccbd13a666e,https://etherscan.io/tx/0x8cd4ca5dc4a7d2e5907f8c5ca40de4d4db8df32a36e4b5a2ea681ccbd13a666e,send,0x102847ae2bb1cf59335516da263d5fb50e1ac4c8,POC,-1
18/09/2022,01:28:23,eth,0x7f19817f524312180ebbd0377e2e41db935077fdc8574e20b70d62024a7c16c6,https://etherscan.io/tx/0x7f19817f524312180ebbd0377e2e41db935077fdc8574e20b70d62024a7c16c6,receive,0x147110680d6ec14c46a8542ae7eddab05c74da0d,ETH,0.06717593392590789
26/08/2022,09:39:15,eth,0x5a0c52c525964fc34b0fae225744e50cedfcdfde04310d8cdca98fcae4c04bd0,https://etherscan.io/tx/0x5a0c52c525964fc34b0fae225744e50cedfcdfde04310d8cdca98fcae4c04bd0,send,0x147110680d6ec14c46a8542ae7eddab05c74da0d,POC,-1
16/03/2023,07:09:31,arb,0xac8de74269f3d2b811401fc6a93a4714f298b6175e4e747538b897a4129c87e5,https://arbiscan.io/tx/0xac8de74269f3d2b811401fc6a93a4714f298b6175e4e747538b897a4129c87e5,receive,0x36d56bafb2f0c7383c641faa4854f281dfcf8352,ETH,0.01003978610607511
01/03/2023,22:28:23,eth,0x389218c35a0769d1a0dbcbf2f01e283233beeb802f501c4676f6d8279f72998e,https://etherscan.io/tx/0x389218c35a0769d1a0dbcbf2f01e283233beeb802f501c4676f6d8279f72998e,send,0x36d56bafb2f0c7383c641faa4854f281dfcf8352,ETH,-0.12
15/02/2023,19:47:35,eth,0x95f77f82be48728417229ebfd3736ccc53bb2973553331aba3cebd3aae4d7398,https://etherscan.io/tx/0x95f77f82be48728417229ebfd3736ccc53bb2973553331aba3cebd3aae4d7398,receive,0x36d56bafb2f0c7383c641faa4854f281dfcf8352,ETH,0.025154790307593
06/02/2023,02:12:47,eth,0x2ccbb7210e980c93f69c088738dc270be9f4ad42768812be08d1167ff126e57b,https://etherscan.io/tx/0x2ccbb7210e980c93f69c088738dc270be9f4ad42768812be08d1167ff126e57b,receive,0x36d56bafb2f0c7383c641faa4854f281dfcf8352,ETH,0.001590011645893384
06/02/2023,01:08:59,eth,0x45ee0b8972f190c4501984a0bb770072966b5b1c8f6deb36678060f50c173126,https://etherscan.io/tx/0x45ee0b8972f190c4501984a0bb770072966b5b1c8f6deb36678060f50c173126,send,0x36d56bafb2f0c7383c641faa4854f281dfcf8352,ETH,-0.006
04/02/2023,15:20:59,eth,0xe1a6c2fe09151d7bf5a1d9c5a53e19d23a57a1708f662b392b899fd59662dffc,https://etherscan.io/tx/0xe1a6c2fe09151d7bf5a1d9c5a53e19d23a57a1708f662b392b899fd59662dffc,receive,0x36d56bafb2f0c7383c641faa4854f281dfcf8352,ETH,0.002508044530036891
