Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
30/06/2023,07:24:07,arb,0x42196200bffb23baf366b5546937173f9e2ca706dfceb284388c2f767eddfa55,https://arbiscan.io/tx/0x42196200bffb23baf366b5546937173f9e2ca706dfceb284388c2f767eddfa55,receive,0x00afd9cea52b3831464abeff31f647aaf01e2a59,ETH,0.000913975133140079
29/06/2023,17:38:17,bsc,0x80620f6bd9fae93c46a42fee2098522ae7458c3ccf8de6d638ca0d8abc048c55,https://bscscan.com/tx/0x80620f6bd9fae93c46a42fee2098522ae7458c3ccf8de6d638ca0d8abc048c55,receive,0x00afd9cea52b3831464abeff31f647aaf01e2a59,BNB,0.026
29/06/2023,17:36:59,bsc,0x6f6720c04f4218d7691a8c9fa97b4ca9d82bb224626e268502cd2e250e0c463d,https://bscscan.com/tx/0x6f6720c04f4218d7691a8c9fa97b4ca9d82bb224626e268502cd2e250e0c463d,send,0x00afd9cea52b3831464abeff31f647aaf01e2a59,BNB,-0.002
09/05/2023,05:00:26,arb,0x3a08d7dd16d7607f5f21d6a6f70d0b3dda452a91d6a3dd2161f0e4f71a023301,https://arbiscan.io/tx/0x3a08d7dd16d7607f5f21d6a6f70d0b3dda452a91d6a3dd2161f0e4f71a023301,send,0x00afd9cea52b3831464abeff31f647aaf01e2a59,ETH,-0.000447796960865076
23/04/2023,17:17:23,bsc,0xc69124a8a1b4d0d660fe9174c6c2c1f55aaccfb0a8c4e6b7724ea74fca57e405,https://bscscan.com/tx/0xc69124a8a1b4d0d660fe9174c6c2c1f55aaccfb0a8c4e6b7724ea74fca57e405,receive,0x00afd9cea52b3831464abeff31f647aaf01e2a59,BNB,0.001638674344110337
07/04/2023,05:47:15,arb,0x7d82f3d14d9716096fea1e735a95fff14ca6028eade286df7d49e05b7a9dbccc,https://arbiscan.io/tx/0x7d82f3d14d9716096fea1e735a95fff14ca6028eade286df7d49e05b7a9dbccc,send,0x00afd9cea52b3831464abeff31f647aaf01e2a59,ETH,-0.0005
29/03/2023,05:09:31,matic,0x34894e7d6299a1ec9e83d05a32997b385feb19fdec317c8596164fb66bbc9ead,https://polygonscan.com/tx/0x34894e7d6299a1ec9e83d05a32997b385feb19fdec317c8596164fb66bbc9ead,receive,0x00afd9cea52b3831464abeff31f647aaf01e2a59,MATIC,61.99718609680206
23/03/2023,06:27:10,arb,0x6a1155309c1eef8ae3bc2a2f9abcb7e4a5f97512909ec46a0d9832f6596447f5,https://arbiscan.io/tx/0x6a1155309c1eef8ae3bc2a2f9abcb7e4a5f97512909ec46a0d9832f6596447f5,receive,0x00afd9cea52b3831464abeff31f647aaf01e2a59,ETH,0.002790918004154642
20/03/2023,08:59:48,arb,0xa630e9dd2baaea273ce07146bf2958b589d15102202a34bcc4e0fea7ec62c803,https://arbiscan.io/tx/0xa630e9dd2baaea273ce07146bf2958b589d15102202a34bcc4e0fea7ec62c803,receive,0x00afd9cea52b3831464abeff31f647aaf01e2a59,ETH,0.003
20/03/2023,08:58:35,arb,0x35c53a1b32fd36fa11e224fde454a99a412736bc85157f93d17346ad2c43c695,https://arbiscan.io/tx/0x35c53a1b32fd36fa11e224fde454a99a412736bc85157f93d17346ad2c43c695,receive,0x00afd9cea52b3831464abeff31f647aaf01e2a59,USDC,114.50048
