Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
04/08/2023,14:26:52,linea,0xa5341a887e466196b38b1fd89c3fb2e8792c68666facda4edd5ae940873fe39e,https://lineascan.build/tx/0xa5341a887e466196b38b1fd89c3fb2e8792c68666facda4edd5ae940873fe39e,receive,0x04919c199bf7645cf5a4e75af03eb0653ff5b7ed,ETH,0.003
15/02/2022,22:07:24,bsc,0x85128602a4e909a3412fbb332f2590e1d8f3091334514b74e527d59afea2a715,https://bscscan.com/tx/0x85128602a4e909a3412fbb332f2590e1d8f3091334514b74e527d59afea2a715,receive,0x04919c199bf7645cf5a4e75af03eb0653ff5b7ed,BUSD,101.4286289806064
15/02/2022,20:17:29,bsc,0x7b2fe5bd4894c813304315882dc4f32ae592d38a904b1a19408fc44ec85249e8,https://bscscan.com/tx/0x7b2fe5bd4894c813304315882dc4f32ae592d38a904b1a19408fc44ec85249e8,send,0x04919c199bf7645cf5a4e75af03eb0653ff5b7ed,BUSD,-11
15/02/2022,15:25:23,bsc,0x3d4bb0c95308377be29d356aa88c4d40ceee660b9f31e35ebab85e516b305887,https://bscscan.com/tx/0x3d4bb0c95308377be29d356aa88c4d40ceee660b9f31e35ebab85e516b305887,send,0x04919c199bf7645cf5a4e75af03eb0653ff5b7ed,BNB,-0.007
06/07/2023,14:40:27,bsc,0x8ed4b3341b50999135e146c3f9a10c743572ef6424a19587c01ce2c180a2a4be,https://bscscan.com/tx/0x8ed4b3341b50999135e146c3f9a10c743572ef6424a19587c01ce2c180a2a4be,send,0x0b7fb107d89c68d7a67c6d1ff19afeec094c1937,BNB,-0.003
12/07/2022,20:46:55,bsc,0xab9035789ea94d7cf442d78c57a6619b37791db2149879cdbab17e6622ecd16b,https://bscscan.com/tx/0xab9035789ea94d7cf442d78c57a6619b37791db2149879cdbab17e6622ecd16b,send,0x1efc8e20f0fa04fea1e0e1f1d8fb8df15340036d,BNB,-0.00194927
10/05/2022,14:28:28,bsc,0x715393394986867f8a03e950baacfe3ad96f7eaf82be0b8e738efc40bc1abc47,https://bscscan.com/tx/0x715393394986867f8a03e950baacfe3ad96f7eaf82be0b8e738efc40bc1abc47,receive,0x1efc8e20f0fa04fea1e0e1f1d8fb8df15340036d,BUSD,31.923746876265113
10/05/2022,14:24:07,bsc,0xf22cf58c853a18a87a07c95dfa6b13bb8ea88d56efe67f19a4a2ae4c8675a0a9,https://bscscan.com/tx/0xf22cf58c853a18a87a07c95dfa6b13bb8ea88d56efe67f19a4a2ae4c8675a0a9,send,0x1efc8e20f0fa04fea1e0e1f1d8fb8df15340036d,BNB,-0.001
10/04/2022,01:09:07,bsc,0x1288bf58b33567ecae821182a1722e83776855b4cc4b9b8285bf50bfc2e10b72,https://bscscan.com/tx/0x1288bf58b33567ecae821182a1722e83776855b4cc4b9b8285bf50bfc2e10b72,receive,0x1efc8e20f0fa04fea1e0e1f1d8fb8df15340036d,BUSD,23.146749326797412
07/03/2022,17:49:30,bsc,0x4a45ab0d6f2a9dcc13440aa13100c164d3ec76de0c838004001b5573d17bbf34,https://bscscan.com/tx/0x4a45ab0d6f2a9dcc13440aa13100c164d3ec76de0c838004001b5573d17bbf34,receive,0x1efc8e20f0fa04fea1e0e1f1d8fb8df15340036d,BUSD,42
07/03/2022,15:20:32,bsc,0x0dd402d611b45295b646a313df125951062a14b0b4668c7d53a3d092ce994b14,https://bscscan.com/tx/0x0dd402d611b45295b646a313df125951062a14b0b4668c7d53a3d092ce994b14,send,0x1efc8e20f0fa04fea1e0e1f1d8fb8df15340036d,BNB,-0.004
04/03/2022,18:22:59,bsc,0x87404a2643a05691258c8bf459a2d82f895f985b4d70472b1799f416cd88023d,https://bscscan.com/tx/0x87404a2643a05691258c8bf459a2d82f895f985b4d70472b1799f416cd88023d,send,0x1efc8e20f0fa04fea1e0e1f1d8fb8df15340036d,BNB,-0.005
04/03/2022,18:22:35,bsc,0x235f97295dde18d9b61201d643a5dec7ac8c8e69374db9c4f96746f78b8ff524,https://bscscan.com/tx/0x235f97295dde18d9b61201d643a5dec7ac8c8e69374db9c4f96746f78b8ff524,send,0x1efc8e20f0fa04fea1e0e1f1d8fb8df15340036d,BUSD,-101
20/05/2023,03:26:21,op,0x950398328719f9bbce99be743ff88c1c2eb4c0a42998e3c13525b4092a429956,https://optimistic.etherscan.io/tx/0x950398328719f9bbce99be743ff88c1c2eb4c0a42998e3c13525b4092a429956,send,0x2774f44781f94c5140785405a4e99498b317ecf0,ETH,-0.0003
14/11/2022,19:03:00,arb,0x4957c2414baef5f19825ab93e6cfe92e3637bda23ec8bc811606bce9b6327db2,https://arbiscan.io/tx/0x4957c2414baef5f19825ab93e6cfe92e3637bda23ec8bc811606bce9b6327db2,receive,0x3d39ca0ac57ca52becf494a523ae8666c9ef7318,ETH,0.028948201175
