Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
29/11/2022,16:36:40,matic,0xde95197f9be390c269e0b532a488327153b5b072bfe0a8497474e73a0c7e9c85,https://polygonscan.com/tx/0xde95197f9be390c269e0b532a488327153b5b072bfe0a8497474e73a0c7e9c85,send,0x14ff0bc9417b6796f79768729002a793b51205b8,USDC,-0.5
17/02/2024,19:31:27,arb,0xdd5ba7405e1ce7957917b356151b2cfd6c496f165e9bbbd1206f2bd90bb5b408,https://arbiscan.io/tx/0xdd5ba7405e1ce7957917b356151b2cfd6c496f165e9bbbd1206f2bd90bb5b408,receive,0x1a449f52a49fb17345bdff2e4a06e84be71fa22c,USDT,48
01/02/2024,19:08:07,bsc,0x016b19751f832141d860a51e6057ffd1806bc15a3d64c31cb2a069f35624920e,https://bscscan.com/tx/0x016b19751f832141d860a51e6057ffd1806bc15a3d64c31cb2a069f35624920e,receive,0x1a449f52a49fb17345bdff2e4a06e84be71fa22c,USDT,8
25/01/2024,22:14:51,bsc,0x0d570fa03786b99a28638ba28012343df66fd5c237c94ff73ab70e71d0c4772b,https://bscscan.com/tx/0x0d570fa03786b99a28638ba28012343df66fd5c237c94ff73ab70e71d0c4772b,receive,0x1a449f52a49fb17345bdff2e4a06e84be71fa22c,USDT,26
30/11/2023,22:33:58,arb,0x6c5595cd725839291f38a3271d594a82d97514d19fd7e1aa016b9a8404e7510a,https://arbiscan.io/tx/0x6c5595cd725839291f38a3271d594a82d97514d19fd7e1aa016b9a8404e7510a,send,0x1a449f52a49fb17345bdff2e4a06e84be71fa22c,USDT,-30
24/04/2023,01:13:54,bsc,0x59ce2450da4f342319082dd4b13734e17802fd5ce229b11ac01a5771756de4e7,https://bscscan.com/tx/0x59ce2450da4f342319082dd4b13734e17802fd5ce229b11ac01a5771756de4e7,receive,0x1a449f52a49fb17345bdff2e4a06e84be71fa22c,USDT,20
24/04/2023,01:10:00,arb,0x04af15e3b0efb55853f449d9be9709c3af43510d52873466c079116ff4185de1,https://arbiscan.io/tx/0x04af15e3b0efb55853f449d9be9709c3af43510d52873466c079116ff4185de1,send,0x1a449f52a49fb17345bdff2e4a06e84be71fa22c,USDC,-120
13/04/2023,00:19:05,arb,0x929701622481c030808b684018bb0a80d404db7b96d4f8fc61c92d8e13454016,https://arbiscan.io/tx/0x929701622481c030808b684018bb0a80d404db7b96d4f8fc61c92d8e13454016,send,0x1a449f52a49fb17345bdff2e4a06e84be71fa22c,USDT,-16.5
10/02/2024,16:57:03,bsc,0x9d371cadc8388461128956480711b1894720643b11c3a4c6f1e9b32170a6f6d3,https://bscscan.com/tx/0x9d371cadc8388461128956480711b1894720643b11c3a4c6f1e9b32170a6f6d3,send,0x1f101e87007f645b54befeef707d209c400807e5,USDT,-28
08/04/2022,23:44:21,bsc,0x18fade6a267658609be00ddae775a54c833d7ae594592a59b4549136e6f03e16,https://bscscan.com/tx/0x18fade6a267658609be00ddae775a54c833d7ae594592a59b4549136e6f03e16,receive,0x2452d73874081bf1abfdf6f96cfcd6628dc1a654,IDIA,64
