Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
30/12/2022,22:02:59,op,0x35a9a77ee90f1134acdf9c1004ba270d652ddbd539fa1847899ec3371e43c437,https://optimistic.etherscan.io/tx/0x35a9a77ee90f1134acdf9c1004ba270d652ddbd539fa1847899ec3371e43c437,send,0x0172425c9c7927ba5bfffce42d418afc556296e2,ETH,-0.00419
15/12/2022,03:09:19,op,0x270934ebde54a161ace16cfbb57584a4332495b8c928e322d9089dce5c67195d,https://optimistic.etherscan.io/tx/0x270934ebde54a161ace16cfbb57584a4332495b8c928e322d9089dce5c67195d,send,0x0172425c9c7927ba5bfffce42d418afc556296e2,ETH,-0.012
04/09/2022,22:11:30,eth,0x9d94a881035d688dcd4d81816a433c262fc5483ed2e3600d773e9c49ea706a1b,https://etherscan.io/tx/0x9d94a881035d688dcd4d81816a433c262fc5483ed2e3600d773e9c49ea706a1b,send,0x0172425c9c7927ba5bfffce42d418afc556296e2,ETH,-0.02
18/12/2021,05:01:11,matic,0x1283e7765a2eb050e309110e710df47525f07baf88d2bc255297ff47ccae084e,https://polygonscan.com/tx/0x1283e7765a2eb050e309110e710df47525f07baf88d2bc255297ff47ccae084e,send,0x0172425c9c7927ba5bfffce42d418afc556296e2,MATIC,-1
30/12/2022,23:05:09,bsc,0xe4b022c93a746dea73ca9e72ea60f64ee776416fcc76ab7af5576b453766c85a,https://bscscan.com/tx/0xe4b022c93a746dea73ca9e72ea60f64ee776416fcc76ab7af5576b453766c85a,send,0x022c9fe28b86e4c5e4cebbc7333103f582354586,FRONT,-57
29/12/2022,20:04:27,bsc,0x2f85229e2a3df3cf4d3170c4f52ecd1aa00899f6222f273c88ae75b142e0a34a,https://bscscan.com/tx/0x2f85229e2a3df3cf4d3170c4f52ecd1aa00899f6222f273c88ae75b142e0a34a,send,0x022c9fe28b86e4c5e4cebbc7333103f582354586,USDT,-49.999999
28/12/2022,21:18:26,bsc,0xb6ccc6f7dd8acaf22ee2414889c403f8d549035ec3105582040640e8fbb50ebe,https://bscscan.com/tx/0xb6ccc6f7dd8acaf22ee2414889c403f8d549035ec3105582040640e8fbb50ebe,send,0x022c9fe28b86e4c5e4cebbc7333103f582354586,USDT,-5
06/04/2024,15:15:11,eth,0xed664d92299afe9bd5b46ab23e89714a8d5eee4e8d3c43c52c7650d1cdf3d37d,https://etherscan.io/tx/0xed664d92299afe9bd5b46ab23e89714a8d5eee4e8d3c43c52c7650d1cdf3d37d,receive,0x03b121bb5c2c35c97c6bc6fa329474875fbe4ca3,ETH,0.001267511181921
04/11/2022,00:43:24,bsc,0xd7e21eeb0a26a012fa53160910380b4162b82f912af3a77a6640d898c351ca71,https://bscscan.com/tx/0xd7e21eeb0a26a012fa53160910380b4162b82f912af3a77a6640d898c351ca71,send,0x03d28946b1e40b3ed410a6adcc68f75b9fc02a01,BNB,-0.003
21/03/2023,18:47:29,op,0xe6c2febd7d70de4c367435ebe3df653cf1099a43704b0c431487dffbb3d49f81,https://optimistic.etherscan.io/tx/0xe6c2febd7d70de4c367435ebe3df653cf1099a43704b0c431487dffbb3d49f81,send,0x1122180c9a9ea776f27b2b91a4b9dc1a8a9fe5ed,OP,-4
21/03/2023,18:46:59,op,0xd1e729cf48969ef323aebc887a460cfbca53e94cc575b8f7709a004dc530b2cb,https://optimistic.etherscan.io/tx/0xd1e729cf48969ef323aebc887a460cfbca53e94cc575b8f7709a004dc530b2cb,send,0x1122180c9a9ea776f27b2b91a4b9dc1a8a9fe5ed,OP,-6
18/12/2022,01:38:45,arb,0x115059e246d28c0c8876ac60358f502c4af5c1ce3d1dccb52fcbb9ec5e8af56f,https://arbiscan.io/tx/0x115059e246d28c0c8876ac60358f502c4af5c1ce3d1dccb52fcbb9ec5e8af56f,send,0x1122180c9a9ea776f27b2b91a4b9dc1a8a9fe5ed,ETH,-0.0085
02/12/2022,19:23:59,bsc,0x521a46d393c8880e45b7c75fb213b9fdeb2c6c6da11b63d5f5730cea82fe40eb,https://bscscan.com/tx/0x521a46d393c8880e45b7c75fb213b9fdeb2c6c6da11b63d5f5730cea82fe40eb,send,0x13caa37a6c70e2a185ae5de9dc5809827f2ce8ea,BUSD,-33
06/12/2021,05:29:42,bsc,0x2c7a687af491c2cfd7b12859b1b2749c96163174b8579593350e2ae6c81cf8ef,https://bscscan.com/tx/0x2c7a687af491c2cfd7b12859b1b2749c96163174b8579593350e2ae6c81cf8ef,send,0x13caa37a6c70e2a185ae5de9dc5809827f2ce8ea,BUSD,-51
30/11/2021,01:41:46,bsc,0x40cf5ea63108368d141fdacefb9cd7de4b2fc83f897c1caad52162dfaeb7c45c,https://bscscan.com/tx/0x40cf5ea63108368d141fdacefb9cd7de4b2fc83f897c1caad52162dfaeb7c45c,send,0x13caa37a6c70e2a185ae5de9dc5809827f2ce8ea,BNB,-0.02
30/11/2021,01:39:42,bsc,0xd242ac722909e57c1185fd2e9d453753d1a8ab5a0389ca6e0022c1bcb056ec38,https://bscscan.com/tx/0xd242ac722909e57c1185fd2e9d453753d1a8ab5a0389ca6e0022c1bcb056ec38,send,0x13caa37a6c70e2a185ae5de9dc5809827f2ce8ea,LPOOL,-199.0828319547874
30/11/2021,00:20:21,bsc,0xc560af09245e65485c89857c09055ff108c3ad97286deebc8a114ba627825116,https://bscscan.com/tx/0xc560af09245e65485c89857c09055ff108c3ad97286deebc8a114ba627825116,send,0x13caa37a6c70e2a185ae5de9dc5809827f2ce8ea,LPOOL,-85.55360280075438
10/09/2023,12:09:47,eth,0x415721f088a3eb191b1aa4dceab0b6fd25071f1e77c12d47a6be122ab01822f3,https://etherscan.io/tx/0x415721f088a3eb191b1aa4dceab0b6fd25071f1e77c12d47a6be122ab01822f3,send,0x14ff0bc9417b6796f79768729002a793b51205b8,swETH,-1.5068081014476635
07/03/2024,19:40:49,arb,0x1af40655d73bf9862062af5e47104ef656de0e12d0d85c8d539c1e26284343f3,https://arbiscan.io/tx/0x1af40655d73bf9862062af5e47104ef656de0e12d0d85c8d539c1e26284343f3,receive,0x16612bdb3a6627497de3bc848d46a3694624036c,ETH,0.000577956720056435
11/02/2024,03:13:59,matic,0xb824a4e4ea27193d47a13bb38c4e7c844137f3e485d93ce645c5f1f38c9e7c0b,https://polygonscan.com/tx/0xb824a4e4ea27193d47a13bb38c4e7c844137f3e485d93ce645c5f1f38c9e7c0b,receive,0x16612bdb3a6627497de3bc848d46a3694624036c,MATIC,0.977938605654818
03/09/2022,05:51:28,eth,0x02e91cd9cb263e3fef4e51a33146b69ec4052324fb6c2358e28d204f34f00b3b,https://etherscan.io/tx/0x02e91cd9cb263e3fef4e51a33146b69ec4052324fb6c2358e28d204f34f00b3b,receive,0x16612bdb3a6627497de3bc848d46a3694624036c,USDT,456.324947
03/09/2022,05:42:20,eth,0x29196ee3fe71cf791e2badb549614473ad84e57ea8de0df1ff445730415a11d1,https://etherscan.io/tx/0x29196ee3fe71cf791e2badb549614473ad84e57ea8de0df1ff445730415a11d1,send,0x16612bdb3a6627497de3bc848d46a3694624036c,ETH,-0.32
17/01/2022,22:48:27,matic,0x4542c055ff69aa7f9eee52afc3516fb650db1ec8ea1724bd37024c6b3310cf51,https://polygonscan.com/tx/0x4542c055ff69aa7f9eee52afc3516fb650db1ec8ea1724bd37024c6b3310cf51,send,0x16612bdb3a6627497de3bc848d46a3694624036c,MATIC,-1
26/04/2022,02:44:30,matic,0xaed24596f70f0256cc61e5f52e96142faaf5cc3ff20bad5d2d4e04ee4950e546,https://polygonscan.com/tx/0xaed24596f70f0256cc61e5f52e96142faaf5cc3ff20bad5d2d4e04ee4950e546,receive,0x1c248e966e9ad0b0569b78cc20b99509ea3eac97,MATIC,2
25/12/2021,18:00:04,bsc,0x275d455e3e94102e5c4bde08f452d2fabd12e2356731078b139b6549b834a42e,https://bscscan.com/tx/0x275d455e3e94102e5c4bde08f452d2fabd12e2356731078b139b6549b834a42e,send,0x22b60248c77fb0cdf3f442b328dd5dedf3cbc70c,HOTDOG,-824.5
10/04/2024,17:22:59,eth,0xa46455cd54e680253038292f8325ffa0fb0f527e5f6a716cadbd340d0e1b1a06,https://etherscan.io/tx/0xa46455cd54e680253038292f8325ffa0fb0f527e5f6a716cadbd340d0e1b1a06,receive,0x25270a83e0c667635cedbe7fbc00583fcfbf2e84,ETH,0.000397472931009543
