Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
24/01/2024,12:10:23,matic,0x9d847151a44c156e439c088b256f1d4410181152ddd1cd44cc410aa6df574f5c,https://polygonscan.com/tx/0x9d847151a44c156e439c088b256f1d4410181152ddd1cd44cc410aa6df574f5c,receive,0x02b8096a91e5dbd855ef2d442ccb87fa6477d7c7,USDT,18
23/01/2024,00:53:09,matic,0x8c982a9604604353356b5bf4aedb400674608beb6c8eb52e92d5568a77e786ae,https://polygonscan.com/tx/0x8c982a9604604353356b5bf4aedb400674608beb6c8eb52e92d5568a77e786ae,receive,0x062b1073a5c0e04aad078c7a8806b8a78083bd22,MATIC,0.475
23/01/2024,14:32:05,matic,0xfe58f111e9eec1aa400e5ba1820edfc006d817aec49040d1e389adc9acdf24ac,https://polygonscan.com/tx/0xfe58f111e9eec1aa400e5ba1820edfc006d817aec49040d1e389adc9acdf24ac,receive,0x06cb5652a1d8b791627a7bfe2a84f0802b976f69,MATIC,26
23/01/2024,04:38:03,matic,0x2391367796d914126b195bd7a2bd043f10e71f7e5295e829d433ac34d2975a59,https://polygonscan.com/tx/0x2391367796d914126b195bd7a2bd043f10e71f7e5295e829d433ac34d2975a59,receive,0x0793946d8d729c95e63c6fb40dbd6a1702187c51,MATIC,0.056999999999999995
22/01/2024,12:54:46,matic,0xa7aa2527c5465fb8142266103bf23a10d4d6f9ed9effcc73aa2331f980ddc3bf,https://polygonscan.com/tx/0xa7aa2527c5465fb8142266103bf23a10d4d6f9ed9effcc73aa2331f980ddc3bf,receive,0x0bc0ee9ab69f9a2fd46bbbd98dfe228e0452b520,MATIC,0.0003135
24/01/2024,04:25:59,matic,0xed015e80d7755b876ea617335374af0b047341ed424f741d179c5c94558e304c,https://polygonscan.com/tx/0xed015e80d7755b876ea617335374af0b047341ed424f741d179c5c94558e304c,receive,0x0d2349e291a9e0bb755bffa4097e6d378a72330b,MATIC,1.615
25/01/2024,01:03:01,matic,0x9c375ac0ec75ec94d2c306ab9245390fd637925d83a5c54b99c32c81e004a90f,https://polygonscan.com/tx/0x9c375ac0ec75ec94d2c306ab9245390fd637925d83a5c54b99c32c81e004a90f,receive,0x0d5263094cedfd5640ac91a498f325193fd5e742,MATIC,0.95
21/01/2024,09:35:13,matic,0x4a35531a1741a90287f5f93ebec2e908983848ee00ec9e498d16d3650deaa818,https://polygonscan.com/tx/0x4a35531a1741a90287f5f93ebec2e908983848ee00ec9e498d16d3650deaa818,receive,0x0d998071eb7685bec3913a24d84dae65d840f777,MATIC,1.425
24/01/2024,18:47:57,matic,0x21d7800e7f6656577feea4a6d7c05e647e89d63a8f879d42984fca77a52b993e,https://polygonscan.com/tx/0x21d7800e7f6656577feea4a6d7c05e647e89d63a8f879d42984fca77a52b993e,receive,0x121afa099a9f01bb0f434d147907b011e4ee8d33,MATIC,14.3
22/01/2024,15:21:21,matic,0x9c54a6e21d4211284418364b66185943cb81fdbcb047159d3b2c4af58b19c8c6,https://polygonscan.com/tx/0x9c54a6e21d4211284418364b66185943cb81fdbcb047159d3b2c4af58b19c8c6,receive,0x127af28f3757eaf72511f3752c00b8cd6184ed88,USDT,30
16/01/2024,20:01:40,matic,0xa9331a0ed5b9780b35a35aab639b677e4de1d1bf42f6165a10444fd4e4634aac,https://polygonscan.com/tx/0xa9331a0ed5b9780b35a35aab639b677e4de1d1bf42f6165a10444fd4e4634aac,receive,0x127af28f3757eaf72511f3752c00b8cd6184ed88,MATIC,0.2
23/01/2024,23:33:54,matic,0x1b6e27f042eb7ef209199652c41b42406c2b46c01fb52c39b5b272cff8a7ab7b,https://polygonscan.com/tx/0x1b6e27f042eb7ef209199652c41b42406c2b46c01fb52c39b5b272cff8a7ab7b,receive,0x12a9e4d79f53ecd45e18443ecb1c75a9cb5ccfe8,USDT,15
19/01/2024,22:40:36,matic,0x4856b346c29b30b1fd22f84705d0651970fcd7ed42bf576f5a415b150cd052d4,https://polygonscan.com/tx/0x4856b346c29b30b1fd22f84705d0651970fcd7ed42bf576f5a415b150cd052d4,receive,0x12a9e4d79f53ecd45e18443ecb1c75a9cb5ccfe8,MATIC,2.4
23/01/2024,14:03:56,matic,0x9e63e3dd537f30056f16a7b91eaef7175758e67d845aa2854bd51d19b618d429,https://polygonscan.com/tx/0x9e63e3dd537f30056f16a7b91eaef7175758e67d845aa2854bd51d19b618d429,receive,0x13086a486ec2b8da4836cad219abebf644783761,USDT,9
16/01/2024,20:44:26,matic,0x956692ce863c096cf217c51ef8c4afd3f71f268b393e9a3c6880394074a4793f,https://polygonscan.com/tx/0x956692ce863c096cf217c51ef8c4afd3f71f268b393e9a3c6880394074a4793f,receive,0x13086a486ec2b8da4836cad219abebf644783761,MATIC,0.2
16/01/2024,20:41:04,matic,0xf5652770ff5d32f89b3634d07d9410e49aa0a0b6a0314e23100bc263d0c935e6,https://polygonscan.com/tx/0xf5652770ff5d32f89b3634d07d9410e49aa0a0b6a0314e23100bc263d0c935e6,receive,0x13086a486ec2b8da4836cad219abebf644783761,MATIC,0.2
23/01/2024,04:53:40,matic,0x2f7a35ee309c44232bd015b02955458427ab7757d1aedca6d96a71c208207736,https://polygonscan.com/tx/0x2f7a35ee309c44232bd015b02955458427ab7757d1aedca6d96a71c208207736,receive,0x180f844f8c51f19cc1d31a277a1f5f09a0c57ca1,MATIC,0.000475
