Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
14/07/2023,22:30:47,eth,0x8ce4ed23fdb9b4c993f3683f5e0adc77c80b85b4dc41632420bf8869f878d62a,https://etherscan.io/tx/0x8ce4ed23fdb9b4c993f3683f5e0adc77c80b85b4dc41632420bf8869f878d62a,send,0x023a9e71848964720aa938d50f1232d34f46b470,ETH,-0.41
14/07/2023,22:30:23,eth,0x7eef75618c0d617d81a755e2869be29cbc20a5434144cecb487e25824275f14f,https://etherscan.io/tx/0x7eef75618c0d617d81a755e2869be29cbc20a5434144cecb487e25824275f14f,send,0x023a9e71848964720aa938d50f1232d34f46b470,USDT,-700.927689
23/03/2023,22:44:28,arb,0xde7698a211944cda7dbb15d154de1205933908f8181e86ca60b3b6a440a6929a,https://arbiscan.io/tx/0xde7698a211944cda7dbb15d154de1205933908f8181e86ca60b3b6a440a6929a,send,0x023a9e71848964720aa938d50f1232d34f46b470,ARB,-625
05/12/2022,02:59:04,op,0x904ce3d22a075e61ce6f19d04c0272cd874eec1e99cf3460e1f99b1315f64b70,https://optimistic.etherscan.io/tx/0x904ce3d22a075e61ce6f19d04c0272cd874eec1e99cf3460e1f99b1315f64b70,receive,0x0ea67df8006be15ac59b5bca21ae206eb925fc6c,ETH,35.2478806147541
05/12/2022,00:56:47,eth,0xb53f4ff7e97b85d2bc62d6d477e195a7a2d5108c0fdec7912f366f8647abcfce,https://etherscan.io/tx/0xb53f4ff7e97b85d2bc62d6d477e195a7a2d5108c0fdec7912f366f8647abcfce,receive,0x0ea67df8006be15ac59b5bca21ae206eb925fc6c,ETH,35.22088895423969
03/12/2022,23:13:27,arb,0x8cfc42763e8ea275ab37a7adfdaa02b6058e41f876cd4500936f47fe3d0c09cd,https://arbiscan.io/tx/0x8cfc42763e8ea275ab37a7adfdaa02b6058e41f876cd4500936f47fe3d0c09cd,receive,0x0ea67df8006be15ac59b5bca21ae206eb925fc6c,ETH,33.033717744836814
27/01/2021,13:26:53,eth,0x97ae623ceb102b90fe8db3c507ac2fcc3ba76f97ee72740cb18533458f1faa0a,https://etherscan.io/tx/0x97ae623ceb102b90fe8db3c507ac2fcc3ba76f97ee72740cb18533458f1faa0a,send,0x0ea67df8006be15ac59b5bca21ae206eb925fc6c,ETH,-0.025
20/11/2022,02:08:57,op,0xb668f0172756064b9800d8bcfdc6f9a38893a0619ebda0c4bbb6ebf36211a1f9,https://optimistic.etherscan.io/tx/0xb668f0172756064b9800d8bcfdc6f9a38893a0619ebda0c4bbb6ebf36211a1f9,send,0x131251e8e11451ebdb0f9c805f64372a9225b178,WETH,-0.27088
29/10/2022,16:19:43,op,0x1b7cf83aa38a22ea91df484a56eee261eb1a9a2f13e8f275c0dd52cd0e793a39,https://optimistic.etherscan.io/tx/0x1b7cf83aa38a22ea91df484a56eee261eb1a9a2f13e8f275c0dd52cd0e793a39,send,0x15dd3b5f278d4a8c7417147b37e23aa7a02dd69c,WETH,-1.0023442675729688
12/07/2023,18:44:29,arb,0x49d97125ac7b7527833d7e71f54e61b50d957a5691b43fa9f254db3f5595f5a5,https://arbiscan.io/tx/0x49d97125ac7b7527833d7e71f54e61b50d957a5691b43fa9f254db3f5595f5a5,receive,0x1f61d6ce5d2afe65303587523dc05c4ba164d14b,USDC,948.657616
12/07/2023,18:44:15,arb,0x0777cf2ba3a4b7d79e3da1f7bca01eaaad39aa854955dcb826b93aa4fbfa9e70,https://arbiscan.io/tx/0x0777cf2ba3a4b7d79e3da1f7bca01eaaad39aa854955dcb826b93aa4fbfa9e70,receive,0x2271eb7bc6c70dd533379758b70aadff075d72b7,USDC,945.662193
20/11/2022,23:56:23,arb,0x0b89a2bcfa167c30f96c4e5c52649a024009042e6efc327261834576a5379c1c,https://arbiscan.io/tx/0x0b89a2bcfa167c30f96c4e5c52649a024009042e6efc327261834576a5379c1c,receive,0x2271eb7bc6c70dd533379758b70aadff075d72b7,USDT,102
12/07/2023,19:18:23,eth,0x126b41154c3ecef72f6dad4c5d8fbe180adac6ac7f82601764d112f16be2b391,https://etherscan.io/tx/0x126b41154c3ecef72f6dad4c5d8fbe180adac6ac7f82601764d112f16be2b391,send,0x25900aa8b9cdaaea1e2e0df7d3c08c5d03f4ad81,USDC,-10000
22/03/2023,21:18:24,bsc,0x36af785b9157d95ebb745a0204c527d3e4ed962b669a51741f6f0fe53e588382,https://bscscan.com/tx/0x36af785b9157d95ebb745a0204c527d3e4ed962b669a51741f6f0fe53e588382,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ID,-83.46199999999999
16/05/2023,22:38:34,arb,0x4c3fc89c6d5a645b6424b9fc15a99864febe3d6b765bfe5b5f3cb836fd53c4b6,https://arbiscan.io/tx/0x4c3fc89c6d5a645b6424b9fc15a99864febe3d6b765bfe5b5f3cb836fd53c4b6,send,0x430cff5356fdbad334e8c992e5be56bed769b0ce,ETH,-0.12787493010023132
12/07/2023,18:44:08,arb,0x1a6c11da2af783598428568f5738c2d1fb3dd087206e72ba0d80268ca6d6017a,https://arbiscan.io/tx/0x1a6c11da2af783598428568f5738c2d1fb3dd087206e72ba0d80268ca6d6017a,receive,0x572cf8182f765d4df265ad285d0da63c4f4f03e5,USDC,941.657099
27/01/2021,13:22:23,eth,0xff06e165154b911b88ec893c5e71c82877b8a20a708b514eb1c2f7d98a24c983,https://etherscan.io/tx/0xff06e165154b911b88ec893c5e71c82877b8a20a708b514eb1c2f7d98a24c983,send,0x572cf8182f765d4df265ad285d0da63c4f4f03e5,ETH,-0.03
12/05/2023,14:54:57,op,0x5afb7b8deeb9ff2f0eda12b21437d1a9110b0e6a7e13bb3dc12ff2fbb53f3a5e,https://optimistic.etherscan.io/tx/0x5afb7b8deeb9ff2f0eda12b21437d1a9110b0e6a7e13bb3dc12ff2fbb53f3a5e,send,0x5dd4eee26c31b44dff545c764742d6800dae3dc5,S*USDC,-1022.701271
10/05/2023,21:38:18,avax,0x7ba60638a83cdd133e1494bdb02478b087e19267da583eb210f271096ab6171d,https://snowscan.xyz/tx/0x7ba60638a83cdd133e1494bdb02478b087e19267da583eb210f271096ab6171d,send,0x5dd4eee26c31b44dff545c764742d6800dae3dc5,USDC,-857.744644
12/07/2023,18:44:45,arb,0x46ceb92d26201f2225b0e10ca93a42b3a56f2389a6306c3f0dbdd0455462e4e4,https://arbiscan.io/tx/0x46ceb92d26201f2225b0e10ca93a42b3a56f2389a6306c3f0dbdd0455462e4e4,receive,0x64d2ff3319b21c5b128de7203ee92eb95592280b,USDC,971.717218
01/12/2022,16:47:39,op,0x9f3ac0c8f77b013eec2030898a5439a1a7ca6c4faa56eb9a8b74a1fa8bde2915,https://optimistic.etherscan.io/tx/0x9f3ac0c8f77b013eec2030898a5439a1a7ca6c4faa56eb9a8b74a1fa8bde2915,send,0x66419605e28803b0b7c3400d536db5853f7bd15b,ETH,-0.0311
01/12/2022,16:46:54,op,0x3f49517f53a3fc699bce3b5d931b0cd4ee74fa93d8980b13c794fec30db5da09,https://optimistic.etherscan.io/tx/0x3f49517f53a3fc699bce3b5d931b0cd4ee74fa93d8980b13c794fec30db5da09,send,0x66419605e28803b0b7c3400d536db5853f7bd15b,SNX,-13.3709
01/03/2023,02:01:19,arb,0x5f91a6e72c6ca618159191f6ca3dc92d5267914be53393e0cd24a585d7332bfc,https://arbiscan.io/tx/0x5f91a6e72c6ca618159191f6ca3dc92d5267914be53393e0cd24a585d7332bfc,send,0x7be5549740bad29e58410683fb222a8331b71cfb,ETH,-0.1039513
01/12/2022,16:47:24,op,0x4f94b5d4f2027ed788cf5e39142dd39ff439d720ad37a8cc17ce1bf424225da2,https://optimistic.etherscan.io/tx/0x4f94b5d4f2027ed788cf5e39142dd39ff439d720ad37a8cc17ce1bf424225da2,send,0x7bf97810d8cfac70d9b80d35b8e0aba85a003ac0,USDC,-268.31
14/09/2022,21:17:30,arb,0x8b90f381de4635b1b91d9dd0560f005c538bf272129bc11ee15c11741f547fc0,https://arbiscan.io/tx/0x8b90f381de4635b1b91d9dd0560f005c538bf272129bc11ee15c11741f547fc0,send,0x7bf97810d8cfac70d9b80d35b8e0aba85a003ac0,ETH,-0.14796101835004263
12/07/2023,18:43:44,arb,0x67136bdb58e7d84077da03fdee18db879e9a8384d2ae994cae5f3a0b2d180de1,https://arbiscan.io/tx/0x67136bdb58e7d84077da03fdee18db879e9a8384d2ae994cae5f3a0b2d180de1,receive,0x7cfd86fab2dd3ef58dda08856da8a154615cb8c1,USDC,946.728231
27/01/2021,13:09:44,eth,0xa5a57b8321c56bb3ecb535f57b69710bd6840b55399668499783c2457a07df05,https://etherscan.io/tx/0xa5a57b8321c56bb3ecb535f57b69710bd6840b55399668499783c2457a07df05,send,0x7cfd86fab2dd3ef58dda08856da8a154615cb8c1,ETH,-0.03
12/07/2023,18:44:33,arb,0x6433d15ec6f8728043e98eed62fdedeec7390b9febcd11bd6ef403febe03cb17,https://arbiscan.io/tx/0x6433d15ec6f8728043e98eed62fdedeec7390b9febcd11bd6ef403febe03cb17,receive,0x818182bb833556961a22d463d427db595c81e046,USDC,933.594694
